date,open,high,low,close,volume
2025-09-02,48.0,48.45,47.9424,48.3,3762404
2025-09-03,48.25,48.51,47.97,48.32,2880093
2025-09-04,48.46,48.5664,48.09,48.16,2616066
2025-09-05,48.33,48.43,47.96,48.26,2668598
2025-09-08,48.41,48.68,48.0425,48.32,2125518
2025-09-09,48.16,48.6366,48.13,48.33,2634804
2025-09-10,48.35,48.64,48.33,48.59,2876895
2025-09-11,48.68,48.815,48.44,48.81,1972530
2025-09-12,48.74,49.11,48.74,49.1,2011776
2025-09-15,49.1,49.16,48.735,49.06,2052349
2025-09-16,49.15,49.21,48.865,48.89,4127472
2025-09-17,48.91,49.355,48.9,49.11,3646269
2025-09-18,48.99,49.215,48.68,49.12,2307525
2025-09-19,49.35,49.55,49.035,49.46,3096344
2025-09-22,49.49,49.6,49.19,49.19,3259032
2025-09-23,49.26,49.82,49.015,49.6,3391575
2025-09-24,49.54,50.1454,49.54,49.98,4209552
2025-09-25,49.95,50.12,49.3,49.57,3944924
2025-09-26,49.82,49.99,49.43,49.59,3213106
2025-09-29,49.6,49.84,49.41,49.72,2411012
2025-09-30,49.62,50.495,49.62,50.46,3686694
2025-10-01,50.42,50.54,49.38,49.59,5176313
2025-10-02,49.76,49.995,49.46,49.7,3771178
2025-10-03,49.66,50.395,49.39,50.07,2570845
2025-10-06,50.12,50.18,49.45,49.77,3407774
2025-10-07,49.83,49.85,49.265,49.45,2812343
2025-10-08,49.7,49.7,48.78,49.03,3484469
2025-10-09,48.935,49.0,47.9435,47.99,3495264
2025-10-10,48.12,48.14,47.62,47.69,3335416
2025-10-13,47.69,47.97,47.46,47.74,1597222
2025-10-14,47.62,47.78,47.24,47.52,2374015
2025-10-15,47.4,47.97,47.39,47.61,2272003
2025-10-16,47.62,47.73,47.16,47.21,4134291
2025-10-17,47.25,47.2665,46.74,47.08,2787399
2025-10-20,47.2,47.45,47.015,47.21,2234012
2025-10-21,47.17,47.31,46.87,47.27,2794069
2025-10-22,47.3,47.88,47.27,47.71,3227042
2025-10-23,47.8,47.92,47.165,47.18,3953614
2025-10-24,47.23,47.305,46.77,46.91,3508000
2025-10-27,46.98,47.3,46.732,47.27,3229754
2025-10-28,47.29,47.48,47.01,47.09,3751824
2025-10-29,47.02,47.26,46.54,46.67,4137800
2025-10-30,46.74,47.185,46.64,46.98,3569920
2025-10-31,46.95,46.965,46.545,46.62,3649263
2025-11-03,46.7,46.72,46.21,46.62,5886864
2025-11-04,46.39,46.57,46.01,46.39,4552099
2025-11-05,46.27,46.945,46.265,46.56,5265364
2025-11-06,46.37,46.995,46.25,46.88,5700512
2025-11-07,46.12,47.81,45.45,47.71,6780090
2025-11-10,47.75,48.096,47.29,47.92,4987162
2025-11-11,48.0,48.42,47.94,48.29,4253776
2025-11-12,48.42,48.85,48.02,48.71,5350244
2025-11-13,48.77,48.9,47.95,48.26,12241960
2025-11-14,47.38,47.885,46.895,47.88,5799503
2025-11-17,47.8,48.46,47.665,47.75,5182118
2025-11-18,47.68,48.445,47.45,48.27,5467230
2025-11-19,48.09,48.65,47.8401,48.62,3071396
2025-11-20,48.7,48.75,48.11,48.3,2903463
2025-11-21,48.2,48.34,47.68,47.94,4052786
2025-11-24,47.95,48.0,47.25,47.32,6289772
2025-11-25,47.21,47.77,47.14,47.56,3891909
2025-11-26,47.79,48.055,47.55,48.04,2824365
2025-11-28,48.22,48.82,48.1,48.78,2097808
2025-12-01,48.67,49.22,48.57,48.89,5246317
2025-12-02,48.9,49.1,47.97,48.11,5064312
2025-12-03,48.53,48.63,47.72,47.75,4870511
2025-12-04,47.75,48.38,47.7,48.14,4179824
2025-12-05,48.14,48.425,47.92,48.09,4736554
2025-12-08,48.09,48.325,47.61,48.19,2682697
2025-12-09,48.3,48.64,47.53,47.54,2988124
2025-12-10,47.66,47.7,46.975,47.19,3058202
2025-12-11,47.3,47.595,47.14,47.41,2448904
2025-12-12,47.41,47.785,47.3,47.55,2107273
2025-12-15,47.6,47.82,47.4,47.68,1913739
2025-12-16,47.625,47.77,46.67,46.67,2959968
2025-12-17,46.61,47.075,46.235,46.94,2870213
2025-12-18,46.93,47.072,46.72,46.74,2784787
2025-12-19,46.9,47.33,46.62,46.63,3569700
2025-12-22,46.71,46.875,46.44,46.83,3139220
2025-12-23,46.99,47.52,46.93,47.47,2250256
2025-12-24,47.5,47.7,47.3806,47.53,1208931
2025-12-26,47.5,47.7,47.3806,47.53,927277
2025-12-29,47.5,48.01,47.4934,47.73,2207903
2025-12-30,47.75,48.15,47.72,48.05,2308123
2025-12-31,48.04,48.18,47.61,47.83,2244678
2026-01-02,47.92,48.28,47.44,48.12,3117760
2026-01-05,47.93,47.9879,46.02,46.58,8362413
2026-01-06,46.69,46.875,45.53,45.7,8396353
2026-01-07,45.6,45.86,45.145,45.23,4661362
2026-01-08,45.2,45.5653,45.025,45.29,6166186
2026-01-09,45.35,45.78,45.32,45.63,4211019
2026-01-12,45.74,46.05,45.53,45.86,4903965
2026-01-13,46.01,46.34,45.67,46.34,4304810
2026-01-14,46.4,46.91,46.31,46.57,5311699
2026-01-15,46.49,46.89,46.34,46.81,3198646
2026-01-16,47.05,47.6,46.9306,47.59,4772482
2026-01-20,47.59,47.62,46.955,47.13,6340569
2026-01-21,47.36,47.68,47.155,47.29,6388123
