date,open,high,low,close,volume
2025-09-02,6.71,7.6,6.51,7.51,19824530
2025-09-03,7.67,8.085,7.55,7.62,16714550
2025-09-04,7.62,7.6699,7.04,7.34,12364810
2025-09-05,7.54,7.62,7.0,7.21,12937390
2025-09-08,7.2,7.47,6.81,6.87,14809260
2025-09-09,6.925,7.045,6.66,6.98,9915863
2025-09-10,7.05,7.37,6.8,6.87,12893950
2025-09-11,6.81,7.28,6.72,7.22,8507447
2025-09-12,7.24,8.24,7.1711,8.2,19132770
2025-09-15,8.44,8.545,8.21,8.28,15747190
2025-09-16,8.325,8.405,7.9302,8.29,11235550
2025-09-17,8.27,8.74,8.12,8.5,14132620
2025-09-18,8.775,9.25,8.44,9.0,21845670
2025-09-19,9.225,10.155,9.17,9.76,36023520
2025-09-22,10.46,10.48,9.85,10.24,30620740
2025-09-23,10.3,10.605,9.93,10.16,21212880
2025-09-24,10.27,11.355,10.21,10.65,32690820
2025-09-25,10.12,10.705,9.77,10.49,22783360
2025-09-26,10.5,10.608,9.83,10.12,12632110
2025-09-29,10.4331,11.45,10.2259,11.17,23838380
2025-09-30,11.0,11.5688,10.8,11.39,14085310
2025-10-01,11.37,12.4,11.12,12.37,20342170
2025-10-02,12.955,13.1268,12.18,12.36,27124580
2025-10-03,12.47,13.505,12.2934,12.6,24711380
2025-10-06,14.435,15.19,13.55,13.86,35332610
2025-10-07,14.2,14.56,13.57,13.66,19129070
2025-10-08,13.55,15.34,13.31,14.82,27538260
2025-10-09,15.05,15.09,14.38,14.64,17324490
2025-10-10,14.69,14.69,13.54,13.82,22062680
2025-10-13,15.104,17.36,14.941,17.05,41965990
2025-10-14,16.61,17.81,16.1,16.98,34127260
2025-10-15,18.28,19.045,16.94,18.28,32574690
2025-10-16,18.1,18.21,15.34,15.45,31587690
2025-10-17,15.14,15.49,14.5,15.04,20353600
2025-10-20,16.199,16.199,14.59,15.01,14600190
2025-10-21,17.025,17.33,15.64,16.3,50357400
2025-10-22,15.6,16.34,14.192,15.06,27469650
2025-10-23,15.195,15.9,14.3201,14.36,16645330
2025-10-24,15.05,16.36,14.96,16.06,21351970
2025-10-27,16.24,16.95,15.235,15.38,21176470
2025-10-28,15.2,16.04,14.64,15.01,16255820
2025-10-29,14.83,15.46,13.9,14.37,20825580
2025-10-30,13.255,14.77,13.15,14.32,24661090
2025-10-31,14.65,16.29,14.53,16.03,24103590
2025-11-03,16.09,16.6,15.52,15.62,16526200
2025-11-04,14.74,15.0097,13.99,14.1,17362100
2025-11-05,14.4,15.38,13.89,14.86,16463330
2025-11-06,15.8,16.11,14.52,15.29,36335650
2025-11-07,14.73,18.3409,14.2,18.26,41867880
2025-11-10,18.275,19.86,17.2609,19.19,42409490
2025-11-11,18.98,19.28,18.0175,18.52,22800510
2025-11-12,19.055,19.65,16.04,17.27,34302750
2025-11-13,17.09,17.36,14.76,15.205,21895540
2025-11-14,14.23,15.3,13.73,13.8,24320370
2025-11-17,13.51,14.0,12.75,13.0,25882480
2025-11-18,12.664,14.0652,12.21,13.48,26556380
2025-11-19,12.525,13.65,12.23,12.78,53510200
2025-11-20,13.34,14.24,12.57,12.88,45095490
2025-11-21,12.98,13.24,11.58,12.36,30915530
2025-11-24,12.665,13.535,12.63,13.12,21612460
2025-11-25,13.18,13.4499,12.6,13.4,19471110
2025-11-26,13.5,14.36,13.32,14.21,13455420
2025-11-28,14.46,15.275,14.2,15.05,9281202
2025-12-01,14.56,14.7491,13.585,13.605,17210690
2025-12-02,13.64,13.83,12.73,12.78,18794280
2025-12-03,12.77,13.59,12.37,13.55,10536780
2025-12-04,13.41,16.045,13.2233,15.59,28314030
2025-12-05,15.43,15.5199,14.83,14.99,15554280
2025-12-08,15.12,15.45,14.33,15.43,14472420
2025-12-09,15.33,15.77,14.76,14.95,16283730
2025-12-10,14.975,15.2799,14.41,14.79,13660430
2025-12-11,14.56,16.49,13.83,16.44,20815420
2025-12-12,16.32,16.36,14.42,14.84,20998010
2025-12-15,15.09,15.1,13.5101,13.63,15717530
2025-12-16,13.44,13.7399,12.855,13.3,13005180
2025-12-17,13.45,13.63,12.205,12.27,15269480
2025-12-18,12.7,13.16,12.22,12.31,13986130
2025-12-19,12.45,13.29,12.45,13.07,15529380
2025-12-22,13.435,13.492,12.755,12.89,12806050
2025-12-23,12.52,12.71,11.87,11.96,16865850
2025-12-24,12.075,12.09,11.75,12.02,6957792
2025-12-26,12.08,12.08,11.69,11.85,8845380
2025-12-29,11.51,11.8958,11.305,11.35,11335260
2025-12-30,11.34,11.61,11.33,11.35,9264060
2025-12-31,11.33,11.5,11.1742,11.46,8863282
2026-01-02,11.69,13.12,11.63,12.97,15219520
2026-01-05,13.284,13.7598,12.9,13.46,13011400
2026-01-06,13.51,14.225,13.36,14.15,14680010
2026-01-07,14.33,15.04,13.83,13.98,18621600
2026-01-08,13.91,14.73,13.75,14.02,14029160
