date,open,high,low,close,volume
2025-09-02,32.1,32.25,31.89,32.0,2732634
2025-09-03,31.98,32.06,31.74,31.84,2829932
2025-09-04,31.81,31.915,31.695,31.8,2770149
2025-09-05,31.8,32.0,31.37,31.67,5023845
2025-09-08,31.63,31.81,31.37,31.47,3724721
2025-09-09,31.52,31.765,31.5,31.55,3241574
2025-09-10,31.53,31.8855,31.53,31.65,4132987
2025-09-11,31.62,31.93,31.51,31.93,2543876
2025-09-12,31.97,32.08,31.71,31.78,3363127
2025-09-15,31.88,31.91,31.62,31.75,5272153
2025-09-16,31.84,31.88,31.665,31.77,2873872
2025-09-17,31.75,32.2162,31.62,32.07,4047847
2025-09-18,32.05,32.1299,31.635,31.82,4091925
2025-09-19,31.81,31.865,31.54,31.69,5198235
2025-09-22,31.56,31.63,31.32,31.37,4179338
2025-09-23,31.37,31.585,31.28,31.46,3697991
2025-09-24,31.53,31.895,31.48,31.7,4452740
2025-09-25,31.52,31.71,31.51,31.53,4116429
2025-09-26,31.6,31.87,31.6,31.63,3392291
2025-09-29,31.5,31.56,31.055,31.26,5694972
2025-09-30,31.02,31.38,30.99,31.27,4316425
2025-10-01,31.28,31.3556,30.99,31.15,4168116
2025-10-02,31.16,31.43,31.03,31.42,3702193
2025-10-03,31.5,31.78,31.48,31.66,3257804
2025-10-06,31.66,31.79,31.48,31.5,3323800
2025-10-07,31.5,31.745,31.41,31.71,2532606
2025-10-08,31.67,31.78,31.53,31.66,3108181
2025-10-09,31.6,31.74,31.25,31.26,3417769
2025-10-10,31.27,31.3,30.71,30.79,5096559
2025-10-13,30.86,30.965,30.74,30.93,3337144
2025-10-14,30.7,30.88,30.49,30.79,4325072
2025-10-15,30.88,30.965,30.47,30.5,4902637
2025-10-16,30.57,30.6,30.23,30.25,4662977
2025-10-17,30.22,30.25,30.01,30.19,4224283
2025-10-20,30.28,30.76,30.275,30.67,4046700
2025-10-21,30.77,30.83,30.51,30.76,2376335
2025-10-22,30.85,31.165,30.7,31.04,3640139
2025-10-23,31.22,31.275,30.9,30.95,3582238
2025-10-24,31.05,31.14,30.91,30.99,2831275
2025-10-27,31.07,31.29,30.965,31.17,3878391
2025-10-28,31.1,31.45,31.1,31.22,4918762
2025-10-29,31.3,31.34,31.06,31.12,4336757
2025-10-30,30.92,31.59,30.39,31.58,8129254
2025-10-31,30.96,31.025,30.5,30.79,6271346
2025-11-03,30.75,30.83,30.28,30.56,4874802
2025-11-04,30.35,30.58,30.085,30.22,5615686
2025-11-05,30.1,30.775,30.02,30.67,4737795
2025-11-06,30.67,31.12,30.62,30.97,4676859
2025-11-07,31.0,31.29,30.67,31.26,3594235
2025-11-10,31.12,31.385,30.97,31.28,4241384
2025-11-11,31.31,31.5265,31.265,31.46,3028643
2025-11-12,31.42,31.64,31.405,31.57,3515092
2025-11-13,31.52,32.1,31.5001,31.76,5278543
2025-11-14,32.0,32.49,31.72,32.26,8708399
2025-11-17,32.25,32.4,31.605,31.75,3487934
2025-11-18,31.62,32.3128,31.42,31.7,3504066
2025-11-19,31.45,31.975,31.35,31.72,2598048
2025-11-20,31.8,32.19,31.71,31.89,3362728
2025-11-21,31.88,32.49,31.79,32.44,4518419
2025-11-24,32.4,32.95,32.27,32.55,4919407
2025-11-25,32.5,32.765,32.4,32.52,4563870
2025-11-26,32.52,32.79,32.44,32.53,2826556
2025-11-28,32.57,32.82,32.51,32.74,2831666
2025-12-01,32.57,32.74,32.475,32.53,4432584
2025-12-02,32.46,32.5,31.865,31.99,4569417
2025-12-03,32.11,32.3985,32.0699,32.13,2829928
2025-12-04,32.28,32.68,32.22,32.61,2819335
2025-12-05,32.63,32.7,32.55,32.61,2439297
2025-12-08,32.48,32.72,32.38,32.71,2749271
2025-12-09,32.65,32.86,32.28,32.33,2633398
2025-12-10,32.26,32.38,32.08,32.21,3411482
2025-12-11,32.13,32.47,32.1,32.21,2784038
2025-12-12,32.14,32.33,31.98,32.13,2830694
2025-12-15,32.19,32.42,31.995,32.31,3520350
2025-12-16,32.2,32.2,31.68,31.78,5533587
2025-12-17,31.85,32.1199,31.72,32.02,3741637
2025-12-18,32.02,32.12,31.655,31.99,3717427
2025-12-19,32.0,32.22,31.81,31.94,3834622
2025-12-22,31.94,32.165,31.78,32.04,3090222
2025-12-23,31.99,32.1302,31.91,32.12,2818146
2025-12-24,32.06,32.19,32.04,32.08,877256
2025-12-26,32.01,32.0899,31.73,31.87,2949921
2025-12-29,31.78,32.105,31.75,31.92,2511846
2025-12-30,31.96,32.1399,31.87,32.11,3210393
2025-12-31,32.17,32.17,31.8201,32.06,2088075
2026-01-02,32.1,32.34,31.82,32.16,3708755
2026-01-05,32.28,32.3,31.55,32.16,4381571
2026-01-06,32.16,32.24,31.66,31.73,4822156
2026-01-07,31.75,31.8,31.59,31.7,4352828
2026-01-08,31.7,32.12,31.62,31.86,4842746
2026-01-09,31.96,32.19,31.93,32.04,2788708
2026-01-12,32.13,32.18,31.9,32.09,2939719
2026-01-13,32.18,32.54,32.13,32.36,4387263
2026-01-14,32.21,32.53,32.18,32.49,3588196
2026-01-15,32.38,32.66,32.25,32.62,2331003
2026-01-16,32.63,33.06,32.5384,32.9,5044431
2026-01-20,32.92,33.13,32.7,32.75,3731277
2026-01-21,33.0,33.1,32.775,32.97,4153992
2026-01-22,32.98,33.35,32.85,33.19,4005209
2026-01-23,33.4,33.58,33.005,33.04,4862730
2026-01-26,33.27,33.27,32.8,33.05,4166130
2026-01-27,33.06,33.255,32.91,33.17,4648683
2026-01-28,33.2,33.515,33.1,33.46,5001318
