date,open,high,low,close,volume
2025-09-02,777.45,779.62,769.1,771.56,457945
2025-09-03,770.0,770.61,751.29,762.22,573001
2025-09-04,764.8,768.59,757.75,767.93,387314
2025-09-05,769.0,777.9699,766.94,773.68,321984
2025-09-08,767.93,769.615,759.375,765.51,462226
2025-09-09,763.15,780.58,762.055,779.54,358443
2025-09-10,782.29,801.99,780.44,780.6,488653
2025-09-11,782.16,799.71,782.16,797.48,384431
2025-09-12,797.48,800.38,788.17,788.61,367806
2025-09-15,791.31,798.185,789.175,791.68,509574
2025-09-16,791.19,791.19,771.14,779.31,486293
2025-09-17,784.21,793.85,778.63,778.78,372287
2025-09-18,783.38,791.45,779.325,785.3,463374
2025-09-19,791.835,795.999,782.19,791.25,1214695
2025-09-22,782.97,801.2,782.67,798.07,513644
2025-09-23,798.0,805.82,794.02,803.28,530182
2025-09-24,798.65,803.22,788.17,789.79,693175
2025-09-25,789.79,792.0,782.04,782.88,337761
2025-09-26,788.26,791.33,781.1,790.34,326181
2025-09-29,794.6,794.6,779.2,781.72,623414
2025-09-30,783.18,785.37,773.625,783.24,589374
2025-10-01,781.79,785.9575,772.16,773.95,681693
2025-10-02,774.56,777.98,766.289,772.6,442966
2025-10-03,772.59,780.84,770.795,778.74,391912
2025-10-06,779.45,792.33,773.165,789.84,425345
2025-10-07,789.99,790.865,778.955,787.08,286760
2025-10-08,787.24,808.15,782.4927,803.62,474943
2025-10-09,806.33,808.53,799.5,808.33,324248
2025-10-10,810.0,811.05,795.12,800.6,470494
2025-10-13,802.0,810.415,796.74,806.29,446445
2025-10-14,804.79,822.53,802.965,817.42,502069
2025-10-15,819.78,831.245,816.0,822.24,359451
2025-10-16,824.53,832.15,811.72,812.77,468380
2025-10-17,812.77,816.29,806.9901,813.93,350583
2025-10-20,817.74,827.7,814.0,825.14,438568
2025-10-21,819.69,823.46,801.01,822.0,384938
2025-10-22,824.655,829.85,817.835,829.05,433025
2025-10-23,830.0,833.89,818.58,831.93,375632
2025-10-24,842.14,847.36,837.05,839.49,367714
2025-10-27,843.0,851.08,834.845,842.77,468534
2025-10-28,841.11,842.4199,815.96,816.13,603777
2025-10-29,812.95,813.962,794.6492,797.73,557089
2025-10-30,801.39,853.825,801.39,833.16,1065524
2025-10-31,828.62,852.19,821.9199,846.01,816969
2025-11-03,840.47,846.0,821.165,832.84,506699
2025-11-04,834.08,839.73,824.14,829.91,435973
2025-11-05,822.54,829.28,810.58,822.12,591995
2025-11-06,817.0,827.67,807.4674,819.33,671554
2025-11-07,824.14,825.25,812.64,824.75,306860
2025-11-10,824.0,833.98,816.28,828.13,512926
2025-11-11,828.69,831.8,820.29,821.04,441165
2025-11-12,819.64,827.155,812.57,813.24,672335
2025-11-13,810.96,812.6178,780.67,786.54,574843
2025-11-14,784.69,787.015,777.87,785.57,498316
2025-11-17,786.91,790.51,771.0,776.88,355183
2025-11-18,777.58,781.77,769.61,779.17,397681
2025-11-19,773.37,774.79,755.43,765.08,512096
2025-11-20,772.18,781.11,752.24,752.81,607640
2025-11-21,755.61,759.74,744.4,754.68,536201
2025-11-24,754.0,760.85,743.1901,760.62,1031605
2025-11-25,768.85,768.85,747.5,748.15,626208
2025-11-26,747.47,756.81,745.52,750.41,476452
2025-11-28,748.64,759.21,745.01,753.31,301080
2025-12-01,746.63,746.63,732.16,733.28,588536
2025-12-02,735.0,735.565,724.16,727.38,828253
2025-12-03,728.8,735.19,724.42,732.72,991823
2025-12-04,722.1,738.0,720.6201,726.09,720800
2025-12-05,727.49,747.88,724.71,741.58,760865
2025-12-08,741.59,748.39,737.21,739.93,546336
2025-12-09,737.02,747.0,730.87,740.67,417397
2025-12-10,743.22,747.46,732.65,734.4,429384
2025-12-11,737.41,757.16,730.815,754.13,555733
2025-12-12,755.82,764.5,726.95,750.32,697133
2025-12-15,755.86,762.55,749.5,761.385,632870
2025-12-16,759.66,763.11,749.5,758.15,582555
2025-12-17,757.0,764.5,739.81,747.88,924478
2025-12-18,752.5,757.03,740.75,744.08,723404
2025-12-19,742.56,763.06,740.33,758.51,1371455
2025-12-22,753.15,762.96,751.22,757.92,413218
2025-12-23,757.0,761.04,753.1101,760.13,333816
2025-12-24,759.43,762.0,755.22,758.72,122919
2025-12-26,759.41,763.84,757.88,763.3,164123
2025-12-29,765.83,769.23,763.15,765.0,404957
2025-12-30,765.41,771.695,762.99,769.71,276041
2025-12-31,769.71,771.33,764.5,766.16,340736
2026-01-02,766.16,766.6,758.43,764.11,556767
2026-01-05,761.08,775.195,755.4,772.02,580416
2026-01-06,772.0,789.9899,769.63,788.06,452331
2026-01-07,791.88,795.245,776.36,776.55,440981
2026-01-08,769.75,783.88,767.53,781.88,408450
2026-01-09,785.44,804.4,785.44,800.35,321750
2026-01-12,799.55,805.0,758.9,783.86,1237716
2026-01-13,784.23,808.85,784.23,801.31,587721
2026-01-14,797.42,800.9175,785.88,799.02,399716
2026-01-15,800.55,813.45,797.87,801.82,443496
2026-01-16,802.32,809.56,796.29,801.78,532393
2026-01-20,792.63,794.74,782.01,784.2,496977
2026-01-21,790.0,809.54,786.715,795.48,566346
2026-01-22,796.6,801.86,788.37,792.76,346978
2026-01-23,792.09,800.8,784.345,791.27,467368
2026-01-26,795.68,810.02,793.18,806.35,567295
2026-01-27,809.96,812.606,796.87,809.55,526278
2026-01-28,811.42,831.715,806.31,816.15,589691
2026-01-29,818.25,826.955,813.315,826.05,685796
2026-01-30,822.02,823.17,808.36,820.93,650158
2026-02-02,816.22,826.83,807.625,810.38,603388
2026-02-03,809.02,818.0,791.54,801.83,499730
2026-02-04,806.38,815.06,799.87,802.13,520307
2026-02-05,803.7,814.42,792.845,807.56,595956
2026-02-06,815.94,848.88,813.63,848.12,615514
2026-02-09,846.57,859.67,840.6,857.74,436666
2026-02-10,853.7,864.62,847.545,856.74,510646
2026-02-11,860.17,868.02,851.83,867.52,652401
2026-02-12,956.44,992.9,940.9,957.87,2685260
2026-02-13,956.78,967.03,942.11,956.19,1063985
2026-02-17,952.5,958.29,933.0,951.97,700242
2026-02-18,948.3,949.97,918.2,924.24,837569
2026-02-19,924.24,928.37,916.01,918.03,647974
2026-02-20,915.52,928.72,911.4,928.11,993572
2026-02-23,926.02,950.11,924.45,945.64,665116
2026-02-24,946.3,956.0,940.71,951.9,486156
2026-02-25,947.86,962.41,945.0,960.52,639492
2026-02-26,963.63,963.63,941.69,948.02,612309
2026-02-27,948.02,975.0,943.645,974.26,1141268
2026-03-02,959.65,970.785,954.3764,966.1,409352
2026-03-03,942.26,977.36,942.26,972.01,849632
2026-03-04,970.48,974.93,957.26,969.04,624744
2026-03-05,954.6,962.53,946.06,953.0,692498
2026-03-06,945.07,956.63,933.96,937.2,688426
2026-03-09,926.5,947.36,918.275,944.91,699460
2026-03-10,944.91,965.0,939.565,956.07,658615
2026-03-11,956.46,982.5,955.0,973.43,661195
2026-03-12,961.19,981.42,955.55,971.47,756282
2026-03-13,979.23,983.375,962.64,969.9,512331
2026-03-16,975.03,990.98,974.92,984.46,790291
2026-03-17,985.42,990.465,975.36,976.88,422249
2026-03-18,978.51,984.23,971.9474,973.56,463014
2026-03-19,963.34,976.66,959.625,974.76,416334
2026-03-20,975.73,979.385,953.72,959.16,1817929
2026-03-23,965.8,974.91,953.215,966.96,576010
2026-03-24,964.78,974.635,958.5197,964.53,499480
2026-03-25,970.19,977.83,964.23,965.95,380146
2026-03-26,960.77,971.33,954.06,963.39,530184
2026-03-27,963.38,968.185,958.265,963.0,397539
2026-03-30,972.25,981.83,958.4882,964.05,717565
2026-03-31,973.81,986.89,963.38,980.24,647806
2026-04-01,985.17,999.67,978.02,995.98,476841
2026-04-02,989.8,1006.555,986.0101,1000.37,464432
2026-04-06,999.4,1016.39,997.865,1016.08,301539
2026-04-07,1003.23,1008.735,984.11,1007.29,424295
2026-04-08,1018.01,1023.47,1002.23,1017.66,505951
2026-04-09,1017.98,1039.9,1017.98,1031.57,405854
2026-04-10,1031.47,1034.2599,1024.035,1030.24,342775
2026-04-13,1027.59,1057.8799,1023.77,1056.84,450962
2026-04-14,1060.07,1060.07,1044.17,1057.37,510679
2026-04-15,1059.77,1059.77,1043.29,1052.98,614039
2026-04-16,1051.1,1072.88,1051.1,1070.9,467531
2026-04-17,1074.74,1093.03,1068.895,1088.62,463120
2026-04-20,1093.18,1104.29,1087.32,1103.97,373339
2026-04-21,1100.54,1108.19,1087.17,1094.34,507382
2026-04-22,1096.78,1107.93,1095.93,1102.28,519898
2026-04-23,1097.8,1123.9199,1097.8,1115.29,563845
2026-04-24,1121.83,1128.68,1103.32,1108.76,610153
2026-04-27,1103.95,1108.47,1084.83,1089.85,589538
2026-04-28,1090.41,1097.5128,1063.285,1076.4,807123
2026-04-29,1074.36,1093.62,1068.56,1089.07,672957
2026-04-30,1048.76,1084.845,1045.0,1082.83,1077438
2026-05-01,1086.13,1091.69,1070.04,1085.03,658273
2026-05-04,1087.19,1091.18,1075.29,1083.2,485518
2026-05-05,1088.39,1089.58,1067.07,1078.46,385814
2026-05-06,1082.9,1097.44,1078.47,1087.96,545506
2026-05-07,1084.11,1090.595,1061.42,1066.76,443884
2026-05-08,1072.41,1082.62,1064.95,1072.08,428813
2026-05-11,1072.61,1094.85,1071.3268,1086.22,679362
2026-05-12,1080.71,1085.085,1069.681,1080.63,464064
2026-05-13,1074.91,1085.935,1060.9,1077.28,625914
2026-05-14,1077.28,1085.76,1072.55,1079.68,479624
2026-05-15,1077.44,1077.44,1055.2,1059.44,453752
2026-05-18,1060.29,1065.51,1047.75,1062.62,423289
2026-05-19,1059.98,1066.38,1044.7,1048.43,482716
2026-05-20,1044.84,1066.86,1044.3,1065.06,496432
2026-05-21,1063.37,1079.42,1061.15,1078.42,534996
2026-05-22,1078.42,1084.1,1068.55,1079.79,427324
2026-05-26,1086.94,1088.7293,1076.29,1077.63,1208916
2026-05-27,1068.51,1079.22,1066.94,1070.22,416644
2026-05-28,1065.93,1080.77,1056.0,1069.44,443147
2026-05-29,1069.25,1072.5,1055.64,1068.04,943916
2026-06-01,1066.27,1066.27,1050.0,1050.77,325458
2026-06-02,1049.285,1076.72,1049.285,1071.8,465835
2026-06-03,1082.94,1107.15,1074.99,1077.0,724601
2026-06-04,1079.93,1091.97,1061.335,1089.15,488499
2026-06-05,1079.42,1093.0,1076.8,1080.95,524866
2026-06-08,1083.215,1084.55,1058.9517,1062.74,404814
2026-06-09,1072.49,1073.7899,1056.04,1059.84,413595
2026-06-10,1068.49,1069.33,1032.72,1038.33,597478
2026-06-11,1041.2,1048.23,1032.08,1043.18,584783
2026-06-12,1048.78,1055.88,1043.75,1055.85,500250
2026-06-15,1050.45,1077.205,1044.34,1064.38,672852
2026-06-16,1080.13,1107.22,1071.93,1094.68,594328
2026-06-17,1094.68,1106.12,1080.94,1088.52,804219
2026-06-18,1104.5,1114.6,1088.6187,1092.19,807852
2026-06-22,1100.23,1117.675,1087.5485,1115.94,718510
2026-06-23,1104.6,1123.995,1096.005,1115.93,872942
2026-06-24,1116.0,1117.98,1088.97,1095.0,812469
2026-06-25,1096.65,1106.0,1074.68,1087.61,721800
2026-06-26,1081.235,1094.87,1071.925,1091.3,762315
2026-06-29,1097.1,1106.4599,1075.31,1085.17,478430
2026-06-30,1067.73,1070.62,1040.57,1042.39,1295553
2026-07-01,1027.55,1045.54,1003.3988,1013.62,956422
2026-07-02,1028.63,1028.63,994.04,1002.02,720148
2026-07-06,1012.11,1016.73,993.805,998.84,560845
2026-07-07,994.64,1027.51,994.425,1022.93,518886
2026-07-08,1007.77,1030.65,1007.77,1015.97,495977
2026-07-09,1030.21,1038.24,1025.125,1034.87,420266
2026-07-10,1035.82,1051.73,1025.86,1051.21,330050
