date,open,high,low,close,volume
2025-09-02,17.675,17.8471,17.62,17.7,8464928
2025-09-03,17.7,17.72,17.53,17.57,9702552
2025-09-04,17.59,17.7099,17.56,17.65,7836292
2025-09-05,17.6,17.65,17.27,17.39,12091520
2025-09-08,17.43,17.48,17.08,17.15,15535630
2025-09-09,17.2,17.315,17.16,17.17,10979090
2025-09-10,17.2,17.46,17.1842,17.42,10161960
2025-09-11,17.355,17.5,17.31,17.49,5784858
2025-09-12,17.5,17.56,17.435,17.45,7327941
2025-09-15,17.52,17.71,17.5,17.54,10372330
2025-09-16,17.59,17.68,17.55,17.58,7957411
2025-09-17,17.57,17.67,17.45,17.53,9542150
2025-09-18,17.56,17.64,17.43,17.44,14562990
2025-09-19,17.47,17.47,17.28,17.3,13754360
2025-09-22,17.35,17.35,17.11,17.13,16772630
2025-09-23,17.2,17.2583,17.1,17.11,12825490
2025-09-24,17.175,17.46,17.1501,17.4,11130450
2025-09-25,17.36,17.48,17.3,17.41,9936889
2025-09-26,17.4,17.64,17.4,17.46,10238240
2025-09-29,17.48,17.5,17.19,17.2,11623850
2025-09-30,17.18,17.24,16.95,17.16,20968950
2025-10-01,17.1,17.1095,16.98,16.99,13491000
2025-10-02,16.98,17.09,16.89,16.92,12973940
2025-10-03,16.92,17.01,16.8,16.8,13314340
2025-10-06,16.85,16.95,16.65,16.66,14803640
2025-10-07,16.68,16.73,16.53,16.67,14276200
2025-10-08,16.69,16.71,16.48,16.67,20937630
2025-10-09,16.69,16.865,16.58,16.62,12982350
2025-10-10,16.6,16.7051,16.26,16.29,21522780
2025-10-13,16.37,16.535,16.23,16.52,15254290
2025-10-14,16.28,16.57,16.28,16.53,11760450
2025-10-15,16.6,16.94,16.6,16.9,14943300
2025-10-16,16.95,16.99,16.58,16.68,16787950
2025-10-17,16.59,16.6402,16.385,16.45,14392110
2025-10-20,16.47,16.77,16.46,16.77,14061100
2025-10-21,16.76,16.785,16.56,16.76,14492930
2025-10-22,16.77,16.96,16.65,16.91,14975680
2025-10-23,17.1,17.1,16.72,16.85,15286100
2025-10-24,16.87,16.94,16.7,16.73,10606350
2025-10-27,16.75,16.92,16.71,16.91,11775220
2025-10-28,16.89,17.04,16.815,16.99,12602780
2025-10-29,17.0,17.01,16.77,16.93,13033120
2025-10-30,16.95,16.96,16.71,16.77,13350160
2025-10-31,16.8,16.89,16.685,16.83,10453960
2025-11-03,16.91,16.96,16.64,16.83,13841150
2025-11-04,16.77,16.8283,16.53,16.55,13437300
2025-11-05,16.61,17.06,16.59,16.91,16665160
2025-11-06,16.88,17.02,16.68,16.87,22864740
2025-11-07,16.46,16.52,16.18,16.45,15500670
2025-11-10,16.45,16.735,16.26,16.69,18551410
2025-11-11,16.68,16.73,16.56,16.7,28964910
2025-11-12,16.69,16.75,16.48,16.58,10083840
2025-11-13,16.55,16.69,16.49,16.63,12943380
2025-11-14,16.59,17.03,16.5601,17.01,15891500
2025-11-17,16.99,17.105,16.89,16.94,11808120
2025-11-18,16.84,17.09,16.7433,16.97,14855710
2025-11-19,16.96,17.05,16.8,16.92,16418950
2025-11-20,16.97,16.99,16.48,16.64,20519010
2025-11-21,16.56,16.66,16.33,16.51,23644820
2025-11-24,16.52,16.52,16.34,16.49,15104680
2025-11-25,16.38,16.41,16.255,16.27,17427490
2025-11-26,16.28,16.495,16.26,16.43,17592060
2025-11-28,16.47,16.72,16.43,16.71,7110653
2025-12-01,16.7,16.87,16.672,16.83,15099880
2025-12-02,16.9,16.9153,16.56,16.59,14447550
2025-12-03,16.6,16.79,16.6,16.71,12128910
2025-12-04,16.73,16.82,16.715,16.8,11273770
2025-12-05,16.8,16.925,16.71,16.8,15588240
2025-12-08,16.75,16.88,16.75,16.8,10331760
2025-12-09,16.8,16.9,16.65,16.67,11612140
2025-12-10,16.73,16.76,16.44,16.45,12449000
2025-12-11,16.45,16.48,16.35,16.41,12317570
