date,open,high,low,close,volume
2025-09-02,52.235,52.235,51.145,51.7,4919626
2025-09-03,51.37,52.55,51.14,51.97,4411750
2025-09-04,51.775,52.4,50.26,52.21,5271078
2025-09-05,52.36,54.105,52.35,54.06,5066990
2025-09-08,54.25,58.335,54.15,58.2,9531111
2025-09-09,57.21,57.68,53.97,56.02,8251708
2025-09-10,55.52,58.41,55.0,57.82,5866272
2025-09-11,59.01,61.5,58.65,59.59,7904952
2025-09-12,58.86,59.59,57.85,58.94,4196921
2025-09-15,58.84,59.25,56.63,57.8,4723232
2025-09-16,57.81,59.65,55.95,59.41,5746135
2025-09-17,59.45,62.0,59.19,60.62,5646391
2025-09-18,62.57,65.06,62.26,64.85,7249260
2025-09-19,64.51,65.07,63.52,64.99,6481398
2025-09-22,65.0,65.0,61.03,61.67,5882087
2025-09-23,61.97,62.93,61.34,62.635,3303174
2025-09-24,63.22,64.455,62.725,64.05,3272862
2025-09-25,64.35,64.565,61.705,63.6,4191466
2025-09-26,63.22,64.31,62.56,64.18,3760256
2025-09-29,64.86,75.77,63.64,74.34,25784290
2025-09-30,71.89,71.96,64.8,66.39,16708620
2025-10-01,66.48,71.7397,66.365,70.49,9057809
2025-10-02,70.92,73.52,70.5601,72.54,4716748
2025-10-03,72.89,76.515,72.31,72.38,7496614
2025-10-06,72.95,74.18,69.56,70.0,5580875
2025-10-07,70.58,71.515,69.05,71.44,4373088
2025-10-08,71.75,72.0,69.11,70.14,4255596
2025-10-09,70.94,73.01,70.72,72.86,4198342
2025-10-10,73.07,73.07,68.72,68.73,4162988
2025-10-13,70.37,71.09,69.43,70.41,2430007
2025-10-14,68.16,73.07,67.62,71.91,2923238
2025-10-15,72.04,74.445,70.66,70.7,3315233
2025-10-16,72.99,74.24,70.18,71.45,4978850
2025-10-17,71.1,71.7,69.63,70.46,3414014
2025-10-20,71.22,72.55,70.7,71.34,2170819
2025-10-21,72.03,72.555,70.53,71.94,2153856
2025-10-22,71.58,73.69,71.36,73.25,2912583
2025-10-23,72.96,73.95,70.56,73.88,2643094
2025-10-24,75.0,75.89,73.445,73.9,2436998
2025-10-27,74.7,76.1,74.4,75.56,3155689
2025-10-28,74.93,76.23,73.33,74.78,5852998
2025-10-29,70.26,72.73,65.2,65.21,13191700
2025-10-30,64.08,64.205,61.71,61.93,7506523
2025-10-31,62.55,63.6,61.0285,62.0,4790646
2025-11-03,61.495,62.24,59.96,61.08,5018458
2025-11-04,59.88,60.105,57.75,58.27,3950302
2025-11-05,57.89,60.78,57.68,60.28,3933012
2025-11-06,60.24,60.3,56.66,56.8,4067235
2025-11-07,56.33,59.31,55.9,59.09,3807776
2025-11-10,59.3,61.34,59.09,60.24,4266399
2025-11-11,60.6,63.88,60.43,63.74,4505946
2025-11-12,64.25,65.66,63.765,63.9,3713550
2025-11-13,62.62,62.72,57.29,58.48,7139314
2025-11-14,57.26,58.1,56.65,57.1,3345766
2025-11-17,57.3,58.405,54.02,54.62,5082159
2025-11-18,54.0,55.46,53.75,54.5,2503847
2025-11-19,54.38,54.79,52.46,53.11,3924563
2025-11-20,53.43,54.5,51.51,51.57,4132374
2025-11-21,51.56,54.1,51.56,53.09,4125228
2025-11-24,52.72,53.26,51.54,52.06,4422946
2025-11-25,52.87,55.04,52.23,53.98,3928865
2025-11-26,53.9,55.31,53.76,54.16,3316141
2025-11-28,54.17,55.15,54.0201,54.22,1304431
2025-12-01,53.53,55.47,52.67,54.81,3667905
2025-12-02,54.78,54.99,54.08,54.67,2382468
2025-12-03,54.65,54.77,53.3,53.83,2829238
2025-12-04,53.27,53.525,51.0162,52.19,4413117
2025-12-05,52.7,53.95,52.24,53.26,4004751
2025-12-08,54.92,55.5,53.45,54.34,2926150
2025-12-09,53.74,56.53,53.375,55.15,3823796
