date,open,high,low,close,volume
2025-09-02,14.5,15.119,14.33,14.86,1048084
2025-09-03,14.64,15.01,14.44,14.635,1028802
2025-09-04,14.63,14.72,14.3,14.62,1321934
2025-09-05,14.68,15.79,14.08,15.57,847055
2025-09-08,15.52,15.605,14.75,14.88,916697
2025-09-09,14.88,15.125,14.5601,14.75,661657
2025-09-10,14.75,15.16,14.55,14.67,581626
2025-09-11,14.66,14.867,14.43,14.67,751839
2025-09-12,14.7,14.745,14.195,14.24,573621
2025-09-15,14.26,14.44,13.685,13.7,517538
2025-09-16,14.0,14.21,13.89,14.06,868919
2025-09-17,14.15,14.425,13.85,13.89,651155
2025-09-18,14.05,15.68,14.025,15.53,1649766
2025-09-19,15.52,15.69,14.09,14.26,2072852
2025-09-22,14.5,15.13,14.28,15.1,886175
2025-09-23,15.11,15.445,14.94,15.09,735554
2025-09-24,15.14,17.0,15.13,16.59,1603882
2025-09-25,16.01,16.3399,14.805,14.885,1421313
2025-09-26,14.71,16.53,14.67,16.05,1265435
2025-09-29,16.09,16.245,15.62,15.75,682107
2025-09-30,15.515,16.37,15.48,16.22,1130368
2025-10-01,16.15,16.43,15.39,15.44,674523
2025-10-02,15.42,15.62,14.85,15.0,628966
2025-10-03,15.36,15.84,15.1413,15.65,1328788
2025-10-06,15.73,16.0,15.045,15.35,975676
2025-10-07,15.34,15.5038,14.94,15.14,426576
2025-10-08,15.28,16.03,15.21,15.35,1162911
2025-10-09,15.38,16.51,15.31,16.05,1360761
2025-10-10,16.06,16.06,14.6739,15.11,771693
2025-10-13,15.06,15.24,14.68,14.71,440314
2025-10-14,14.57,14.98,14.25,14.7,455272
2025-10-15,14.75,15.81,14.75,15.62,629622
2025-10-16,15.43,16.6,15.0,15.32,726136
2025-10-17,15.15,15.395,14.88,15.06,679103
2025-10-20,15.33,16.08,15.07,15.39,1069163
2025-10-21,15.39,15.56,14.98,15.51,467079
2025-10-22,15.47,15.6417,14.675,14.89,516715
2025-10-23,14.94,15.45,14.85,15.1,441568
2025-10-24,15.18,15.32,15.02,15.18,433601
2025-10-27,15.23,16.3799,15.23,16.03,935938
2025-10-28,16.03,16.62,15.66,16.42,632219
2025-10-29,16.45,16.7441,15.94,16.33,861013
2025-10-30,16.35,18.8,16.33,18.67,2324404
2025-10-31,18.6,18.72,17.85,18.28,1224419
2025-11-03,18.28,18.61,17.635,17.97,1113824
2025-11-04,17.585,18.03,16.99,17.325,959019
2025-11-05,17.35,17.52,16.82,17.37,800025
2025-11-06,17.59,18.26,17.07,17.09,892283
2025-11-07,17.05,17.65,16.7,17.16,745820
2025-11-10,17.14,18.7,16.975,18.28,1060310
2025-11-11,18.28,21.57,18.1001,21.48,3047042
2025-11-12,21.43,21.57,20.34,21.17,1933802
2025-11-13,21.1,21.155,19.87,20.42,1089003
2025-11-14,20.52,24.0,19.96,22.75,2512837
2025-11-17,22.46,22.8899,22.07,22.26,1662169
2025-11-18,22.26,22.73,21.6,22.16,1041511
2025-11-19,22.16,22.74,21.93,22.34,1182209
2025-11-20,22.8,23.36,22.16,22.25,861257
2025-11-21,22.2,23.22,21.72,22.67,1283036
2025-11-24,22.67,23.86,22.67,23.48,1014152
2025-11-25,23.48,24.145,23.2801,24.06,1743041
2025-11-26,24.24,25.93,23.86,25.52,1306976
2025-11-28,25.62,26.3,25.29,26.04,479577
2025-12-01,26.04,26.24,25.03,25.27,964127
2025-12-02,25.27,25.655,22.95,22.98,1371841
2025-12-03,23.05,23.48,22.51,23.32,1330779
2025-12-04,23.44,24.035,23.14,23.71,940228
2025-12-05,23.72,24.27,23.475,23.59,756093
2025-12-08,24.1,24.66,23.22,23.56,1294431
2025-12-09,23.56,24.08,23.13,23.34,1103673
2025-12-10,23.58,24.39,23.46,23.74,1048742
2025-12-11,24.045,24.51,23.32,23.43,1266869
2025-12-12,24.01,24.9983,22.77,23.62,2335249
2025-12-15,23.67,24.31,22.99,23.94,3668209
2025-12-16,23.81,24.31,22.55,22.77,2070888
2025-12-17,22.73,23.25,22.26,22.31,3439419
2025-12-18,22.31,22.8124,20.14,21.15,2598177
2025-12-19,21.85,25.64,21.485,25.55,3124941
2025-12-22,25.2,25.39,19.76,20.94,3600507
2025-12-23,21.02,22.29,21.02,21.745,1862408
2025-12-24,22.46,27.38,22.15,27.29,3623276
2025-12-26,27.29,27.39,25.3619,26.35,2413153
2025-12-29,26.31,26.54,24.57,24.62,1601392
2025-12-30,24.07,24.95,23.95,24.54,926725
2025-12-31,24.55,25.03,24.073,24.815,1093873
2026-01-02,25.08,25.08,23.66,23.75,1002952
2026-01-05,23.64,23.87,22.98,23.57,986000
2026-01-06,23.4,23.96,22.78,22.94,1044573
2026-01-07,23.29,24.71,23.29,24.67,1210729
2026-01-08,24.78,25.095,23.7398,24.97,707773
2026-01-09,24.97,25.41,24.5685,24.9,842725
2026-01-12,24.97,24.97,23.57,24.13,444725
2026-01-13,24.24,25.25,24.14,24.95,757054
2026-01-14,24.87,28.285,24.685,28.17,2392995
2026-01-15,28.0,28.0,26.06,26.6,1687836
2026-01-16,26.55,27.51,25.92,27.39,1448559
2026-01-20,26.58,28.89,26.42,28.73,2034464
2026-01-21,29.04,29.81,28.305,29.24,1966355
2026-01-22,29.2,29.94,29.0,29.78,1658353
2026-01-23,29.55,30.25,28.27,28.61,1123446
2026-01-26,28.33,28.48,27.58,28.02,1000577
2026-01-27,28.29,29.46,28.09,29.36,939549
2026-01-28,29.32,29.64,28.32,28.68,623952
2026-01-29,28.67,29.315,28.395,28.78,511103
2026-01-30,28.58,28.645,27.67,28.15,839946
2026-02-02,28.15,29.19,27.07,28.89,607366
2026-02-03,29.07,29.98,28.6,29.65,1029042
2026-02-04,29.73,29.75,27.655,28.47,922901
2026-02-05,28.2,29.65,27.0,27.19,836539
2026-02-06,28.06,29.51,27.78,29.1,918301
2026-02-09,29.23,30.57,28.33,30.25,909354
2026-02-10,30.25,31.26,29.9,31.0,971756
2026-02-11,31.085,31.11,29.3,30.66,597924
2026-02-12,30.8,30.81,29.38,30.37,652910
2026-02-13,30.47,31.29,29.76,30.01,919412
2026-02-17,29.46,30.88,29.46,30.08,1099607
2026-02-18,29.86,31.2,29.72,30.15,566516
2026-02-19,30.16,30.7,29.326,29.51,952349
2026-02-20,29.6,29.61,28.1863,29.31,627581
2026-02-23,29.33,30.15,28.98,30.09,815209
2026-02-24,30.31,30.92,29.885,30.91,905789
2026-02-25,31.0,31.82,29.78,30.12,852405
2026-02-26,29.9,30.335,29.21,29.66,729288
2026-02-27,29.545,30.46,29.355,30.44,1132481
2026-03-02,30.13,30.26,28.6,29.7,687686
2026-03-03,29.3,29.895,28.4,28.81,763028
2026-03-04,29.93,29.93,28.75,28.88,1443350
2026-03-05,29.1,29.43,27.7,28.39,1136780
2026-03-06,28.08,28.08,26.8238,27.82,1170125
2026-03-09,27.3,29.32,27.03,28.66,1143139
2026-03-10,28.66,29.81,28.31,29.3,673845
2026-03-11,29.05,31.38,28.6,30.99,1120368
2026-03-12,30.0,30.725,29.605,29.94,1031542
2026-03-13,30.1,31.36,29.01,29.59,702239
2026-03-16,29.78,30.81,29.62,29.78,604717
2026-03-17,30.41,31.77,30.32,30.5,1027637
2026-03-18,30.42,30.42,29.24,29.69,679272
