date,open,high,low,close,volume
2025-09-02,37.25,37.87,36.231,37.18,4089846
2025-09-03,37.1,37.6,36.67,36.96,2799775
2025-09-04,37.06,37.67,36.775,37.38,2272585
2025-09-05,37.51,37.93,37.215,37.88,2524556
2025-09-08,37.75,37.755,37.16,37.69,1884450
2025-09-09,37.71,38.38,36.785,38.28,1807310
2025-09-10,38.28,38.5,37.57,37.7,2550782
2025-09-11,37.78,39.09,37.57,39.07,2620548
2025-09-12,38.73,39.27,38.59,39.15,2475746
2025-09-15,39.12,39.17,38.365,39.01,2333921
2025-09-16,39.09,39.57,38.61,39.14,1718511
2025-09-17,39.66,40.78,39.32,40.44,2664210
2025-09-18,40.54,40.59,39.9043,40.45,2750619
2025-09-19,40.24,40.5487,39.87,40.1,7751559
2025-09-22,40.0,40.66,39.55,39.58,2062452
2025-09-23,39.59,39.9604,39.47,39.81,1460301
2025-09-24,39.7,39.99,38.56,38.91,2014263
2025-09-25,38.83,38.91,38.35,38.69,1770572
2025-09-26,38.73,39.24,38.57,39.04,1638603
2025-09-29,39.17,40.6,39.0,40.57,2533580
2025-09-30,40.47,41.6,40.35,41.3,2171413
2025-10-01,41.3,41.78,40.86,41.2,2528836
2025-10-02,41.23,41.4,40.4401,41.35,1876512
2025-10-03,41.44,41.45,40.05,40.09,2211802
2025-10-06,40.29,40.43,39.68,40.01,1905651
2025-10-07,40.15,40.2,38.98,39.63,2064144
2025-10-08,39.42,39.48,38.59,38.64,3129379
2025-10-09,38.91,39.09,38.27,38.57,1680561
2025-10-10,38.67,38.7078,37.71,38.15,2933242
2025-10-13,38.36,38.79,37.52,38.44,2227094
2025-10-14,38.46,39.895,38.18,39.51,3135220
2025-10-15,39.53,40.54,39.46,40.03,1887599
2025-10-16,39.99,40.05,39.06,39.21,1907487
2025-10-17,39.33,39.595,38.615,39.25,2188516
2025-10-20,35.55,36.17,33.755,34.54,9439327
2025-10-21,35.05,36.13,34.63,36.13,5647095
2025-10-22,36.02,36.45,35.44,36.08,3102619
2025-10-23,36.27,38.33,36.08,38.05,3861093
2025-10-24,38.0,39.145,37.82,38.72,2429262
2025-10-27,39.04,40.02,38.91,39.99,2268154
2025-10-28,40.01,40.625,39.45,40.075,2012002
