date,open,high,low,close,volume
2025-09-02,11.755,11.89,11.64,11.72,57704180
2025-09-03,11.67,11.725,11.57,11.62,47728660
2025-09-04,11.65,11.7,11.57,11.68,33136650
2025-09-05,11.71,11.91,11.66,11.74,47547830
2025-09-08,11.75,11.75,11.58,11.69,39734520
2025-09-09,11.67,11.68,11.45,11.49,41262740
2025-09-10,11.49,11.52,11.31,11.42,47021330
2025-09-11,11.46,11.79,11.43,11.76,64196120
2025-09-12,11.754,11.81,11.66,11.68,50100810
2025-09-15,11.74,11.755,11.61,11.68,47942430
2025-09-16,11.685,11.78,11.51,11.61,58064970
2025-09-17,11.63,11.88,11.55,11.66,68585950
2025-09-18,11.69,11.78,11.62,11.74,55040060
2025-09-19,11.77,11.8,11.585,11.62,71676340
2025-09-22,11.6,11.7,11.565,11.66,58432710
2025-09-23,11.7,11.93,11.695,11.73,55667550
2025-09-24,11.73,11.83,11.59,11.63,60193780
2025-09-25,11.54,11.65,11.37,11.62,67656340
2025-09-26,11.65,12.315,11.65,12.01,117681800
2025-09-29,12.1,12.12,11.89,12.09,83325010
2025-09-30,12.11,12.2,11.91,11.96,70765050
2025-10-01,12.12,12.28,12.04,12.27,73578430
2025-10-02,12.28,12.43,12.12,12.22,74530530
2025-10-03,12.245,12.67,12.2,12.67,100778600
2025-10-06,12.63,12.8,12.48,12.7,90544940
2025-10-07,12.5,12.53,11.74,11.92,154390200
2025-10-08,11.98,12.014,11.68,11.74,78469650
2025-10-09,11.745,11.77,11.48,11.5,70320480
2025-10-10,11.55,11.59,11.35,11.41,84595400
2025-10-13,11.49,11.63,11.46,11.54,73939380
2025-10-14,11.38,11.76,11.34,11.65,89117950
2025-10-15,11.675,11.78,11.64,11.76,88960730
2025-10-16,11.74,11.79,11.64,11.74,108701200
2025-10-17,11.74,12.01,11.72,11.92,107633500
2025-10-20,11.93,12.08,11.91,11.99,77878940
2025-10-21,12.255,12.63,12.07,12.56,297153200
2025-10-22,12.53,12.595,12.28,12.43,415062200
2025-10-23,12.47,12.49,12.19,12.34,479840300
2025-10-24,12.73,13.97,12.71,13.84,298366900
2025-10-27,13.8,13.8,13.21,13.26,140859000
2025-10-28,13.24,13.28,13.04,13.13,96738450
2025-10-29,13.1,13.39,13.07,13.24,127512200
2025-10-30,13.14,13.29,13.06,13.06,80766300
2025-10-31,13.04,13.17,12.99,13.13,68861990
2025-11-03,13.1,13.1,12.9,13.01,80419400
2025-11-04,12.91,12.93,12.75,12.79,70360610
2025-11-05,12.92,13.305,12.88,13.11,79134310
2025-11-06,13.14,13.26,12.98,13.12,82291050
2025-11-07,12.96,13.24,12.95,13.21,80011320
2025-11-10,13.23,13.235,13.0,13.16,62051160
2025-11-11,13.19,13.44,13.19,13.3,79742410
2025-11-12,13.3,13.5,13.3,13.45,61840460
2025-11-13,13.4,13.5,13.25,13.28,71481610
2025-11-14,13.18,13.31,13.1,13.19,67932420
2025-11-17,13.1751,13.1751,12.78,12.88,73404380
2025-11-18,12.87,13.09,12.76,13.02,70215400
2025-11-19,13.03,13.15,12.8649,12.9,49619260
2025-11-20,12.91,13.01,12.38,12.41,95861860
2025-11-21,12.51,12.94,12.49,12.83,74048860
2025-11-24,12.84,12.98,12.825,12.96,52936240
2025-11-25,12.99,13.26,12.975,13.17,52884970
2025-11-26,13.17,13.26,13.12,13.19,44942200
2025-11-28,13.205,13.34,13.18,13.28,29536180
2025-12-01,13.195,13.385,13.13,13.16,51593960
2025-12-02,13.19,13.19,12.87,12.96,57641700
2025-12-03,12.99,13.14,12.96,13.09,45364670
2025-12-04,13.19,13.24,13.06,13.14,47554800
2025-12-05,13.15,13.28,13.0,13.03,54099360
2025-12-08,13.07,13.16,12.945,13.14,45580830
2025-12-09,13.13,13.2202,13.06,13.08,33349990
2025-12-10,13.08,13.42,13.07,13.41,72210700
2025-12-11,13.385,13.68,13.3,13.63,59012300
2025-12-12,13.67,13.84,13.67,13.76,48337280
2025-12-15,13.8,13.81,13.49,13.65,53577260
2025-12-16,13.72,13.99,13.5701,13.67,69408880
2025-12-17,13.63,13.66,13.29,13.31,58320640
2025-12-18,13.38,13.4656,13.25,13.32,52604830
2025-12-19,13.31,13.475,13.28,13.47,61640570
2025-12-22,13.51,13.6095,13.42,13.46,31106110
2025-12-23,13.43,13.45,13.28,13.29,25440830
2025-12-24,13.3,13.38,13.25,13.36,14227580
2025-12-26,13.335,13.375,13.26,13.31,22471420
2025-12-29,13.27,13.31,13.24,13.28,24398310
2025-12-30,13.28,13.29,13.2,13.23,23002810
2025-12-31,13.21,13.22,13.12,13.12,26302260
