date,open,high,low,close,volume
2025-09-02,57.4,57.875,56.74,57.5,1402999
2025-09-03,57.21,57.64,56.74,57.15,1083546
2025-09-04,57.72,59.09,57.07,59.05,1916422
2025-09-05,59.87,61.6,59.61,60.82,2507987
2025-09-08,60.5,60.89,59.6938,60.74,1475568
2025-09-09,60.07,60.61,58.49,58.75,1476739
2025-09-10,58.72,59.89,58.53,58.73,1128275
2025-09-11,59.15,60.85,59.02,60.75,1863065
2025-09-12,60.24,60.6185,59.28,59.28,1910484
2025-09-15,59.63,59.9661,58.365,58.47,1189091
2025-09-16,58.65,59.16,57.86,58.31,1486817
2025-09-17,58.44,59.8,56.45,56.91,2371411
2025-09-18,57.57,57.75,56.68,57.5,1993045
2025-09-19,57.29,57.4,55.66,55.77,2453974
2025-09-22,55.63,55.745,54.41,54.44,1559115
2025-09-23,54.76,55.17,53.756,54.13,1217680
2025-09-24,53.76,54.34,53.36,53.9,1297794
2025-09-25,53.19,53.8,52.4,52.78,1574932
2025-09-26,52.95,53.35,52.62,53.27,698376
2025-09-29,53.71,53.89,52.47,53.14,1174354
2025-09-30,53.14,53.437,52.15,53.39,988054
2025-10-01,53.17,53.885,52.55,52.99,1110428
2025-10-02,52.86,54.065,52.74,53.24,912431
2025-10-03,53.38,53.82,52.76,52.87,1082515
2025-10-06,53.17,53.41,51.3,51.74,1337649
2025-10-07,51.7,51.7,50.84,51.01,917876
2025-10-08,51.13,52.06,50.824,52.01,970517
2025-10-09,51.9,52.05,50.06,50.21,1143594
2025-10-10,50.42,50.55,48.07,48.2,1726889
2025-10-13,48.79,49.31,48.09,48.12,1830891
2025-10-14,47.69,50.01,47.55,49.81,1707778
2025-10-15,49.98,50.42,49.215,49.71,1020132
2025-10-16,50.41,50.655,48.95,49.61,801526
2025-10-17,49.6,50.17,48.98,50.1,1486692
2025-10-20,50.37,50.97,50.075,50.86,1058090
2025-10-21,48.87,52.63,48.87,52.36,1764761
2025-10-22,51.88,52.55,50.57,50.78,1863774
2025-10-23,51.09,51.77,50.89,51.67,1307384
2025-10-24,51.8,52.015,50.6,50.8,1720047
2025-10-27,50.95,52.42,50.94,51.55,1927100
2025-10-28,50.76,51.86,50.68,51.23,809225
2025-10-29,51.21,51.21,49.3095,49.74,2520324
2025-10-30,49.51,50.38,48.68,48.79,1926647
2025-10-31,51.56,53.25,49.415,50.8,2952141
2025-11-03,50.14,51.26,49.5,50.62,2602466
2025-11-04,50.06,50.44,49.44,49.59,1950093
2025-11-05,48.68,51.57,48.46,50.68,2387237
2025-11-06,50.63,50.86,49.17,49.37,2271200
2025-11-07,49.13,50.04,48.79,49.72,1472971
2025-11-10,49.73,50.065,48.52,48.69,1435020
2025-11-11,49.08,49.42,48.68,48.77,1004207
2025-11-12,48.98,49.57,48.48,49.38,2271097
2025-11-13,49.12,49.97,48.6,48.86,1435808
2025-11-14,48.44,48.955,47.8,48.01,1199061
2025-11-17,47.8,48.015,46.24,46.34,1566899
2025-11-18,45.93,46.09,44.87,45.27,1896653
2025-11-19,45.27,45.395,44.38,44.58,2128799
2025-11-20,44.91,45.38,44.33,44.49,2313944
2025-11-21,44.8,47.355,44.04,47.07,2561668
2025-11-24,46.77,47.54,46.25,47.14,1495982
2025-11-25,47.74,49.95,47.21,49.59,1969424
2025-11-26,49.42,51.789,49.42,51.51,2285583
2025-11-28,51.48,51.84,51.235,51.63,865194
2025-12-01,50.87,52.24,50.55,51.83,1455859
2025-12-02,51.93,52.06,50.85,51.37,1435196
2025-12-03,51.25,52.693,51.2,51.46,1672830
2025-12-04,51.56,51.75,50.345,50.73,1401164
2025-12-05,50.61,51.535,49.89,50.22,1509395
2025-12-08,50.22,50.22,49.175,49.58,1951786
2025-12-09,49.18,49.65,48.692,48.71,979845
2025-12-10,48.95,51.48,48.78,51.2,1683509
2025-12-11,51.5,52.49,50.76,52.44,2011506
2025-12-12,53.32,53.32,51.8,52.22,1814131
2025-12-15,52.5,52.67,51.23,51.8,1527106
2025-12-16,51.96,52.09,50.985,51.34,1068421
2025-12-17,50.78,52.54,50.39,51.79,1632425
2025-12-18,52.31,53.18,51.49,51.49,1852230
