date,open,high,low,close,volume
2025-09-02,43.76,44.95,42.74,44.94,12166350
2025-09-03,45.25,46.295,45.11,46.21,12237800
2025-09-04,45.72,46.145,45.1802,46.07,8509044
2025-09-05,46.715,47.02,45.735,46.34,8069194
2025-09-08,46.525,46.75,45.5,46.66,10436370
2025-09-09,45.32,46.11,43.615,43.89,24956690
2025-09-10,44.29,45.47,44.23,44.88,16678940
2025-09-11,44.87,46.155,44.8,45.92,14919180
2025-09-12,45.2,45.4975,43.93,44.72,16046310
2025-09-15,44.5,45.75,44.36,45.64,12670180
2025-09-16,45.65,45.9,44.81,45.3,10043400
2025-09-17,45.1,46.29,44.7813,45.09,8951835
2025-09-18,45.0,45.4353,44.59,44.93,13174440
2025-09-19,45.245,45.7,44.7104,44.94,21120230
2025-09-22,44.83,45.38,44.54,45.16,11980810
2025-09-23,45.39,46.286,45.14,45.36,14308460
2025-09-24,41.83,41.99,37.66,37.67,91311740
2025-09-25,37.53,37.53,35.15,35.34,86778640
2025-09-26,35.5,36.31,35.29,35.75,41515810
2025-09-29,36.35,38.11,36.05,37.12,40224660
2025-09-30,37.95,39.325,37.2,39.22,38973120
2025-10-01,39.025,39.48,38.84,39.09,19117030
2025-10-02,39.37,39.96,38.19,38.87,23508850
2025-10-03,39.65,40.35,38.92,39.67,23921640
2025-10-06,40.19,41.24,39.5604,40.32,26706830
2025-10-07,40.71,41.31,40.1601,40.69,19846760
2025-10-08,41.945,43.03,41.87,42.85,25769020
2025-10-09,44.53,44.785,42.55,43.31,23238040
2025-10-10,43.67,43.67,40.74,40.88,24243420
2025-10-13,43.29,43.5,42.28,42.78,15475300
2025-10-14,41.56,42.43,40.5,41.97,16563360
2025-10-15,42.84,42.84,41.265,41.71,16028050
2025-10-16,42.02,42.04,41.21,41.7,15080990
2025-10-17,41.6,41.99,40.7084,41.18,14027520
2025-10-20,41.93,42.215,41.4196,42.19,12617500
2025-10-21,41.2,41.51,40.655,41.31,12932210
2025-10-22,40.65,41.2,40.12,40.78,12134360
2025-10-23,41.45,42.25,41.06,41.23,18292570
2025-10-24,41.16,41.63,40.46,41.37,10605290
2025-10-27,41.73,41.73,40.445,41.1,14374400
2025-10-28,40.59,41.95,40.5,41.17,11973800
2025-10-29,41.72,43.485,41.55,42.19,19707750
2025-10-30,41.76,42.335,40.86,41.73,11822940
2025-10-31,41.585,42.52,41.26,41.7,11939500
2025-11-03,41.57,41.59,40.432,41.18,13717230
2025-11-04,39.97,40.03,39.115,39.42,14388350
2025-11-05,39.89,40.6665,39.62,40.21,12057620
2025-11-06,39.91,39.92,38.54,38.65,25307270
2025-11-07,39.93,40.005,38.75,39.81,17305680
2025-11-10,40.79,41.25,40.35,40.95,13890570
2025-11-11,40.825,41.34,40.45,41.07,10730750
2025-11-12,41.47,42.26,41.47,41.81,12842940
2025-11-13,41.85,41.885,40.21,40.54,10381750
2025-11-14,39.625,40.67,38.88,40.16,10358540
2025-11-17,39.99,40.03,38.87,39.0,17578460
2025-11-18,41.75,41.81,39.94,40.0,23695170
2025-11-19,40.91,42.215,40.77,41.25,19873580
2025-11-20,41.9,41.9,39.305,39.63,15648030
2025-11-21,39.83,40.3,38.85,39.87,18896920
2025-11-24,39.9,41.12,39.9,40.79,15241040
2025-11-25,41.24,41.785,40.965,41.07,11446600
2025-11-26,41.78,42.49,41.56,42.15,13339370
2025-11-28,42.76,43.405,42.32,42.98,8848145
2025-12-01,43.4,43.93,42.995,43.07,14614780
2025-12-02,43.18,43.42,42.305,42.97,11131950
2025-12-03,44.325,45.09,44.13,44.53,22864290
2025-12-04,44.025,44.735,43.66,44.61,12392130
2025-12-05,45.27,45.97,45.12,45.2,20208130
2025-12-08,45.38,45.72,44.73,45.0,16538420
2025-12-09,44.13,45.2,43.93,44.8,10310100
2025-12-10,44.88,46.45,44.685,46.45,17054760
2025-12-11,46.58,48.32,46.43,48.11,20740950
2025-12-12,48.76,49.0,46.81,47.38,17034870
2025-12-15,48.815,48.86,47.39,47.52,15437660
2025-12-16,47.31,47.675,46.62,47.54,15481470
2025-12-17,48.11,48.24,47.37,47.82,15613000
2025-12-18,48.07,48.295,47.32,47.92,15029540
2025-12-19,48.07,49.636,48.07,49.15,21954840
2025-12-22,50.0,50.95,49.91,50.64,15316630
2025-12-23,51.61,52.29,50.99,51.9,14155680
2025-12-24,51.93,51.99,51.23,51.92,4073916
2025-12-26,53.05,53.765,52.64,53.04,14848320
2025-12-29,51.565,52.22,51.17,51.48,15231720
2025-12-30,52.24,52.38,50.85,51.41,10055680
2025-12-31,51.3,51.51,50.66,50.79,8776792
2026-01-02,51.725,52.185,51.0,51.93,11518430
2026-01-05,53.625,54.445,53.29,54.41,26935110
2026-01-06,56.01,57.12,55.67,56.15,35253260
2026-01-07,55.23,55.58,53.85,55.5,20893980
2026-01-08,54.615,54.615,53.285,54.22,22333080
2026-01-09,55.45,56.71,54.57,56.53,19272710
2026-01-12,57.745,58.83,57.16,58.71,20373710
2026-01-13,60.02,60.09,58.422,59.34,22060090
2026-01-14,60.21,60.71,59.115,60.35,19747530
2026-01-15,58.975,60.495,58.7,59.96,18285720
2026-01-16,58.63,58.85,57.7,58.71,21629930
2026-01-20,59.095,60.38,58.35,60.07,19583630
2026-01-21,61.55,62.125,59.75,60.58,25719780
2026-01-22,60.775,61.75,58.24,58.85,25597150
2026-01-23,59.75,60.8062,58.38,60.41,24545850
2026-01-26,63.415,63.575,61.1,61.17,31620210
2026-01-27,61.5,63.18,61.27,62.87,20123720
2026-01-28,64.125,64.67,62.02,63.63,22636450
2026-01-29,69.39,69.44,63.11,65.13,48277650
2026-01-30,61.735,61.915,58.6625,60.23,40774420
2026-02-02,59.88,61.25,59.56,60.76,21334620
2026-02-03,64.09,64.96,62.6,64.67,31102690
2026-02-04,64.98,65.65,60.98,61.86,31834210
2026-02-05,59.95,60.93,58.23,59.22,22330400
2026-02-06,60.36,61.01,59.71,60.67,20119060
2026-02-09,61.355,64.17,61.28,63.61,14751970
2026-02-10,63.25,63.52,62.07,63.26,11647360
2026-02-11,65.1,65.5,63.07,65.46,15495760
2026-02-12,65.97,65.98,61.25,62.04,23459940
2026-02-13,61.15,63.35,60.16,62.84,14370640
2026-02-17,61.24,61.58,59.2,61.09,12238430
2026-02-18,62.76,63.18,61.55,62.55,17244820
