date,open,high,low,close,volume
2025-09-02,68.96,68.96,64.5501,65.57,8027796
2025-09-03,66.7,68.59,65.54,68.13,12276060
2025-09-04,55.9,57.35,53.2,54.56,29316440
2025-09-05,52.38,54.96,50.49,54.86,20813800
2025-09-08,54.17,55.32,52.4,52.47,9662785
2025-09-09,52.45,53.615,51.43,53.32,7845422
2025-09-10,53.61,55.21,50.815,51.06,9614213
2025-09-11,51.05,56.32,51.04,55.96,13224340
2025-09-12,56.06,56.3,53.0,53.07,8610960
2025-09-15,54.67,55.55,52.3,54.12,8938762
2025-09-16,54.19,55.0,52.22,53.67,5707469
2025-09-17,53.67,57.49,53.31,54.78,11400910
2025-09-18,55.48,58.88,54.663,58.41,12053100
2025-09-19,59.37,59.49,55.24,56.81,10658520
2025-09-22,56.3,59.6891,55.3629,58.79,9769227
2025-09-23,59.59,59.59,56.89,58.13,7677250
2025-09-24,57.5,57.7,54.8,55.21,9373614
2025-09-25,53.88,55.12,52.45,54.39,6701476
2025-09-26,53.82,54.39,52.13,52.91,7584527
2025-09-29,54.06,54.3,52.64,53.15,5645674
2025-09-30,53.65,54.5,51.34,51.87,7998420
2025-10-01,51.28,52.29,49.53,50.3,11446290
2025-10-02,51.17,52.45,51.12,51.91,6991124
2025-10-03,52.5,56.09,52.33,53.04,11308970
2025-10-06,53.46,61.75,51.1,56.96,28006340
2025-10-07,61.6,64.17,58.78,60.84,25145750
2025-10-08,63.0,71.48,62.52,71.08,27356460
2025-10-09,70.16,70.79,67.1481,67.94,11430470
2025-10-10,69.67,70.4,60.76,61.06,16558790
2025-10-13,63.0,65.47,61.36,64.28,8221799
2025-10-14,62.0,62.75,60.4911,60.82,7166674
2025-10-15,62.22,65.5,60.88,63.82,10656800
2025-10-16,65.15,67.68,57.43,57.79,16694310
2025-10-17,57.0,57.9873,54.1,56.84,7529095
2025-10-20,58.18,58.58,54.0,55.71,7895555
2025-10-21,55.88,57.2499,54.92,55.71,5368193
2025-10-22,54.72,54.85,51.1,52.81,8750192
2025-10-23,53.36,53.68,52.0,53.35,3545840
2025-10-24,54.55,55.48,53.0,53.36,4439751
2025-10-27,54.48,55.27,52.73,53.14,4333207
2025-10-28,54.75,54.75,51.82,51.89,4810107
2025-10-29,52.1,52.64,50.206,50.81,5824525
2025-10-30,50.07,50.42,48.68,48.84,6417380
2025-10-31,48.47,50.3,46.88,49.84,8198981
2025-11-03,49.95,50.04,47.43,48.17,8654474
2025-11-04,46.35,48.69,45.44,45.81,7701246
2025-11-05,46.12,46.54,43.8,44.01,14285490
2025-11-06,45.82,46.7899,43.0,45.98,20916670
2025-11-07,44.52,45.02,43.0,44.25,32071000
2025-11-10,44.75,44.8343,42.24,44.42,12845060
2025-11-11,43.83,44.98,42.9,44.48,9644496
2025-11-12,44.24,45.42,43.41,44.0,5308954
2025-11-13,43.21,43.315,40.02,40.56,10436000
2025-11-14,40.0,41.239,38.53,38.53,8574128
2025-11-17,37.8,38.53,36.56,37.38,14106750
2025-11-18,36.48,37.325,35.72,36.76,9129227
2025-11-19,36.59,36.7,35.5001,35.74,6637141
2025-11-20,36.41,36.894,33.42,33.57,8622454
2025-11-21,33.55,34.56,32.83,34.31,7307342
2025-11-24,34.37,35.715,33.35,35.47,7173870
2025-11-25,35.01,35.63,33.5,35.5,5388310
2025-11-26,35.6,36.45,34.82,36.13,4800523
2025-11-28,36.26,36.55,35.6,35.97,2927822
2025-12-01,35.1,36.1,34.26,35.69,6044628
2025-12-02,36.1,36.86,35.83,36.18,5091779
2025-12-03,36.28,37.5,35.325,37.37,4053145
2025-12-04,37.32,39.1499,36.7,38.71,6476091
