date,open,high,low,close,volume
2025-09-02,7.06,7.2199,6.9,6.93,3355745
2025-09-03,7.13,7.2,6.7,6.75,4057176
2025-09-04,6.75,6.895,6.69,6.75,4404402
2025-09-05,6.98,7.59,6.93,7.55,6325953
2025-09-08,7.58,7.6,7.17,7.21,2780476
2025-09-09,7.21,7.25,6.765,6.78,4249388
2025-09-10,6.87,7.25,6.71,6.76,5593408
2025-09-11,6.76,7.09,6.6024,6.94,4164786
2025-09-12,6.94,7.17,6.79,7.0,7052756
2025-09-15,7.16,7.41,7.095,7.39,3856926
2025-09-16,7.58,8.3,7.48,7.5,5825411
2025-09-17,7.5,7.8,7.26,7.44,3937414
2025-09-18,7.67,8.09,7.54,7.92,5627452
2025-09-19,8.05,9.48,8.001,9.36,8252757
2025-09-22,9.51,10.86,9.23,10.6,12216790
2025-09-23,10.57,11.15,10.0501,10.21,10005580
2025-09-24,10.64,12.1,10.62,11.18,13856560
2025-09-25,10.91,11.97,10.51,11.73,14215050
2025-09-26,11.49,12.15,11.26,11.91,7294344
2025-09-29,12.2,12.88,11.2049,11.4,8071702
2025-09-30,11.34,11.34,10.465,10.8,6113739
2025-10-01,11.0,13.525,10.95,13.45,11096670
2025-10-02,13.625,14.15,12.66,13.05,8908023
2025-10-03,13.15,14.22,13.0,13.79,8837906
2025-10-06,14.205,15.5,13.76,15.26,9559260
2025-10-07,15.81,15.81,13.6,13.83,9486334
2025-10-08,14.35,15.45,14.01,14.96,5916311
2025-10-09,14.5,15.27,14.1,14.9,6402148
2025-10-10,14.92,15.46,12.98,13.09,9816875
2025-10-13,14.0,16.34,13.965,15.89,10184570
2025-10-14,15.36,19.385,15.16,18.45,15089040
2025-10-15,20.585,21.87,19.69,21.44,18888190
2025-10-16,20.93,22.12,18.64,19.58,11333080
2025-10-17,19.105,19.94,18.23,18.325,6882228
2025-10-20,19.85,19.922,18.01,18.45,5775825
2025-10-21,17.47,17.57,16.01,16.26,7328858
2025-10-22,16.04,16.131,14.31,15.22,8524339
2025-10-23,15.99,16.4,15.2825,16.03,5512226
2025-10-24,17.08,19.54,17.08,19.52,9200875
2025-10-27,19.98,20.33,18.38,18.74,7749613
2025-10-28,19.2,19.305,17.9001,18.1,4433394
2025-10-29,18.9,21.2099,18.52,20.28,9074959
2025-10-30,19.7,21.4,19.41,20.47,8803436
2025-10-31,20.01,21.73,19.95,21.0,6577987
2025-11-03,21.5,22.44,20.71,20.81,7600512
2025-11-04,19.52,20.99,19.01,19.18,5288233
2025-11-05,19.81,21.72,19.41,20.72,6634673
2025-11-06,21.15,21.2,19.36,19.82,5313410
2025-11-07,19.01,21.06,17.68,20.79,6457808
2025-11-10,21.845,23.7429,21.27,21.79,11621820
2025-11-11,21.03,21.1,18.65,20.73,8014768
2025-11-12,20.8,21.22,18.995,19.21,6473288
2025-11-13,18.93,19.49,16.0,16.25,14488960
2025-11-14,15.295,18.27,15.22,17.91,10086660
2025-11-17,17.45,18.09,16.92,17.23,4929142
2025-11-18,16.76,18.21,16.0,17.02,6071927
2025-11-19,17.25,18.05,16.38,16.81,4159898
2025-11-20,17.7,18.28,15.455,15.51,5807766
2025-11-21,15.58,15.88,14.58,15.4,7750514
2025-11-24,15.5,15.99,15.01,15.8,9794656
2025-11-25,18.145,19.23,15.1,16.77,11842140
2025-11-26,17.62,19.2,17.21,18.99,8358492
2025-11-28,19.01,19.99,18.7,19.64,3411001
2025-12-01,19.05,19.97,18.52,19.39,4878144
2025-12-02,19.2,20.27,18.911,19.96,5690058
2025-12-03,20.09,20.153,19.11,19.85,4496905
2025-12-04,20.11,23.48,19.84,23.34,10286030
2025-12-05,22.51,24.79,22.51,23.96,7800373
2025-12-08,22.58,23.67,21.83,22.86,6257282
2025-12-09,22.61,24.33,21.83,23.94,5635372
2025-12-10,23.9,24.41,22.54,23.81,3994289
2025-12-11,23.49,25.81,22.25,25.79,7086125
2025-12-12,25.44,25.85,22.0101,22.19,7057839
2025-12-15,22.61,22.68,21.36,21.52,4325016
2025-12-16,20.81,21.37,18.52,21.31,6081443
2025-12-17,21.71,21.7199,18.48,18.57,4994266
2025-12-18,20.48,20.8215,19.0,19.31,4414443
2025-12-19,18.965,20.25,18.91,19.96,6804147
2025-12-22,20.34,20.95,19.538,20.45,4106770
2025-12-23,19.84,21.15,19.42,19.67,4026636
2025-12-24,19.7,20.0,19.22,19.83,1517776
2025-12-26,19.83,20.585,19.11,20.21,2538556
2025-12-29,19.49,20.9514,19.37,19.97,2719198
2025-12-30,20.01,20.6,19.82,19.86,2719030
2025-12-31,19.965,20.19,19.49,19.78,2041368
2026-01-02,20.36,23.12,20.14,23.01,6109701
2026-01-05,23.13,23.57,21.71,22.25,3825867
2026-01-06,22.38,22.64,21.31,21.83,3733228
2026-01-07,21.6,21.6,19.91,20.56,4666184
2026-01-08,20.775,22.0,20.5,21.18,5537920
2026-01-09,21.95,23.39,21.6201,23.2,4351587
2026-01-12,22.75,24.2,22.22,23.28,5243222
2026-01-13,23.845,25.23,22.9501,23.82,4960207
2026-01-14,23.8,24.55,22.59,22.65,4656833
2026-01-15,23.49,26.32,23.39,25.5,7091801
2026-01-16,25.7,27.93,25.05,27.08,6205323
2026-01-20,25.66,26.7,24.38,25.51,6874667
2026-01-21,26.68,27.3499,24.6101,26.34,4196033
2026-01-22,27.25,28.46,26.5,27.27,5654774
2026-01-23,27.54,28.4,26.5801,26.94,3854595
2026-01-26,26.62,27.54,25.7012,27.12,4526680
2026-01-27,27.13,30.54,27.1,28.44,5896697
2026-01-28,29.02,31.485,28.91,30.99,6062616
2026-01-29,31.3,32.045,29.7101,31.57,7098323
2026-01-30,30.645,33.51,30.26,30.77,7341111
2026-02-02,30.01,32.34,29.7,30.89,5818874
2026-02-03,31.93,33.3,30.05,32.23,5705363
2026-02-04,33.04,33.5,26.39,28.99,10331650
2026-02-05,24.85,25.62,18.6,18.95,19885210
2026-02-06,20.4,21.5989,18.82,19.44,12000030
2026-02-09,19.17,20.72,18.2859,19.4,7085981
2026-02-10,19.99,21.0799,18.91,18.99,8253038
2026-02-11,19.66,19.8048,17.261,17.52,10396240
2026-02-12,17.47,18.48,17.019,17.44,6982619
2026-02-13,17.2,18.505,16.6,18.46,4802537
2026-02-17,18.02,18.36,17.1801,17.78,4542160
2026-02-18,18.08,18.37,17.32,17.43,2704792
2026-02-19,17.03,17.5,16.54,16.56,5688650
2026-02-20,16.15,17.48,15.86,16.55,6014333
2026-02-23,16.2,16.46,15.49,16.07,6039096
2026-02-24,15.698,16.94,15.34,16.49,3691114
2026-02-25,16.7,16.9,16.18,16.33,4128467
2026-02-26,15.84,16.24,15.26,16.2,6744799
2026-02-27,15.62,15.86,15.22,15.54,3967921
2026-03-02,14.88,15.72,14.76,15.12,4999361
2026-03-03,14.23,15.05,13.81,14.92,8393948
2026-03-04,15.05,16.26,15.05,15.8,4469752
2026-03-05,15.14,15.81,14.97,15.76,3512774
2026-03-06,15.47,16.19,14.77,14.78,2489872
2026-03-09,14.57,15.945,14.47,15.7,4881208
2026-03-10,15.94,16.91,15.66,16.88,4685505
2026-03-11,17.39,18.21,16.97,17.11,6949962
2026-03-12,16.7,17.15,16.18,16.42,3853058
2026-03-13,16.76,17.4099,16.01,16.38,3394761
2026-03-16,16.92,17.33,16.48,16.78,2616193
2026-03-17,16.56,16.79,16.25,16.5,2370681
2026-03-18,16.67,16.83,15.95,15.99,2560011
2026-03-19,15.91,16.41,15.66,16.03,3005056
2026-03-20,15.94,16.25,14.94,15.13,3729413
2026-03-23,15.33,15.85,15.075,15.36,3328758
2026-03-24,15.17,16.31,15.17,16.15,2973008
2026-03-25,16.545,16.865,16.21,16.35,2743678
2026-03-26,15.94,16.045,14.845,14.96,2935661
2026-03-27,14.762,14.94,14.061,14.15,3323597
2026-03-30,14.29,14.36,12.865,13.0,3948068
2026-03-31,13.165,13.96,12.91,13.76,5856821
2026-04-01,14.2,14.45,12.85,13.02,4336016
2026-04-02,12.335,13.39,12.12,13.3,3748279
2026-04-06,13.11,14.015,13.02,13.2,3219959
2026-04-07,12.95,13.31,12.53,13.25,4568424
2026-04-08,14.56,14.61,12.82,13.12,5383156
2026-04-09,13.06,13.66,12.92,13.56,3080658
2026-04-10,13.66,14.775,13.6,13.78,4210760
2026-04-13,13.55,14.109,13.3,13.65,3076728
2026-04-14,14.7,14.98,14.125,14.8,3850788
2026-04-15,15.27,15.94,14.77,15.21,4019401
2026-04-16,15.63,15.83,14.72,14.98,3838346
2026-04-17,13.82,14.72,13.28,13.535,7627878
2026-04-20,13.38,13.45,12.18,12.63,5833943
2026-04-21,13.085,13.68,12.635,12.77,5598686
2026-04-22,13.26,13.75,13.01,13.5,5489145
2026-04-23,13.49,13.71,12.94,13.52,3142945
2026-04-24,13.49,13.54,13.0372,13.38,2714151
2026-04-27,13.43,13.92,12.565,13.36,5204716
2026-04-28,12.78,12.9499,11.9401,12.35,5592673
2026-04-29,12.48,12.5,11.335,11.83,4835705
2026-04-30,11.552,12.4,11.49,12.18,4925756
2026-05-01,12.09,12.405,11.75,12.19,4914104
2026-05-04,12.0,12.495,11.89,12.33,4963079
2026-05-05,12.33,12.81,12.255,12.69,4309207
2026-05-06,12.65,13.65,12.36,13.56,11373340
2026-05-07,19.205,20.285,16.31,18.97,46080060
2026-05-08,23.775,26.98,23.52,24.16,41472190
2026-05-11,23.555,27.39,22.22,25.23,27322420
2026-05-12,22.63,23.85,20.59,21.28,20433210
2026-05-13,21.01,22.66,19.66,22.1,25413730
2026-05-14,21.9,22.31,20.64,20.94,11721770
2026-05-15,19.84,21.14,19.0,20.77,15002510
