date,open,high,low,close,volume
2025-09-02,40.25,42.27,39.66,41.74,5208641
2025-09-03,41.755,43.94,41.755,42.87,5179880
2025-09-04,42.8,42.91,40.51,41.47,4877978
2025-09-05,41.73,41.73,40.37,41.57,2995193
2025-09-08,41.59,41.7211,40.79,40.81,3506068
2025-09-09,41.12,41.17,40.245,40.71,3147309
2025-09-10,41.0,41.715,41.0,41.36,2037577
2025-09-11,41.24,41.71,40.91,41.31,2449984
2025-09-12,41.05,41.48,40.85,41.01,2445344
2025-09-15,41.33,41.7285,40.74,41.48,2197020
2025-09-16,41.52,41.81,40.4,40.79,2565849
2025-09-17,40.88,41.185,39.86,40.34,2788657
2025-09-18,41.13,42.83,40.5,42.42,4604717
2025-09-19,42.56,44.83,42.1399,44.6,11288180
2025-09-22,44.17,44.93,43.51,44.75,3142615
2025-09-23,44.92,45.102,43.79,44.03,3203382
2025-09-24,44.55,45.54,43.71,43.75,2588750
2025-09-25,42.54,42.87,41.8,42.4,3863089
2025-09-26,42.71,42.84,42.06,42.17,2250779
2025-09-29,42.5,43.15,42.34,42.64,3021865
2025-09-30,42.63,43.06,41.53,42.07,3302024
2025-10-01,41.84,43.3,41.61,42.86,3202251
2025-10-02,43.17,43.795,42.64,43.47,2972237
2025-10-03,43.62,43.8235,42.53,43.13,3082513
2025-10-06,43.58,44.62,43.445,43.93,3201127
2025-10-07,44.11,44.55,42.12,42.92,2683037
2025-10-08,42.78,44.44,42.56,44.04,2255100
2025-10-09,43.49,44.22,43.0,43.51,2818935
2025-10-10,44.02,45.93,43.47,43.98,5373244
2025-10-13,44.99,47.74,44.765,47.22,5309812
2025-10-14,45.96,49.0,45.81,48.23,4686024
2025-10-15,49.65,52.05,49.12,50.73,8106309
2025-10-16,51.77,51.95,47.59,48.46,4708037
2025-10-17,47.68,48.52,46.57,46.65,3409871
2025-10-20,47.65,48.175,47.065,47.88,2810260
2025-10-21,49.92,51.0,47.41,48.79,9262879
2025-10-22,48.0,48.81,45.34,46.45,4636302
2025-10-23,46.55,48.0,46.54,47.67,2554426
2025-10-24,48.47,49.27,48.3851,48.95,2753811
2025-10-27,49.35,49.96,48.45,48.5,2600824
2025-10-28,49.31,50.9025,49.04,50.01,4110657
2025-10-29,49.75,50.15,48.65,49.31,2863257
2025-10-30,48.04,49.45,47.9773,48.79,2511228
2025-10-31,48.98,49.295,47.77,48.77,2295064
2025-11-03,49.03,49.67,47.095,48.05,3150087
2025-11-04,46.44,47.2,45.98,46.22,4601941
2025-11-05,46.83,47.84,46.41,47.41,2663146
2025-11-06,47.4,47.61,44.385,44.58,5335374
2025-11-07,46.27,46.4081,42.75,45.72,7929512
2025-11-10,47.1,47.315,43.85,45.59,5400289
2025-11-11,44.9,45.94,44.38,45.35,3214875
2025-11-12,45.64,47.34,45.45,45.73,3075900
2025-11-13,45.2,45.6,42.2,43.04,4435383
2025-11-14,41.72,43.73,41.5,42.39,3092786
2025-11-17,42.41,42.585,40.7,41.12,3844484
2025-11-18,40.59,41.7288,40.52,41.13,2478172
2025-11-19,41.36,42.15,41.175,41.62,2372034
2025-11-20,42.79,43.6,40.48,40.55,2892828
2025-11-21,40.55,40.87,39.58,40.05,3035535
2025-11-24,40.14,41.31,39.5,41.22,3170246
2025-11-25,41.33,42.01,40.72,41.84,2737314
2025-11-26,42.1,42.94,41.875,42.41,3473820
2025-11-28,42.77,43.42,42.415,42.93,1192927
2025-12-01,42.21,43.235,42.08,42.4,2453932
2025-12-02,42.8,43.02,41.85,42.65,2325308
2025-12-03,42.77,44.2,42.64,44.05,2705712
2025-12-04,43.7,46.0,43.57,45.45,3319681
2025-12-05,45.19,45.45,43.835,43.96,2496807
2025-12-08,44.35,44.5,42.9,43.35,2291614
2025-12-09,43.08,43.9697,42.81,43.4,2306266
2025-12-10,43.25,43.93,42.39,43.39,2677454
2025-12-11,43.19,45.23,43.01,44.87,2681455
2025-12-12,44.82,44.9,43.275,43.6,1833165
2025-12-15,44.03,44.3799,43.09,43.34,2623319
2025-12-16,43.35,43.8928,42.72,42.86,2095929
2025-12-17,42.8,43.325,40.59,40.86,2943784
2025-12-18,41.85,42.18,40.52,41.3,5281911
2025-12-19,41.32,42.14,40.75,40.91,4665343
2025-12-22,41.3,41.3599,40.52,40.79,3063548
2025-12-23,40.66,41.43,40.46,40.9,6183299
2025-12-24,40.91,41.18,40.645,40.94,814528
2025-12-26,40.91,41.12,40.62,40.82,1953792
2025-12-29,40.4,40.85,40.18,40.4,3225284
2025-12-30,40.63,40.82,40.02,40.3,2061184
2025-12-31,40.3,40.308,39.33,39.63,2484466
