date,open,high,low,close,volume
2025-09-02,295.49,300.92,290.145,299.0,2550993
2025-09-03,298.61,299.11,294.3,294.43,1476368
2025-09-04,293.97,293.97,289.33,292.38,2259875
2025-09-05,295.1,297.225,292.11,295.28,1927031
2025-09-08,296.08,296.31,286.06,288.04,2459681
2025-09-09,288.34,292.76,287.6,291.94,1743626
2025-09-10,291.56,292.72,290.52,291.22,1218420
2025-09-11,289.2,292.31,286.31,292.15,1228463
2025-09-12,289.52,289.595,280.135,281.09,2090078
2025-09-15,282.54,282.54,276.88,278.0,1530658
2025-09-16,277.95,280.48,275.72,279.93,1840829
2025-09-17,280.88,281.12,275.635,278.98,1760954
2025-09-18,278.86,282.9,277.49,282.33,1268766
2025-09-19,280.24,285.23,280.24,284.5,1675463
2025-09-22,282.06,286.04,279.345,285.32,1751191
2025-09-23,285.7,287.44,283.63,284.08,1415251
2025-09-24,285.32,285.65,279.22,279.77,1368935
2025-09-25,278.01,280.47,276.235,279.02,1243695
2025-09-26,280.0,282.64,278.06,280.17,1065439
2025-09-29,284.2,284.87,280.38,283.26,1565426
2025-09-30,278.17,278.17,251.32,254.0,6564751
2025-10-01,254.81,261.22,252.28,252.42,5853703
2025-10-02,252.59,255.4,248.92,249.64,3087720
2025-10-03,251.76,257.76,250.54,256.3,3457831
2025-10-06,253.95,256.5,244.93,247.0,3199447
2025-10-07,243.86,243.86,230.65,237.89,6669018
2025-10-08,240.38,248.105,239.135,246.04,4596590
2025-10-09,244.52,248.31,243.99,247.7,2416048
2025-10-10,245.0,246.18,238.42,242.18,3394698
2025-10-13,244.4,250.78,243.74,249.73,2806234
2025-10-14,246.3,251.7,246.3,249.94,2098492
2025-10-15,248.165,254.47,247.09,249.91,2082183
2025-10-16,249.63,252.19,248.455,249.85,1940045
2025-10-17,249.63,253.0,248.16,251.86,2140413
2025-10-20,253.7,255.21,246.07,250.49,1799562
2025-10-21,247.285,252.72,247.21,251.04,1371403
2025-10-22,250.5,253.88,249.835,252.34,2156545
2025-10-23,251.85,254.21,250.325,251.29,1469467
2025-10-24,253.1,255.26,243.31,243.92,2229274
2025-10-27,243.92,245.705,242.5006,244.54,1749204
2025-10-28,236.12,242.86,233.0,237.21,3456001
2025-10-29,238.26,240.04,235.28,236.53,1583590
2025-10-30,234.0,236.19,228.31,230.88,2676863
2025-10-31,230.59,232.78,228.07,232.59,3770869
2025-11-03,231.97,233.35,229.92,231.02,1827666
2025-11-04,221.84,224.41,221.14,222.03,4239718
2025-11-05,221.04,221.48,211.47,216.22,4089551
2025-11-06,217.34,218.53,213.12,216.49,2138021
2025-11-07,211.7,224.935,208.65,223.03,3318615
2025-11-10,225.61,234.595,225.57,229.85,2111821
2025-11-11,230.33,233.05,229.085,231.86,2100064
2025-11-12,232.35,235.77,232.0,234.45,2977737
2025-11-13,220.5,221.28,200.07,201.0,9308569
2025-11-14,197.57,203.39,193.27,198.58,5126502
2025-11-17,198.83,199.1099,190.56,191.11,3696150
2025-11-18,190.89,197.22,190.0,193.19,2675761
2025-11-19,194.44,194.76,189.4,193.27,1707571
2025-11-20,196.42,200.95,192.33,192.5,2375863
2025-11-21,197.36,197.47,190.54,193.31,1469317
2025-11-24,194.67,194.895,189.33,191.79,2778724
2025-11-25,191.36,198.4,190.55,195.93,2420013
2025-11-26,197.79,203.295,197.14,199.92,4061742
2025-11-28,201.3,210.55,201.3,208.81,1595507
2025-12-01,206.65,209.115,202.63,204.12,2184148
2025-12-02,207.53,212.21,205.77,208.12,2330226
2025-12-03,206.61,213.73,206.285,211.77,1680207
2025-12-04,211.79,211.795,206.76,211.09,1101310
2025-12-05,211.48,211.48,207.0,208.5,2298735
2025-12-08,208.02,215.22,206.43,214.78,2122840
2025-12-09,214.31,216.89,213.1,216.0,2711453
2025-12-10,217.55,218.65,214.925,218.34,2777303
2025-12-11,215.83,220.44,215.21,220.18,1949719
2025-12-12,222.96,229.86,222.0,223.04,3150173
2025-12-15,223.36,223.545,217.05,219.7,2331872
2025-12-16,219.57,219.84,217.29,219.34,1652823
2025-12-17,219.63,223.86,217.44,217.72,2449722
2025-12-18,219.92,221.55,218.31,220.18,2597434
2025-12-19,220.94,224.15,220.24,222.11,3847433
2025-12-22,223.94,225.94,221.37,223.97,1888236
2025-12-23,224.535,224.535,216.5,219.21,1351306
2025-12-24,217.98,219.96,216.685,219.72,709661
2025-12-26,220.0,221.65,218.97,220.65,791116
2025-12-29,218.01,218.3606,215.71,217.14,1457429
2025-12-30,217.2,218.55,216.45,217.46,857949
2025-12-31,217.13,217.82,214.89,215.04,1117681
2026-01-02,216.35,219.0,213.89,218.27,2433928
2026-01-05,218.18,223.53,217.555,221.42,962249
2026-01-06,221.58,226.555,219.05,219.75,1404782
2026-01-07,215.73,217.345,209.185,211.52,2197360
2026-01-08,209.25,220.64,209.25,217.36,2433200
2026-01-09,223.95,223.95,213.03,215.3,1332770
2026-01-12,212.63,214.3302,204.0,206.4,4333906
2026-01-13,208.23,209.085,200.85,203.7,3366791
2026-01-14,203.09,203.825,199.03,199.85,2791006
2026-01-15,200.31,203.519,195.69,201.08,2525796
2026-01-16,201.21,201.21,187.95,188.46,3837334
2026-01-20,181.93,188.35,179.5,184.08,3733260
2026-01-21,182.56,183.39,179.37,181.07,3467762
2026-01-22,180.5,183.7,179.01,181.19,4470279
2026-01-23,180.67,180.92,173.8542,174.91,4634479
2026-01-26,174.44,175.71,171.965,174.7,3040430
2026-01-27,173.73,174.53,167.23,168.12,3170990
2026-01-28,169.52,172.35,166.66,166.73,3416062
2026-01-29,167.29,169.46,166.215,168.72,2656444
2026-01-30,166.03,166.79,160.72,165.15,4188046
2026-02-02,166.16,166.57,162.46,162.51,2363937
2026-02-03,160.82,162.2575,150.755,153.2,3429197
2026-02-04,157.31,159.91,151.88,153.9,3180465
2026-02-05,153.02,153.585,148.1,149.47,3124228
2026-02-06,149.91,153.45,149.66,152.53,2077114
2026-02-09,152.46,156.2,152.46,154.51,20767020
2026-02-10,155.9,156.95,151.08,151.63,5026630
2026-02-11,150.0,150.92,143.56,144.28,3071006
2026-02-12,145.45,148.4,140.9,141.37,2759513
2026-02-13,136.67,137.87,122.55,125.17,8684263
2026-02-17,126.13,126.74,122.985,123.91,3527946
2026-02-18,122.34,128.585,122.34,126.08,6318228
2026-02-19,125.1,126.36,119.47,122.16,4893379
2026-02-20,121.67,123.63,119.915,121.02,2915541
2026-02-23,120.05,120.8,114.93,115.42,3334553
2026-02-24,116.42,120.54,114.74,118.39,3153454
2026-02-25,119.1,120.59,116.29,119.84,5263182
2026-02-26,123.0,124.82,119.73,123.13,6174395
2026-02-27,110.04,111.1,99.96,106.14,21975490
2026-03-02,103.61,106.46,100.3801,106.08,7063767
2026-03-03,104.1,113.76,103.24,111.4,4842775
2026-03-04,112.5,113.37,109.32,112.68,3304682
2026-03-05,112.81,115.02,111.74,114.57,2612841
2026-03-06,112.5,115.48,110.33,112.25,3671126
2026-03-09,108.87,110.28,105.76,109.41,3756520
2026-03-10,109.53,109.75,104.56,107.25,3368143
2026-03-11,109.16,110.24,105.11,109.59,3281484
2026-03-12,109.93,112.2,105.35,105.53,5866061
2026-03-13,107.11,110.1,106.5,108.37,2584317
2026-03-16,106.54,109.58,104.975,108.67,2847628
2026-03-17,108.95,112.08,108.83,109.25,3246586
2026-03-18,108.01,110.13,106.5,106.5,2483999
2026-03-19,105.96,108.06,104.6,106.41,1725053
2026-03-20,105.88,107.15,103.855,104.81,3816026
2026-03-23,114.85,114.85,109.21,109.38,3312354
2026-03-24,107.74,109.29,105.5,107.83,2477133
2026-03-25,109.54,111.72,103.16,103.4,3870399
2026-03-26,102.22,105.23,102.01,103.57,2206601
2026-03-27,102.87,103.57,100.21,100.5,3094067
2026-03-30,100.06,102.46,98.875,99.5,2887572
2026-03-31,100.91,103.73,99.95,101.95,3603765
2026-04-01,103.48,103.91,100.525,102.73,2116535
2026-04-02,100.29,106.54,99.29,106.38,2475840
2026-04-06,106.0,107.13,102.88,104.67,1704046
2026-04-07,104.15,106.2875,103.22,103.63,2184781
2026-04-08,109.43,110.66,108.15,109.51,2674024
2026-04-09,107.09,107.38,102.37,105.25,3055153
2026-04-10,107.13,107.39,101.19,102.38,2711869
2026-04-13,100.87,106.62,100.05,105.33,2563169
2026-04-14,106.68,108.38,105.73,106.76,2579750
2026-04-15,108.695,112.395,108.39,111.79,1932651
2026-04-16,110.8,112.805,106.36,109.06,5427436
2026-04-17,112.45,112.7,108.971,110.08,5473816
2026-04-20,108.54,111.17,108.34,109.63,1680481
2026-04-21,109.57,111.695,108.365,109.5,2082970
2026-04-22,109.92,110.09,106.145,106.61,3390148
2026-04-23,105.1,107.1399,104.07,106.05,1687978
2026-04-24,105.84,112.8,105.275,111.57,3685129
2026-04-27,111.16,114.58,110.73,110.93,3704112
2026-04-28,109.85,111.09,106.98,109.09,3429075
2026-04-29,109.7,109.77,106.78,107.6,1472796
2026-04-30,107.43,108.79,105.855,107.93,3086229
2026-05-01,109.15,110.34,106.0,106.13,1590281
2026-05-04,106.13,108.69,104.22,104.45,3090567
2026-05-05,103.76,104.7099,102.15,103.33,3207928
2026-05-06,105.77,106.15,97.94,99.11,7005991
2026-05-07,101.74,104.8,98.14,101.2,5868146
2026-05-08,101.26,104.76,100.64,101.19,2897097
2026-05-11,97.94,98.69,93.58,93.96,4556108
2026-05-12,93.56,99.49,93.56,95.96,3628783
2026-05-13,94.53,96.01,92.22,95.01,2386626
2026-05-14,93.79,95.15,92.02,93.85,3211976
2026-05-15,94.2,94.55,91.52,92.38,2491920
2026-05-18,91.92,97.75,91.92,97.29,2003536
2026-05-19,98.51,99.63,96.47,97.5,2048448
2026-05-20,96.79,97.3999,94.3304,96.75,2624913
2026-05-21,94.95,97.715,93.76,97.12,1398134
2026-05-22,96.83,100.04,96.81,97.38,1677628
2026-05-26,96.13,96.96,93.57,93.81,2956162
2026-05-27,94.52,96.72,93.81,95.75,2905252
2026-05-28,94.63,96.56,93.67,95.58,1932948
2026-05-29,95.66,98.72,93.56,96.98,5623026
2026-06-01,99.15,104.75,98.98,104.31,4406088
2026-06-02,102.38,103.64,100.15,101.99,1949320
2026-06-03,99.98,101.9,99.32,100.7,4027572
2026-06-04,102.85,104.8,100.72,100.83,2348526
2026-06-05,102.34,103.325,99.63,100.49,2144881
2026-06-08,98.98,106.11,98.935,104.95,2917649
2026-06-09,104.94,112.415,104.64,111.31,2909613
2026-06-10,111.81,119.44,111.19,112.94,4571188
2026-06-11,111.51,115.335,109.55,110.8,2385594
2026-06-12,111.3,112.02,107.29,110.65,2188363
2026-06-15,109.76,111.57,106.56,108.98,2686448
2026-06-16,110.83,113.53,108.71,108.92,2095711
2026-06-17,108.0,110.0112,101.37,101.65,2213981
2026-06-18,100.21,105.03,99.35,101.83,3821210
2026-06-22,99.3,102.43,97.44,97.44,3668960
2026-06-23,97.64,100.66,97.295,97.85,2932867
2026-06-24,97.97,100.855,97.46,98.51,2638945
2026-06-25,98.69,99.56,95.11,96.19,4198715
2026-06-26,96.45,104.52,96.45,104.19,6964702
2026-06-29,106.25,108.59,102.41,104.12,2334234
2026-06-30,103.02,103.515,99.8156,102.17,2375837
2026-07-01,104.15,106.79,103.14,105.39,1735136
2026-07-02,106.44,108.6,102.87,106.03,2357096
2026-07-06,106.24,108.08,103.61,107.43,1442391
2026-07-07,108.055,111.18,107.805,108.35,1488580
2026-07-08,107.11,111.94,106.58,111.32,2302888
2026-07-09,109.93,111.84,108.61,110.79,2305178
2026-07-10,113.46,115.1498,110.56,110.66,1277209
2026-07-13,112.85,117.22,111.76,112.4,2928570
2026-07-14,109.29,112.07,107.01,108.47,2657437
2026-07-15,110.0,113.57,107.84,110.0,1783059
2026-07-16,110.93,111.25,107.57,108.3,1746641
2026-07-17,106.18,107.47,103.3,106.56,1985542
