date,open,high,low,close,volume
2025-09-02,38.77,38.825,37.675,38.47,1652156
2025-09-03,38.19,38.51,36.955,37.06,1764564
2025-09-04,37.0,37.295,36.26,37.29,1770159
2025-09-05,37.55,38.18,37.0,37.78,1858128
2025-09-08,37.62,37.99,36.51,37.9,1485263
2025-09-09,37.9,37.99,36.69,36.82,1917824
2025-09-10,36.86,37.165,36.6,36.87,1782812
2025-09-11,36.92,38.25,36.85,38.2,1411392
2025-09-12,38.09,38.64,37.6804,38.36,1984717
2025-09-15,38.6,38.6,37.485,37.64,2482445
2025-09-16,37.7,37.93,36.975,37.03,1511498
2025-09-17,37.07,38.6751,36.95,37.27,2042107
2025-09-18,37.3,37.52,36.72,37.21,1532037
2025-09-19,37.26,37.32,36.18,36.22,2896938
2025-09-22,36.07,36.178,35.5,35.53,2328037
2025-09-23,35.74,36.05,34.61,34.65,2353942
2025-09-24,34.8,35.05,34.1675,34.24,2195135
2025-09-25,34.155,34.39,32.985,33.15,2556358
2025-09-26,33.3,33.9599,33.288,33.64,2100767
2025-09-29,34.0,34.01,33.22,33.51,1858722
2025-09-30,33.13,33.64,32.676,33.63,1856389
2025-10-01,33.35,33.403,31.65,31.7,3840946
2025-10-02,31.56,32.01,31.14,31.43,3078641
2025-10-03,31.78,32.34,31.58,32.24,3677947
2025-10-06,32.0,32.0,31.18,31.3,2724036
2025-10-07,31.3,31.52,30.985,31.12,2140543
2025-10-08,31.27,31.328,30.15,30.34,3337502
2025-10-09,30.84,31.18,29.835,29.88,2792951
2025-10-10,30.0,30.15,28.8,29.08,2278823
2025-10-13,29.62,29.82,29.29,29.54,1755706
2025-10-14,29.27,30.5755,29.17,30.41,2006212
2025-10-15,30.6,31.3,30.07,30.09,2354079
2025-10-16,30.31,30.31,29.529,29.98,1960911
2025-10-17,29.8,30.0999,29.18,29.4,2957670
2025-10-20,29.4,29.8189,29.13,29.53,2009229
2025-10-21,29.5,30.24,29.3,29.95,1660722
2025-10-22,29.62,30.135,29.515,29.66,1644150
2025-10-23,30.21,30.66,29.85,30.3,1539265
2025-10-24,30.5,30.82,30.29,30.45,1556803
2025-10-27,30.61,30.95,30.43,30.63,2026586
2025-10-28,30.36,30.68,30.08,30.54,1719700
2025-10-29,30.3,30.54,28.71,29.04,5252013
2025-10-30,21.88,22.0,15.46,15.53,45473450
2025-10-31,15.01,15.39,14.65,15.17,20320620
2025-11-03,15.02,15.03,14.12,14.19,13920080
2025-11-04,13.93,13.97,13.395,13.41,9873788
2025-11-05,13.48,13.79,13.32,13.36,7679917
2025-11-06,13.36,13.46,12.9334,12.97,6651809
2025-11-07,12.87,14.1,12.87,13.99,6649021
2025-11-10,14.14,14.19,13.71,14.09,5539774
2025-11-11,14.25,14.3,13.8498,13.91,5680974
2025-11-12,13.93,14.31,13.82,13.84,5828436
2025-11-13,13.79,14.1751,13.615,13.64,4860128
2025-11-14,13.6,13.965,13.57,13.9,4341921
2025-11-17,13.69,13.9,12.94,12.95,6013489
2025-11-18,12.86,12.99,12.6135,12.81,5192056
2025-11-19,12.85,12.8948,12.44,12.69,4312002
2025-11-20,12.76,12.9,12.17,12.18,4517196
2025-11-21,12.21,13.045,12.185,12.75,5435849
2025-11-24,12.84,13.22,12.62,13.18,5671613
2025-11-25,13.3,13.6,13.2946,13.42,4404070
2025-11-26,13.375,14.125,13.36,13.95,4208572
2025-11-28,14.05,14.4999,14.0101,14.29,2648201
2025-12-01,14.25,14.48,13.7845,13.84,3806369
2025-12-02,13.95,14.02,13.475,13.7,3942461
2025-12-03,13.78,13.9899,13.455,13.6,3550731
2025-12-04,13.65,13.74,13.14,13.29,4009198
2025-12-05,13.29,13.7,13.23,13.28,4994234
2025-12-08,13.3,13.3,12.92,13.1,4809848
2025-12-09,12.88,13.63,12.81,13.37,6246310
2025-12-10,13.42,13.625,13.15,13.62,5794992
2025-12-11,13.57,14.2854,13.57,13.66,5117955
2025-12-12,13.67,14.115,13.66,13.91,4101390
2025-12-15,14.03,14.04,12.845,13.12,6818370
2025-12-16,13.08,13.61,13.0,13.16,4640487
2025-12-17,13.1,13.9,13.03,13.78,4870947
2025-12-18,13.83,14.145,13.615,13.63,4263778
2025-12-19,13.56,13.725,13.27,13.32,7063761
2025-12-22,13.37,13.45,13.07,13.18,3560758
2025-12-23,13.14,13.19,12.95,13.13,3186533
2025-12-24,13.11,13.47,13.09,13.33,1878035
2025-12-26,13.35,13.595,13.26,13.56,2664082
2025-12-29,13.5,13.93,13.47,13.83,3568598
2025-12-30,13.83,14.155,13.8,13.98,3139825
2025-12-31,13.9,14.265,13.81,13.87,3106775
2026-01-02,14.04,14.465,13.56,14.34,3554387
2026-01-05,14.34,14.4554,13.95,14.09,4569204
2026-01-06,14.0,14.9,13.94,14.85,4537181
2026-01-07,14.85,15.03,14.32,14.62,3661567
2026-01-08,14.57,15.23,14.49,15.01,3885869
2026-01-09,15.08,15.315,14.885,15.2,4014738
2026-01-12,15.2,15.55,15.06,15.15,4420561
2026-01-13,15.24,15.59,15.23,15.31,3620281
2026-01-14,15.42,15.655,15.06,15.14,3205040
2026-01-15,15.16,15.48,14.65,15.48,4045339
2026-01-16,15.15,15.655,15.02,15.35,3909314
2026-01-20,15.01,15.45,14.9041,15.39,3941137
2026-01-21,15.66,15.945,15.43,15.91,3235863
2026-01-22,16.17,16.74,15.8,16.02,3906090
2026-01-23,16.03,16.31,15.925,16.28,2410909
2026-01-26,16.37,16.37,15.92,16.13,3190194
2026-01-27,16.1,16.35,15.83,16.08,2379088
2026-01-28,16.24,16.395,15.72,16.02,3848402
2026-01-29,16.06,16.28,15.56,15.91,4029176
2026-01-30,15.84,16.215,15.1401,15.8,5330529
2026-02-02,15.5,15.82,15.34,15.65,4338406
2026-02-03,15.65,16.22,15.51,16.05,4377645
2026-02-04,16.1,17.01,16.06,16.99,9058587
2026-02-05,15.09,15.09,12.475,13.67,21200520
2026-02-06,13.58,14.835,13.27,14.76,9423231
2026-02-09,14.78,15.73,14.75,15.39,7144838
2026-02-10,15.47,16.75,15.39,16.01,5831567
2026-02-11,16.28,16.43,15.84,16.05,3546011
2026-02-12,15.96,16.24,14.39,14.53,4721255
2026-02-13,14.51,14.79,14.33,14.34,3020977
2026-02-17,14.14,14.75,14.1,14.48,2751456
2026-02-18,14.46,14.745,14.25,14.48,2769503
2026-02-19,14.5,15.105,14.5,14.86,2746886
2026-02-20,14.73,14.95,14.2501,14.62,2373496
2026-02-23,14.48,14.5439,13.39,13.66,2866921
2026-02-24,13.72,13.995,13.62,13.88,2611663
2026-02-25,13.94,15.045,13.58,14.97,4715817
2026-02-26,14.99,15.11,14.109,14.6,2657067
2026-02-27,14.4,14.75,14.1,14.74,3164170
2026-03-02,14.34,14.55,14.04,14.4,2688132
2026-03-03,13.92,14.225,13.3,13.84,3673722
2026-03-04,14.02,14.2,13.61,13.68,2323249
2026-03-05,13.92,14.73,13.765,14.29,3593801
