date,open,high,low,close,volume
2025-09-02,86.47,87.46,86.0544,86.92,519434
2025-09-03,86.85,87.21,83.33,83.67,765942
2025-09-04,83.89,85.75,83.48,85.45,463993
2025-09-05,85.54,86.46,84.74,85.36,596539
2025-09-08,85.34,87.33,84.67,86.79,1464657
2025-09-09,87.66,87.89,86.265,87.03,1031224
2025-09-10,86.99,87.155,86.27,86.77,642261
2025-09-11,86.75,90.52,86.75,90.38,990272
2025-09-12,89.73,92.37,89.54,92.31,1176844
2025-09-15,93.18,94.62,92.68,94.38,1342574
2025-09-16,94.6,94.6,91.31,91.32,607337
2025-09-17,91.37,94.21,91.37,93.03,1511737
2025-09-18,92.92,93.99,92.64,92.69,881182
2025-09-19,92.8,97.42,92.64,96.3,1666057
2025-09-22,96.05,97.23,95.271,97.0,803500
2025-09-23,97.04,98.88,96.905,98.31,677017
2025-09-24,97.9,98.2084,97.31,97.82,570139
2025-09-25,97.8,98.13,96.61,96.93,500033
2025-09-26,97.02,98.59,96.74,98.51,424492
2025-09-29,98.99,99.95,98.38,99.33,847137
2025-09-30,99.33,99.96,98.44,98.63,653999
2025-10-01,99.46,99.46,94.93,95.56,742948
2025-10-02,95.74,96.47,94.025,96.32,497514
2025-10-03,96.11,97.28,95.59,95.71,289905
2025-10-06,95.23,95.765,93.75,95.13,769069
2025-10-07,94.81,96.275,94.28,94.29,261441
2025-10-08,94.85,96.725,94.85,96.21,363696
2025-10-09,96.76,96.76,95.03,95.18,354529
2025-10-10,94.74,95.35,92.96,93.76,343349
2025-10-13,94.37,94.37,92.205,92.65,385396
2025-10-14,91.83,92.94,91.11,92.13,418479
2025-10-15,92.75,93.62,91.945,93.01,523843
2025-10-16,90.91,96.63,90.91,95.37,513209
2025-10-17,95.08,96.38,93.99,96.09,484434
2025-10-20,97.42,97.42,94.88,95.69,318441
2025-10-21,94.78,96.22,92.92,93.1,426999
2025-10-22,92.89,96.18,92.89,96.0,408506
2025-10-23,96.32,97.29,95.34,96.59,308566
2025-10-24,96.11,97.41,95.225,95.46,255054
2025-10-27,95.18,96.78,94.64,95.75,266507
2025-10-28,97.19,97.19,93.0001,95.17,634170
2025-10-29,95.09,95.2,93.07,94.66,685938
2025-10-30,94.47,95.97,94.02,95.6,766649
2025-10-31,94.35,95.5,92.51,94.36,499162
2025-11-03,94.04,95.08,93.99,94.12,269179
2025-11-04,92.97,93.835,90.87,92.35,367964
2025-11-05,92.87,94.685,92.82,94.14,322701
2025-11-06,94.02,94.02,92.68,93.33,212399
2025-11-07,93.19,95.935,93.19,95.85,202454
2025-11-10,96.63,96.75,94.34,94.74,230523
2025-11-11,95.4,98.26,94.81,97.37,451797
2025-11-12,97.18,97.56,95.4,96.0,200595
2025-11-13,96.57,96.84,93.86,94.01,261871
2025-11-14,93.07,95.185,93.07,94.04,254905
2025-11-17,92.55,94.9899,92.55,93.51,142327
2025-11-18,93.38,95.23,93.38,94.44,385045
2025-11-19,94.58,95.095,93.95,94.12,209090
2025-11-20,94.83,95.63,93.6,94.03,208781
2025-11-21,94.82,96.08,93.97,94.83,275644
2025-11-24,94.83,94.83,93.2,93.73,347103
2025-11-25,94.1,94.645,93.05,93.97,284993
2025-11-26,93.74,95.32,93.74,94.15,266919
2025-11-28,94.58,96.65,94.12,95.94,240488
