date,open,high,low,close,volume
2025-09-02,34.12,34.415,34.09,34.41,1975315
2025-09-03,34.43,34.47,34.35,34.39,1572688
2025-09-04,34.21,34.28,34.07,34.28,1013151
2025-09-05,34.7,34.825,34.51,34.65,1998218
2025-09-08,34.92,35.0,34.8,34.99,1247868
2025-09-09,35.11,35.26,35.11,35.16,1496640
2025-09-10,35.43,35.48,35.335,35.36,1521805
2025-09-11,35.53,35.83,35.485,35.83,1490978
2025-09-12,35.78,35.83,35.7301,35.77,1121519
2025-09-15,35.95,36.015,35.87,36.0,1377541
2025-09-16,36.03,36.1499,35.92,36.12,1872293
2025-09-17,36.31,36.53,36.1,36.31,1407925
2025-09-18,35.99,36.045,35.8649,36.0,1671712
2025-09-19,36.06,36.105,35.96,35.99,2541736
2025-09-22,35.87,35.965,35.78,35.94,1519665
2025-09-23,35.96,36.1399,35.95,35.99,1848752
2025-09-24,36.03,36.12,35.94,35.99,1812093
2025-09-25,35.83,35.915,35.685,35.82,1842248
2025-09-26,35.71,35.8662,35.67,35.86,1647919
2025-09-29,36.15,36.26,36.1099,36.13,2016899
2025-09-30,36.18,36.22,36.0499,36.16,1860024
2025-10-01,36.24,36.375,36.235,36.31,2158968
2025-10-02,36.49,36.49,36.175,36.29,1353380
2025-10-03,36.36,36.43,36.235,36.32,1793548
2025-10-06,36.28,36.405,36.255,36.35,1507250
2025-10-07,36.42,36.42,36.07,36.1,1741134
2025-10-08,36.18,36.31,36.13,36.31,870355
2025-10-09,36.43,36.43,35.94,36.0,1696332
2025-10-10,36.02,36.07,34.69,34.78,2033635
2025-10-13,35.72,35.83,35.575,35.7,1799924
2025-10-14,35.33,35.755,35.265,35.54,2247487
2025-10-15,35.88,36.04,35.7145,35.95,1905398
2025-10-16,36.2,36.3899,36.07,36.16,1677841
2025-10-17,35.89,36.225,35.89,36.16,1677984
2025-10-20,36.37,36.65,36.37,36.6,1401465
2025-10-21,36.39,36.3957,36.235,36.25,1383866
2025-10-22,36.33,36.5001,36.14,36.33,1602829
2025-10-23,36.62,36.825,36.6143,36.73,1947616
2025-10-24,36.98,37.005,36.89,36.9,1351955
2025-10-27,37.17,37.215,37.08,37.21,996844
2025-10-28,37.08,37.301,37.03,37.27,1297300
