date,open,high,low,close,volume
2025-09-02,190.5,191.555,187.42,190.4,1086264
2025-09-03,191.0,192.035,189.07,190.0,781061
2025-09-04,187.44,190.4,185.75,190.03,624221
2025-09-05,193.86,194.87,190.6268,193.79,585830
2025-09-08,195.97,198.24,194.68,197.27,812687
2025-09-09,197.75,198.21,196.0,196.15,578529
2025-09-10,197.0,198.91,195.82,198.73,1118187
2025-09-11,196.88,202.29,196.88,201.85,820108
2025-09-12,203.2,203.84,200.37,200.4,803841
2025-09-15,200.02,204.92,198.63,203.93,684563
2025-09-16,203.96,204.29,200.41,200.43,754243
2025-09-17,199.0,203.62,197.3,200.88,585005
2025-09-18,198.8,203.03,197.95,202.5,787776
2025-09-19,205.0,214.815,203.655,213.93,2185164
2025-09-22,218.58,218.58,211.77,214.17,869702
2025-09-23,215.0,215.87,212.435,213.29,686074
2025-09-24,213.76,214.0192,208.94,209.64,574513
2025-09-25,210.37,214.3,208.54,213.92,675674
2025-09-26,214.99,217.87,214.0,217.53,605927
2025-09-29,221.24,222.175,218.0,219.09,731590
2025-09-30,217.43,223.15,216.86,222.91,823104
2025-10-01,223.84,225.635,222.14,222.27,666462
2025-10-02,222.32,223.39,210.46,217.54,1086544
2025-10-03,218.54,221.18,218.06,220.18,537561
2025-10-06,222.3,223.68,220.86,221.78,744201
2025-10-07,222.08,222.82,217.07,217.36,759751
2025-10-08,221.28,222.0,211.56,214.09,1185933
2025-10-09,215.77,215.77,202.44,203.78,1172046
2025-10-10,206.0,206.22,202.77,204.62,703015
2025-10-13,209.0,212.05,208.53,211.6,496275
2025-10-14,208.35,210.795,206.93,208.86,1055132
2025-10-15,210.13,211.14,205.85,209.43,1098526
2025-10-16,210.0,219.57,209.765,215.14,1189805
2025-10-17,212.87,212.94,200.67,203.69,1207968
2025-10-20,207.11,207.615,204.765,205.19,617709
2025-10-21,194.91,197.5,192.01,192.71,2580541
2025-10-22,190.85,194.87,188.35,189.95,1556587
2025-10-23,193.71,195.25,190.31,191.31,1219195
2025-10-24,188.82,191.82,188.82,190.1,519520
2025-10-27,185.8,187.64,182.62,183.97,1207095
2025-10-28,183.14,187.49,181.5,186.91,850542
2025-10-29,190.27,190.67,184.8,186.49,800382
2025-10-30,185.0,190.295,185.0,188.9,747386
2025-10-31,188.5,189.47,185.48,186.63,764682
2025-11-03,186.83,188.52,185.39,187.82,950485
2025-11-04,183.32,186.49,181.95,184.71,998898
2025-11-05,187.56,188.95,185.52,187.72,732558
2025-11-06,189.0,191.34,187.191,188.12,679842
2025-11-07,189.97,192.19,187.47,192.12,494959
2025-11-10,196.6,197.015,193.1,194.84,741931
2025-11-11,195.47,195.98,192.12,194.48,400283
2025-11-12,194.66,200.49,194.06,199.93,585668
2025-11-13,201.48,201.5,195.8601,197.05,627484
2025-11-14,190.43,198.27,190.0,196.96,916693
2025-11-17,197.0,198.33,193.28,195.12,524199
2025-11-18,197.43,198.54,193.85,195.31,519001
2025-11-19,198.25,199.33,193.725,196.51,488783
2025-11-20,197.83,198.12,188.7104,189.96,598229
2025-11-21,189.54,193.26,188.4701,191.3,542315
2025-11-24,191.9,200.11,191.9,200.0,839523
2025-11-25,200.0,201.46,198.085,200.79,543848
2025-11-26,202.78,207.93,202.78,207.36,587734
2025-11-28,207.995,210.75,207.0,209.84,470498
2025-12-01,211.0,211.21,206.2035,207.13,814449
2025-12-02,205.69,207.1825,197.53,203.38,718300
2025-12-03,204.66,205.785,201.825,202.83,2166141
2025-12-04,201.24,204.59,201.24,202.93,358376
2025-12-05,204.75,207.105,202.18,203.17,433849
2025-12-08,203.52,204.48,198.99,199.32,558529
2025-12-09,200.69,203.36,200.16,202.93,571682
2025-12-10,204.89,209.48,200.611,207.92,869862
2025-12-11,207.9,215.16,207.9,214.21,683515
2025-12-12,218.29,220.25,214.27,215.15,645836
2025-12-15,217.9,218.65,210.68,212.14,609986
2025-12-16,213.0,214.185,208.83,209.05,782679
2025-12-17,211.01,211.27,206.03,208.54,570957
2025-12-18,206.58,210.605,206.1,208.57,786317
2025-12-19,209.73,213.89,208.58,211.88,1639324
2025-12-22,215.55,217.5,213.26,214.79,487041
2025-12-23,215.11,216.025,212.63,215.85,428439
2025-12-24,215.05,216.24,212.26,215.82,212119
2025-12-26,217.11,218.598,214.88,217.41,245377
2025-12-29,209.75,212.27,205.17,207.75,800414
