date,open,high,low,close,volume
2025-09-02,20.52,20.94,20.31,20.89,3171610
2025-09-03,21.31,22.02,21.19,21.81,3446973
2025-09-04,21.23,21.79,21.08,21.77,2729518
2025-09-05,21.95,22.22,21.875,22.15,3920628
2025-09-08,22.96,23.16,22.7,22.92,2677411
2025-09-09,22.87,22.92,22.305,22.49,1842635
2025-09-10,22.55,22.82,22.38,22.57,1665981
2025-09-11,23.0,23.1,22.555,23.02,2637478
2025-09-12,23.47,23.61,23.14,23.23,2761755
2025-09-15,23.85,24.21,23.77,23.99,3599459
2025-09-16,23.98,23.98,23.505,23.66,2896136
2025-09-17,23.86,24.085,23.68,23.83,2183326
2025-09-18,23.64,24.01,23.45,23.87,2448830
2025-09-19,23.41,23.44,23.0,23.21,2110739
2025-09-22,23.25,23.3586,23.06,23.11,1507259
2025-09-23,23.57,24.275,23.52,24.02,2830019
2025-09-24,23.69,23.93,23.62,23.67,1063363
2025-09-25,23.395,23.45,22.7,23.1,3479058
2025-09-26,23.06,23.21,22.82,23.09,1387170
2025-09-29,23.01,23.05,22.51,22.81,1908507
2025-09-30,22.82,23.09,22.52,22.79,1782213
2025-10-01,22.41,24.12,22.3,22.87,2271986
2025-10-02,22.78,22.78,22.28,22.7,1527188
2025-10-03,23.05,23.22,22.82,23.16,1554658
2025-10-06,22.81,23.12,22.71,22.98,2880232
2025-10-07,22.37,22.47,21.52,21.94,3117110
2025-10-08,22.08,22.355,21.71,22.25,2029667
2025-10-09,22.72,23.245,22.68,22.99,3105846
2025-10-10,22.73,23.25,22.58,22.73,2410088
2025-10-13,23.06,23.385,22.395,22.79,2889352
2025-10-14,21.31,22.36,21.283,22.01,3948259
2025-10-15,22.61,22.865,22.52,22.74,2123609
2025-10-16,23.08,23.71,22.85,23.01,3421387
2025-10-17,22.84,23.545,22.71,23.36,1997419
2025-10-20,23.58,23.9,23.44,23.52,2216594
2025-10-21,23.1,23.17,22.775,22.83,1691675
2025-10-22,22.69,23.59,22.465,23.59,2698107
2025-10-23,23.9,24.63,23.845,24.35,5004479
2025-10-24,23.91,24.2,23.415,23.54,3328795
2025-10-27,23.72,23.84,23.435,23.84,1271357
2025-10-28,24.1,24.49,23.93,24.23,1597298
2025-10-29,24.7,25.07,24.54,24.75,2317293
2025-10-30,24.74,24.86,24.35,24.37,1986674
