date,open,high,low,close,volume
2025-09-02,9.18,9.3795,9.104,9.35,425221
2025-09-03,9.5,9.551,9.34,9.47,370023
2025-09-04,9.54,9.89,9.5,9.89,645436
2025-09-05,9.87,10.01,9.7703,9.97,542034
2025-09-08,10.13,10.65,10.12,10.57,1662352
2025-09-09,10.145,10.705,9.95,10.68,1765942
2025-09-10,10.72,10.88,10.4,10.57,755184
2025-09-11,10.58,11.06,10.58,11.0,868232
2025-09-12,10.79,10.96,10.69,10.82,673452
2025-09-15,10.94,11.6,10.94,11.5,1384774
2025-09-16,11.38,11.55,11.25,11.28,873615
2025-09-17,11.21,11.36,10.92,11.14,939269
2025-09-18,11.21,11.52,11.21,11.4,932252
2025-09-19,11.44,11.81,11.3801,11.63,2470961
2025-09-22,11.73,12.065,11.64,11.84,995460
2025-09-23,12.0,12.45,11.88,12.02,1305051
2025-09-24,12.05,12.1999,11.71,11.73,761334
2025-09-25,11.63,11.8299,11.43,11.7,886866
2025-09-26,11.71,11.86,11.53,11.74,433229
2025-09-29,12.02,12.208,11.9,12.17,735299
2025-09-30,12.48,13.06,12.41,13.02,1556327
2025-10-01,12.96,13.99,12.75,13.91,1487558
2025-10-02,13.97,13.99,13.403,13.59,1196783
2025-10-03,13.66,13.88,13.402,13.47,930889
2025-10-06,13.86,14.33,13.86,14.2,1211673
2025-10-07,14.375,14.65,13.4682,13.76,1214910
2025-10-08,13.9,14.38,13.6941,14.36,967530
2025-10-09,14.49,14.49,13.86,14.09,858100
2025-10-10,14.15,14.19,13.35,13.6,988722
2025-10-13,14.09,14.4199,13.83,13.88,820457
2025-10-14,13.51,14.32,13.47,13.95,658824
2025-10-15,14.6,14.95,14.19,14.49,1448163
2025-10-16,14.53,14.6399,13.76,13.84,941050
2025-10-17,13.71,13.9,13.38,13.71,978080
2025-10-20,13.92,14.045,13.71,13.89,640465
2025-10-21,13.89,14.05,13.52,13.72,643079
2025-10-22,13.72,13.87,13.06,13.37,873363
2025-10-23,13.54,14.4,13.46,14.34,757587
2025-10-24,14.54,15.03,14.4412,14.86,876118
2025-10-27,15.1,15.24,14.2,14.51,1092871
2025-10-28,14.48,14.835,14.45,14.71,662050
2025-10-29,14.71,15.06,14.26,14.45,998264
