date,open,high,low,close,volume
2025-09-02,49.43,49.91,48.8745,49.32,6253482
2025-09-03,48.93,49.78,48.92,49.75,5293825
2025-09-04,50.0,50.4,49.545,49.61,4170753
2025-09-05,49.56,50.75,49.43,50.58,5353084
2025-09-08,50.23,50.39,49.67,50.12,4623720
2025-09-09,50.13,50.411,50.01,50.35,4363265
2025-09-10,50.04,50.21,49.43,50.01,5180910
2025-09-11,50.185,50.98,50.1,50.61,4036627
2025-09-12,50.43,50.4452,49.87,49.92,4340617
2025-09-15,50.0,50.1595,48.985,49.01,5071603
2025-09-16,49.1,49.765,48.835,49.56,8132774
2025-09-17,48.71,49.62,48.42,49.18,15178840
2025-09-18,48.95,50.35,48.85,49.85,7310216
2025-09-19,50.29,50.77,49.88,50.35,15036990
2025-09-22,50.47,50.52,49.67,50.07,8413818
2025-09-23,50.26,50.61,50.12,50.56,5522509
2025-09-24,50.56,51.33,50.51,51.11,6023573
2025-09-25,51.24,51.32,49.1,49.43,7408782
2025-09-26,49.58,50.11,49.5,50.09,5011418
2025-09-29,50.13,50.175,49.51,49.66,4991124
2025-09-30,49.77,50.485,49.604,50.42,4773799
2025-10-01,50.75,50.95,49.96,50.7,5067473
2025-10-02,50.5,51.03,50.1917,50.32,4289772
2025-10-03,50.25,50.675,50.1,50.36,3599689
2025-10-06,50.36,50.945,50.0301,50.18,5988957
2025-10-07,50.25,51.26,49.69,50.93,5050639
2025-10-08,50.9,50.93,49.66,49.75,4995929
2025-10-09,49.96,49.96,49.1,49.21,4472745
2025-10-10,48.8,49.41,48.59,49.34,5867046
2025-10-13,49.05,49.21,48.13,48.15,4438678
2025-10-14,48.01,48.91,47.71,48.58,5846554
2025-10-15,48.32,48.52,47.72,47.74,5596786
2025-10-16,47.9,48.66,47.48,47.71,5215017
2025-10-17,48.0,48.57,47.845,48.39,5563129
2025-10-20,48.455,49.055,48.3,48.81,5357343
2025-10-21,48.82,48.94,48.515,48.57,4990639
2025-10-22,48.51,49.705,48.355,49.18,5553354
2025-10-23,49.11,49.16,47.895,47.93,4809059
2025-10-24,47.87,48.06,47.27,47.41,5085644
2025-10-27,47.425,48.32,47.32,48.29,7592300
2025-10-28,47.985,48.52,47.84,48.05,6617555
2025-10-29,47.7,48.0299,46.455,46.57,8082315
2025-10-30,46.61,47.255,46.53,47.05,5910726
2025-10-31,46.66,46.84,46.21,46.61,6762001
2025-11-03,46.45,46.65,45.94,46.43,7765530
2025-11-04,46.61,46.715,46.11,46.38,5281753
2025-11-05,46.33,46.54,45.8,46.39,5408548
2025-11-06,46.32,46.95,45.955,45.98,6110466
2025-11-07,46.13,47.315,45.94,46.88,6267927
2025-11-10,46.79,46.8475,46.035,46.22,4784389
2025-11-11,46.61,46.91,46.36,46.65,5525624
2025-11-12,46.78,46.88,46.335,46.5,5622591
2025-11-13,46.56,47.735,46.47,47.33,7670634
2025-11-14,47.86,48.09,46.91,47.41,5811231
2025-11-17,47.4,47.4,46.71,46.97,5385360
2025-11-18,47.09,47.84,46.82,47.69,6071848
2025-11-19,47.3,47.95,47.25,47.63,5459644
