date,open,high,low,close,volume
2025-09-02,47.76,47.855,47.3446,47.54,2118905
2025-09-03,47.46,48.065,47.46,47.83,2107366
2025-09-04,47.935,48.38,47.765,48.34,2185530
2025-09-05,48.5,48.71,48.01,48.43,2850124
2025-09-08,48.14,48.29,47.58,47.93,2469650
2025-09-09,47.91,48.16,47.52,48.1,2350198
2025-09-10,48.0,48.23,47.94,48.05,1588301
2025-09-11,47.86,48.435,47.79,48.41,2402097
2025-09-12,47.81,48.26,47.455,48.05,2422024
2025-09-15,48.04,48.22,47.73,47.82,1383194
2025-09-16,47.765,47.9,47.1276,47.18,1520035
2025-09-17,47.32,48.18,47.305,47.38,1907037
2025-09-18,47.12,47.49,46.83,47.17,1998193
2025-09-19,47.31,47.315,46.555,46.62,5067965
2025-09-22,46.6,46.75,45.73,45.77,2164480
2025-09-23,45.76,46.48,45.76,46.37,1450053
2025-09-24,46.2,46.29,45.55,45.74,3500586
2025-09-25,45.81,46.245,45.77,46.1,1965102
2025-09-26,46.3,46.94,46.2,46.88,1626463
2025-09-29,46.99,47.1,46.66,46.87,1687817
2025-09-30,46.82,46.935,46.48,46.61,2050765
2025-10-01,46.79,47.29,46.53,47.14,2081673
2025-10-02,46.96,47.05,46.23,46.58,1896241
2025-10-03,46.59,47.05,46.47,46.87,1593266
2025-10-06,47.02,47.08,46.07,46.2,1407901
2025-10-07,46.18,46.25,45.7162,45.91,1699295
2025-10-08,45.75,45.855,45.195,45.26,2468434
2025-10-09,45.44,45.5,44.625,44.91,2020244
2025-10-10,44.98,45.16,44.42,44.63,2130755
2025-10-13,44.44,44.88,44.33,44.33,1528955
2025-10-14,44.39,44.71,44.205,44.68,1516917
2025-10-15,44.62,45.08,44.41,44.83,2165096
2025-10-16,44.83,45.08,44.41,44.6,1809822
2025-10-17,44.48,44.85,44.28,44.83,1724393
2025-10-20,45.4,45.885,45.08,45.11,2517411
2025-10-21,45.11,45.34,44.77,45.12,2737153
2025-10-22,45.16,45.43,44.99,45.14,1598465
2025-10-23,45.11,45.31,44.827,45.05,1613760
2025-10-24,45.32,45.42,44.79,44.81,1411435
2025-10-27,44.8,45.03,44.545,44.99,1454845
2025-10-28,44.88,44.88,44.35,44.44,1597724
2025-10-29,44.24,44.285,43.28,43.65,1895629
2025-10-30,43.68,43.77,42.7,42.74,2978602
2025-10-31,43.26,44.84,42.255,44.66,4095206
2025-11-03,44.15,45.54,43.96,45.47,4678525
2025-11-04,45.66,45.66,44.97,45.19,2339027
2025-11-05,45.28,45.43,45.05,45.1,1831256
2025-11-06,45.16,45.29,44.16,44.18,2448862
2025-11-07,44.2,44.96,44.18,44.95,1809383
2025-11-10,44.95,45.27,44.79,44.98,1854282
2025-11-11,45.16,45.35,44.97,45.14,1441661
2025-11-12,44.88,45.01,44.605,44.76,1423512
2025-11-13,44.51,44.945,44.46,44.62,1631524
2025-11-14,44.48,44.64,44.16,44.54,1674859
2025-11-17,44.45,44.595,43.9,43.96,1222389
2025-11-18,43.84,44.06,43.51,43.82,1776103
2025-11-19,43.68,43.775,42.78,42.94,2070380
2025-11-20,43.11,43.23,42.66,42.81,5424539
2025-11-21,42.85,43.31,42.745,43.04,2607731
2025-11-24,43.0,43.25,42.645,43.02,3337449
2025-11-25,43.06,43.62,42.95,43.3,2187405
2025-11-26,43.3,43.75,43.215,43.3,1986102
2025-11-28,43.49,43.73,43.42,43.53,1426982
2025-12-01,43.27,43.9,43.03,43.8,3902953
2025-12-02,43.75,43.87,42.985,43.26,2899522
2025-12-03,43.26,43.8,43.1,43.72,3248361
2025-12-04,43.52,43.67,42.51,42.77,3068413
2025-12-05,42.01,42.57,41.775,41.89,2756836
2025-12-08,41.81,41.985,41.46,41.85,2856528
2025-12-09,41.87,42.12,41.17,41.33,2433380
2025-12-10,41.52,41.905,41.39,41.89,4608418
2025-12-11,42.05,42.201,41.85,42.04,5737589
2025-12-12,42.74,43.93,42.6,43.49,3962615
2025-12-15,43.65,44.105,42.0,44.03,4322981
2025-12-16,44.07,44.285,43.56,44.25,3253715
2025-12-17,44.29,45.6,44.26,45.49,4500118
2025-12-18,45.38,45.8,45.17,45.43,4042079
2025-12-19,45.33,45.41,44.58,44.67,5089220
2025-12-22,44.44,44.975,44.32,44.96,2422359
2025-12-23,45.0,45.0,44.57,44.71,2447184
2025-12-24,44.82,44.97,44.505,44.69,896484
2025-12-26,44.645,44.78,44.395,44.63,1282683
2025-12-29,44.73,44.965,44.48,44.69,1876177
2025-12-30,44.68,45.11,44.67,45.05,1627214
2025-12-31,44.9,45.01,44.652,44.69,1925557
2026-01-02,44.57,44.675,43.9806,44.42,2374526
2026-01-05,44.3,45.18,43.96,45.06,3321497
2026-01-06,44.9,45.31,44.35,44.63,2428182
2026-01-07,44.77,45.295,44.751,44.89,2406140
2026-01-08,44.73,45.44,44.7,44.82,2360478
2026-01-09,44.81,45.14,44.5,44.52,1707251
2026-01-12,44.52,45.05,44.38,44.98,2230515
2026-01-13,44.92,45.11,44.4,45.07,1734515
2026-01-14,45.05,45.9,44.93,45.86,2260892
2026-01-15,45.9,46.45,44.5,45.02,5220692
2026-01-16,45.09,46.39,45.09,46.34,2484712
2026-01-20,46.2,46.205,45.6,46.02,1845446
2026-01-21,46.04,46.19,44.8,44.87,2855295
2026-01-22,44.87,45.43,44.785,44.91,2405263
2026-01-23,44.88,45.57,44.88,45.41,2155717
2026-01-26,45.57,45.77,45.17,45.32,2390647
