date,open,high,low,close,volume
2025-09-02,47.6,48.95,47.02,47.69,5858273
2025-09-03,48.0,48.21,46.32,46.91,14158120
2025-09-04,43.545,44.39,42.17,43.46,16490450
2025-09-05,43.84,45.84,43.52,45.73,7984713
2025-09-08,45.87,48.13,45.21,47.89,6438979
2025-09-09,47.9,48.25,46.94,48.17,5117881
2025-09-10,48.17,49.2694,47.18,49.01,6396571
2025-09-11,49.06,50.49,48.925,49.74,9387184
2025-09-12,50.47,51.3,49.3,50.3,5569689
2025-09-15,50.3,51.29,49.28,50.09,5341894
2025-09-16,49.98,50.55,48.9901,50.31,4967886
2025-09-17,50.0,51.3,49.31,50.43,4924044
2025-09-18,50.8,51.24,49.31,50.04,4310664
2025-09-19,49.95,50.42,49.48,50.2,4132919
2025-09-22,49.8,49.88,48.1708,49.48,3028944
2025-09-23,49.63,50.65,48.59,48.84,3282905
2025-09-24,48.92,49.4558,46.51,47.23,5031786
2025-09-25,46.49,47.46,45.61,46.72,3523227
2025-09-26,46.55,47.529,46.5,47.47,2488648
2025-09-29,47.89,48.09,46.57,46.85,3183872
2025-09-30,46.69,46.86,44.56,45.08,3968547
2025-10-01,45.0,45.25,43.14,44.11,6139846
2025-10-02,44.68,46.6,44.13,46.49,3994400
2025-10-03,46.54,47.415,46.12,46.91,4124958
2025-10-06,47.5,50.43,46.1,47.13,6071718
2025-10-07,45.76,47.25,43.86,46.15,9285856
2025-10-08,46.65,47.925,46.0,47.34,3877319
2025-10-09,47.23,47.62,46.49,46.86,2069663
2025-10-10,46.89,47.73,44.07,44.61,3370136
2025-10-13,45.35,45.4818,44.03,44.19,2976898
2025-10-14,43.14,45.29,42.61,44.76,2851500
2025-10-15,45.26,45.35,43.53,43.645,2807342
2025-10-16,44.17,49.94,42.745,48.27,19150250
2025-10-17,46.72,48.03,45.185,45.31,9894311
2025-10-20,45.63,47.93,45.59,47.1,3531966
2025-10-21,47.18,50.68,46.95,49.51,5027583
2025-10-22,48.64,49.46,47.98,48.09,3067445
2025-10-23,47.89,48.615,47.73,48.12,1794779
2025-10-24,48.95,49.58,48.49,48.53,2338948
2025-10-27,49.22,49.705,48.19,48.51,1869882
2025-10-28,48.73,48.9799,47.99,48.21,1634730
2025-10-29,47.99,48.93,47.54,48.03,1966192
2025-10-30,47.13,49.415,47.0,47.48,2824168
2025-10-31,47.94,49.01,47.66,48.75,2146280
2025-11-03,48.8,52.38,47.84,51.04,5554815
2025-11-04,49.36,49.95,45.91,46.5,3943499
2025-11-05,46.99,47.18,45.665,45.83,2240264
2025-11-06,46.23,46.3,43.84,45.56,3432789
2025-11-07,44.96,45.7482,44.01,45.55,3056207
2025-11-10,45.76,46.7,45.195,46.19,2949089
2025-11-11,45.63,46.95,45.63,46.53,2223424
2025-11-12,46.53,47.35,45.81,46.45,1634261
2025-11-13,46.0,46.075,43.56,43.97,3298213
2025-11-14,42.9,44.96,42.87,44.33,2408679
2025-11-17,44.2,44.25,42.33,42.64,3278931
2025-11-18,42.41,44.4,42.03,44.27,3150783
2025-11-19,42.85,44.08,42.845,43.4,3174597
2025-11-20,43.995,44.72,42.07,42.51,2765032
2025-11-21,42.425,42.425,40.195,41.49,5399602
2025-11-24,41.94,42.225,41.31,41.45,5031560
2025-11-25,41.3,41.345,40.15,41.24,7468305
2025-11-26,41.24,41.39,40.16,40.57,3884075
2025-11-28,40.685,41.41,40.32,41.06,2373980
2025-12-01,40.39,42.15,40.105,41.15,4552182
