date,open,high,low,close,volume
2025-09-02,51.65,51.895,51.06,51.25,1040620
2025-09-03,51.12,51.655,50.599,51.11,502518
2025-09-04,51.23,51.42,50.34,51.38,859970
2025-09-05,51.5,52.65,51.29,52.63,928941
2025-09-08,52.89,52.89,51.61,52.27,711668
2025-09-09,52.06,52.315,50.35,50.89,1459330
2025-09-10,50.69,51.105,50.095,50.35,977807
2025-09-11,50.48,51.95,50.16,51.56,1050398
2025-09-12,51.53,52.2,50.955,51.03,959898
2025-09-15,51.43,51.68,50.43,50.74,779667
2025-09-16,50.96,51.18,50.34,50.84,748629
2025-09-17,50.97,52.09,50.075,50.48,744722
2025-09-18,50.77,51.5065,50.42,51.11,744249
2025-09-19,51.12,51.66,49.23,49.66,1841806
2025-09-22,49.2,50.01,48.655,49.86,944755
2025-09-23,50.06,51.36,50.0362,50.42,840840
2025-09-24,51.91,52.61,50.74,50.96,958576
2025-09-25,50.71,52.76,50.2701,52.71,1467732
2025-09-26,52.9,54.2,52.75,53.56,865378
2025-09-29,53.84,53.9914,52.3765,52.93,888292
2025-09-30,52.95,52.955,52.13,52.89,994171
2025-10-01,52.83,53.265,52.54,53.2,651780
2025-10-02,53.13,53.93,52.92,53.8,852757
2025-10-03,53.71,54.68,53.39,53.73,706348
2025-10-06,53.69,55.44,53.5,55.43,881060
2025-10-07,55.48,55.855,53.32,54.21,1166188
2025-10-08,54.28,55.12,53.67,54.57,729971
2025-10-09,54.7,54.7941,53.55,53.73,675529
2025-10-10,53.86,54.38,51.12,51.3,1253767
2025-10-13,51.86,52.77,51.46,52.51,672230
2025-10-14,51.85,54.17,51.5891,54.13,764583
2025-10-15,54.6,55.4,53.805,53.89,766537
2025-10-16,54.69,54.99,53.74,54.61,946857
2025-10-17,54.36,55.31,53.26,55.22,881131
2025-10-20,55.69,56.232,54.82,54.83,833897
2025-10-21,54.835,56.15,54.6,55.12,564713
2025-10-22,54.89,55.19,53.02,53.56,808247
2025-10-23,53.77,54.39,52.8242,53.73,561109
2025-10-24,54.5,54.78,54.1001,54.67,572989
2025-10-27,55.0,55.4499,54.55,54.68,596368
2025-10-28,55.13,56.175,54.23,54.24,1018527
2025-10-29,54.2,55.3199,53.3201,54.02,780434
2025-10-30,53.77,54.88,53.525,53.84,655984
2025-10-31,53.85,56.635,53.46,56.21,1988297
2025-11-03,56.09,56.2079,54.57,55.36,1381150
2025-11-04,54.26,56.04,54.26,55.37,1688251
2025-11-05,56.25,57.99,52.52,52.54,2860306
2025-11-06,53.65,54.97,50.76,50.82,1898039
2025-11-07,50.41,51.21,49.43,50.84,1349126
2025-11-10,51.03,51.95,50.8,51.0,926707
2025-11-11,51.18,52.77,50.67,52.37,1089584
2025-11-12,52.65,53.433,51.965,52.01,718322
2025-11-13,51.69,52.27,49.78,49.91,1111588
2025-11-14,49.36,50.26,48.4801,49.53,970787
2025-11-17,49.39,49.39,47.691,48.08,1412716
2025-11-18,47.74,48.19,47.215,47.91,1209730
2025-11-19,48.1,48.45,46.73,46.84,926048
2025-11-20,47.58,48.0709,45.93,46.21,1382094
2025-11-21,46.15,47.89,46.03,47.56,1548112
2025-11-24,47.26,48.34,47.11,47.99,943725
2025-11-25,48.19,49.91,47.86,49.65,1078469
2025-11-26,49.62,50.88,49.5255,50.5,690438
2025-11-28,50.82,50.87,50.47,50.74,407085
2025-12-01,50.41,50.92,50.06,50.4,1069489
2025-12-02,51.24,51.25,50.3025,50.97,1249423
2025-12-03,51.21,52.95,50.94,52.62,1289509
2025-12-04,52.31,52.86,51.75,52.15,919891
2025-12-05,52.15,52.68,51.8001,52.54,633571
2025-12-08,52.79,53.5599,52.63,52.9,1533113
2025-12-09,52.89,53.51,51.9,52.43,901672
2025-12-10,52.67,53.4,52.0101,53.34,1044771
2025-12-11,53.29,54.34,53.29,53.8,856907
2025-12-12,53.945,54.29,52.25,53.14,702945
2025-12-15,52.58,53.1413,52.18,52.34,1177240
2025-12-16,52.06,52.69,51.865,52.61,961810
2025-12-17,52.35,53.37,52.255,52.6,994934
2025-12-18,53.05,54.5699,52.77,53.17,1662516
2025-12-19,52.98,53.35,52.4544,53.29,1506910
2025-12-22,53.45,54.3652,53.45,53.56,703178
2025-12-23,53.75,54.33,53.37,53.95,696184
2025-12-24,53.94,54.385,53.7,54.29,278409
2025-12-26,54.14,54.25,53.295,53.81,1735870
2025-12-29,53.71,54.345,52.87,53.06,1196515
2025-12-30,52.9,53.24,52.65,53.04,563844
2025-12-31,53.05,53.1799,52.18,52.64,952764
2026-01-02,52.77,54.31,52.3825,54.3,813325
2026-01-05,54.38,55.62,54.265,54.7,918452
2026-01-06,54.64,56.43,54.425,56.41,1363154
2026-01-07,56.39,56.5525,54.44,54.97,818410
2026-01-08,55.37,56.62,54.9701,55.8,1157988
2026-01-09,56.1,57.06,54.73,57.0,1278137
2026-01-12,56.92,57.975,56.53,57.73,802816
2026-01-13,57.75,58.0,56.94,57.48,769602
2026-01-14,57.37,57.61,55.8,56.93,954754
2026-01-15,57.27,57.27,56.42,57.14,855918
2026-01-16,57.05,57.175,56.2,56.54,845326
2026-01-20,55.37,56.69,54.95,55.05,1089749
2026-01-21,55.35,57.42,55.33,56.82,746941
2026-01-22,56.44,58.11,56.03,57.69,956147
2026-01-23,57.69,57.9,56.795,57.41,981616
2026-01-26,57.68,57.7292,56.49,57.03,1209365
2026-01-27,56.92,57.96,56.42,57.92,1195636
2026-01-28,58.1,58.21,56.9901,57.56,1693628
2026-01-29,56.8,58.18,56.65,57.91,1386353
2026-01-30,56.98,57.425,56.1,56.59,1338856
2026-02-02,56.21,57.82,56.0,56.94,1736614
2026-02-03,57.28,58.38,56.19,57.22,2148822
2026-02-04,57.22,58.95,57.22,58.2,1660228
2026-02-05,57.75,58.1999,55.82,56.34,1626034
2026-02-06,56.07,59.28,56.07,58.91,1840280
2026-02-09,59.0,59.06,57.89,58.6,1171322
2026-02-10,58.52,59.26,57.67,58.0,1621032
2026-02-11,58.8,64.1899,58.8,63.35,3314280
2026-02-12,64.21,66.85,61.33,64.29,3837197
2026-02-13,64.83,65.9,63.96,65.51,1788276
2026-02-17,65.37,66.19,64.88,65.36,1592195
2026-02-18,65.44,66.35,64.96,65.41,1334429
2026-02-19,64.59,65.93,63.88,64.6,1089808
2026-02-20,64.32,66.165,63.94,65.59,1336360
2026-02-23,65.11,65.11,63.04,63.15,1048518
2026-02-24,63.03,64.06,62.69,63.13,1026491
2026-02-25,63.49,64.12,62.2,63.79,1035545
2026-02-26,64.05,65.94,63.12,63.51,952986
2026-02-27,62.66,63.23,62.051,62.83,1732590
2026-03-02,62.64,64.05,62.245,63.32,1033240
2026-03-03,61.17,61.94,59.41,60.96,1448185
2026-03-04,60.28,60.415,58.33,59.82,1982032
2026-03-05,59.12,59.97,58.43,59.09,1364027
2026-03-06,58.09,58.09,55.65,55.76,1564350
2026-03-09,54.6,55.49,52.67,55.35,1251140
2026-03-10,55.23,56.68,54.66,54.7,1120774
2026-03-11,54.6,55.28,54.069,54.6,851357
2026-03-12,53.65,54.155,52.31,52.47,1232282
2026-03-13,52.91,53.805,52.22,52.51,1444173
2026-03-16,53.23,54.0,52.91,52.93,737332
2026-03-17,53.72,54.43,52.84,53.7,782412
