date,open,high,low,close,volume
2025-09-02,401.66,408.48,400.13,406.14,955626
2025-09-03,405.44,408.07,403.27,407.61,651694
2025-09-04,410.0,417.2,407.6,411.59,1714831
2025-09-05,411.98,420.98,409.16,420.77,1059772
2025-09-08,418.84,418.84,406.69,418.1,1472876
2025-09-09,415.8,416.225,400.31,413.4,1084125
2025-09-10,415.18,415.39,385.585,394.36,2014033
2025-09-11,395.77,404.17,392.63,402.85,1295365
2025-09-12,400.57,406.38,399.64,405.13,761187
2025-09-15,403.81,406.605,400.02,403.17,897488
2025-09-16,403.74,406.225,398.98,399.75,1319772
2025-09-17,401.73,405.16,390.34,399.39,1250012
2025-09-18,396.7,402.39,390.1,401.06,1337755
2025-09-19,401.48,403.67,396.9,402.3,4308470
2025-09-22,402.44,409.14,400.93,407.24,1010597
2025-09-23,408.86,413.55,406.0923,409.45,801604
2025-09-24,407.19,417.2,407.19,416.62,978640
2025-09-25,418.35,418.35,409.0,414.89,667261
2025-09-26,417.7,422.46,414.06,419.08,1184923
2025-09-29,419.35,422.9577,415.925,420.92,894769
2025-09-30,421.26,429.435,419.08,426.2,1592134
2025-10-01,426.32,428.54,420.46,426.07,1371861
2025-10-02,423.89,427.43,420.41,426.69,865234
2025-10-03,426.89,432.36,425.81,429.54,988386
2025-10-06,427.19,435.03,425.71,433.55,960495
2025-10-07,435.0,439.01,432.74,437.57,1252368
2025-10-08,436.75,436.75,425.77,426.27,1485088
2025-10-09,427.49,428.32,417.87,418.87,1245361
2025-10-10,419.9,421.49,409.5,415.14,1638367
2025-10-13,416.25,416.5,410.365,410.68,1067209
2025-10-14,410.0,420.575,407.7,418.4,1523070
2025-10-15,418.44,421.405,414.9,420.25,1260829
2025-10-16,420.45,421.605,416.98,419.6,1004650
2025-10-17,420.94,426.65,417.985,426.16,1034500
2025-10-20,426.98,436.26,424.515,433.15,878476
2025-10-21,433.71,434.9706,430.11,432.01,1082657
2025-10-22,434.7,443.41,432.39,441.19,1522700
