date,open,high,low,close,volume
2025-09-02,41.34,42.14,40.78,41.53,14391190
2025-09-03,43.0,45.67,42.5,44.46,30523600
2025-09-04,44.54,48.29,44.3,48.11,44797890
2025-09-05,48.83,49.16,46.8574,48.41,24064530
2025-09-08,49.12,51.585,49.09,49.64,34988020
2025-09-09,49.97,50.4594,47.48,47.79,22266860
2025-09-10,50.0,51.4152,47.52,47.78,29097520
2025-09-11,48.82,52.49,48.6,51.76,34586650
2025-09-12,51.03,55.93,50.25,55.5,35502300
2025-09-15,54.99,56.52,53.91,53.96,28041660
2025-09-16,54.32,54.3357,48.69,50.89,49261620
2025-09-17,50.29,51.0,49.17,50.35,26977750
2025-09-18,50.4,56.31,50.27,56.2,37206010
2025-09-19,56.23,59.36,56.17,57.82,36251600
2025-09-22,58.11,58.94,56.43,57.7,18736270
2025-09-23,57.21,57.73,55.3126,56.0,22345940
2025-09-24,56.52,56.76,53.02,53.25,23272970
2025-09-25,52.12,55.1,50.7,54.87,22269420
2025-09-26,54.4,58.4,54.11,58.4,27271450
2025-09-29,58.59,60.55,58.25,59.12,26127950
2025-09-30,58.6,59.1712,55.7812,56.72,20804810
2025-10-01,55.9,57.6063,55.0859,56.31,24723460
2025-10-02,57.0,59.27,56.75,57.87,25918200
2025-10-03,58.0,58.93,52.51,52.54,35805510
2025-10-06,53.61,54.795,52.7,54.76,27144350
2025-10-07,54.8,58.25,54.5,57.97,33007630
2025-10-08,58.37,60.13,57.04,58.17,32546730
2025-10-09,59.105,59.99,56.25,58.25,19685670
2025-10-10,58.29,59.22,53.02,53.95,31952790
2025-10-13,54.42,56.27,53.8377,54.73,23360320
2025-10-14,53.228,55.14,51.73,54.02,21103970
2025-10-15,55.3,65.2994,54.435,62.76,55066040
2025-10-16,62.12,63.63,57.8101,59.15,38182440
2025-10-17,57.12,57.45,49.6,49.78,74581690
2025-10-20,51.37,52.41,50.2201,51.36,30101330
2025-10-21,50.83,51.36,49.25,49.36,29718050
2025-10-22,48.86,48.9,46.15,47.46,23866270
2025-10-23,48.02,48.59,46.89,48.49,18463660
2025-10-24,49.94,50.99,48.76,48.78,16063540
2025-10-27,50.14,50.19,48.16,48.23,16742060
2025-10-28,49.14,49.17,47.12,47.12,13822130
2025-10-29,47.07,48.455,46.03,46.63,19797090
2025-10-30,46.07,46.92,44.05,44.06,17048960
2025-10-31,45.365,47.2412,45.0,45.46,21891930
2025-11-03,46.9,47.15,44.01,44.39,40539920
2025-11-04,45.75,48.34,42.4,42.79,61191410
2025-11-05,44.1,46.8199,43.68,43.73,36297480
2025-11-06,44.0,44.0,39.84,41.52,43246950
2025-11-07,40.74,41.2749,39.34,41.03,28934600
2025-11-10,42.495,42.7,40.22,41.05,21798850
2025-11-11,40.91,41.28,38.87,39.75,22892160
2025-11-12,39.61,40.2493,38.26,39.02,21967350
2025-11-13,38.92,38.96,35.78,36.05,34913220
2025-11-14,35.425,38.0893,34.93,36.98,31484920
2025-11-17,36.67,37.63,33.91,35.58,30155530
2025-11-18,35.71,36.735,34.13,36.26,26537260
2025-11-19,36.6,36.6,34.43,35.83,20963510
2025-11-20,36.78,37.22,33.47,33.62,28325530
2025-11-21,33.54,34.99,32.88,34.71,18775370
2025-11-24,35.11,38.14,35.01,37.78,20835760
2025-11-25,38.0,38.36,36.9,37.09,14394290
2025-11-26,37.75,38.79,37.36,38.4,13448350
2025-11-28,38.9,39.8666,38.52,39.76,9363563
2025-12-01,38.75,39.2499,37.475,37.51,13564080
2025-12-02,37.55,38.2798,36.215,36.31,12076050
2025-12-03,36.35,37.125,35.7801,37.07,10875240
2025-12-04,38.27,40.46,37.7235,40.02,24755220
2025-12-05,40.0,40.99,39.1701,39.2,22174080
2025-12-08,39.34,39.6,38.2365,39.12,9713062
2025-12-09,39.04,40.74,38.93,39.82,12617580
2025-12-10,39.65,39.785,37.61,37.88,16426400
2025-12-11,37.25,37.86,36.6501,37.77,10260260
2025-12-12,37.6,38.8799,36.85,37.21,10345160
2025-12-15,37.82,38.0299,35.68,36.25,11294480
2025-12-16,36.01,36.9,35.41,36.86,10359950
2025-12-17,36.71,37.61,34.895,34.97,11451540
2025-12-18,35.6,36.03,34.31,34.77,11728340
2025-12-19,34.97,35.86,34.6,35.56,13764630
2025-12-22,35.97,36.27,34.785,35.05,12908210
2025-12-23,34.75,35.14,34.1,34.8,9523667
2025-12-24,34.61,35.04,34.1301,34.67,4922658
2025-12-26,34.57,34.62,33.5,34.31,9909753
2025-12-29,34.06,34.7499,33.8,34.1,9225237
2025-12-30,34.2,34.415,33.04,33.04,11262600
2025-12-31,32.92,32.95,32.065,32.47,14117900
2026-01-02,33.0,33.73,32.05,33.41,13320890
2026-01-05,33.96,35.83,33.19,34.71,17344420
2026-01-06,35.425,35.95,34.32,35.46,11836300
2026-01-07,35.49,36.45,34.94,35.46,10986360
2026-01-08,35.16,35.16,33.51,33.87,15611070
2026-01-09,34.31,34.35,31.66,31.69,25399620
2026-01-12,31.075,32.7551,29.92,32.34,25633790
2026-01-13,33.2,33.27,31.71,32.2,15262320
2026-01-14,32.03,32.04,30.75,31.32,15132450
2026-01-15,31.58,31.66,30.73,31.23,13666260
2026-01-16,31.23,31.8193,30.64,31.38,14591240
2026-01-20,30.15,31.3,30.0233,30.47,16471850
2026-01-21,30.5,30.64,27.96,28.89,27909630
2026-01-22,29.5,30.77,29.0,30.52,14169200
2026-01-23,30.14,30.99,29.4,29.62,14237400
2026-01-26,29.64,30.95,29.42,30.28,12684520
2026-01-27,30.08,30.17,28.93,29.68,16634010
2026-01-28,29.83,29.98,28.325,28.67,15053600
2026-01-29,28.93,30.7,28.465,29.87,22116260
2026-01-30,29.4,30.27,26.87,27.09,21908270
2026-02-02,27.11,27.4,26.42,26.44,13612550
2026-02-03,26.56,26.82,24.64,25.54,21365580
2026-02-04,27.2,27.2,23.99,24.4,31675950
2026-02-05,26.8,27.77,22.95,23.48,71253480
2026-02-06,22.3,23.618,21.12,23.02,46351710
2026-02-09,17.83,19.52,16.35,19.33,144202400
2026-02-10,18.7,19.38,17.2,17.24,51693910
2026-02-11,17.52,17.6299,16.6,16.69,33587630
2026-02-12,16.52,16.96,15.63,15.8,31825620
2026-02-13,16.11,16.87,16.08,16.3,26248440
2026-02-17,16.3,16.92,15.79,16.27,22435150
2026-02-18,16.11,16.4,15.575,15.84,17282660
2026-02-19,16.01,16.55,15.46,15.82,32798110
2026-02-20,15.65,16.3,15.29,15.63,25353490
2026-02-23,15.795,15.795,15.155,15.51,43356430
2026-02-24,14.83,16.06,13.74,15.46,63952570
2026-02-25,15.67,16.4599,15.06,15.82,38317790
2026-02-26,15.774,16.36,14.985,15.6,29431180
2026-02-27,15.21,15.2915,14.48,14.52,23484560
2026-03-02,14.51,16.48,14.31,16.48,32836180
2026-03-03,16.0,16.91,15.27,15.82,27508220
2026-03-04,15.87,16.7399,15.8,16.45,20438150
2026-03-05,16.53,16.84,15.5902,15.88,19004120
2026-03-06,15.54,15.8393,15.21,15.74,21093810
2026-03-09,23.215,23.51,20.97,22.16,174964100
2026-03-10,24.0,26.03,22.43,23.47,118638500
2026-03-11,23.12,27.54,22.81,25.88,111773500
2026-03-12,26.84,27.24,23.76,23.84,68303430
2026-03-13,24.07,24.82,23.25,24.77,42982460
2026-03-16,24.22,25.165,23.52,24.88,37972060
2026-03-17,24.545,25.24,23.99,24.98,35316110
2026-03-18,24.7,25.04,23.15,23.15,35354190
2026-03-19,22.89,24.39,22.6115,24.16,29908830
2026-03-20,23.95,24.2498,21.7,22.02,33380780
2026-03-23,22.6,23.1,22.245,22.46,20283770
2026-03-24,22.21,22.3,21.09,21.34,26400690
2026-03-25,21.7,22.0,20.57,20.84,21696380
2026-03-26,20.58,21.22,20.02,20.86,26020030
2026-03-27,20.58,20.6,19.1828,19.38,22374060
2026-03-30,19.35,19.67,18.62,18.78,19219590
2026-03-31,18.78,21.0,18.642,20.76,34530510
2026-04-01,21.0,21.62,19.7001,19.84,26625200
2026-04-02,19.31,19.5,18.755,19.14,23511980
2026-04-06,19.78,20.37,19.5101,20.33,19583310
2026-04-07,19.97,20.0,18.9633,19.5,21487970
2026-04-08,20.8,20.95,19.04,19.39,20079200
2026-04-09,19.31,19.77,18.96,19.75,14700370
2026-04-10,19.95,20.15,19.18,19.43,16054510
2026-04-13,19.33,21.7983,19.3,21.15,24685780
2026-04-14,21.75,21.96,20.9201,21.36,19377300
2026-04-15,21.72,24.695,21.28,24.29,45776780
2026-04-16,26.15,27.81,24.76,26.99,80363680
2026-04-17,27.67,29.78,27.4,28.82,58932950
2026-04-20,28.535,31.855,28.41,31.01,69289000
2026-04-21,28.585,30.87,27.85,29.76,59038810
2026-04-22,30.0,30.05,28.05,29.01,32247300
2026-04-23,30.33,31.44,27.03,28.15,44911700
2026-04-24,29.5,31.3298,28.9,30.56,43478920
2026-04-27,29.94,30.72,29.05,29.39,23287210
2026-04-28,28.57,28.825,27.6502,27.91,21825640
2026-04-29,27.62,27.6858,26.04,26.33,19906260
2026-04-30,26.26,27.35,25.62,27.17,17411800
2026-05-01,27.29,27.77,26.93,27.41,14645070
2026-05-04,27.63,28.4193,26.67,27.27,15069500
2026-05-05,26.91,26.91,25.9,26.33,15492800
2026-05-06,26.865,27.0699,25.8,26.88,14873630
2026-05-07,26.77,27.12,25.35,25.65,18626960
2026-05-08,25.61,28.525,25.4,28.27,25969540
2026-05-11,29.09,30.385,28.55,29.14,61192950
2026-05-12,25.21,26.84,24.56,25.03,53635040
2026-05-13,24.51,24.8899,23.2601,24.14,25968300
2026-05-14,24.04,24.7998,23.38,24.24,18275570
2026-05-15,23.675,25.32,23.5319,25.05,20662220
2026-05-18,23.98,23.98,22.14,22.29,32292390
2026-05-19,22.14,22.69,21.53,22.44,27331080
2026-05-20,22.19,23.4,21.875,23.04,16686600
2026-05-21,22.82,24.01,22.605,24.01,15102410
2026-05-22,24.09,24.525,23.3,23.75,14780570
2026-05-26,23.88,24.7,23.36,23.85,16605490
2026-05-27,24.47,25.78,24.24,25.2,22756920
2026-05-28,24.885,25.92,24.39,25.38,12883670
2026-05-29,25.55,26.635,24.13,26.15,20737850
2026-06-01,26.19,28.22,25.5,27.76,21146340
2026-06-02,27.93,28.39,27.05,27.51,14741290
2026-06-03,26.95,28.035,25.712,27.51,13789030
2026-06-04,27.4,29.82,27.14,28.01,23839330
2026-06-05,27.1,27.89,25.4,26.19,18614030
2026-06-08,26.48,27.33,25.96,27.17,13842640
2026-06-09,27.17,29.18,26.02,28.98,25445960
2026-06-10,28.38,29.75,27.69,27.78,16855050
2026-06-11,27.3,29.1,26.69,28.87,13860880
2026-06-12,28.68,28.78,26.52,26.82,19046180
2026-06-15,27.88,30.28,27.87,30.17,22980460
2026-06-16,29.98,32.01,29.68,31.47,22076500
2026-06-17,31.6,33.45,31.03,31.89,23154110
2026-06-18,32.6,35.6,32.59,35.47,31903480
2026-06-22,34.63,35.99,33.3,33.54,22866870
2026-06-23,32.51,34.6799,32.51,32.96,12550440
2026-06-24,32.6,33.75,31.62,32.7,12600380
2026-06-25,33.41,33.448,30.29,32.71,15113730
2026-06-26,32.0,35.4,31.9,33.94,21434510
2026-06-29,34.28,35.47,32.52,33.39,14063890
2026-06-30,32.75,34.69,31.595,34.67,13416820
2026-07-01,35.1,38.5,34.75,37.57,28032120
2026-07-02,37.635,37.99,36.03,36.8,16473730
2026-07-06,36.75,39.05,36.35,38.28,13739210
2026-07-07,38.01,38.5886,36.14,36.17,12296620
2026-07-08,35.33,36.405,34.18,36.07,12576350
2026-07-09,36.2,36.35,35.26,35.45,9262830
2026-07-10,35.835,36.46,33.18,34.38,11853690
2026-07-13,34.3,35.2,33.55,34.38,9410575
2026-07-14,34.8,35.39,34.08,35.15,7734332
2026-07-15,35.669,37.44,35.669,37.17,14427650
2026-07-16,36.66,37.7,33.58,33.68,15528480
2026-07-17,32.0617,34.0399,31.91,32.84,9909471
