date,open,high,low,close,volume
2025-09-02,54.75,56.135,53.5,55.68,659602
2025-09-03,54.74,57.545,54.4,57.44,922922
2025-09-04,56.5,57.0,54.3,56.01,963572
2025-09-05,54.98,56.3514,54.08,55.07,780401
2025-09-08,54.35,56.97,54.35,56.97,1316318
2025-09-09,55.5,58.25,55.0,57.31,1210309
2025-09-10,56.5,57.82,55.13,56.16,970107
2025-09-11,56.16,60.2,55.13,59.98,1576244
2025-09-12,59.24,60.01,56.77,57.63,1335578
2025-09-15,57.0,58.48,56.61,58.07,923055
2025-09-16,57.31,59.24,57.11,58.87,1003013
2025-09-17,58.25,59.67,55.61,56.74,1647525
2025-09-18,56.6,58.12,56.03,56.91,1615410
2025-09-19,56.25,57.715,55.749,56.91,2667691
2025-09-22,56.08,57.84,55.45,57.84,1081455
2025-09-23,58.44,61.89,58.44,59.64,1844181
2025-09-24,59.08,59.9374,53.63,54.23,2282833
2025-09-25,51.64,53.6,49.51,51.25,3073604
2025-09-26,51.48,51.99,48.38,48.46,1222392
2025-09-29,49.0,50.7299,48.67,49.89,1352918
2025-09-30,50.17,50.35,48.6,49.08,1159164
2025-10-01,49.5,49.75,47.91,48.75,1135779
2025-10-02,49.22,52.88,48.38,52.82,1223710
2025-10-03,52.64,53.2,50.9,51.29,723639
2025-10-06,51.73,52.23,50.54,51.68,678376
2025-10-07,52.38,52.625,50.435,51.16,579186
2025-10-08,51.94,54.4,51.16,53.81,536418
2025-10-09,54.0,54.2895,50.29,50.36,586799
2025-10-10,50.5,50.91,49.29,49.79,765319
2025-10-13,50.63,50.79,49.37,50.4,295769
2025-10-14,50.52,51.01,48.78,50.44,377368
2025-10-15,51.31,52.515,50.32,50.41,419310
2025-10-16,50.86,51.99,49.97,50.74,506839
2025-10-17,49.74,50.15,48.13,49.28,673862
2025-10-20,49.94,51.75,49.345,51.28,638558
2025-10-21,51.28,51.9,49.69,49.74,643174
2025-10-22,49.07,49.5192,47.39,48.86,881277
2025-10-23,48.76,50.0,48.24,49.55,897978
2025-10-24,49.25,50.5445,48.21,49.6,1409790
2025-10-27,50.16,50.88,49.2,49.87,578950
2025-10-28,49.54,51.21,49.085,50.97,762805
2025-10-29,51.01,51.01,48.67,49.6,843865
2025-10-30,48.79,49.57,47.0,48.66,1111876
2025-10-31,48.0,50.35,47.53,49.76,1191780
2025-11-03,49.82,51.12,49.175,50.34,1460858
2025-11-04,49.0,53.8,48.0,53.44,3699408
2025-11-05,47.86,49.5,44.15,45.39,6181215
2025-11-06,44.21,46.72,43.315,44.04,2624687
2025-11-07,44.04,45.1,42.6,44.49,1151622
2025-11-10,45.21,45.36,43.5,44.3,766958
2025-11-11,44.84,45.08,43.74,44.31,581686
2025-11-12,46.6,46.75,41.9,42.33,2282228
2025-11-13,42.39,42.5,40.455,41.75,1685868
2025-11-14,41.0,42.11,40.2,40.96,1861097
2025-11-17,40.55,41.62,40.07,40.84,2290737
2025-11-18,40.125,41.0,39.19,40.62,7801190
2025-11-19,41.0,44.63,40.392,44.1,5591938
2025-11-20,44.78,47.15,44.765,45.36,2852779
2025-11-21,45.44,46.245,43.815,45.99,2061619
2025-11-24,46.6,47.5,46.405,47.01,1720267
2025-11-25,46.78,48.36,46.25,48.27,1125945
2025-11-26,48.5,51.35,48.27,50.05,2872086
2025-11-28,49.03,50.53,48.7149,48.91,1023747
2025-12-01,48.71,49.4799,47.86,47.96,1475173
2025-12-02,48.52,49.09,46.51,46.56,1319169
2025-12-03,46.96,48.18,45.655,46.02,2085804
2025-12-04,45.97,49.88,45.52,49.66,1493216
2025-12-05,50.0,50.5,49.21,50.04,1474418
2025-12-08,50.51,50.88,48.96,49.05,3156595
2025-12-09,49.99,50.08,48.75,49.47,1210616
2025-12-10,49.04,50.25,48.91,49.69,1271557
2025-12-11,49.5,50.165,48.9148,49.79,586007
2025-12-12,49.72,50.29,49.29,49.7,886394
2025-12-15,49.86,49.86,47.98,48.5,1253248
2025-12-16,48.34,49.53,47.9114,48.41,891396
2025-12-17,48.22,48.93,47.64,48.0,942020
2025-12-18,48.8,49.23,47.95,48.05,975957
2025-12-19,48.12,49.0,47.09,47.25,1283527
2025-12-22,47.67,48.74,47.25,48.64,798139
2025-12-23,47.61,49.03,47.48,48.76,615820
2025-12-24,48.62,49.18,48.09,48.2,267549
2025-12-26,48.2,48.335,47.47,47.54,386393
2025-12-29,47.28,47.64,46.61,47.09,446441
2025-12-30,46.8,47.366,46.02,46.23,709337
2025-12-31,46.22,46.69,45.77,46.45,1032348
2026-01-02,46.44,46.85,45.29,45.56,1051910
2026-01-05,45.91,47.04,45.71,46.88,1233648
2026-01-06,47.23,49.18,47.23,48.83,869106
2026-01-07,49.0,50.16,48.48,49.14,598360
2026-01-08,48.98,51.15,48.89,49.41,875375
2026-01-09,50.36,50.36,47.9,47.92,860813
2026-01-12,48.86,48.86,46.0593,48.47,677583
2026-01-13,48.73,48.99,46.16,47.13,614325
2026-01-14,47.02,47.27,43.01,43.33,766360
2026-01-15,43.66,44.61,42.62,43.76,1148157
2026-01-16,43.75,44.075,42.82,43.33,746882
2026-01-20,42.25,42.535,41.31,41.62,685137
2026-01-21,41.46,41.97,40.55,41.52,750630
2026-01-22,41.93,43.1,41.56,41.77,665643
2026-01-23,42.82,43.61,41.5501,42.56,890032
2026-01-26,42.58,42.97,41.15,41.56,867475
2026-01-27,41.19,41.22,39.62,40.4,724391
2026-01-28,40.34,40.34,37.5,37.65,913185
2026-01-29,37.5,37.535,34.31,36.22,1808487
2026-01-30,36.1,36.74,34.15,34.9,1252479
2026-02-02,35.01,35.53,34.596,35.23,823259
2026-02-03,36.45,36.45,32.27,33.07,1503859
2026-02-04,33.07,34.67,31.38,33.25,1522109
2026-02-05,33.16,34.0,31.24,31.79,1231215
2026-02-06,32.41,33.1644,30.875,31.17,1332358
2026-02-09,30.81,32.23,30.08,32.16,1066021
2026-02-10,32.01,33.57,31.69,33.05,3019506
2026-02-11,38.5,39.95,34.01,38.76,5867039
2026-02-12,38.89,40.99,38.78,39.47,3963833
2026-02-13,38.49,40.87,38.49,38.94,2665793
2026-02-17,39.0,40.3721,38.395,39.19,1671083
2026-02-18,39.3,40.88,39.12,40.56,1012354
2026-02-19,40.4,41.96,39.61,41.92,1815054
2026-02-20,41.98,42.96,41.265,41.31,1419877
2026-02-23,40.59,40.69,38.37,38.45,1553549
2026-02-24,38.36,40.48,37.67,40.11,1205459
2026-02-25,39.97,41.25,39.67,40.65,1492817
2026-02-26,40.95,43.68,40.2,43.67,1378576
2026-02-27,42.82,44.04,42.41,42.76,1389224
2026-03-02,41.9,44.96,41.84,44.86,974897
2026-03-03,43.76,45.36,42.86,44.36,967617
2026-03-04,45.0,46.48,44.72,45.71,1686630
2026-03-05,45.67,47.24,45.3,45.84,1461157
2026-03-06,45.31,46.16,44.23,46.14,1754695
2026-03-09,45.5,46.31,45.21,45.99,1500364
2026-03-10,46.27,46.73,45.6501,45.97,1262857
2026-03-11,45.9,46.2199,44.6383,45.44,1218408
2026-03-12,45.26,45.76,44.43,44.46,1186612
2026-03-13,45.0,45.25,44.3001,45.0,1078748
2026-03-16,45.0,45.4,43.32,43.33,718687
2026-03-17,43.62,44.4,43.31,44.11,1253656
2026-03-18,44.0,44.64,42.96,44.38,779502
2026-03-19,44.05,45.21,44.05,44.51,798529
2026-03-20,44.31,44.31,42.42,42.48,783772
2026-03-23,42.4,42.87,40.6,42.11,740990
2026-03-24,41.9,42.02,40.41,40.91,445275
2026-03-25,41.18,41.525,38.82,40.19,759036
2026-03-26,39.98,41.42,39.82,40.18,584265
2026-03-27,40.0,40.065,36.09,36.25,1477346
2026-03-30,36.5,37.47,35.4,36.77,890109
2026-03-31,37.75,39.29,37.02,38.56,1248224
2026-04-01,39.0,39.195,37.8,38.49,492225
2026-04-02,37.63,39.31,37.06,38.98,475958
2026-04-06,39.0,39.81,38.63,39.19,489729
2026-04-07,39.0,39.4,37.97,38.02,495044
2026-04-08,38.845,39.7,38.04,38.29,479215
2026-04-09,38.0,38.14,35.86,35.98,810851
2026-04-10,35.88,36.06,34.64,35.41,980161
2026-04-13,35.32,38.24,35.3,37.83,758008
2026-04-14,38.61,40.3899,38.27,38.78,1050816
2026-04-15,39.14,41.52,39.0,41.47,763836
2026-04-16,41.81,43.15,41.6,42.92,783270
2026-04-17,43.9,44.42,42.8,43.32,483204
2026-04-20,42.86,43.93,42.86,43.93,561635
2026-04-21,44.16,45.66,43.38,44.56,996635
2026-04-22,45.01,45.19,44.175,44.76,358476
2026-04-23,43.92,44.16,42.31,43.24,517919
2026-04-24,43.37,44.38,43.03,44.29,430980
2026-04-27,43.95,45.55,43.95,45.03,608441
2026-04-28,44.97,45.99,44.4,44.74,1012330
2026-04-29,44.54,45.135,43.36,43.99,901771
2026-04-30,44.0,45.57,43.18,44.6,1131834
2026-05-01,45.0,45.74,44.6,45.43,636506
2026-05-04,45.69,49.5,45.01,48.89,1725158
2026-05-05,49.12,52.65,49.12,49.75,5949792
2026-05-06,52.5,55.79,48.0801,54.84,5102246
2026-05-07,53.95,55.68,52.51,55.0,2753075
2026-05-08,55.1,56.02,53.97,56.02,1863094
2026-05-11,55.52,56.5,53.85,54.74,1782087
2026-05-12,53.65,55.3075,53.65,55.22,1155288
2026-05-13,55.41,55.78,53.36,54.06,1591534
2026-05-14,54.39,55.04,51.72,53.88,2117519
2026-05-15,53.91,55.4702,53.38,54.5,1097152
2026-05-18,55.3,55.83,54.24,54.71,1069752
2026-05-19,55.1,55.68,54.2575,54.96,854119
2026-05-20,55.34,55.34,53.61,54.74,1252652
2026-05-21,54.37,56.0,53.86,55.12,1101433
2026-05-22,54.84,55.56,53.725,55.25,1306184
2026-05-26,55.44,55.7,52.83,52.98,1310004
2026-05-27,52.81,54.94,52.25,53.58,990813
2026-05-28,53.75,55.05,52.93,54.95,1275691
2026-05-29,55.19,56.86,54.13,56.21,2737578
2026-06-01,57.35,62.075,55.15,60.92,3356897
2026-06-02,60.0,60.8,58.02,58.48,1777683
2026-06-03,58.44,58.94,56.7701,58.66,1000270
2026-06-04,58.82,64.3,58.155,62.98,2101251
2026-06-05,63.0,66.55,63.0,63.62,2408189
2026-06-08,64.49,65.7189,62.81,62.86,1674032
2026-06-09,63.48,65.78,61.6,62.78,1866861
2026-06-10,65.17,65.99,61.5,62.06,2899053
2026-06-11,63.29,66.74,61.51,64.75,2448183
2026-06-12,66.15,66.9,63.46,65.34,1222840
2026-06-15,66.25,68.675,66.0,68.35,1881560
2026-06-16,69.03,70.72,67.06,67.81,2313522
2026-06-17,68.0,68.87,66.66,67.04,1498867
2026-06-18,67.44,69.55,65.96,69.42,2826520
2026-06-22,69.37,71.44,68.31,68.85,2307562
2026-06-23,68.05,70.75,67.86,70.38,1317635
2026-06-24,71.99,72.39,70.2,70.56,1913095
2026-06-25,70.89,75.17,69.4,75.14,2851752
2026-06-26,74.885,79.26,74.27,78.97,8946939
2026-06-29,78.91,84.62,78.001,81.48,4342168
2026-06-30,81.06,83.84,80.0,83.0,1806894
2026-07-01,83.58,86.66,81.72,85.07,2007583
2026-07-02,85.0,85.6475,82.53,84.05,1112788
2026-07-06,83.42,90.1193,83.06,88.52,1709054
2026-07-07,88.77,90.9139,87.7,89.3,1994329
2026-07-08,88.45,90.085,86.8763,88.5,1775325
2026-07-09,89.23,91.07,88.9,89.92,1292348
2026-07-10,89.09,90.53,87.446,88.8,1176365
2026-07-13,91.05,91.5,88.59,90.0,2478121
2026-07-14,88.5,90.998,87.81,89.31,1349113
2026-07-15,88.55,89.88,85.22,85.75,1842399
2026-07-16,86.22,88.35,84.0,85.98,1350713
2026-07-17,84.68,87.44,83.8,87.09,1911097
