date,open,high,low,close,volume
2025-09-02,28.05,28.97,27.7946,28.94,13262310
2025-09-03,29.0,29.2,28.51,28.7,8245497
2025-09-04,28.72,28.96,28.47,28.92,11584160
2025-09-05,29.05,29.45,28.895,29.34,8677808
2025-09-08,29.28,29.39,28.83,29.35,8064860
2025-09-09,29.21,29.55,28.915,29.04,9901720
2025-09-10,28.42,28.57,27.5901,28.37,9094835
2025-09-11,28.52,28.8,28.245,28.34,8055503
2025-09-12,28.24,28.485,27.93,27.97,8101374
2025-09-15,28.04,28.1,27.7,27.75,8790304
2025-09-16,27.82,28.17,27.62,27.72,6606566
2025-09-17,27.77,28.5,27.691,27.9,12909270
2025-09-18,28.21,28.3,27.85,28.24,7021548
2025-09-19,28.28,28.3,27.985,28.16,12697940
2025-09-22,28.12,28.3665,27.73,28.26,7248503
2025-09-23,28.36,28.855,28.36,28.53,7382767
2025-09-24,28.48,28.74,27.465,27.5,10197510
2025-09-25,27.07,27.14,26.73,26.85,10496620
2025-09-26,26.76,26.9,26.315,26.71,7872350
2025-09-29,26.89,27.045,26.68,26.89,9098433
2025-09-30,26.9,27.25,26.845,27.23,7986780
2025-10-01,27.19,27.22,26.4,26.7,14390510
2025-10-02,26.76,27.15,26.42,26.48,10975410
2025-10-03,26.61,27.29,26.505,26.64,10520680
2025-10-06,26.79,26.913,26.44,26.61,7705761
2025-10-07,26.78,26.84,26.2,26.55,14473010
2025-10-08,26.58,27.175,26.44,27.03,20463660
2025-10-09,27.16,27.34,26.73,26.97,10128340
2025-10-10,27.1,27.18,25.455,25.55,15792440
2025-10-13,26.03,27.38,26.01,27.35,14137520
2025-10-14,27.49,28.74,27.4,28.54,21556960
2025-10-15,28.86,28.985,28.39,28.61,18360290
2025-10-16,28.69,28.73,27.085,27.2,24747270
2025-10-17,27.1,27.61,27.0,27.37,10955850
2025-10-20,27.56,28.09,27.5,27.66,7049727
2025-10-21,27.73,28.5,27.6725,28.16,8330462
2025-10-22,27.2,27.965,26.97,27.66,8976844
2025-10-23,27.78,28.14,27.665,27.83,11798880
2025-10-24,28.26,28.43,27.635,27.66,8626493
2025-10-27,27.94,28.095,27.705,27.92,10867720
2025-10-28,27.8,28.1855,27.513,28.07,7421220
2025-10-29,27.88,28.25,27.57,27.7,8931507
2025-10-30,27.39,27.825,27.18,27.51,10356360
2025-10-31,27.52,27.88,27.29,27.67,14271800
2025-11-03,27.6,27.8,26.7,27.01,10354800
2025-11-04,26.52,26.715,25.91,25.94,10081520
2025-11-05,25.94,26.71,25.76,26.64,12247740
2025-11-06,26.67,26.69,26.1,26.17,9075827
2025-11-07,26.01,26.33,25.82,26.28,8710942
2025-11-10,26.57,26.58,25.18,25.29,16143200
2025-11-11,25.21,25.265,24.625,24.73,14505700
2025-11-12,24.85,25.32,24.85,25.21,10318410
2025-11-13,25.2,25.435,24.935,24.98,12224920
2025-11-14,24.7,25.0,24.47,24.53,9788745
2025-11-17,23.56,23.99,22.775,22.87,19877400
2025-11-18,22.71,23.0051,22.395,22.71,11853450
2025-11-19,22.66,22.785,22.44,22.47,9138793
2025-11-20,22.68,22.94,22.265,22.61,15566230
2025-11-21,22.8,24.26,22.765,23.96,19349530
2025-11-24,24.05,24.5,23.97,24.38,19135900
2025-11-25,24.4,25.05,24.195,24.32,22657490
2025-11-26,24.095,24.58,23.495,23.98,22163260
2025-11-28,24.15,24.43,23.835,24.42,6873063
2025-12-01,24.0,24.72,23.98,24.39,14182840
2025-12-02,24.75,25.45,24.43,25.15,15550890
2025-12-03,25.24,25.47,24.97,25.19,11971040
2025-12-04,25.195,25.93,25.11,25.9,11666130
2025-12-05,25.93,26.04,25.64,25.91,10225380
2025-12-08,25.74,25.765,24.91,25.07,15600430
2025-12-09,24.79,25.52,24.745,25.38,10451990
2025-12-10,25.34,25.58,25.13,25.49,11980380
2025-12-11,25.14,25.49,25.105,25.41,10515790
2025-12-12,25.39,25.47,24.67,24.74,9407456
2025-12-15,24.95,25.03,24.3824,24.49,12812120
2025-12-16,24.46,24.925,24.415,24.83,9995651
2025-12-17,24.77,24.89,24.215,24.43,12453990
2025-12-18,23.87,24.11,22.98,23.45,20895150
2025-12-19,23.39,23.53,23.065,23.26,28443650
2025-12-22,23.49,23.645,23.085,23.17,11198490
2025-12-23,23.15,23.39,22.78,22.93,10546640
2025-12-24,22.99,23.265,22.965,23.16,4190948
2025-12-26,23.18,23.305,23.13,23.26,6309412
2025-12-29,23.18,23.275,22.66,22.73,11566380
2025-12-30,22.68,22.975,22.66,22.9,10809260
2025-12-31,22.86,22.9,22.27,22.28,9723921
2026-01-02,22.54,22.6,22.01,22.12,19045390
2026-01-05,22.11,22.295,21.61,21.66,18710530
2026-01-06,21.62,22.37,21.3553,22.15,18039320
2026-01-07,22.14,22.16,20.9346,21.09,18867430
2026-01-08,20.91,21.895,20.65,21.39,24546270
2026-01-09,21.61,21.64,20.92,21.47,19442890
2026-01-12,21.48,21.62,21.13,21.18,12773860
2026-01-13,21.0,21.42,20.745,21.08,20012450
2026-01-14,21.01,21.59,20.7046,20.77,14343210
2026-01-15,20.87,21.02,20.505,20.61,14123900
2026-01-16,20.08,20.74,19.98,20.37,20501940
2026-01-20,20.01,20.28,19.5814,19.8,19624960
2026-01-21,19.87,19.99,19.275,19.53,18332540
2026-01-22,19.67,20.2,19.65,19.83,13934870
2026-01-23,19.7,19.71,19.2,19.43,17425140
2026-01-26,19.48,19.595,19.3,19.46,14451770
2026-01-27,19.5,19.52,19.15,19.37,15257180
2026-01-28,19.42,19.655,19.01,19.05,16930360
2026-01-29,19.07,19.625,18.935,19.39,18153930
2026-01-30,19.3,19.45,18.96,19.44,21546190
2026-02-02,19.48,19.93,19.4,19.81,28367050
2026-02-03,19.06,19.15,18.315,19.0,33138570
2026-02-04,19.34,20.545,19.31,19.82,31605000
2026-02-05,19.8,19.94,18.78,19.15,24443390
2026-02-06,19.14,19.9,19.14,19.65,14950580
2026-02-09,19.39,19.62,19.14,19.43,16673100
2026-02-10,19.6,20.42,19.6,19.81,16196410
2026-02-11,19.84,19.91,19.5,19.76,14736550
2026-02-12,19.0,19.26,18.26,18.87,26313950
2026-02-13,19.11,19.74,19.06,19.26,20576940
2026-02-17,19.17,19.37,18.49,18.49,20393570
2026-02-18,18.4,18.715,18.245,18.35,17989720
2026-02-19,18.3,18.62,18.255,18.34,10709750
2026-02-20,18.45,18.92,18.12,18.59,19197870
2026-02-23,18.47,18.66,18.13,18.35,17355260
2026-02-24,18.39,18.81,18.0,18.2,27599410
2026-02-25,17.7,19.2,17.56,18.21,48394440
2026-02-26,18.6,19.175,18.56,18.81,26599550
2026-02-27,18.6,19.04,18.41,18.99,23565380
2026-03-02,18.72,18.965,18.54,18.7,18215050
2026-03-03,18.475,19.055,18.46,19.01,14308930
2026-03-04,19.01,19.32,18.67,19.18,13774210
2026-03-05,19.25,19.575,19.105,19.34,16166710
2026-03-06,19.15,19.49,18.885,19.46,14749900
2026-03-09,19.17,19.19,18.495,18.93,21087640
2026-03-10,18.91,19.185,18.47,18.79,18327400
2026-03-11,18.7,19.035,18.255,18.46,13783440
2026-03-12,18.55,19.18,18.445,18.95,26132040
2026-03-13,19.1,19.16,18.615,18.93,12918910
2026-03-16,19.0,19.13,18.4,18.68,18240360
2026-03-17,18.8,19.0075,18.7,18.75,12691290
2026-03-18,18.6,18.875,18.21,18.22,15764080
2026-03-19,18.15,18.89,18.0092,18.48,17067370
2026-03-20,18.43,18.535,18.085,18.27,49081960
2026-03-23,18.37,18.67,18.02,18.53,14237140
2026-03-24,18.35,19.01,18.18,18.89,13790520
2026-03-25,19.12,20.14,19.0907,19.46,21397450
2026-03-26,19.34,20.135,19.27,19.32,22004380
2026-03-27,19.29,19.525,18.92,19.44,23557230
2026-03-30,19.58,19.69,18.83,19.05,24821420
2026-03-31,19.11,19.33,18.665,19.21,24181430
2026-04-01,19.2,19.31,18.635,18.95,17760730
2026-04-02,19.0,19.52,18.64,19.51,15191390
2026-04-06,19.51,19.52,18.93,18.94,13348530
2026-04-07,18.77,18.99,18.53,18.61,14315300
2026-04-08,19.03,19.145,18.52,18.89,18862620
2026-04-09,18.83,18.97,18.125,18.38,19533920
2026-04-10,18.75,18.93,18.13,18.26,13557970
2026-04-13,18.29,19.415,18.15,19.23,32994220
2026-04-14,18.77,19.11,18.52,18.99,16728330
2026-04-15,19.18,19.34,18.85,19.23,12139640
2026-04-16,19.42,19.85,19.27,19.72,12372090
2026-04-17,19.8,20.035,19.66,19.88,15876370
2026-04-20,19.79,20.0,19.59,19.59,12694450
2026-04-21,19.68,21.415,19.63,21.09,25665690
2026-04-22,21.03,21.38,20.39,20.44,17632900
2026-04-23,20.28,20.315,19.8641,20.14,12813190
2026-04-24,20.34,20.615,19.65,19.79,17258580
2026-04-27,19.8,20.105,19.5,19.76,10155800
2026-04-28,19.79,20.09,19.65,19.73,12370660
2026-04-29,19.72,20.725,19.63,20.14,14764750
2026-04-30,20.1,20.955,19.96,20.86,17939440
2026-05-01,20.96,21.05,20.54,20.83,11999920
2026-05-04,20.89,21.2686,20.575,20.8,9584466
2026-05-05,20.91,21.4663,20.37,21.15,17666970
2026-05-06,21.2,21.695,20.87,21.41,20308570
2026-05-07,21.32,21.65,20.885,20.99,19750870
2026-05-08,21.08,22.739,21.0,22.68,21551000
2026-05-11,22.775,22.775,21.51,21.67,22194360
2026-05-12,21.74,21.74,20.8534,21.08,15587830
2026-05-13,21.47,21.8,21.14,21.26,12318240
2026-05-14,21.46,21.64,20.71,20.77,17170880
2026-05-15,20.75,21.0999,20.57,20.81,15862420
2026-05-18,20.95,21.2,20.63,20.92,9497763
2026-05-19,20.9,21.0,20.44,20.97,10887410
2026-05-20,20.99,21.465,20.75,21.07,13478020
2026-05-21,21.03,22.02,20.815,21.9,16310020
2026-05-22,22.6,25.565,22.58,25.24,48674190
2026-05-26,25.2,25.29,24.17,24.43,33901070
2026-05-27,24.39,25.6,23.96,25.49,35091260
2026-05-28,26.28,26.65,24.57,25.01,36936190
2026-05-29,26.7,28.173,26.5,27.04,59025750
2026-06-01,27.5,29.54,27.31,29.34,41596470
2026-06-02,29.5,29.65,27.2,27.29,29259820
