date,open,high,low,close,volume
2025-09-02,25.82,27.53,24.77,27.4,4428122
2025-09-03,27.79,28.66,26.2506,27.67,11114730
2025-09-04,27.6,27.81,25.53,25.61,6387336
2025-09-05,26.39,27.16,24.202,25.38,5256837
2025-09-08,25.49,26.16,25.455,25.48,3877391
2025-09-09,26.675,29.34,26.1865,29.3,9270686
2025-09-10,30.135,31.93,29.752,30.95,7678386
2025-09-11,31.13,32.22,30.66,31.96,4634011
2025-09-12,32.22,32.83,31.79,32.44,3817479
2025-09-15,33.12,34.21,32.355,34.195,4207661
2025-09-16,34.62,35.65,33.8,35.03,5853057
2025-09-17,33.99,38.36,33.9028,37.79,9526081
2025-09-18,38.4,39.47,37.345,37.38,8937031
2025-09-19,37.1,37.6199,35.63,36.24,9566531
2025-09-22,35.67,38.34,34.36,37.87,6618600
2025-09-23,38.16,38.99,35.08,35.42,8555087
2025-09-24,36.27,38.14,35.69,37.86,7193978
2025-09-25,35.925,36.69,33.68,34.88,8829662
2025-09-26,34.9,34.99,32.28,33.16,5589203
2025-09-29,34.07,35.53,33.9313,34.845,4814390
2025-09-30,34.66,35.15,33.91,34.81,3053303
2025-10-01,35.26,37.45,34.5445,36.53,5969677
2025-10-02,37.27,39.32,36.69,39.04,5817047
2025-10-03,39.75,41.64,38.9013,40.1,7170615
2025-10-06,41.5,42.39,40.91,41.42,5503112
2025-10-07,42.75,43.41,38.89,41.73,5856588
2025-10-08,42.3,45.25,42.12,44.6,8711401
2025-10-09,44.0,46.59,43.6,46.36,5004580
2025-10-10,49.13,51.299,42.875,43.57,11113270
2025-10-13,45.84,49.13,43.9089,49.11,6944661
2025-10-14,46.45,52.4,43.41,49.945,11726760
2025-10-15,53.075,57.2899,51.981,53.91,13599510
2025-10-16,54.19,54.4507,48.675,48.78,8061450
2025-10-17,46.375,48.7617,45.3116,48.46,7436336
2025-10-20,51.93,52.32,48.55,49.92,7154155
2025-10-21,48.86,48.9202,45.62,46.92,7270901
2025-10-22,46.0,46.51,36.2,38.84,18572850
2025-10-23,39.04,41.78,38.1885,40.64,6522838
2025-10-24,43.23,48.0,41.8,47.66,9821837
2025-10-27,48.65,50.5,47.76,49.8,5479717
2025-10-28,50.685,54.84,49.47,50.23,7101408
2025-10-29,51.03,53.61,48.92,51.92,6508240
2025-10-30,48.675,51.09,47.56,48.57,6152713
2025-10-31,50.58,52.7699,48.36,50.66,5966531
2025-11-03,54.0,55.55,50.6458,55.0,13903360
2025-11-04,50.39,53.825,45.029,48.11,13124930
2025-11-05,50.04,51.3622,46.86,47.0,8304478
2025-11-06,46.41,46.48,42.38,43.37,7385226
2025-11-07,41.28,45.1891,40.14,44.59,7305224
2025-11-10,46.95,48.7277,44.745,47.17,9491772
2025-11-11,45.745,46.42,42.2,43.91,7169708
2025-11-12,44.92,45.75,39.86,41.73,6956204
2025-11-13,39.17,41.39,35.72,36.02,12287800
2025-11-14,33.7,39.9,33.4,36.94,10567620
2025-11-17,35.88,39.07,35.5,37.7,7121202
2025-11-18,36.7,39.87,36.42,38.67,6886067
2025-11-19,39.1,39.9886,36.68,37.54,5576973
2025-11-20,40.175,41.06,33.38,33.76,10315860
2025-11-21,33.01,35.07,31.67,34.34,7261883
2025-11-24,34.905,39.43,34.84,39.26,5943580
2025-11-25,37.47,40.16,36.78,39.96,5113414
2025-11-26,40.015,42.65,39.52,42.37,3949864
2025-11-28,43.52,45.47,42.92,45.0,3185702
2025-12-01,41.795,44.23,41.33,43.57,4636118
2025-12-02,44.58,45.45,37.0,37.68,14390400
2025-12-03,37.36,40.3,36.9343,40.02,4916990
2025-12-04,39.09,42.99,38.88,42.81,5002246
2025-12-05,41.87,42.73,40.95,42.43,3542102
2025-12-08,43.389,43.418,41.64,42.93,2733030
2025-12-09,42.4,46.0,41.93,44.91,4035626
2025-12-10,44.375,47.1999,43.5,46.04,5539644
2025-12-11,44.3,46.85,42.8,46.75,4620513
2025-12-12,45.83,46.75,40.955,41.31,7796019
2025-12-15,40.96,41.0,34.8,35.44,8771100
2025-12-16,35.35,37.115,34.18,36.85,4509980
2025-12-17,41.93,44.6999,39.77,40.16,22652540
2025-12-18,42.9,45.64,38.36,38.59,12025720
2025-12-19,40.22,44.57,40.0,44.12,11501210
2025-12-22,45.88,52.63,45.14,50.39,13541500
2025-12-23,48.15,53.88,47.91,52.47,11310560
2025-12-24,51.73,53.8799,51.551,52.8,2419832
2025-12-26,52.88,53.19,48.4,49.64,4417318
2025-12-29,48.735,51.99,48.51,48.83,3862426
2025-12-30,48.83,48.99,46.22,46.28,3258204
2025-12-31,46.55,48.3,45.49,45.94,2741297
2026-01-02,47.85,52.61,46.801,51.27,6545970
2026-01-05,52.98,59.76,52.75,58.25,9875411
2026-01-06,57.63,60.42,56.27,58.35,5939139
2026-01-07,56.9,60.01,56.8,57.88,4329949
2026-01-08,58.075,59.97,56.85,57.95,4263471
2026-01-09,59.85,62.68,59.0,60.04,5159919
2026-01-12,58.96,61.77,58.73,61.09,3578723
2026-01-13,61.33,62.91,60.01,61.48,3959803
2026-01-14,61.33,62.9,57.52,58.37,5327348
2026-01-15,59.0,59.19,55.64,57.28,4506465
2026-01-16,57.15,60.6199,54.65,59.65,5427860
2026-01-20,56.94,60.0614,54.75,58.29,5003690
2026-01-21,59.08,62.54,55.08,58.94,5996253
2026-01-22,59.01,61.0,54.96,55.12,3705473
2026-01-23,55.04,60.69,53.26,58.22,6351534
2026-01-26,58.78,60.0,55.7,56.39,4753425
2026-01-27,60.0,62.15,56.5,61.84,5734259
2026-01-28,63.74,66.07,61.23,64.6,6000604
2026-01-29,63.56,64.585,59.34,61.53,5249937
2026-01-30,61.19,62.66,55.64,55.83,7467055
2026-02-02,54.3,57.93,53.8,56.18,4535137
2026-02-03,57.49,60.33,55.89,59.02,6191977
2026-02-04,57.68,58.19,49.2,54.17,9825568
2026-02-05,49.99,51.025,43.81,44.48,11391240
2026-02-06,48.99,53.09,46.78,53.06,6165859
2026-02-09,52.86,57.31,52.18,56.89,5153913
2026-02-10,55.91,56.8396,54.64,54.9,3649216
2026-02-11,55.49,57.04,51.8257,53.22,3961467
2026-02-12,53.59,54.34,49.58,50.97,3728037
2026-02-13,51.19,55.7,49.63,53.87,3670739
2026-02-17,52.5,54.52,51.15,52.94,3416044
2026-02-18,53.31,55.2,52.1,53.615,3542689
2026-02-19,52.83,54.905,51.18,54.86,2235763
2026-02-20,53.95,56.26,52.5,53.82,3855516
2026-02-23,52.47,55.65,51.9,54.03,7617847
2026-02-24,53.71,60.21,53.2,59.19,7128533
2026-02-25,59.92,61.82,54.92,55.3,6928724
2026-02-26,55.85,57.86,54.035,54.82,3969786
2026-02-27,53.118,53.97,51.73,53.23,4752714
2026-03-02,51.69,56.28,51.25,52.72,4021986
2026-03-03,50.99,51.14,47.58,47.6,4243151
2026-03-04,50.28,54.93,49.66,54.21,4835405
2026-03-05,53.5,54.095,48.6,51.36,3429831
2026-03-06,49.24,50.2799,46.78,47.07,4175144
2026-03-09,46.26,49.2,44.12,48.74,3647205
2026-03-10,48.94,50.97,48.06,49.18,4504187
2026-03-11,49.2,52.64,49.161,51.12,3937248
2026-03-12,49.67,49.91,46.94,48.54,3681900
2026-03-13,50.0,51.92,47.96,48.32,2725223
2026-03-16,50.66,51.89,49.92,51.19,3510902
2026-03-17,50.85,52.747,50.79,51.79,2547895
2026-03-18,50.465,51.77,48.84,49.36,3790092
2026-03-19,48.03,50.96,46.61,50.14,3577403
2026-03-20,50.14,51.18,46.59,47.46,4336277
2026-03-23,49.47,53.445,49.25,52.94,7279596
2026-03-24,52.06,53.48,50.48,53.25,4242615
2026-03-25,55.09,56.87,54.81,55.62,4528908
2026-03-26,53.5,53.85,49.55,50.58,4985695
2026-03-27,49.72,49.99,46.655,47.405,4668603
2026-03-30,48.21,48.8,42.06,42.72,4809981
2026-03-31,44.03,47.03,43.75,46.91,4270500
2026-04-01,48.8,49.5,47.31,47.36,3418163
2026-04-02,44.9,49.9,44.21,48.11,3688873
2026-04-06,48.5,50.18,48.15,49.58,2074314
2026-04-07,49.7,52.71,48.05,52.66,4380058
2026-04-08,57.085,63.66,56.98,61.43,11123430
2026-04-09,61.06,67.08,60.5488,63.42,8390137
2026-04-10,64.5,68.66,64.5,66.085,5824931
2026-04-13,64.7,71.16,63.2301,69.76,5636367
2026-04-14,72.3303,74.6481,71.15,71.74,4913935
2026-04-15,71.66,72.32,68.32,71.09,5361623
2026-04-16,71.36,71.66,68.05,70.92,3454905
2026-04-17,73.47,76.08,72.08,74.9,6005975
2026-04-20,73.99,79.04,73.74,78.99,4876901
2026-04-21,80.12,82.2,75.81,76.58,4410533
2026-04-22,80.4,82.4936,79.8,80.74,3965004
2026-04-23,80.0,83.18,77.77,78.77,4367398
2026-04-24,80.24,82.1,76.83,76.87,5310972
2026-04-27,76.87,76.89,74.1201,75.71,2540353
2026-04-28,71.651,73.57,69.5,72.11,3867259
2026-04-29,72.79,72.91,69.3,71.0,2312365
2026-04-30,74.41,76.94,73.3,75.78,4427796
2026-05-01,77.0,79.1,76.0914,76.98,2745561
2026-05-04,77.63,78.53,74.9,78.08,3035304
2026-05-05,79.78,80.76,77.0016,80.51,3717704
2026-05-06,101.57,111.33,96.39,108.94,19778870
2026-05-07,105.105,105.105,93.8,101.18,9280447
2026-05-08,105.77,106.18,96.79,98.46,5297415
2026-05-11,97.865,106.33,94.2,102.19,5772444
2026-05-12,99.85,108.05,97.44,107.31,4582371
2026-05-13,107.48,112.26,103.01,108.32,4664087
2026-05-14,108.47,110.66,104.51,109.37,4560167
2026-05-15,104.3,104.47,99.52,102.47,4781089
2026-05-18,100.5,101.0,92.502,96.2,5593962
2026-05-19,95.21,96.0,86.82,93.31,5234986
2026-05-20,97.1,100.56,94.84,96.51,4110971
2026-05-21,96.87,105.43,96.2,105.26,4449830
2026-05-22,104.2,108.5299,101.45,105.9,3307149
2026-05-26,111.9,116.45,110.36,112.54,5049622
2026-05-27,113.39,119.61,109.635,117.64,4067322
2026-05-28,119.0,126.26,114.66,124.24,4850629
2026-05-29,123.5,126.651,119.58,124.83,3951994
2026-06-01,123.03,134.3847,120.05,132.38,4317344
2026-06-02,134.19,140.8,130.53,133.02,3644250
2026-06-03,133.83,135.31,126.84,131.29,3281449
2026-06-04,124.69,130.58,120.4189,127.76,3740540
2026-06-05,122.25,122.62,108.12,112.24,6012834
2026-06-08,119.0,121.38,113.64,119.6,3601584
2026-06-09,122.9,124.9799,107.32,112.65,4528313
2026-06-10,111.0,116.89,104.2501,105.68,2687036
2026-06-11,107.64,117.24,107.35,116.31,4294705
2026-06-12,116.75,124.3,115.02,118.86,2846962
2026-06-15,125.99,128.6,118.74,120.18,3643790
2026-06-16,121.25,124.95,119.24,121.48,3500003
2026-06-17,121.39,126.28,118.08,118.88,4731210
2026-06-18,123.37,126.92,119.15,124.44,4299977
2026-06-22,127.63,129.88,118.6006,121.04,3833774
2026-06-23,113.22,124.29,111.11,120.51,3566899
2026-06-24,120.0,120.47,111.5101,116.1,3875703
2026-06-25,120.1,121.9948,109.3,117.68,3191660
2026-06-26,113.71,123.88,109.51,123.02,11587070
2026-06-29,125.26,126.4585,111.25,118.27,3932282
2026-06-30,115.25,117.45,112.7322,115.445,3724151
2026-07-01,110.0,111.86,98.67,105.79,6183584
2026-07-02,106.84,108.49,94.0183,97.14,5621743
2026-07-06,103.48,109.8,101.7,103.78,4205127
2026-07-07,101.59,102.19,92.56,96.74,4172074
2026-07-08,95.295,106.39,94.49,106.11,3444412
2026-07-09,110.5,112.39,105.72,106.22,3078906
2026-07-10,106.11,107.0227,99.91,102.22,2550932
2026-07-13,100.28,102.28,95.825,99.17,2563634
2026-07-14,103.11,104.0,96.07,98.33,2721445
2026-07-15,99.45,106.135,95.64,103.03,4125035
2026-07-16,98.13,101.67,90.02,91.91,4460193
2026-07-17,87.02,96.02,83.3,91.45,4603858
