date,open,high,low,close,volume
2025-09-02,106.05,107.32,105.67,107.27,4474795
2025-09-03,107.36,107.7,106.59,107.32,3316550
2025-09-04,106.51,106.975,105.3,106.84,10650030
2025-09-05,108.1,108.68,106.455,108.14,5579312
2025-09-08,109.09,110.08,108.89,110.02,5751180
2025-09-09,110.29,110.655,109.52,110.52,4822565
2025-09-10,113.33,114.13,111.8,112.24,18169730
2025-09-11,112.98,113.26,112.09,112.4,6414747
2025-09-12,112.7,112.855,111.51,111.67,4690500
2025-09-15,112.33,112.95,112.13,112.81,4937632
2025-09-16,113.43,113.48,112.36,112.72,3199971
2025-09-17,112.78,113.53,111.64,113.22,4729781
2025-09-18,114.31,115.795,114.24,115.37,8158548
2025-09-19,115.79,117.36,115.715,117.19,4535868
2025-09-22,116.57,117.885,115.83,117.79,4849166
2025-09-23,117.82,117.99,116.06,116.4,4560313
2025-09-24,116.775,117.01,114.67,115.22,2475549
2025-09-25,113.8,114.47,112.91,113.895,3525374
2025-09-26,114.18,115.15,113.66,114.97,3483679
2025-09-29,115.62,116.46,115.59,115.98,2788704
2025-09-30,115.96,116.0383,114.015,115.01,3514898
2025-10-01,114.77,115.49,114.245,115.07,3476832
2025-10-02,115.685,115.9,115.025,115.72,3377557
2025-10-03,115.79,116.29,114.5061,114.83,3535154
2025-10-06,115.72,117.32,115.22,115.62,5353627
2025-10-07,115.86,116.02,113.14,114.37,5962215
2025-10-08,114.59,115.81,114.59,115.69,4220932
2025-10-09,115.55,115.805,114.65,115.67,2723098
2025-10-10,115.85,116.43,112.025,112.09,5285763
2025-10-13,113.43,114.785,112.88,114.64,3941906
2025-10-14,113.08,114.5699,111.646,113.59,3272669
2025-10-15,114.7,114.81,112.31,113.29,2243085
2025-10-16,114.52,115.03,112.21,112.8,3690783
2025-10-17,111.85,113.17,111.466,112.675,2925348
2025-10-20,113.14,114.16,112.95,113.89,3334130
2025-10-21,113.825,115.41,113.29,115.01,3546319
2025-10-22,114.93,114.948,112.6,113.51,3127885
2025-10-23,113.31,114.865,113.31,114.79,1861127
2025-10-24,116.04,116.765,115.76,116.0,2045131
2025-10-27,117.75,117.75,116.77,117.08,2454788
2025-10-28,117.44,117.76,116.65,116.72,2247860
2025-10-29,116.145,116.22,114.5,115.22,5760233
2025-10-30,114.17,115.74,113.75,113.97,4082866
2025-10-31,114.66,115.85,114.5,115.51,3248951
2025-11-03,116.04,116.32,113.96,115.7,3228607
2025-11-04,113.4,113.94,111.61,112.0,3630837
2025-11-05,111.92,112.16,111.08,111.75,6207694
2025-11-06,111.5,111.59,108.5,109.31,7338751
2025-11-07,108.02,109.54,106.88,109.48,7537912
2025-11-10,110.7,111.94,110.365,111.78,6825450
2025-11-11,111.03,111.48,110.285,111.03,6647135
2025-11-12,111.5,111.53,109.25,109.85,5185291
2025-11-13,109.11,109.24,106.52,106.84,6434093
2025-11-14,105.16,108.57,104.7488,107.44,6437854
2025-11-17,106.84,107.43,104.705,105.49,4256729
2025-11-18,104.57,105.45,103.47,104.41,7837956
2025-11-19,104.23,105.2,103.235,103.89,4603631
2025-11-20,105.46,105.98,100.64,100.8,10513350
2025-11-21,100.81,101.99,98.7,100.92,8921557
2025-11-24,101.4,102.57,100.8,102.23,5769404
2025-11-25,101.53,103.42,100.64,103.19,4399881
2025-11-26,103.97,103.97,102.385,102.97,4302090
2025-11-28,103.25,104.17,103.212,104.09,2751139
2025-12-01,103.06,104.56,102.59,104.07,3903771
2025-12-02,104.92,106.015,104.782,105.22,4386777
2025-12-03,104.57,106.725,104.12,106.68,3927339
2025-12-04,107.315,108.05,106.65,107.95,4835225
2025-12-05,108.39,109.86,108.29,109.46,4144349
2025-12-08,109.96,110.33,108.93,109.4,7700180
2025-12-09,109.0,110.37,109.0,109.95,3291338
2025-12-10,109.715,110.845,109.2,110.08,7545035
2025-12-11,108.55,110.325,108.37,109.78,8113019
2025-12-12,109.56,109.68,107.39,107.97,6165488
2025-12-15,107.65,107.825,105.35,105.39,5911929
2025-12-16,104.96,106.5,104.94,106.31,5923602
2025-12-17,106.34,107.11,104.665,104.7,3623004
2025-12-18,105.86,106.87,105.6445,106.18,3676446
2025-12-19,106.95,108.035,106.75,107.76,3551520
2025-12-22,108.35,109.185,108.19,108.95,2801900
2025-12-23,108.48,108.78,107.33,108.07,2428770
2025-12-24,107.93,108.32,107.66,108.23,766747
2025-12-26,108.1,108.47,107.73,108.1,1213029
2025-12-29,107.31,108.17,107.05,107.39,1665360
2025-12-30,107.22,107.71,106.92,106.99,1573391
2025-12-31,107.08,107.08,105.66,105.69,1921490
2026-01-02,106.49,106.49,101.93,102.62,6020165
2026-01-05,103.47,104.59,102.99,103.63,4848480
2026-01-06,103.55,104.96,103.34,104.92,3910195
2026-01-07,105.0,107.3,105.0,106.24,3216419
2026-01-08,105.63,105.7006,104.25,104.44,3037984
2026-01-09,104.46,105.28,103.53,105.0,3407431
2026-01-12,104.41,105.605,104.2,105.35,3232972
2026-01-13,104.97,105.46,102.94,103.35,7434897
2026-01-14,102.92,103.1001,100.09,101.07,7742398
2026-01-15,101.5,101.66,99.47,99.78,9024158
2026-01-16,100.0,100.0899,98.085,98.31,7824477
2026-01-20,96.3,97.27,95.795,95.93,10577870
2026-01-21,96.09,96.4,94.23,95.4,9513950
2026-01-22,96.42,96.955,95.8117,96.94,7214697
2026-01-23,96.89,98.56,96.775,97.71,9746304
2026-01-26,98.0,99.34,97.82,98.81,8478758
2026-01-27,99.075,99.28,97.415,97.76,9684448
2026-01-28,98.1,98.95,96.94,97.06,9073820
2026-01-29,94.49,94.49,90.65,92.27,23322980
2026-01-30,91.94,92.15,89.725,90.31,14835630
2026-02-02,91.135,91.36,89.29,89.52,9660662
2026-02-03,89.37,89.37,84.3,85.39,26636330
2026-02-04,84.05,84.78,81.53,83.84,45280340
2026-02-05,83.04,83.93,79.27,79.67,44959010
2026-02-06,81.57,82.53,80.21,82.46,38552240
2026-02-09,82.595,85.44,81.78,85.06,29011370
2026-02-10,85.71,87.08,85.282,85.41,26404800
2026-02-11,85.34,85.538,81.93,83.23,34726280
2026-02-12,82.91,83.17,79.71,80.96,30633480
2026-02-13,81.52,83.4,80.94,82.77,27101110
2026-02-17,82.11,82.49,79.91,80.96,21446630
2026-02-18,80.97,82.7,80.11,82.0,19962580
2026-02-19,81.825,82.23,80.99,81.78,12386350
2026-02-20,81.18,83.01,80.4,80.78,21967380
2026-02-23,79.49,79.49,76.425,76.94,44121350
2026-02-24,76.9,79.14,76.255,78.41,50584580
2026-02-25,78.66,80.865,78.26,80.85,36737010
2026-02-26,81.435,83.06,81.13,82.6,44117860
2026-02-27,80.3,81.63,80.0,81.57,25153360
2026-03-02,80.722,83.29,80.51,82.77,33334750
2026-03-03,81.09,84.665,80.89,84.12,44914780
2026-03-04,84.17,86.21,84.075,85.65,32063160
2026-03-05,85.645,88.35,85.59,87.62,42023350
2026-03-06,86.93,88.58,86.47,87.97,29346950
2026-03-09,87.05,88.13,86.34,87.71,31948930
2026-03-10,87.79,88.0,84.915,85.65,35674110
2026-03-11,86.57,87.72,84.785,85.74,26081660
2026-03-12,85.59,86.9384,84.965,84.99,32457570
2026-03-13,84.945,85.87,83.62,84.19,19114090
2026-03-16,84.935,85.38,84.525,84.95,13689670
2026-03-17,84.99,87.0901,84.86,85.53,13394370
2026-03-18,84.735,85.93,84.33,84.34,11633710
2026-03-19,83.89,85.4,83.61,84.46,20521880
2026-03-20,83.84,83.84,82.31,82.99,18578270
2026-03-23,83.85,85.32,83.55,84.44,18036570
2026-03-24,83.88,83.945,80.6712,80.82,26148110
2026-03-25,82.08,82.55,79.94,80.4,28215710
2026-03-26,79.54,81.24,79.3217,79.75,20723250
2026-03-27,78.44,78.67,76.61,76.89,17244270
2026-03-30,77.74,78.9925,76.98,77.62,23523220
2026-03-31,78.48,80.25,77.9,80.05,25627900
2026-04-01,80.75,80.83,78.67,79.77,19061870
2026-04-02,78.935,80.71,77.915,80.34,19201960
2026-04-06,80.42,80.93,79.76,80.46,6841095
2026-04-07,79.825,80.65,78.86,80.5,10652650
2026-04-08,83.135,83.69,79.275,79.75,27044150
2026-04-09,79.15,79.29,75.852,76.64,38649210
2026-04-10,76.5,76.5,73.93,74.67,49422530
2026-04-13,75.05,78.73,74.85,78.7,37739570
2026-04-14,80.12,81.24,78.875,79.48,28354150
2026-04-15,80.68,83.245,80.13,82.98,29219490
2026-04-16,85.13,85.33,83.26,84.36,34648130
2026-04-17,86.23,86.52,84.76,85.08,28709960
2026-04-20,85.03,86.35,84.5,86.3,15906390
2026-04-21,86.76,88.845,85.865,86.68,29962840
2026-04-22,87.87,89.04,87.48,88.74,23478320
2026-04-23,85.43,85.57,82.32,83.57,49153510
2026-04-24,84.36,85.395,83.42,85.2,21746850
2026-04-27,84.72,86.1,84.12,85.43,17131540
2026-04-28,85.24,86.02,84.56,85.0,18507450
2026-04-29,84.49,84.55,83.26,84.5,11182900
2026-04-30,83.9,84.11,82.18,83.91,26292680
2026-05-01,86.12,87.04,84.87,86.63,23314380
2026-05-04,87.23,89.355,87.02,88.44,18374360
2026-05-05,88.59,88.83,87.1,88.27,18348880
2026-05-06,88.27,88.42,86.33,87.82,23584680
2026-05-07,90.005,91.98,89.92,90.85,29902800
2026-05-08,89.83,91.15,88.28,91.15,17106590
2026-05-11,90.095,90.79,89.805,90.69,13442580
2026-05-12,90.7,90.87,88.76,89.44,25300710
2026-05-13,88.82,89.02,87.5,88.6,17058870
2026-05-14,88.7,91.08,87.66,90.64,17069860
2026-05-15,90.36,92.71,89.9,91.78,28612290
2026-05-18,91.06,93.29,90.73,92.87,31004690
2026-05-19,93.81,94.78,91.85,91.95,26334010
2026-05-20,90.925,93.32,90.04,93.32,18689460
2026-05-21,92.12,92.97,91.58,92.48,12795470
2026-05-22,93.2,94.915,93.13,94.01,11681320
2026-05-26,93.97,94.87,93.01,94.05,18696010
2026-05-27,92.57,94.325,92.27,93.045,13179960
2026-05-28,93.4,96.14,92.96,95.68,17442620
2026-05-29,96.89,101.69,96.53,101.66,37720970
2026-06-01,104.02,108.055,102.95,107.7,40104350
2026-06-02,104.57,105.77,102.9601,104.73,24585960
2026-06-03,103.33,103.5,99.93,100.2,24946440
2026-06-04,100.05,101.2599,99.06,100.06,17144660
2026-06-05,99.41,100.0,95.08,95.85,19514050
2026-06-08,96.042,96.62,95.045,95.65,12374770
2026-06-09,95.072,96.4,90.34,92.95,25503680
2026-06-10,91.22,93.835,91.07,91.58,12974520
2026-06-11,90.0,91.33,88.95,90.92,20571520
2026-06-12,90.63,91.2,88.96,90.7,14992860
2026-06-15,92.175,93.63,91.6,92.68,13410310
2026-06-16,92.28,92.9845,90.87,91.37,11964870
2026-06-17,90.84,92.11,89.03,89.16,19569550
2026-06-18,89.56,89.56,87.3,89.09,24331300
