date,open,high,low,close,volume
2025-09-02,56.07,56.095,54.235,54.55,321208
2025-09-03,54.42,55.25,54.225,54.86,240983
2025-09-04,55.25,57.1,55.1375,56.65,265694
2025-09-05,56.94,57.69,56.49,57.3,197344
2025-09-08,57.1,57.1,55.48,56.8,265427
2025-09-09,56.74,56.9,56.02,56.8,190651
2025-09-10,56.71,57.21,56.055,56.37,221518
2025-09-11,56.39,57.68,56.255,57.09,218284
2025-09-12,57.02,57.5499,56.7,56.97,192619
2025-09-15,57.27,57.88,56.99,57.3,226901
2025-09-16,57.3,58.3807,56.81,57.22,276610
2025-09-17,57.34,58.9,56.625,56.69,274365
2025-09-18,57.08,58.44,56.91,58.26,241615
2025-09-19,58.27,58.57,57.3515,57.43,603995
2025-09-22,57.17,57.2899,54.75,56.0,382934
2025-09-23,56.32,56.77,55.55,55.64,218872
2025-09-24,55.37,55.63,54.32,54.35,285293
2025-09-25,54.42,55.17,53.98,54.67,283978
2025-09-26,54.91,55.13,54.41,54.46,255806
2025-09-29,56.02,57.33,54.2,54.99,664335
2025-09-30,53.26,53.6595,51.96,53.58,406817
2025-10-01,53.7,55.42,53.2801,55.26,442441
2025-10-02,55.37,56.89,55.34,56.64,402634
2025-10-03,56.81,58.095,56.4,56.46,324113
2025-10-06,56.5,56.8,54.705,54.93,258781
2025-10-07,55.0,55.78,54.35,54.86,299700
2025-10-08,54.94,55.22,54.15,54.41,196557
2025-10-09,54.5,54.8644,53.1,53.38,302846
2025-10-10,53.87,54.0,51.16,51.2,330557
2025-10-13,51.93,52.4956,51.691,52.4,156025
2025-10-14,51.86,53.7,51.8,53.58,233200
2025-10-15,53.61,56.045,53.6,55.81,342191
2025-10-16,55.87,56.56,53.2601,53.71,348572
2025-10-17,53.41,54.2899,53.1701,53.71,171001
2025-10-20,54.17,55.165,54.1407,54.64,164767
2025-10-21,54.63,55.19,53.86,54.0,263345
2025-10-22,53.99,54.18,52.99,53.38,277829
2025-10-23,53.63,53.69,52.55,52.75,202125
2025-10-24,53.18,53.3699,52.6,52.83,215755
2025-10-27,53.0,53.21,52.55,53.12,234011
2025-10-28,53.13,53.13,52.1484,52.55,161197
2025-10-29,52.2,52.2,49.44,49.63,511381
2025-10-30,49.47,50.78,49.29,50.11,300396
2025-10-31,50.16,50.48,49.56,50.15,227118
2025-11-03,49.79,50.0,48.36,49.49,530970
2025-11-04,49.725,52.26,49.66,49.76,423073
2025-11-05,50.56,53.35,50.29,53.0,308902
2025-11-06,52.8,53.0346,50.85,50.96,307342
2025-11-07,50.5,52.25,50.23,51.46,322991
2025-11-10,51.8,51.92,51.11,51.48,221767
2025-11-11,51.9,52.34,51.62,51.98,218019
2025-11-12,51.58,52.0,50.47,50.47,209798
2025-11-13,50.33,50.99,49.84,50.09,186439
2025-11-14,49.35,49.48,48.305,48.43,359497
2025-11-17,48.3,48.31,47.3804,47.67,323307
2025-11-18,47.88,48.26,47.4416,47.58,234982
2025-11-19,48.0,48.24,45.89,45.89,294698
2025-11-20,46.28,46.74,44.58,44.58,514776
2025-11-21,45.48,48.33,45.25,48.05,429884
2025-11-24,48.14,49.475,47.5,49.27,421786
2025-11-25,49.03,50.07,48.94,48.98,278503
2025-11-26,49.09,50.39,49.0,49.51,350514
2025-11-28,49.5,50.25,49.2784,49.45,122834
2025-12-01,48.73,49.92,48.51,49.89,256948
2025-12-02,50.0,50.455,49.2685,49.87,172459
2025-12-03,50.08,51.84,49.8497,51.41,233803
2025-12-04,51.27,51.48,50.8,50.87,223988
2025-12-05,50.63,51.565,50.04,50.14,292890
2025-12-08,50.23,50.75,49.51,49.94,194415
2025-12-09,49.5,51.31,49.5,51.16,217613
2025-12-10,51.4,52.8,51.1996,52.5,516036
2025-12-11,52.46,53.35,52.0,52.11,200303
2025-12-12,55.34,58.366,54.0,56.77,1239262
2025-12-15,58.48,58.9,56.04,56.53,725671
2025-12-16,56.83,58.68,56.5,58.14,612087
2025-12-17,58.32,59.83,57.6771,58.43,464211
2025-12-18,59.5,59.6,56.05,56.37,825992
2025-12-19,56.65,56.68,52.74,53.15,1306411
2025-12-22,53.26,53.391,51.04,51.08,534226
2025-12-23,50.85,50.85,49.27,49.57,740462
2025-12-24,49.83,51.05,49.8276,50.88,324806
2025-12-26,50.93,51.5,50.19,50.88,320506
2025-12-29,50.97,51.35,49.82,49.85,485355
2025-12-30,49.77,50.27,49.1,49.82,666294
2025-12-31,47.61,48.1,47.16,47.36,596107
2026-01-02,47.74,49.8,47.58,49.47,528923
2026-01-05,49.37,50.4,49.0,49.03,479685
2026-01-06,48.78,48.78,47.4611,48.62,527077
2026-01-07,48.84,49.24,48.1,48.96,252278
2026-01-08,48.64,50.25,48.64,49.86,254369
2026-01-09,50.2,50.83,49.46,50.6,265759
2026-01-12,50.615,51.67,50.42,51.51,325453
2026-01-13,51.9,52.18,49.85,49.89,390675
2026-01-14,49.89,50.75,49.56,50.63,285006
2026-01-15,50.63,51.1,49.7501,50.81,310701
2026-01-16,50.53,51.09,50.02,50.54,260108
2026-01-20,49.84,50.1799,49.29,49.85,321487
2026-01-21,50.0,50.52,49.3,50.36,342418
2026-01-22,50.49,51.18,49.6501,49.71,232381
2026-01-23,49.71,49.9446,49.0,49.65,290414
2026-01-26,49.66,49.8,48.61,48.93,229737
