date,open,high,low,close,volume
2025-09-02,655.26,664.67,655.0783,661.99,1680258
2025-09-03,665.29,669.92,658.305,668.68,1987260
2025-09-04,665.0,671.81,659.23,668.29,1719255
2025-09-05,672.22,677.0,667.25,672.82,1614148
2025-09-08,676.58,679.4009,667.96,671.68,1558832
2025-09-09,669.31,673.7,664.76,670.89,1254945
2025-09-10,669.39,670.0,653.35,656.26,2789681
2025-09-11,660.29,666.39,656.91,660.52,2201251
2025-09-12,658.455,660.4,645.31,646.03,2202314
2025-09-15,647.36,652.64,640.255,651.33,2187128
2025-09-16,651.84,655.11,644.46,651.3,1578399
2025-09-17,653.68,666.025,652.5,662.68,1861297
2025-09-18,667.075,693.38,665.535,674.96,3006935
2025-09-19,692.855,700.0,682.955,687.92,4226681
2025-09-22,686.53,705.08,685.55,702.09,2403634
2025-09-23,699.8,702.54,694.22,699.18,2400102
2025-09-24,703.71,703.71,688.96,694.79,1727862
2025-09-25,691.59,695.79,683.525,692.68,1547964
2025-09-26,692.69,700.0,690.215,698.26,1480538
2025-09-29,700.05,703.96,691.4724,694.69,1816626
2025-09-30,697.02,702.12,680.12,682.91,2378585
2025-10-01,679.84,686.185,674.08,679.5,2151746
2025-10-02,676.77,682.95,668.36,681.86,2289181
2025-10-03,677.06,688.365,677.06,679.94,1293991
2025-10-06,667.02,676.1675,658.33,670.09,2538399
2025-10-07,670.92,671.73,654.34,657.99,1597796
2025-10-08,659.57,664.0,655.23,657.8,1699880
2025-10-09,655.0,658.0,643.16,644.92,1698742
2025-10-10,645.4,653.18,641.23,641.79,3059279
2025-10-13,643.2,656.47,642.64,655.68,1345134
2025-10-14,645.82,660.71,644.45,657.16,1243673
2025-10-15,657.1,657.42,647.76,652.69,1693137
2025-10-16,659.21,659.4,642.74,646.99,1248245
2025-10-17,647.57,662.2725,646.835,661.39,1812852
2025-10-20,663.28,668.86,658.485,664.77,1205806
2025-10-21,665.67,676.88,661.0,675.04,1201672
2025-10-22,674.2,682.47,670.43,670.77,1272115
2025-10-23,671.46,680.98,669.56,677.72,1474344
2025-10-24,684.26,688.0,680.215,683.09,1027750
2025-10-27,686.97,689.17,677.29,683.39,1318458
2025-10-28,684.73,688.8987,678.245,678.93,1103280
2025-10-29,667.58,669.62,649.1,656.04,1990883
2025-10-30,653.08,665.93,652.5,656.18,1435236
2025-10-31,656.0,671.89,653.79,667.55,1585498
2025-11-03,669.27,677.12,660.57,676.19,1270786
2025-11-04,676.19,676.19,653.5438,660.42,1542669
2025-11-05,656.85,662.59,653.72,655.33,1467215
2025-11-06,649.0,659.36,640.57,653.64,1866321
2025-11-07,653.75,654.6093,633.47,648.85,1697871
2025-11-10,649.54,654.29,645.42,653.27,1530680
2025-11-11,653.02,657.48,648.8,654.32,1150200
2025-11-12,655.49,661.51,651.72,659.3,1575627
2025-11-13,655.51,662.58,649.0,650.11,1779518
2025-11-14,650.57,666.82,644.36,662.41,1438368
2025-11-17,662.505,664.0,643.495,645.98,1441833
2025-11-18,655.795,662.0,644.15,649.73,2437293
2025-11-19,648.58,656.81,645.87,650.62,1288086
2025-11-20,653.62,664.54,637.44,637.44,2516563
2025-11-21,669.6,682.27,659.51,663.15,3802233
2025-11-24,665.375,671.01,647.15,653.23,3184222
2025-11-25,651.95,658.47,640.34,648.07,1921905
2025-11-26,647.43,651.88,619.82,629.13,2283554
2025-11-28,629.13,634.9245,626.495,634.08,872940
2025-12-01,629.11,635.9026,627.14,631.62,1864935
2025-12-02,632.39,635.74,623.99,635.63,1537380
2025-12-03,630.86,648.1,629.895,647.68,1779085
2025-12-04,648.59,665.32,647.51,663.08,2174155
2025-12-05,664.48,676.6,663.54,673.63,2356470
2025-12-08,671.04,671.78,653.74,656.24,1879211
2025-12-09,653.42,660.77,650.47,655.75,1386861
2025-12-10,653.95,669.43,652.75,662.43,1596527
2025-12-11,659.43,678.33,657.92,676.01,2815749
2025-12-12,679.4,681.195,666.87,670.925,1940878
2025-12-15,670.04,671.365,653.0201,654.6,1707452
2025-12-16,654.39,671.51,648.21,669.35,1775246
2025-12-17,671.02,676.21,660.16,660.78,2237635
