date,open,high,low,close,volume
2025-09-02,41.035,43.05,40.22,42.99,13787120
2025-09-03,42.645,43.21,40.58,40.97,10369820
2025-09-04,41.23,43.03,40.79,42.11,13213860
2025-09-05,42.46,42.73,40.51,41.8,11508860
2025-09-08,42.09,42.59,40.38,41.01,10501720
2025-09-09,41.39,44.26,41.045,44.0,17694880
2025-09-10,44.31,45.18,43.56,43.86,14429960
2025-09-11,44.2,47.23,43.38,47.05,21599090
2025-09-12,47.3,56.07,47.15,55.61,68818850
2025-09-15,56.88,59.8899,55.95,59.11,34676980
2025-09-16,58.98,62.85,57.1312,62.26,30636630
2025-09-17,63.31,66.39,61.08,65.44,49629870
2025-09-18,68.57,70.43,65.42,66.81,45892860
2025-09-19,65.98,71.3,65.64,70.41,50959400
2025-09-22,68.11,73.17,66.15,71.94,35675500
2025-09-23,74.08,76.129,71.45,75.14,40011850
2025-09-24,75.25,75.95,71.01,73.86,33075620
2025-09-25,71.16,72.29,66.91,69.43,44799730
2025-09-26,68.41,70.42,65.33,67.28,32156900
2025-09-29,68.38,68.88,63.22,64.26,27595280
2025-09-30,63.59,65.0,60.59,61.5,22600610
2025-10-01,61.385,64.85,60.14,63.09,33912350
2025-10-02,64.81,69.6,64.41,69.6,37383600
2025-10-03,70.59,73.7599,68.35,73.28,37681780
2025-10-06,72.0,79.23,71.8801,78.99,36300960
2025-10-07,80.96,82.97,75.48,79.23,47589070
2025-10-08,78.95,82.41,72.599,74.3,40788190
2025-10-09,74.87,78.0,73.6501,77.5,25016200
2025-10-10,77.0,77.38,70.645,70.65,41146750
2025-10-13,74.11,84.64,72.8001,82.09,49458820
2025-10-14,79.85,81.08,75.92,77.55,34459560
2025-10-15,79.94,80.23,70.8,72.41,31348010
2025-10-16,73.87,73.87,65.5,65.59,35988430
2025-10-17,65.4016,65.72,61.2063,62.94,33423290
2025-10-20,65.31,65.5,58.69,59.94,28516150
2025-10-21,60.435,60.9,57.21,59.5,26167020
2025-10-22,58.2,59.35,52.27,55.45,39326800
2025-10-23,61.1,62.93,57.0,59.37,65822800
2025-10-24,62.01,64.11,59.92,60.3,27501690
2025-10-27,63.0,65.5,62.28,62.8,25766730
2025-10-28,62.8,64.57,57.07,57.15,35730070
2025-10-29,58.85,62.1,57.92,61.11,25520920
2025-10-30,59.39,61.8399,58.2,60.17,16098690
2025-10-31,61.0,62.97,59.96,62.38,19319910
2025-11-03,62.35,62.6899,56.56,58.4,23850520
2025-11-04,55.77,57.16,53.08,53.38,22044270
2025-11-05,55.0,56.41,53.1,55.41,21843090
2025-11-06,57.28,58.99,54.1,57.43,35400190
2025-11-07,54.62,59.3,51.06,59.27,32829850
2025-11-10,58.5,59.02,54.82,55.37,26986800
2025-11-11,54.57,56.03,53.72,54.42,17370040
2025-11-12,54.76,55.6,49.89,50.71,23096490
2025-11-13,49.44,49.9,44.3,45.4,37229520
2025-11-14,42.98,48.7799,42.82,47.18,29451120
2025-11-17,46.73,49.25,45.94,47.79,22630790
2025-11-18,47.2,50.285,47.2,49.12,20780020
2025-11-19,49.15,50.68,47.33,47.88,19458070
2025-11-20,48.57,49.57,40.69,41.0,33669520
2025-11-21,42.56,42.76,38.0,41.71,29301370
2025-11-24,42.75,47.335,42.49,46.76,40440620
2025-11-25,46.57,47.91,44.22,47.06,18007200
2025-11-26,47.4,48.25,46.01,46.9,12481950
2025-11-28,47.7,49.85,47.57,49.3,10307450
2025-12-01,48.64,48.87,46.612,47.12,13654190
2025-12-02,47.57,49.68,46.825,46.93,12670220
2025-12-03,46.92,48.9035,45.31,48.65,17183150
2025-12-04,48.67,55.32,48.31,54.76,33399920
2025-12-05,54.0,54.2599,51.13,52.69,17478710
2025-12-08,53.99,54.82,51.46,54.36,16359670
2025-12-09,53.805,55.6599,52.93,54.44,12985540
2025-12-10,53.2,53.6083,51.25,51.67,14899760
2025-12-11,51.9,52.88,49.0615,52.55,19063190
2025-12-12,52.08,53.0,49.0,50.35,14308170
2025-12-15,50.78,51.0,45.18,46.07,22526950
2025-12-16,46.94,49.9,46.9,49.67,16642310
2025-12-17,50.22,52.1505,45.76,45.85,20237900
2025-12-18,48.13,48.7163,46.04,46.44,16218540
2025-12-19,47.14,49.44,46.88,48.48,30432890
2025-12-22,49.88,55.6,49.67,53.86,28897230
2025-12-23,52.725,54.5399,51.15,51.39,15263320
2025-12-24,51.7,51.88,48.73,49.82,10354150
2025-12-26,49.59,49.68,45.76,46.0,19679600
2025-12-29,45.46,46.76,44.66,45.25,17259810
2025-12-30,46.41,46.83,45.0948,45.31,13552190
2025-12-31,45.67,46.4383,44.68,44.87,11436990
2026-01-02,46.01,47.0899,43.8,46.77,17122070
2026-01-05,47.65,50.32,46.52,48.71,20311310
2026-01-06,48.77,50.7699,47.2,50.76,16937500
2026-01-07,50.0,51.86,49.3199,49.78,14297200
2026-01-08,49.62,52.5104,48.5,50.45,16618400
2026-01-09,51.45,52.6164,49.282,49.45,13685960
2026-01-12,48.59,51.02,47.78,50.95,16782270
2026-01-13,51.16,51.915,47.98,48.94,14487700
2026-01-14,48.54,50.92,47.33,50.88,16602060
2026-01-15,51.28,51.5799,47.54,47.56,21022770
2026-01-16,48.09,51.89,47.52,50.8,23266240
2026-01-20,49.28,54.24,48.56,50.66,24568170
2026-01-21,51.71,52.66,45.69,48.33,31821380
2026-01-22,49.14,50.18,47.94,49.33,17661930
2026-01-23,49.24,49.51,46.6,47.25,14734240
2026-01-26,48.32,50.59,42.84,43.37,39551420
2026-01-27,44.56,46.44,43.035,45.49,25181330
2026-01-28,46.225,46.9,45.0,45.8,18945020
2026-01-29,45.86,45.86,42.16,43.24,22225540
2026-01-30,43.4,43.49,38.915,39.98,23741910
2026-02-02,40.63,40.726,37.72,38.56,21598050
2026-02-03,39.61,39.82,36.63,38.47,19966090
2026-02-04,38.5,38.55,33.63,35.34,32378010
2026-02-05,33.92,34.38,29.99,30.43,33123410
2026-02-06,31.9,36.105,31.345,34.99,32508090
2026-02-09,34.675,35.64,33.66,35.48,16620840
2026-02-10,35.1,36.57,34.81,35.19,13807880
2026-02-11,36.05,36.06,33.01,33.61,16057010
2026-02-12,33.7,33.7,30.89,31.3,18115230
2026-02-13,32.315,34.65,30.85,34.11,21567090
2026-02-17,33.48,34.3183,31.85,33.18,13735230
2026-02-18,33.325,34.885,32.39,33.34,13374830
2026-02-19,32.72,33.58,31.98,33.43,13722090
2026-02-20,32.67,33.88,31.38,31.9,15804260
2026-02-23,31.0198,31.6732,30.17,30.78,14580120
2026-02-24,31.09,31.9599,30.19,31.62,15049410
2026-02-25,32.185,34.4,31.84,33.59,26860140
2026-02-26,39.05,41.9,38.75,40.88,70334580
2026-02-27,39.42,39.56,36.451,38.37,28768430
2026-03-02,36.43,38.44,36.4,38.34,16563510
2026-03-03,36.695,38.12,35.29,37.05,19852640
2026-03-04,37.68,38.24,36.54,37.13,47410210
2026-03-05,36.6,36.68,34.31,36.02,21173520
2026-03-06,35.41,37.48,35.1,35.73,18481830
2026-03-09,34.77,36.08,33.81,35.87,16385560
2026-03-10,35.95,36.92,35.03,35.12,22203970
2026-03-11,35.29,35.89,33.5,34.27,29303690
2026-03-12,33.98,34.715,33.03,33.03,22093120
2026-03-13,33.58,34.58,32.835,32.98,15353550
2026-03-16,33.52,34.41,32.39,33.29,19347150
