date,open,high,low,close,volume
2025-09-02,25.59,29.85,25.4,29.11,50917810
2025-09-03,30.0,30.015,27.61,28.21,32961740
2025-09-04,27.93,28.57,25.82,26.13,30079140
2025-09-05,27.155,27.3,25.31,26.15,23577470
2025-09-08,26.43,27.0161,25.38,26.19,23531520
2025-09-09,28.525,30.5,27.05,30.19,50274580
2025-09-10,30.68,33.64,30.47,33.63,43774930
2025-09-11,33.265,33.755,31.74,32.85,38169080
2025-09-12,33.28,34.08,32.3402,33.96,21067840
2025-09-15,34.765,37.23,34.1,37.14,38205280
2025-09-16,37.46,37.67,35.76,36.45,36440530
2025-09-17,35.755,38.475,34.62,37.9,34636100
2025-09-18,38.38,38.5,36.03,36.32,25890780
2025-09-19,36.71,39.87,36.63,38.64,36698950
2025-09-22,41.385,42.93,39.645,41.9,46224320
2025-09-23,43.02,44.25,40.58,41.77,32022660
2025-09-24,43.385,49.2996,43.3195,47.14,65566830
2025-09-25,44.275,49.3899,43.57,46.29,61876710
2025-09-26,43.68,44.08,39.7,41.86,59655330
2025-09-29,43.625,46.2199,43.21,45.93,37032580
2025-09-30,45.315,47.63,44.99,46.93,31035130
2025-10-01,46.61,48.1499,45.93,47.08,28111600
2025-10-02,48.42,49.38,44.95,47.02,29215610
2025-10-03,47.54,52.185,46.67,50.46,40830090
2025-10-06,54.025,58.28,53.1506,57.75,42021470
2025-10-07,60.225,63.4,55.46,61.68,76432890
2025-10-08,59.96,62.19,57.26,60.09,58446390
2025-10-09,62.49,65.205,60.915,63.85,57908970
2025-10-10,67.88,70.05,58.02,59.77,72743260
2025-10-13,63.485,67.79,61.79,64.14,47094530
2025-10-14,63.23,72.3,59.631,69.56,52129760
2025-10-15,71.385,74.15,66.54,67.98,48022540
2025-10-16,68.94,68.94,61.1,61.83,46539960
2025-10-17,59.28,61.95,57.64,60.72,38301430
2025-10-20,63.61,63.7,57.43,59.22,35132120
2025-10-21,57.245,58.24,52.645,55.195,41174230
2025-10-22,53.65,57.8734,48.2,51.83,53283010
2025-10-23,52.73,57.78,52.07,55.86,31241060
2025-10-24,59.07,63.11,58.13,62.9,37485850
2025-10-27,64.99,66.48,62.56,64.99,33505220
2025-10-28,63.68,67.3199,61.85,62.42,27360400
2025-10-29,61.45,63.01,58.02,60.42,28918740
2025-10-30,58.56,61.01,57.28,58.22,18455740
2025-10-31,61.8,63.18,59.46,60.75,20997090
2025-11-03,73.07,75.73,64.38,67.75,80440710
2025-11-04,64.215,72.455,63.3,66.63,45952290
2025-11-05,68.8,76.87,67.7,76.41,45875010
2025-11-06,75.76,75.79,66.67,66.96,52439830
2025-11-07,65.11,65.71,58.38,62.38,53464570
2025-11-10,65.85,68.3,59.78,60.17,39900960
2025-11-11,59.27,59.64,56.08,57.38,29975820
2025-11-12,58.31,58.45,53.54,55.7,28778040
2025-11-13,52.75,53.3699,48.03,48.65,49348190
2025-11-14,45.64,50.18,44.55,46.37,49855920
2025-11-17,46.11,49.42,45.45,47.41,33606930
2025-11-18,46.815,50.67,46.5,48.85,37845880
2025-11-19,49.53,52.32,45.52,45.83,42020920
2025-11-20,48.97,54.06,43.2,43.47,63288970
2025-11-21,42.86,44.48,39.52,42.26,50691360
2025-11-24,43.0,48.99,42.92,48.49,36655440
2025-11-25,47.015,47.98,44.1,47.47,38228310
2025-11-26,49.375,49.43,46.04,48.45,26981670
2025-11-28,49.545,51.5,47.245,47.81,19588860
2025-12-01,45.175,48.84,44.26,48.49,22962920
2025-12-02,45.86,47.1,40.83,41.12,83201720
2025-12-03,41.135,44.37,39.93,43.96,60083180
2025-12-04,42.98,46.83,42.52,46.45,37973660
2025-12-05,45.6,46.25,44.05,44.71,28827160
2025-12-08,45.32,46.56,43.62,46.34,31025460
2025-12-09,45.81,48.91,45.2,46.84,30778380
2025-12-10,46.42,46.42,43.845,43.92,32084720
2025-12-11,43.12,44.04,40.86,43.94,26514580
2025-12-12,43.34,44.17,39.32,40.13,35607110
2025-12-15,40.34,40.37,35.36,35.48,47434830
2025-12-16,34.89,36.7552,33.34,36.59,44868200
2025-12-17,37.17,37.39,33.611,33.78,33031670
2025-12-18,35.66,36.925,35.0701,35.8,36087340
2025-12-19,36.9,40.36,36.69,39.92,30827080
2025-12-22,42.062,43.52,41.01,42.04,34981850
2025-12-23,40.72,43.37,40.65,42.07,22761100
2025-12-24,41.83,42.89,40.85,41.98,10710700
2025-12-26,42.53,42.64,39.53,40.3,20249570
2025-12-29,39.39,42.29,39.06,39.41,22027550
2025-12-30,39.62,39.9,38.12,38.3,19073020
2025-12-31,38.35,39.03,37.2,37.77,20982430
2026-01-02,39.01,42.75,38.07,42.7,30533290
2026-01-05,44.8,48.3,44.17,48.24,47924820
2026-01-06,47.205,47.9,43.18,45.91,38993620
2026-01-07,45.49,46.6327,43.6,43.625,21816470
2026-01-08,43.735,47.575,42.55,45.68,34060220
2026-01-09,46.875,50.1,45.72,46.03,41300370
2026-01-12,46.725,51.625,45.85,50.33,53225840
2026-01-13,50.65,53.0,49.82,52.99,42181920
2026-01-14,53.225,53.6593,50.82,52.88,38743970
2026-01-15,53.24,54.64,50.75,51.89,38234960
2026-01-16,52.405,58.75,51.92,57.82,53965870
2026-01-20,54.95,57.6499,53.33,54.26,45490140
2026-01-21,55.92,57.19,48.83,53.48,62001250
2026-01-22,55.035,56.6884,51.82,52.26,32969550
2026-01-23,52.36,58.5799,50.112,56.68,56562250
2026-01-26,56.12,57.0456,51.785,52.36,42447690
2026-01-27,53.46,60.0,52.9,59.99,55177890
2026-01-28,60.07,63.59,59.55,62.94,44007280
2026-01-29,61.4,62.09,56.72,59.84,49193910
2026-01-30,58.42,58.58,52.3,53.74,48061840
2026-02-02,52.35,55.06,49.63,53.08,40905330
2026-02-03,54.93,55.72,50.19,54.39,36286530
2026-02-04,52.26,52.5,43.91,44.94,66531590
2026-02-05,42.64,44.92,38.9,39.79,71587100
2026-02-06,39.955,44.2199,36.52,41.83,75224190
2026-02-09,40.835,47.19,40.58,46.15,48851030
2026-02-10,45.33,47.16,42.91,42.93,35751780
2026-02-11,43.78,43.9,40.0863,42.67,37394850
2026-02-12,42.52,42.83,39.51,40.03,30323030
2026-02-13,40.85,43.47,39.52,42.22,31579640
2026-02-17,41.0,42.23,39.7,40.97,23513850
2026-02-18,40.855,43.73,40.4,42.08,28281670
2026-02-19,41.0,43.61,40.12,43.29,26594260
2026-02-20,42.76,44.32,39.5299,39.98,41944000
2026-02-23,39.19,42.5599,38.94,42.36,30811440
2026-02-24,41.57,45.68,40.83,45.45,37593190
2026-02-25,46.62,47.25,43.63,44.03,32306310
2026-02-26,43.95,45.23,42.62,44.24,26661460
2026-02-27,42.505,43.0852,39.54,40.95,52659330
2026-03-02,39.07,42.24,38.829,41.39,27535220
