date,open,high,low,close,volume
2025-09-02,470.56,472.565,464.75,469.07,2230380
2025-09-03,470.11,471.0,434.8,441.18,5051679
2025-09-04,440.69,455.28,437.41,454.52,3939616
2025-09-05,454.83,467.99,454.78,466.86,2623774
2025-09-08,466.7,470.28,462.62,470.0,1936848
2025-09-09,470.0,472.69,464.36,467.54,1489441
2025-09-10,467.99,468.04,446.53,449.98,2560306
2025-09-11,451.155,463.05,449.75,455.85,2182263
2025-09-12,453.19,454.15,448.15,449.68,2219085
2025-09-15,449.29,450.58,433.02,433.99,3474807
2025-09-16,433.65,437.17,429.72,434.5,2940457
2025-09-17,434.6,438.785,430.59,433.66,1638227
2025-09-18,435.0,436.33,429.8,435.83,1980565
2025-09-19,439.46,440.5,434.74,438.72,3780685
2025-09-22,438.12,447.13,433.81,444.55,2653124
2025-09-23,444.75,450.985,443.17,447.75,2241538
2025-09-24,450.94,451.3373,443.55,443.99,2437212
2025-09-25,440.39,442.17,433.43,438.12,3128958
2025-09-26,441.43,443.455,438.5,441.12,1940782
2025-09-29,442.06,443.26,437.765,439.22,3024768
2025-09-30,439.0,448.19,438.0,447.23,2134616
2025-10-01,447.0,448.31,430.34,438.04,2502301
2025-10-02,437.12,443.36,433.0,443.01,1910760
2025-10-03,443.845,456.59,443.49,452.35,2197723
2025-10-06,459.71,460.3,449.08,449.69,2478907
2025-10-07,449.24,451.0,439.47,440.94,1917506
2025-10-08,442.305,450.53,439.42,448.09,1767294
2025-10-09,447.76,450.29,443.26,443.76,1583787
2025-10-10,444.06,446.99,429.25,429.59,2773352
2025-10-13,432.43,438.1,430.0,435.73,1863239
2025-10-14,430.3,439.205,427.836,436.39,2086064
2025-10-15,437.0,440.82,432.78,435.61,1910711
2025-10-16,438.47,439.49,433.81,434.62,1966367
2025-10-17,437.17,449.09,434.57,446.13,2209171
2025-10-20,452.5,461.83,451.35,458.47,3409962
2025-10-21,459.47,466.9799,456.31,462.74,4779628
2025-10-22,543.0,549.85,522.1656,527.03,8347517
2025-10-23,525.37,552.5,525.0845,551.3,4011322
2025-10-24,547.625,552.45,541.46,546.51,2692341
2025-10-27,544.75,551.63,538.75,551.25,2135936
2025-10-28,546.62,552.2,539.0,545.39,1586355
2025-10-29,543.0,544.95,534.45,537.59,1721812
2025-10-30,534.37,538.0,529.308,530.02,1777005
2025-10-31,528.625,538.14,526.2,534.28,1757590
2025-11-03,532.055,544.84,527.6016,544.21,2075039
2025-11-04,545.09,546.0,535.4,538.82,1780182
2025-11-05,538.0,552.0,536.15,548.55,2863375
2025-11-06,547.03,548.55,538.07,547.78,2052472
2025-11-07,543.24,562.65,541.74,560.0,2712221
2025-11-10,560.0,578.3,560.0,576.2,3070217
2025-11-11,575.06,579.22,570.5,572.17,1609703
2025-11-12,574.13,580.47,569.71,572.45,1633565
2025-11-13,566.86,573.3221,561.0,565.51,2116672
2025-11-14,559.5,560.02,548.92,549.51,1880253
2025-11-17,546.57,554.35,544.11,546.71,1470228
2025-11-18,546.055,549.21,538.83,546.77,2297814
2025-11-19,544.925,566.86,544.19,564.64,2440596
2025-11-20,566.92,574.45,550.0,552.23,1909011
2025-11-21,551.165,564.0,548.042,561.61,2622700
2025-11-24,562.93,570.77,560.0,568.48,2399870
2025-11-25,564.44,580.0,561.29,578.87,1684785
2025-11-26,579.85,582.4147,573.75,574.23,1159299
2025-11-28,571.41,574.0,568.2737,573.48,1003935
2025-12-01,568.99,573.535,566.63,567.37,1206486
2025-12-02,568.6,570.75,561.39,567.72,1749169
2025-12-03,569.48,571.77,563.04,569.71,1090649
2025-12-04,571.98,574.23,564.72,568.63,1147842
2025-12-05,569.5,576.88,569.43,575.34,1097035
2025-12-08,576.15,576.15,562.67,566.89,1298899
2025-12-09,566.5,569.0,557.5,558.13,1229982
2025-12-10,557.76,560.05,546.55,555.92,1563110
2025-12-11,545.465,553.39,542.71,547.36,1573821
2025-12-12,546.0,548.99,537.69,542.32,2116297
2025-12-15,546.05,561.62,546.05,559.52,2928139
2025-12-16,559.05,559.69,546.1301,554.58,1959785
2025-12-17,554.68,561.455,554.0,556.86,1705846
2025-12-18,557.29,566.85,557.255,561.89,1545629
2025-12-19,561.63,574.57,561.31,572.47,4065269
2025-12-22,576.0,583.45,573.295,579.83,1453032
2025-12-23,577.135,579.2,573.6762,577.34,1283068
2025-12-24,577.34,579.85,575.03,577.15,355207
2025-12-26,578.21,579.4,575.96,577.81,494811
2025-12-29,577.81,580.5,574.215,575.4,695203
2025-12-30,572.21,574.77,570.45,572.63,725054
2025-12-31,572.5,573.28,565.77,566.36,992646
2026-01-02,566.78,567.39,555.4,561.98,1298044
2026-01-05,561.15,567.08,558.0,566.38,1394989
2026-01-06,565.0,594.62,564.345,592.85,2629499
2026-01-07,592.89,603.88,590.8,592.27,1863518
2026-01-08,582.685,589.95,582.685,585.08,1491551
2026-01-09,587.32,589.58,579.62,586.24,1490746
2026-01-12,581.97,582.19,566.8,572.745,1825950
2026-01-13,571.45,572.59,556.04,561.82,1515795
2026-01-14,533.96,551.0,528.0,546.76,3602486
2026-01-15,553.74,553.74,535.69,541.34,1909025
2026-01-16,542.0,543.0,532.6301,535.0,3015488
2026-01-20,527.0,532.605,525.23,527.44,2149740
2026-01-21,527.59,530.05,518.64,523.69,2033885
2026-01-22,525.405,532.0,522.72,525.81,2911761
2026-01-23,530.0,540.0,521.18,523.99,2799462
2026-01-26,523.945,533.97,518.65,528.81,2565374
2026-01-27,532.61,535.0,523.54,525.04,1503535
2026-01-28,523.91,529.36,520.24,522.04,1851332
2026-01-29,521.17,522.0,502.48,507.55,2167054
2026-01-30,506.7,511.03,501.385,504.22,1698700
2026-02-02,502.0,504.2,496.15,496.73,2133855
2026-02-03,495.21,499.0,476.79,478.88,3796796
2026-02-04,480.105,481.19,465.689,478.49,3405291
2026-02-05,482.78,489.51,475.17,476.32,2912016
