date,open,high,low,close,volume
2025-09-02,56.49,56.65,56.275,56.65,4884665
2025-09-03,56.65,56.7096,56.35,56.58,4519219
2025-09-04,56.59,56.76,56.5,56.76,5402437
2025-09-05,56.88,57.035,56.571,56.78,3783670
2025-09-08,56.79,56.8179,56.56,56.81,4158765
2025-09-09,56.81,56.82,56.66,56.75,3330601
2025-09-10,56.97,57.03,56.81,56.9,3707216
2025-09-11,56.95,57.26,56.94,57.25,4532529
2025-09-12,57.18,57.2198,56.89,56.9,4073387
2025-09-15,56.91,56.9799,56.79,56.82,5118691
2025-09-16,56.83,56.895,56.7297,56.77,4092128
2025-09-17,56.79,57.1,56.72,56.92,4153272
2025-09-18,57.0,57.03,56.875,56.93,4439972
2025-09-19,57.06,57.06,56.81,56.86,4690508
2025-09-22,56.78,56.9,56.78,56.82,5198377
2025-09-23,56.85,56.94,56.76,56.84,3889804
2025-09-24,56.89,56.925,56.83,56.88,3909976
2025-09-25,56.86,56.86,56.5235,56.65,6363939
2025-09-26,56.79,56.965,56.75,56.94,5354594
2025-09-29,57.07,57.07,56.87,56.96,4924859
2025-09-30,56.93,57.1,56.92,57.1,5437150
2025-10-01,56.7,56.87,56.67,56.85,4425895
2025-10-02,56.8,56.9088,56.7247,56.85,4296663
2025-10-03,57.0,57.14,56.85,57.03,7367762
2025-10-06,57.0,57.01,56.86,56.97,4608405
2025-10-07,56.93,57.04,56.835,56.87,4288700
2025-10-08,56.88,56.98,56.79,56.91,4877383
2025-10-09,56.92,56.99,56.71,56.75,4309623
2025-10-10,56.82,56.93,55.98,56.0,5921274
2025-10-13,56.28,56.675,56.235,56.55,6160687
2025-10-14,56.26,57.0299,56.185,56.88,5940784
2025-10-15,56.94,57.21,56.52,56.87,5075379
2025-10-16,56.97,56.99,56.2942,56.51,4905902
2025-10-17,56.58,56.895,56.4801,56.86,4752727
2025-10-20,56.97,57.23,56.95,57.17,4256135
2025-10-21,57.22,57.5799,57.22,57.52,4784749
2025-10-22,57.46,57.5752,57.21,57.29,8908683
2025-10-23,57.31,57.53,57.215,57.46,4205405
2025-10-24,57.67,57.71,57.46,57.46,3744278
2025-10-27,57.67,57.68,57.52,57.6,4517051
2025-10-28,57.66,57.66,57.225,57.23,5246957
2025-10-29,57.16,57.17,56.785,56.9,5921473
2025-10-30,56.65,57.18,56.65,56.91,6341534
2025-10-31,56.83,56.96,56.71,56.88,5991719
2025-11-03,56.53,56.62,56.0639,56.39,5685774
2025-11-04,56.23,56.47,56.19,56.39,5675852
2025-11-05,56.34,56.6156,56.295,56.47,5827138
2025-11-06,56.43,56.47,56.13,56.25,5460191
2025-11-07,56.16,56.45,55.9501,56.45,7509198
2025-11-10,56.6,56.8,56.42,56.72,5992035
2025-11-11,56.74,57.1399,56.73,57.11,4504330
2025-11-12,57.12,57.3551,57.12,57.28,4887165
2025-11-13,57.2,57.3099,56.802,56.86,4519460
2025-11-14,56.65,56.9269,56.48,56.74,4919116
2025-11-17,56.75,56.8483,56.2101,56.39,5969378
2025-11-18,56.25,56.595,56.04,56.29,4868429
2025-11-19,56.36,56.565,56.1,56.32,3812027
2025-11-20,56.78,56.985,55.81,55.85,7419608
2025-11-21,56.09,56.8803,56.04,56.59,7627903
2025-11-24,56.81,56.98,56.55,56.84,4251963
2025-11-25,56.88,57.52,56.88,57.44,5367329
2025-11-26,57.53,57.8086,57.5056,57.67,3656490
2025-11-28,57.76,57.9299,57.68,57.91,2300626
2025-12-01,57.33,57.4799,57.165,57.21,4782768
2025-12-02,57.3,57.3,57.035,57.16,5470403
2025-12-03,57.215,57.5,57.1763,57.48,5444256
2025-12-04,57.52,57.54,57.315,57.46,4235932
2025-12-05,57.49,57.59,57.39,57.43,4209044
2025-12-08,57.47,57.48,57.1144,57.17,4184612
2025-12-09,57.21,57.2899,57.02,57.02,3592149
2025-12-10,57.06,57.51,57.025,57.41,4421227
2025-12-11,57.38,57.8,57.38,57.79,4011136
2025-12-12,57.85,57.97,57.5801,57.73,4776373
2025-12-15,57.89,57.8955,57.5753,57.77,5137392
2025-12-16,57.77,57.79,57.35,57.52,5487216
2025-12-17,57.56,57.66,57.21,57.24,6223588
2025-12-18,57.47,57.7,57.3,57.41,6623163
2025-12-19,57.42,57.69,57.395,57.54,4107458
2025-12-22,57.66,57.8,57.57,57.76,4767082
2025-12-23,57.75,57.83,57.72,57.82,5049576
2025-12-24,57.85,58.01,57.83,57.97,2459303
2025-12-26,58.0,58.02,57.88,58.02,3634175
2025-12-29,58.0,58.06,57.91,57.98,4659043
2025-12-30,58.01,58.04,57.91,57.98,5111358
2025-12-31,57.57,57.57,57.215,57.24,4299871
2026-01-02,57.38,57.38,57.04,57.32,7480473
2026-01-05,57.33,57.57,57.27,57.47,7731446
2026-01-06,57.46,58.02,57.4,57.95,6191558
2026-01-07,58.0,58.12,57.72,57.76,8869506
2026-01-08,57.71,58.0999,57.6199,58.04,5455791
2026-01-09,58.1,58.32,58.1,58.25,4458823
2026-01-12,58.14,58.3098,58.0519,58.3,4573800
2026-01-13,58.28,58.319,58.1,58.25,4418572
2026-01-14,58.16,58.36,58.07,58.34,5324018
2026-01-15,58.46,58.55,58.35,58.43,5298687
2026-01-16,58.45,58.5,58.2901,58.41,4556282
2026-01-20,57.89,58.03,57.54,57.62,7837595
2026-01-21,57.78,58.32,57.699,58.19,6261881
2026-01-22,58.39,58.505,58.225,58.34,4143016
2026-01-23,58.3,58.3899,58.2124,58.38,4613476
2026-01-26,58.44,58.68,58.43,58.61,4133726
2026-01-27,58.61,58.63,58.44,58.59,4964496
2026-01-28,58.51,58.595,58.35,58.42,4173942
2026-01-29,58.56,58.63,58.21,58.55,5071425
2026-01-30,58.48,58.595,58.16,58.56,6366388
2026-02-02,58.17,58.49,58.08,58.42,5285497
2026-02-03,58.35,58.51,57.96,58.26,6102302
2026-02-04,58.4,58.7,58.325,58.58,6867418
2026-02-05,58.45,58.58,58.1701,58.24,6391227
2026-02-06,58.5,59.17,58.4999,59.11,5977359
2026-02-09,59.04,59.11,58.85,59.06,5075891
2026-02-10,59.13,59.4,59.11,59.21,4957352
2026-02-11,59.39,59.4,59.0501,59.27,4713976
2026-02-12,59.47,59.7199,58.98,59.01,7075421
2026-02-13,59.05,59.6,58.98,59.31,5642156
2026-02-17,59.24,59.47,58.8645,59.2,5306628
2026-02-18,59.4,59.457,59.17,59.33,4274916
2026-02-19,59.24,59.3,59.03,59.26,4678191
2026-02-20,59.19,59.5801,59.095,59.49,4613421
2026-02-23,59.36,59.55,58.9735,59.15,6493104
2026-02-24,59.15,59.5,59.075,59.45,5437743
2026-02-25,59.575,59.605,59.3137,59.51,4503696
2026-02-26,59.59,59.675,59.2645,59.59,5136957
2026-02-27,59.29,59.9,59.2899,59.88,5019423
2026-03-02,59.14,59.575,59.0293,59.38,4873745
2026-03-03,58.67,59.035,58.12,58.83,7045311
2026-03-04,58.97,59.19,58.7,59.08,6071306
2026-03-05,58.85,58.95,58.24,58.62,7236185
2026-03-06,58.12,58.2499,57.69,58.09,6030259
2026-03-09,57.62,58.49,57.26,58.38,7824177
2026-03-10,58.38,58.7199,58.07,58.19,5699367
2026-03-11,58.21,58.23,57.75,57.96,7138603
2026-03-12,57.57,57.72,57.15,57.18,7814668
2026-03-13,57.405,57.6799,57.0248,57.09,5080956
2026-03-16,57.5,57.8099,57.475,57.59,4714594
2026-03-17,57.91,58.09,57.67,57.7,5108371
2026-03-18,57.47,57.51,56.74,56.77,6171931
2026-03-19,56.53,56.91,56.35,56.68,6199314
2026-03-20,56.63,56.69,55.835,56.09,5329796
2026-03-23,56.77,57.125,56.54,56.58,7801497
2026-03-24,56.275,56.825,56.165,56.56,5181973
2026-03-25,56.93,57.065,56.49,56.73,4210202
2026-03-26,56.48,56.8199,56.154,56.19,4300484
2026-03-27,56.09,56.09,55.445,55.55,5900615
2026-03-30,55.97,56.06,55.465,55.65,4827761
2026-03-31,56.15,56.78,55.915,56.68,5557122
2026-04-01,56.405,56.63,56.29,56.41,5904088
2026-04-02,55.99,56.63,55.89,56.45,5043447
2026-04-06,56.48,56.715,56.36,56.7,5816574
2026-04-07,56.6,56.61,56.225,56.52,5286414
2026-04-08,57.36,57.62,57.285,57.61,6154199
2026-04-09,57.59,57.93,57.47,57.8,4036226
2026-04-10,57.86,57.86,57.48,57.54,4115576
2026-04-13,57.45,57.86,57.45,57.86,3883492
2026-04-14,57.88,57.93,57.725,57.84,4505857
2026-04-15,57.91,57.91,57.5,57.61,5116482
2026-04-16,57.65,57.74,57.53,57.59,4545043
2026-04-17,57.69,57.84,57.61,57.79,4727818
2026-04-20,57.82,57.92,57.69,57.76,3902216
2026-04-21,57.79,57.81,57.47,57.5,4919115
2026-04-22,57.65,57.71,57.23,57.3,4974059
2026-04-23,57.37,57.61,57.345,57.59,4899618
2026-04-24,57.55,57.55,57.26,57.32,4838794
2026-04-27,57.3,57.37,57.01,57.05,5821116
2026-04-28,57.21,57.3399,57.015,57.13,4961066
2026-04-29,57.21,57.32,57.045,57.12,7745124
2026-04-30,57.1,57.61,57.09,57.59,5353206
2026-05-01,57.27,57.27,56.7635,56.82,5639506
2026-05-04,56.73,56.93,56.61,56.67,5995647
2026-05-05,56.72,56.74,56.41,56.5,7280872
2026-05-06,56.55,56.69,56.44,56.48,6851034
2026-05-07,56.51,56.585,56.2337,56.28,6271412
2026-05-08,56.35,56.38,55.95,55.96,7172267
2026-05-11,55.93,56.04,55.74,55.85,7700567
2026-05-12,55.89,56.25,55.77,56.08,5811525
2026-05-13,55.98,56.125,55.8,55.93,5118271
2026-05-14,56.01,56.06,55.875,55.99,11621660
2026-05-15,56.0,56.08,55.83,55.89,4958193
2026-05-18,55.85,56.16,55.75,56.13,5539932
2026-05-19,56.13,56.2999,55.96,56.08,5300241
2026-05-20,56.08,56.22,55.905,56.18,8007072
2026-05-21,56.02,56.12,55.74,56.08,4982204
2026-05-22,56.26,56.395,56.1725,56.33,4164542
2026-05-26,56.4,56.459,56.21,56.22,5998742
2026-05-27,56.25,56.47,56.25,56.28,5342374
2026-05-28,56.31,56.32,56.06,56.2,5732019
2026-05-29,56.15,56.18,55.96,56.04,6469287
2026-06-01,55.65,55.68,55.245,55.32,7748587
2026-06-02,55.28,55.415,55.1,55.33,7067613
2026-06-03,55.3,55.53,55.28,55.41,5990983
2026-06-04,55.71,55.8599,55.57,55.71,5659606
2026-06-05,55.74,55.91,55.445,55.52,5780790
2026-06-08,55.6,55.7277,55.345,55.35,6091697
2026-06-09,55.5,55.89,55.175,55.8,6323890
2026-06-10,55.72,55.9899,55.25,55.29,4643804
2026-06-11,55.45,56.01,55.315,55.8,5497990
2026-06-12,55.97,56.11,55.695,56.04,4118285
2026-06-15,56.31,56.53,56.29,56.37,4985958
2026-06-16,56.36,56.73,56.36,56.55,3824277
2026-06-17,56.55,56.69,55.87,55.99,4151742
2026-06-18,56.21,56.35,56.05,56.1,3982571
2026-06-22,56.1,56.29,55.98,56.07,4800292
2026-06-23,55.91,56.08,55.6598,55.83,4018985
2026-06-24,55.93,56.4,55.885,56.06,3540958
2026-06-25,56.22,56.54,56.025,56.07,4418058
2026-06-26,56.02,56.4099,55.95,56.16,4815219
2026-06-29,56.38,56.58,56.3,56.44,4882371
2026-06-30,56.44,56.59,56.32,56.48,4939301
2026-07-01,56.115,56.385,55.965,56.12,4339115
2026-07-02,56.22,56.72,56.22,56.71,4631178
2026-07-06,56.75,56.87,56.51,56.75,6575159
2026-07-07,56.9,57.0,56.77,56.86,5046522
2026-07-08,56.75,56.76,56.41,56.52,4607945
2026-07-09,56.54,56.6651,56.51,56.63,3342296
2026-07-10,56.7,56.79,56.51,56.76,3321571
2026-07-13,56.79,57.03,56.725,56.76,4496375
2026-07-14,56.78,56.86,56.5628,56.58,4098127
2026-07-15,56.69,56.745,56.535,56.62,4318195
2026-07-16,56.61,56.985,56.5801,56.98,4712316
