date,open,high,low,close,volume
2025-09-02,177.47,179.2,176.89,178.06,9049003
2025-09-03,177.67,178.29,176.53,178.0,7111689
2025-09-04,178.0,178.9,177.55,178.76,7854833
2025-09-05,178.0,179.505,176.56,178.43,9733803
2025-09-08,177.36,179.445,176.7,178.13,8382514
2025-09-09,178.0,178.09,176.45,176.96,6005703
2025-09-10,176.3,176.605,174.33,175.79,6891590
2025-09-11,175.75,178.845,175.625,178.5,5792527
2025-09-12,177.705,178.8,176.72,178.06,7220473
2025-09-15,177.76,178.99,176.93,177.4,4768547
2025-09-16,177.57,177.615,175.65,176.46,7959652
2025-09-17,176.71,178.51,176.585,177.2,6715188
2025-09-18,176.6,177.02,173.87,174.16,8200854
2025-09-19,174.69,177.16,173.33,176.19,25620950
2025-09-22,176.09,176.64,174.12,174.21,7193868
2025-09-23,174.89,176.97,174.83,176.58,8350743
2025-09-24,176.14,176.95,175.74,176.69,6676770
2025-09-25,177.2,178.4,175.91,177.73,8474975
2025-09-26,178.6,179.91,177.32,179.71,8634403
2025-09-29,179.825,181.865,179.8,181.62,8597083
2025-09-30,181.7,185.99,181.07,185.42,11569020
2025-10-01,186.0,186.56,183.91,186.05,13063790
2025-10-02,184.19,186.59,184.09,185.98,7728069
2025-10-03,187.06,189.7825,186.91,188.64,8675087
2025-10-06,188.0,189.92,187.37,188.16,5806089
2025-10-07,183.77,189.23,182.94,188.89,8776784
2025-10-08,188.87,190.215,188.27,189.69,5751163
2025-10-09,190.0,192.1,189.73,191.08,7484764
2025-10-10,192.01,192.07,189.85,190.72,9598019
2025-10-13,189.83,191.3,189.28,190.9,7979476
2025-10-14,192.92,194.4,185.88,190.85,13613340
2025-10-15,191.48,193.57,189.3,191.17,9472995
2025-10-16,191.335,193.05,190.43,192.12,10611760
2025-10-17,192.5,193.6,191.6774,193.22,7764449
2025-10-20,193.5,194.48,192.3346,193.72,8034740
2025-10-21,193.01,193.55,191.77,191.88,6716360
2025-10-22,192.0,193.45,191.775,192.94,6343472
2025-10-23,192.56,194.0,191.54,192.47,8882491
2025-10-24,192.2,192.31,189.42,190.4,6903379
2025-10-27,189.99,190.8,189.53,190.3,7125956
2025-10-28,189.26,189.505,186.62,186.93,8329457
2025-10-29,186.7,187.1,184.66,186.6,10551080
2025-10-30,187.08,189.375,186.91,189.05,7072517
2025-10-31,187.46,189.5,186.76,188.87,8791666
2025-11-03,189.0,189.03,185.52,186.26,7542636
2025-11-04,186.83,187.82,185.62,186.86,7209395
2025-11-05,186.64,187.83,185.4,186.0,5049443
2025-11-06,186.76,187.52,185.372,186.97,6767417
2025-11-07,187.74,188.35,185.7,186.57,6959209
2025-11-10,186.0,188.42,185.12,188.41,5324077
2025-11-11,189.385,193.92,189.05,193.83,7465592
2025-11-12,193.36,195.545,193.07,194.39,8803005
2025-11-13,194.21,196.0,193.45,195.25,8631614
2025-11-14,195.0,197.18,193.55,195.93,8824847
2025-11-17,196.96,200.275,195.9,199.58,13257000
2025-11-18,199.01,200.3,198.5344,200.0,12468620
2025-11-19,200.0,203.48,199.38,202.51,14690840
2025-11-20,202.0,204.51,201.57,203.07,10612550
2025-11-21,203.96,206.9399,202.99,203.9,13189060
2025-11-24,203.71,206.12,203.0,206.05,14803870
2025-11-25,205.18,207.72,205.1788,206.67,10275720
2025-11-26,206.485,207.81,205.9426,207.56,6728994
2025-11-28,207.0,207.46,204.63,206.92,5638279
2025-12-01,206.5,207.7,205.34,205.34,8473726
2025-12-02,205.24,205.61,203.1,205.42,8393565
2025-12-03,205.9,207.02,204.99,205.33,8363292
2025-12-04,204.59,204.86,201.71,202.48,9049943
2025-12-05,202.98,203.45,200.81,201.93,7785552
2025-12-08,202.66,203.255,200.99,201.62,7785708
2025-12-09,202.92,205.54,199.905,199.96,7509402
2025-12-10,200.59,206.8,200.1799,206.54,11599790
2025-12-11,207.9,211.235,207.83,210.01,9008960
2025-12-12,210.28,212.27,208.9632,211.58,6922683
2025-12-15,210.345,215.185,209.0057,214.17,8466964
2025-12-16,214.0,214.73,208.81,209.3,9949810
2025-12-17,209.385,211.515,208.46,210.33,8457560
2025-12-18,209.8,211.06,207.756,208.31,7499852
2025-12-19,207.56,209.24,206.03,206.37,24803920
2025-12-22,206.13,208.08,205.5,207.32,8187755
2025-12-23,205.02,206.53,203.28,205.78,7047346
2025-12-24,206.0,207.94,205.57,207.78,2376541
2025-12-26,207.53,208.04,206.7101,207.63,2316730
2025-12-29,208.0,209.47,207.38,207.56,4348854
2025-12-30,207.51,207.69,206.52,206.91,3937395
2025-12-31,206.91,207.5,206.37,206.95,4084013
2026-01-02,206.82,207.385,203.68,207.35,6325672
2026-01-05,205.87,205.935,200.9101,204.31,9476975
2026-01-06,204.6,206.705,204.115,204.79,8107853
2026-01-07,205.26,208.26,205.03,207.49,7545920
2026-01-08,206.93,208.98,204.97,205.75,6557776
2026-01-09,205.91,206.7,204.01,204.39,6154326
2026-01-12,205.55,209.9,203.85,209.72,11794340
2026-01-13,209.91,214.39,208.86,213.65,11379590
2026-01-14,214.73,218.86,214.145,218.55,11858780
2026-01-15,218.23,219.75,215.9106,219.57,8492116
2026-01-16,219.04,220.11,218.135,218.66,10021520
2026-01-20,217.09,218.725,214.5,218.21,14057140
2026-01-21,211.0,218.675,210.5,218.01,14762880
2026-01-22,218.77,222.17,218.1,218.49,13160040
2026-01-23,219.8,221.21,217.8435,220.14,6951040
2026-01-26,220.21,222.03,220.0,221.49,6857093
2026-01-27,222.0,225.5,220.7,224.44,8154489
2026-01-28,226.4,228.57,226.075,227.72,9026495
2026-01-29,228.81,230.0,227.08,227.29,9645348
2026-01-30,228.26,228.5,225.33,227.25,11045530
2026-02-02,228.32,231.19,227.25,230.75,8187529
2026-02-03,231.5,235.2,230.48,233.1,9346605
2026-02-04,235.0,235.83,232.94,234.47,8641449
2026-02-05,235.0,239.58,234.99,237.79,10267500
2026-02-06,238.96,240.935,237.98,239.99,8274034
2026-02-09,240.25,240.74,237.04,238.64,9378548
2026-02-10,239.98,240.5,237.88,238.35,6723253
2026-02-11,239.34,241.26,237.4,240.86,6803917
2026-02-12,240.48,246.3499,239.68,244.55,10254260
2026-02-13,244.59,244.95,242.61,243.45,13268520
2026-02-17,244.13,244.49,241.87,243.33,12703030
2026-02-18,243.24,245.065,242.82,244.99,8129663
2026-02-19,244.62,246.96,244.27,246.91,7553934
2026-02-20,246.47,246.88,240.28,242.49,13565790
2026-02-23,243.63,246.81,242.6,245.84,9622742
2026-02-24,245.345,247.25,244.54,246.28,7246279
2026-02-25,244.86,247.25,243.72,245.17,7698199
2026-02-26,245.11,245.47,242.0201,243.47,7172607
2026-02-27,244.03,248.94,242.5,248.43,16428550
2026-03-02,249.19,251.71,246.87,248.56,9042359
2026-03-03,246.46,247.88,244.36,246.75,6178739
2026-03-04,245.75,246.57,243.18,245.3,5767980
2026-03-05,242.63,243.0,235.93,239.63,9375412
2026-03-06,238.115,240.79,235.43,240.4,7179790
2026-03-09,240.87,244.09,240.04,242.59,7844028
2026-03-10,242.3,245.0,240.82,243.71,7214122
2026-03-11,242.87,243.69,241.36,242.99,6934842
2026-03-12,241.46,244.4,240.3,242.04,7710152
2026-03-13,244.21,245.5899,241.5,241.52,6415539
2026-03-16,243.92,245.055,241.67,243.19,7571757
2026-03-17,243.58,244.14,237.22,238.11,7281819
2026-03-18,237.87,239.11,235.4169,237.28,6811546
2026-03-19,238.34,239.26,236.31,237.6,7511537
2026-03-20,236.83,238.29,234.5,235.37,17156620
2026-03-23,237.4,238.31,234.25,235.42,7313653
2026-03-24,234.14,236.0,232.2365,235.27,9046201
