date,open,high,low,close,volume
2025-09-02,13.27,13.5958,13.09,13.38,33224520
2025-09-03,13.7,13.74,13.03,13.04,38532430
2025-09-04,13.055,13.2,12.7,13.1,34021200
2025-09-05,13.19,13.56,12.8,13.46,26957740
2025-09-08,13.685,13.775,13.19,13.43,26634330
2025-09-09,13.48,13.62,13.155,13.42,10507100
2025-09-10,14.35,14.36,13.26,13.26,41010020
2025-09-11,13.3,14.13,13.23,13.68,32950810
2025-09-12,14.75,15.23,13.81,14.0,75124690
2025-09-15,14.545,15.005,14.04,14.12,62457840
2025-09-16,14.38,14.61,13.88,14.39,56616280
2025-09-17,14.15,14.2659,13.53,14.16,55428190
2025-09-18,14.38,14.82,14.165,14.63,36290770
2025-09-19,14.7,16.66,14.6,16.58,62295160
2025-09-22,16.08,16.19,15.17,15.86,49629920
2025-09-23,16.1,17.18,15.69,16.72,45726660
2025-09-24,16.83,16.88,15.86,15.97,43586050
2025-09-25,15.38,16.08,14.91,15.86,36836680
2025-09-26,15.725,16.38,15.57,16.11,31234880
2025-09-29,16.72,16.965,15.7,16.0,28721510
2025-09-30,15.92,16.38,15.33,16.14,29855040
2025-10-01,15.85,16.8,15.82,16.22,39148080
2025-10-02,16.5,17.9,16.18,17.8,40320530
2025-10-03,17.92,18.59,17.55,18.26,35918500
2025-10-06,18.615,19.59,18.42,19.57,33543800
2025-10-07,19.55,19.98,18.85,18.91,32064630
2025-10-08,16.86,17.8962,16.65,17.37,115034900
2025-10-09,17.43,17.7191,16.48,17.14,40409730
2025-10-10,17.26,17.41,16.2,16.28,45745500
2025-10-13,16.7,17.35,16.58,16.77,100919300
2025-10-14,16.27,18.44,15.79,18.11,107572500
2025-10-15,18.09,18.6,17.44,17.6,49710130
2025-10-16,17.77,18.77,15.98,16.07,36115800
2025-10-17,15.92,16.27,15.23,15.66,47643320
2025-10-20,16.33,17.5,16.11,17.43,61435220
2025-10-21,16.83,16.96,15.75,16.1,68010870
2025-10-22,15.91,16.11,14.9,15.47,43185450
2025-10-23,15.67,15.91,15.33,15.67,45909470
2025-10-24,16.155,16.56,16.0,16.13,40337090
2025-10-27,16.6,16.623,16.01,16.3,44154870
2025-10-28,16.34,16.4459,15.59,15.61,51073590
2025-10-29,16.58,17.3699,15.98,17.03,56404390
2025-10-30,16.535,17.0,16.27,16.55,27079800
2025-10-31,16.88,17.505,16.38,17.34,43643460
2025-11-03,16.97,16.98,15.6,16.32,42130210
2025-11-04,15.7,15.99,14.66,14.76,39796110
2025-11-05,15.33,15.41,14.8,15.0,33280450
2025-11-06,15.12,15.15,14.162,14.32,39387190
2025-11-07,13.84,14.95,13.23,14.9,53014980
2025-11-10,15.62,16.16,15.31,15.77,44145170
2025-11-11,15.55,16.39,15.12,16.35,34319290
2025-11-12,16.32,17.1,15.6,16.3,28691200
2025-11-13,15.91,16.05,14.74,14.79,26658830
2025-11-14,14.43,14.97,14.13,14.41,20422900
2025-11-17,14.3,14.49,13.55,13.89,22986580
2025-11-18,13.71,14.1584,13.42,13.93,22170510
2025-11-19,14.06,14.26,13.51,13.67,14389420
2025-11-20,14.13,14.6324,12.985,13.04,26583920
2025-11-21,13.08,13.325,12.14,13.07,28773180
2025-11-24,13.34,13.955,13.11,13.89,21323120
2025-11-25,13.81,14.04,13.26,13.94,12341150
2025-11-26,14.055,14.32,13.94,14.12,10885250
2025-11-28,14.235,14.5053,14.04,14.43,6086783
2025-12-01,13.66,13.925,13.28,13.47,18401340
2025-12-02,13.41,14.18,13.32,13.83,17316450
2025-12-03,13.7,14.66,13.59,14.63,14950700
2025-12-04,14.62,15.87,14.59,15.76,21133760
2025-12-05,15.48,15.655,15.18,15.26,18214630
2025-12-08,15.39,15.54,14.941,15.51,16026070
2025-12-09,15.33,15.53,15.11,15.44,10344290
2025-12-10,15.31,15.43,14.9247,15.01,13011070
2025-12-11,14.825,15.56,14.5,15.56,16021090
2025-12-12,15.57,15.98,14.73,14.85,18818080
2025-12-15,14.98,15.08,14.08,14.19,15468210
