date,open,high,low,close,volume
2025-09-02,300.26,300.455,294.5,299.7,7221855
2025-09-03,300.57,300.57,296.38,299.51,6316911
2025-09-04,300.0,304.43,298.28,303.82,6605797
2025-09-05,303.65,305.15,294.31,294.38,9837709
2025-09-08,294.89,296.46,291.44,292.91,8188506
2025-09-09,292.6,299.0,292.31,297.85,7848196
2025-09-10,296.7,301.54,295.4,300.54,7787303
2025-09-11,301.24,305.73,300.7925,305.56,7942489
2025-09-12,305.0,307.55,303.695,306.91,6846674
2025-09-15,307.17,309.95,307.17,308.9,7122015
2025-09-16,310.0,310.9,307.1347,309.19,10525590
2025-09-17,310.39,312.91,308.7722,311.75,8657765
2025-09-18,311.79,313.44,309.61,313.23,8050671
2025-09-19,313.6,315.8,309.12,314.78,23568550
2025-09-22,309.8,313.7,309.555,312.44,7520190
2025-09-23,311.815,316.3141,310.58,312.74,8584420
2025-09-24,314.05,316.5773,311.665,313.42,7310513
2025-09-25,314.12,315.65,311.8,313.45,7083198
2025-09-26,314.9,317.81,313.704,316.06,7258136
2025-09-29,317.06,318.01,313.66,315.69,6462442
2025-09-30,316.25,317.41,310.11,315.43,11823320
2025-10-01,313.97,314.59,307.41,310.71,9235211
2025-10-02,310.0,310.56,306.14,307.55,7599973
2025-10-03,308.51,311.66,308.21,310.03,6029854
2025-10-06,310.18,311.7474,305.1301,309.18,7214502
2025-10-07,309.35,310.01,304.7,307.69,8454217
2025-10-08,308.21,308.7832,303.55,304.03,6489883
2025-10-09,305.05,308.035,303.3947,305.53,7060332
2025-10-10,305.66,310.47,300.81,300.89,8597384
2025-10-13,305.6,309.46,305.45,307.97,10788680
2025-10-14,305.84,307.0,294.21,302.08,16178760
2025-10-15,306.39,312.1199,305.44,305.69,11354780
2025-10-16,305.35,308.6799,297.07,298.54,10549450
2025-10-17,299.16,299.55,294.2,297.56,10153450
2025-10-20,298.5,303.69,298.1601,302.36,6894943
2025-10-21,301.66,304.05,297.0,297.09,7372671
2025-10-22,297.77,298.0599,290.5448,294.11,8054115
2025-10-23,294.38,296.3699,292.51,294.54,5438810
2025-10-24,296.08,302.6,295.45,300.44,7228330
2025-10-27,302.16,304.53,301.01,304.15,5642222
2025-10-28,304.86,307.9674,303.16,305.36,6335993
2025-10-29,303.51,308.245,303.01,305.51,7520324
2025-10-30,305.79,312.61,305.1,309.44,7514556
2025-10-31,308.54,312.87,307.25,311.12,7721297
2025-11-03,311.0,312.32,306.21,309.35,7770040
2025-11-04,306.71,312.22,305.1,309.25,7085164
2025-11-05,309.61,313.1,305.63,311.68,6865198
2025-11-06,310.99,314.84,310.26,313.42,7206111
2025-11-07,311.89,314.43,307.642,314.21,7302347
2025-11-10,315.0,319.555,314.21,316.89,5794505
2025-11-11,317.5,319.05,315.28,315.62,5030216
2025-11-12,316.26,322.25,316.21,320.41,10578270
2025-11-13,319.23,320.6325,309.1,309.48,8973258
2025-11-14,307.51,307.64,301.23,303.61,10326980
2025-11-17,304.0,305.59,297.6714,300.37,8344046
2025-11-18,299.5,302.945,297.02,299.41,8077315
2025-11-19,299.74,304.4499,299.265,303.27,5546555
2025-11-20,306.34,309.92,298.16,298.38,7501582
2025-11-21,301.29,301.68,292.8101,298.02,11766810
2025-11-24,298.24,299.82,294.51,298.0,10940190
2025-11-25,300.05,304.5,295.56,303.0,8877188
2025-11-26,305.0,308.525,303.2,307.64,7910851
2025-11-28,309.1,313.72,308.24,313.08,4322448
2025-12-01,312.95,314.04,308.54,308.92,7727324
