date,open,high,low,close,volume
2025-09-02,29.08,29.16,28.6,28.91,29183800
2025-09-03,28.73,29.21,28.585,29.09,37011420
2025-09-04,29.2,29.39,28.7,29.25,34412580
2025-09-05,29.25,29.365,28.61,28.65,21098420
2025-09-08,28.59,28.63,27.235,27.63,34840230
2025-09-09,27.64,27.855,27.46,27.61,19003580
2025-09-10,27.46,27.4799,27.101,27.44,19227900
2025-09-11,27.4,27.79,27.33,27.59,15495860
2025-09-12,27.56,27.5899,27.015,27.23,15138140
2025-09-15,27.34,27.4,26.69,26.75,32401610
2025-09-16,26.74,27.0854,26.58,26.96,20150030
2025-09-17,27.02,27.465,26.96,27.26,23760560
2025-09-18,27.135,27.45,27.08,27.2,12364670
2025-09-19,27.3,27.31,27.05,27.11,26591160
2025-09-22,26.75,26.79,25.92,25.95,23838590
2025-09-23,26.1,26.62,26.04,26.5,19629370
2025-09-24,26.2,26.55,26.13,26.25,17915600
2025-09-25,26.39,26.48,25.6701,25.75,20503130
2025-09-26,25.64,25.72,25.4,25.5,20317590
2025-09-29,25.6,25.7,25.345,25.67,17747280
2025-09-30,25.65,25.725,25.415,25.51,17966900
2025-10-01,25.59,25.865,25.56,25.6,15747480
2025-10-02,25.56,25.755,25.27,25.74,12965440
2025-10-03,25.7,25.985,25.67,25.84,10325850
2025-10-06,25.8,25.825,25.19,25.3,23707280
2025-10-07,25.275,25.5,25.03,25.33,15276690
2025-10-08,25.29,25.595,25.11,25.58,13028660
2025-10-09,25.67,26.01,25.48,25.85,19416180
2025-10-10,25.92,26.03,25.71,25.82,11763190
2025-10-13,25.765,27.29,25.525,26.42,32613300
2025-10-14,26.3,26.74,26.095,26.69,17088400
2025-10-15,26.63,26.98,26.52,26.93,12270140
2025-10-16,27.06,27.78,27.03,27.72,28932470
2025-10-17,27.75,28.125,27.5,28.03,23230600
2025-10-20,27.99,28.165,27.73,27.75,11046560
2025-10-21,27.84,27.98,27.64,27.67,10676920
2025-10-22,27.73,28.1,27.365,27.39,15831050
2025-10-23,27.51,27.665,27.38,27.55,12124750
2025-10-24,27.61,27.73,27.155,27.16,10217640
2025-10-27,29.75,30.005,28.38,29.23,53680820
2025-10-28,29.02,29.1,28.36,28.85,26860680
2025-10-29,28.525,28.66,27.09,27.15,29978750
2025-10-30,27.32,27.89,27.24,27.68,21264100
2025-10-31,27.5,27.5,26.8339,27.16,22073410
2025-11-03,27.1,27.1,26.54,26.64,19617030
2025-11-04,26.86,26.9035,26.4,26.46,16092070
2025-11-05,26.45,26.81,26.33,26.72,12807280
2025-11-06,26.54,26.62,26.215,26.36,12916770
2025-11-07,26.6,26.67,25.875,25.96,19727510
2025-11-10,26.0,26.195,25.85,26.12,22572280
2025-11-11,26.18,26.93,26.18,26.73,17000850
2025-11-12,26.88,27.297,26.78,26.9,11843660
2025-11-13,26.88,27.16,26.785,27.0,25615010
2025-11-14,27.11,27.33,26.825,27.13,18295460
2025-11-17,27.21,27.41,26.885,26.96,23188270
2025-11-18,27.02,27.48,26.8725,27.42,12137010
2025-11-19,27.29,27.36,26.7325,26.89,8917809
2025-11-20,26.86,27.31,26.84,27.21,14598030
2025-11-21,27.31,27.93,27.3,27.74,15256180
2025-11-24,27.63,27.68,27.15,27.36,19631750
2025-11-25,27.395,27.43,26.77,27.05,19179680
2025-11-26,27.025,27.69,26.9547,27.68,11864170
2025-11-28,27.68,27.96,27.63,27.9,6348288
2025-12-01,27.84,28.2,27.77,28.17,12673420
2025-12-02,28.11,28.21,27.79,28.13,11618390
2025-12-03,28.15,28.435,27.99,28.33,16777880
2025-12-04,28.24,28.61,28.2,28.58,15526620
2025-12-05,28.57,28.755,28.26,28.69,15669740
2025-12-08,28.56,29.115,28.555,29.0,15805840
2025-12-09,29.06,29.9,28.77,29.06,21258750
2025-12-10,29.07,29.605,29.07,29.53,18699580
2025-12-11,29.56,29.71,29.39,29.47,14532690
2025-12-12,29.57,29.665,29.2111,29.51,16504960
2025-12-15,29.355,29.48,28.755,29.23,23521260
2025-12-16,29.34,29.47,28.43,28.59,19314230
2025-12-17,28.5,28.73,28.015,28.05,15742440
2025-12-18,28.02,28.4,27.9585,28.1,16502210
2025-12-19,28.1,28.13,27.82,27.89,27700340
2025-12-22,27.86,28.375,27.74,28.24,10752780
2025-12-23,28.24,28.24,27.86,27.9,9156609
2025-12-24,27.87,28.05,27.84,28.0,4319805
2025-12-26,27.97,28.11,27.9,28.1,5889677
2025-12-29,28.12,28.4,28.05,28.16,6962746
2025-12-30,28.11,28.25,28.08,28.15,5929331
2025-12-31,28.1,28.245,28.0,28.01,5834947
2026-01-02,27.82,27.965,27.69,27.73,9152774
2026-01-05,27.64,27.7,27.05,27.32,12995500
2026-01-06,27.23,27.48,26.97,27.34,9694942
2026-01-07,27.36,27.49,27.085,27.25,9319788
2026-01-08,27.17,27.86,27.135,27.61,7437117
2026-01-09,27.52,28.01,27.47,27.79,6849442
2026-01-12,27.68,27.975,27.54,27.7,10714660
2026-01-13,27.66,27.97,27.48,27.72,8231506
2026-01-14,27.75,28.355,27.68,28.12,11545840
2026-01-15,28.1,28.22,27.865,27.9,9984464
2026-01-16,27.915,27.93,27.315,27.41,17315110
2026-01-20,27.26,28.12,27.08,27.95,16865720
2026-01-21,27.875,28.08,27.39,27.7,10055730
2026-01-22,27.667,27.72,27.325,27.55,12133730
2026-01-23,27.57,27.85,27.46,27.76,9761463
2026-01-26,27.74,27.775,27.48,27.7,7923478
2026-01-27,27.59,27.64,27.21,27.59,9154781
2026-01-28,27.54,27.755,26.4,26.71,12373150
2026-01-29,26.768,27.02,26.635,26.82,12411720
2026-01-30,26.82,27.53,26.77,27.44,11489490
2026-02-02,27.42,27.59,27.23,27.47,8480948
2026-02-03,27.285,28.195,27.2,27.97,9026551
2026-02-04,28.23,28.6,28.13,28.45,10145300
2026-02-05,28.66,28.7,27.855,28.01,9705466
2026-02-06,27.99,28.44,27.9206,28.41,7810353
2026-02-09,28.33,28.54,27.85,28.51,12900140
2026-02-10,28.4,28.825,28.3,28.71,13807400
2026-02-11,28.7,29.945,28.6489,29.89,14315910
2026-02-12,29.705,30.1451,29.705,29.91,10041190
2026-02-13,29.86,30.095,29.355,29.69,9094735
2026-02-17,29.75,29.91,28.88,29.13,10660270
2026-02-18,29.13,29.395,28.844,29.14,6377878
2026-02-19,29.135,29.22,28.845,29.1,7446554
2026-02-20,29.15,29.58,29.0,29.54,6802930
2026-02-23,29.54,30.08,29.41,29.77,12729420
2026-02-24,30.68,31.5,30.3214,31.03,19243620
2026-02-25,30.99,31.12,29.96,30.15,15931380
2026-02-26,30.34,30.725,30.05,30.33,15557960
2026-02-27,30.32,30.64,30.2074,30.28,13256810
2026-03-02,30.16,30.35,29.94,29.97,8463809
2026-03-03,29.95,30.095,29.55,29.57,8075063
2026-03-04,29.63,29.63,28.84,28.87,9101744
2026-03-05,28.71,28.765,28.02,28.05,12280990
2026-03-06,27.927,28.33,27.715,28.25,7853958
2026-03-09,28.11,28.24,27.475,28.19,10723740
2026-03-10,28.0,28.325,27.845,28.04,7821504
2026-03-11,28.02,28.08,27.325,27.65,8803659
2026-03-12,27.45,27.64,26.92,26.93,10743640
2026-03-13,27.15,27.46,27.04,27.41,9508227
2026-03-16,27.62,28.02,27.51,27.55,10204890
2026-03-17,27.78,27.8,27.46,27.57,7220651
2026-03-18,27.23,27.31,26.84,27.07,11588010
2026-03-19,27.1,27.495,27.04,27.15,10211920
2026-03-20,27.18,27.28,26.56,26.59,18317100
2026-03-23,26.94,26.94,26.19,26.55,11704960
2026-03-24,26.43,26.79,26.135,26.21,8879339
2026-03-25,26.32,26.48,26.0,26.37,9108262
2026-03-26,26.435,26.675,26.19,26.27,9865787
2026-03-27,26.07,26.565,26.0,26.23,10148160
2026-03-30,26.28,26.7,25.99,26.45,11534920
2026-03-31,26.59,26.6,25.84,26.33,9131226
2026-04-01,25.97,26.21,25.525,25.69,11980080
2026-04-02,25.73,25.73,25.11,25.31,10579530
2026-04-06,25.17,25.75,24.875,25.7,10558800
2026-04-07,25.7,25.76,25.295,25.47,8055710
2026-04-08,25.6,25.95,25.56,25.84,8623744
2026-04-09,25.6,26.55,25.6,26.42,9151476
2026-04-10,26.46,26.58,26.16,26.57,11870830
2026-04-13,26.53,26.53,25.69,26.04,13259180
2026-04-14,25.81,26.18,25.56,26.02,11505900
2026-04-15,25.87,26.175,25.56,26.0,9802745
2026-04-16,25.935,26.35,25.835,26.04,10868880
2026-04-17,26.04,26.625,26.0,26.53,11331300
2026-04-20,26.53,26.81,26.38,26.5,9917067
2026-04-21,26.46,26.735,26.21,26.44,16324640
2026-04-22,26.65,26.96,26.425,26.54,14321620
2026-04-23,27.29,28.745,27.12,28.53,20269880
2026-04-24,28.53,29.28,28.3,29.22,15054080
2026-04-27,29.045,29.19,28.0,28.15,20865870
2026-04-28,28.635,29.285,28.465,28.79,13133890
2026-04-29,28.735,28.9999,28.56,28.93,15313900
2026-04-30,28.965,29.575,28.965,29.4,10522150
2026-05-01,29.53,29.5688,28.7609,29.09,7140272
2026-05-04,28.97,29.325,28.585,28.87,7954162
2026-05-05,28.8,29.27,28.435,28.92,8820145
2026-05-06,28.805,29.135,28.28,28.56,11812570
2026-05-07,28.44,28.715,27.84,28.52,9434530
2026-05-08,28.52,29.17,28.46,28.83,9205772
2026-05-11,28.83,29.0,28.545,28.71,9720966
2026-05-12,28.93,29.45,28.735,29.17,9260281
2026-05-13,29.13,29.675,29.0,29.31,8361133
2026-05-14,29.45,29.5,28.905,29.1,7724969
2026-05-15,29.33,29.33,28.77,28.93,8004809
2026-05-18,29.02,29.5,28.945,29.43,8734920
2026-05-19,29.49,29.665,28.81,28.85,12356570
2026-05-20,28.86,28.98,28.535,28.69,15343070
2026-05-21,28.75,28.905,28.275,28.78,9058246
2026-05-22,28.72,29.28,28.66,29.12,5933210
2026-05-26,29.01,30.215,29.01,29.55,14386310
2026-05-27,29.75,30.535,29.57,30.1,9953075
2026-05-28,29.95,30.23,29.77,30.04,9147352
2026-05-29,29.985,30.29,29.735,30.03,18202770
2026-06-01,29.805,30.33,29.67,30.2,10422880
2026-06-02,30.21,30.52,29.915,30.36,10208110
2026-06-03,30.3,31.04,30.19,30.55,12286700
2026-06-04,30.875,30.915,29.995,30.06,9879054
2026-06-05,30.38,30.94,30.205,30.53,9765837
2026-06-08,30.53,30.935,30.53,30.75,8836178
2026-06-09,30.86,31.6,30.75,31.48,11269230
2026-06-10,31.73,32.275,31.53,31.7,15349620
2026-06-11,31.415,31.6,31.0201,31.23,28691090
2026-06-12,31.07,31.73,31.07,31.71,13012070
2026-06-15,31.6,31.84,31.29,31.77,15744950
2026-06-16,31.79,32.31,31.75,32.0,12383420
2026-06-17,31.86,32.23,30.845,30.89,17007080
2026-06-18,31.13,31.24,30.625,30.76,21600720
2026-06-22,30.8,31.225,30.6,30.87,12470090
2026-06-23,30.87,31.188,29.83,30.87,18323490
2026-06-24,31.125,31.76,30.985,31.4,16212900
2026-06-25,31.82,32.58,31.715,32.52,20092720
2026-06-26,32.67,33.66,32.61,33.4,54796450
2026-06-29,33.46,33.82,33.125,33.5,16022680
2026-06-30,33.4,33.67,32.6201,32.73,13692800
2026-07-01,33.19,33.615,33.155,33.37,17819960
2026-07-02,33.37,33.795,32.905,33.3,16307890
2026-07-06,33.03,33.205,31.7,31.75,25211440
2026-07-07,32.25,32.6,31.23,31.49,14300940
2026-07-08,31.5,31.57,30.78,30.97,11431440
2026-07-09,30.9,30.97,30.365,30.72,15210870
2026-07-10,30.61,31.7,30.59,31.67,7968641
2026-07-13,31.53,32.045,31.155,31.25,12312360
2026-07-14,31.25,31.42,30.26,30.26,14469770
2026-07-15,30.22,30.645,29.982,30.28,13510680
2026-07-16,30.45,31.575,30.39,31.38,11395940
2026-07-17,31.66,31.87,30.7,30.91,10864320
