date,open,high,low,close,volume
2025-09-02,27.8,27.91,25.84,26.02,43401010
2025-09-03,26.25,27.0,26.11,26.93,19076250
2025-09-04,26.95,27.245,26.7246,26.96,13238770
2025-09-05,26.945,27.51,26.92,27.29,14754340
2025-09-08,27.14,27.15,26.53,26.9,17984190
2025-09-09,26.79,27.0,26.66,26.67,8218903
2025-09-10,26.61,26.73,26.3321,26.65,13538170
2025-09-11,26.7,26.94,26.5,26.52,10763380
2025-09-12,26.57,26.57,26.045,26.13,17152320
2025-09-15,26.23,26.37,25.62,25.63,23134650
2025-09-16,25.63,26.05,25.61,25.93,18271400
2025-09-17,25.92,26.2499,25.67,25.73,13239240
2025-09-18,25.73,26.22,25.66,26.08,21000720
2025-09-19,26.235,26.56,26.17,26.42,33012530
2025-09-22,26.38,26.52,26.26,26.38,14522780
2025-09-23,26.45,26.69,26.43,26.56,14221970
2025-09-24,26.48,26.85,26.43,26.74,13109470
2025-09-25,26.89,26.89,25.77,25.81,13950890
2025-09-26,25.83,26.15,25.82,26.05,15286090
2025-09-29,26.065,26.0687,25.3518,25.7,19230350
2025-09-30,25.71,26.13,25.496,26.04,23559650
2025-10-01,26.025,26.365,25.925,26.28,12862260
2025-10-02,26.2,26.315,25.85,26.07,10210690
2025-10-03,26.07,26.24,25.9717,26.06,8737848
2025-10-06,25.91,25.96,25.24,25.27,12580270
2025-10-07,25.29,25.4775,24.97,25.42,17810230
2025-10-08,25.3,25.369,24.95,25.08,11753500
2025-10-09,25.05,25.11,24.85,25.04,11100620
2025-10-10,25.09,25.29,24.98,25.15,9752663
2025-10-13,25.08,25.17,24.8,25.11,11558780
2025-10-14,25.055,25.47,25.04,25.44,11240020
2025-10-15,25.36,25.485,24.985,25.19,12688320
2025-10-16,25.245,25.44,25.04,25.13,13798410
2025-10-17,25.23,25.55,25.1548,25.52,15967140
2025-10-20,25.58,25.88,25.53,25.71,10077560
2025-10-21,25.81,25.86,25.54,25.58,12593630
2025-10-22,25.54,25.95,25.425,25.64,8860295
2025-10-23,25.62,25.65,25.245,25.41,11379600
2025-10-24,25.56,25.6,25.21,25.25,8618827
2025-10-27,25.26,25.63,25.26,25.59,12261280
2025-10-28,25.49,25.67,25.305,25.52,16389650
2025-10-29,25.01,25.22,24.105,24.38,44944190
2025-10-30,24.32,24.775,24.1,24.58,30901860
2025-10-31,24.36,24.98,24.2106,24.73,30484740
2025-11-03,24.68,24.69,23.895,24.33,20122470
2025-11-04,24.35,24.395,24.04,24.17,19216060
2025-11-05,24.13,24.34,23.975,24.14,19613690
2025-11-06,24.12,24.42,23.7,23.72,29327100
2025-11-07,23.9,24.3,23.755,24.28,18904780
2025-11-10,24.3,24.43,24.085,24.38,23012760
2025-11-11,24.46,24.695,24.36,24.67,15282070
2025-11-12,24.695,24.79,24.36,24.75,12984690
2025-11-13,24.73,25.21,24.71,24.96,17990960
2025-11-14,25.035,25.16,24.6,24.85,19863380
2025-11-17,24.9,24.94,24.46,24.49,14016300
2025-11-18,24.53,25.0899,24.37,24.97,15670620
2025-11-19,24.915,24.9954,24.76,24.91,9803416
2025-11-20,24.94,25.2199,24.86,24.98,14973320
2025-11-21,25.07,25.535,24.87,25.29,11876310
2025-11-24,25.28,25.3,24.99,25.23,22402810
2025-11-25,25.31,25.61,25.27,25.44,12690350
2025-11-26,25.35,25.765,25.3302,25.6,9517881
2025-11-28,25.18,25.5599,25.13,25.51,6295222
2025-12-01,25.4,25.48,25.09,25.37,12954750
2025-12-02,25.38,25.38,24.63,24.96,14911760
2025-12-03,24.95,25.28,24.86,25.03,13351570
2025-12-04,25.01,25.14,24.54,24.59,11029850
2025-12-05,24.53,24.7659,24.31,24.34,9376321
2025-12-08,24.25,24.66,24.25,24.51,11198460
2025-12-09,24.56,24.66,24.07,24.23,10096330
2025-12-10,24.3,24.415,24.19,24.35,11200570
2025-12-11,24.38,24.6,24.24,24.39,13562200
2025-12-12,24.46,24.75,24.38,24.45,11339560
2025-12-15,24.49,24.63,24.405,24.5,13604280
