date,open,high,low,close,volume
2025-09-02,129.35,130.04,128.04,128.84,2027320
2025-09-03,128.84,129.32,127.1,128.0,2562868
2025-09-04,128.5,129.409,127.84,129.17,2049255
2025-09-05,128.17,130.6,128.0,129.89,2187008
2025-09-08,129.24,130.13,127.765,129.78,2916782
2025-09-09,129.95,131.53,129.39,130.97,2325596
2025-09-10,130.24,130.83,127.01,128.01,2279439
2025-09-11,128.245,130.02,127.87,129.47,1745077
2025-09-12,128.9,129.87,127.95,127.99,1442298
2025-09-15,127.42,127.78,125.05,125.47,3077722
2025-09-16,125.4,126.06,124.48,125.04,2084642
2025-09-17,125.32,126.98,125.32,125.59,2304515
2025-09-18,124.72,126.42,124.38,125.51,1822064
2025-09-19,126.12,126.55,124.24,124.62,6928114
2025-09-22,124.43,125.13,123.8,124.07,2683819
2025-09-23,124.12,124.43,122.58,123.82,2452169
2025-09-24,123.15,124.545,123.01,123.93,1459895
2025-09-25,124.32,124.5,121.02,121.72,4024827
2025-09-26,121.82,122.91,121.485,122.23,2292669
2025-09-29,122.59,122.815,121.365,122.66,2851245
2025-09-30,122.51,124.71,122.18,124.34,2044346
2025-10-01,124.82,125.32,123.04,123.23,1921569
2025-10-02,123.23,123.24,122.08,122.62,1696239
2025-10-03,122.325,123.38,121.76,122.58,1898153
2025-10-06,122.0,122.185,120.45,120.54,2143614
2025-10-07,120.54,122.7785,119.63,122.33,2254560
2025-10-08,122.18,122.18,119.54,119.63,1802763
2025-10-09,119.62,120.29,119.36,119.55,1851538
2025-10-10,120.2,120.7206,119.37,119.57,1855199
2025-10-13,119.51,119.51,118.18,119.27,1968573
2025-10-14,119.595,120.61,119.09,120.17,1708595
2025-10-15,120.2,121.215,119.64,119.92,2704832
2025-10-16,120.49,121.35,119.375,119.7,2337524
2025-10-17,120.11,121.49,119.88,121.44,2076726
2025-10-20,121.52,121.89,120.62,120.7,1547716
2025-10-21,120.8,121.03,119.95,120.05,1876295
2025-10-22,120.12,121.99,119.54,120.21,1924081
