date,open,high,low,close,volume
2025-09-02,26.73,26.975,26.55,26.74,10941300
2025-09-03,26.74,26.88,26.56,26.73,10270920
2025-09-04,26.87,27.145,26.61,26.71,13220820
2025-09-05,26.76,26.845,26.22,26.59,11509240
2025-09-08,26.75,27.085,26.285,26.48,14652490
2025-09-09,26.63,26.9,26.61,26.64,10999200
2025-09-10,26.62,27.455,26.62,27.38,12037160
2025-09-11,27.3,27.58,27.21,27.57,11016170
2025-09-12,27.6,27.8111,27.49,27.58,8665130
2025-09-15,27.67,27.7482,27.33,27.36,9551694
2025-09-16,27.41,27.41,27.07,27.21,12100230
2025-09-17,27.29,27.66,27.27,27.57,9974293
2025-09-18,27.57,27.8799,27.485,27.67,10170200
2025-09-19,27.7,27.72,27.2846,27.42,20820570
2025-09-22,27.34,27.46,27.175,27.18,9891545
2025-09-23,27.2,27.73,27.14,27.47,11122150
2025-09-24,27.63,28.03,27.61,27.82,14021010
2025-09-25,27.84,28.1958,27.75,27.93,13493270
2025-09-26,28.18,28.51,28.03,28.21,13771820
2025-09-29,28.3,28.37,28.01,28.37,13675810
2025-09-30,28.28,28.475,28.195,28.31,16456250
2025-10-01,28.23,28.4,28.0,28.3,13920020
2025-10-02,28.24,28.905,28.145,28.22,11822120
2025-10-03,28.23,28.73,28.03,28.46,12537870
2025-10-06,28.59,28.615,27.93,27.93,10716820
2025-10-07,28.01,28.0797,27.7237,28.01,9691012
2025-10-08,27.84,28.185,27.61,28.14,16501440
2025-10-09,28.1,28.34,27.4601,27.52,14633860
2025-10-10,27.5,27.8,27.09,27.1,13835220
2025-10-13,27.095,27.37,27.01,27.34,11761670
2025-10-14,27.09,27.38,27.0,27.31,9975111
2025-10-15,27.47,27.825,27.34,27.61,9641905
2025-10-16,27.62,27.74,27.0,27.21,13166510
2025-10-17,27.1,27.4,27.02,27.38,13970650
2025-10-20,27.65,27.87,27.35,27.52,19745460
2025-10-21,27.62,27.63,27.355,27.5,11439450
2025-10-22,27.56,27.67,27.125,27.56,13323320
2025-10-23,28.0,28.125,26.24,26.25,29594430
2025-10-24,26.48,26.48,25.76,25.86,19250080
2025-10-27,25.9,26.19,25.805,26.15,16550200
2025-10-28,26.175,26.175,25.82,26.08,16978520
2025-10-29,26.16,26.4,25.855,25.9,18370810
2025-10-30,25.94,26.325,25.73,26.08,15228380
2025-10-31,26.1,26.2759,25.955,26.19,14287410
2025-11-03,25.98,26.09,25.6,26.08,15600640
2025-11-04,25.96,26.0799,25.75,25.84,16101560
2025-11-05,25.8,26.22,25.655,25.92,18891920
2025-11-06,26.0,26.3555,25.92,26.12,12929330
2025-11-07,26.12,26.605,26.035,26.55,11602570
2025-11-10,26.55,27.13,26.39,27.06,12878440
2025-11-11,27.14,27.2,26.79,26.94,12348460
2025-11-12,26.97,27.335,26.91,27.01,10557840
2025-11-13,27.08,27.2,26.82,26.89,15289370
2025-11-14,26.85,27.49,26.68,27.42,17510750
2025-11-17,27.43,27.545,27.12,27.14,14176290
2025-11-18,27.07,27.315,26.92,27.09,16210490
2025-11-19,26.7,26.9,26.345,26.82,15595180
2025-11-20,26.98,27.365,26.7,26.72,19024600
2025-11-21,26.8,27.07,26.54,26.98,14887600
2025-11-24,27.02,27.03,26.56,26.82,23465350
2025-11-25,26.69,26.785,26.315,26.52,15378110
2025-11-26,26.65,27.08,26.58,26.95,10980210
2025-11-28,26.96,27.36,26.855,27.32,5815656
2025-12-01,27.21,27.4352,27.17,27.29,13036780
2025-12-02,27.32,27.32,26.78,26.85,11197960
2025-12-03,26.98,27.365,26.885,27.17,10768170
2025-12-04,27.13,27.86,27.06,27.84,11907360
2025-12-05,27.87,28.0,27.69,27.77,14290860
2025-12-08,27.72,27.72,27.245,27.29,12518280
2025-12-09,27.34,27.815,27.27,27.32,13651840
2025-12-10,27.34,27.35,26.53,26.59,15477030
2025-12-11,26.5,26.83,26.45,26.82,11034070
2025-12-12,26.96,27.085,26.58,26.73,10579500
2025-12-15,26.77,26.81,26.44,26.72,12074170
2025-12-16,26.66,26.66,26.24,26.33,12300330
2025-12-17,26.4,26.74,26.345,26.65,12229600
2025-12-18,26.71,26.86,26.32,26.34,12326920
2025-12-19,26.32,26.73,26.31,26.49,17976240
2025-12-22,26.6,26.936,26.55,26.89,9417495
2025-12-23,26.84,27.29,26.84,27.28,8517860
2025-12-24,27.27,27.355,27.18,27.19,3905021
2025-12-26,27.25,27.34,27.084,27.19,5094096
2025-12-29,27.3,27.515,27.22,27.38,7968671
2025-12-30,27.49,27.65,27.415,27.58,8074380
2025-12-31,27.54,27.58,27.3648,27.49,9434268
2026-01-02,27.49,27.895,27.19,27.71,10257460
2026-01-05,27.96,27.96,27.125,27.9,17778800
2026-01-06,28.0,28.0,26.59,26.82,19691780
2026-01-07,26.89,27.165,26.825,27.0,11124140
2026-01-08,27.0,27.47,27.0,27.27,12654880
2026-01-09,27.4,27.485,26.93,27.12,13382800
2026-01-12,27.14,27.245,26.695,26.92,13562590
2026-01-13,27.11,27.505,27.065,27.38,11440860
2026-01-14,27.31,27.8,27.31,27.53,13634520
2026-01-15,27.49,27.72,27.315,27.41,11802150
2026-01-16,27.54,27.98,27.39,27.96,14289640
2026-01-20,28.14,28.335,27.735,27.96,17090010
2026-01-21,28.33,28.66,28.24,28.58,17547750
2026-01-22,29.13,30.1799,28.93,29.69,29210850
2026-01-23,29.98,30.0,29.475,29.57,17249030
2026-01-26,29.8,29.835,28.99,29.34,15781520
2026-01-27,29.23,29.61,29.16,29.59,14938670
2026-01-28,29.74,30.31,29.565,30.07,17467300
2026-01-29,30.5,30.57,30.005,30.24,18864580
2026-01-30,30.36,30.55,29.9,30.49,18926730
2026-02-02,29.88,29.895,29.45,29.61,15786020
2026-02-03,29.73,30.385,29.6609,30.32,17139000
2026-02-04,30.4,30.555,29.54,30.06,18763690
2026-02-05,29.96,30.39,29.7,30.33,11523250
2026-02-06,30.41,30.59,30.24,30.5,11765950
2026-02-09,30.48,31.12,30.46,30.99,11713100
2026-02-10,31.22,31.54,30.9,31.01,12322450
2026-02-11,31.48,31.6699,31.21,31.45,13391010
2026-02-12,31.51,31.99,31.415,31.69,15378410
2026-02-13,31.71,32.34,31.67,32.32,14026650
2026-02-17,32.33,32.575,31.81,32.13,12213850
2026-02-18,32.5,32.56,32.14,32.29,11952680
2026-02-19,32.5,32.77,32.38,32.54,14436610
2026-02-20,32.6,32.765,32.17,32.73,15816550
2026-02-23,32.74,33.24,32.625,32.7,10040950
2026-02-24,32.63,32.72,32.135,32.69,11971380
2026-02-25,32.67,32.8,32.21,32.77,9971917
2026-02-26,32.7,33.24,32.57,33.06,12412740
2026-02-27,33.125,33.3499,32.945,33.27,16322340
2026-03-02,33.75,34.13,33.065,33.89,15539650
2026-03-03,34.0,34.24,33.5,33.96,15675570
2026-03-04,33.74,34.01,33.465,33.92,11345970
2026-03-05,33.89,34.075,33.28,33.39,16915330
2026-03-06,33.55,33.665,33.235,33.58,12941570
2026-03-09,33.66,33.66,33.145,33.3,12552760
2026-03-10,33.2,33.39,32.925,32.96,13108450
2026-03-11,32.83,33.3,32.6704,33.08,12548610
2026-03-12,33.38,33.91,33.03,33.36,14180660
2026-03-13,33.55,33.56,33.235,33.39,10512230
2026-03-16,33.4,33.45,33.055,33.31,10931030
2026-03-17,33.52,33.875,33.2327,33.27,11723040
2026-03-18,33.24,33.27,32.61,32.61,13858790
2026-03-19,32.79,33.72,32.5,33.44,14364260
2026-03-20,33.49,33.725,32.825,32.84,26371980
2026-03-23,32.81,33.82,32.44,33.71,22314860
2026-03-24,33.62,34.225,33.61,33.93,13247420
2026-03-25,33.76,34.2599,33.6686,33.98,15095700
2026-03-26,33.94,34.4,33.77,34.07,11080440
2026-03-27,34.0,34.726,33.83,34.03,18007330
2026-03-30,34.28,34.36,33.52,33.65,10327980
2026-03-31,33.81,33.89,33.025,33.53,18488760
2026-04-01,33.15,33.3123,32.52,32.88,15741720
2026-04-02,33.5,33.5,32.825,32.97,9473806
2026-04-06,32.875,33.215,32.81,33.19,8052982
2026-04-07,33.22,33.795,33.22,33.3,9359277
2026-04-08,32.12,33.06,32.025,32.96,15180830
2026-04-09,32.87,33.765,32.76,32.97,11465880
2026-04-10,32.8,32.94,32.46,32.68,10813460
2026-04-13,32.79,32.85,31.72,32.07,10601590
2026-04-14,31.91,32.0,31.36,31.65,15796430
2026-04-15,31.45,31.85,31.395,31.7,11561220
2026-04-16,31.66,32.065,31.57,31.79,11962410
2026-04-17,31.15,32.09,30.9206,32.02,14356030
2026-04-20,31.75,32.42,31.71,31.94,10838390
2026-04-21,31.95,32.175,31.145,31.57,9964718
