date,open,high,low,close,volume
2025-09-02,148.0,150.06,145.47,149.0,322238
2025-09-03,147.98,152.565,147.62,150.2,261766
2025-09-04,149.33,150.39,148.0401,149.75,231969
2025-09-05,150.33,152.96,149.885,150.27,324265
2025-09-08,150.21,151.45,142.915,145.2,323651
2025-09-09,146.0,146.05,140.33,141.21,312573
2025-09-10,140.97,142.395,136.73,137.46,322344
2025-09-11,137.55,144.7,137.0225,144.36,318882
2025-09-12,144.17,145.416,141.245,143.68,350777
2025-09-15,146.52,156.25,145.46,155.71,798155
2025-09-16,155.91,157.9599,151.88,154.38,406244
2025-09-17,155.0,157.1,153.2,154.05,280632
2025-09-18,156.64,160.69,155.2,160.61,364693
2025-09-19,161.91,168.42,160.4968,163.57,811024
2025-09-22,162.17,167.91,161.6,165.42,483063
2025-09-23,165.18,167.8676,163.335,164.97,249170
2025-09-24,164.97,166.62,161.485,162.0,309986
2025-09-25,160.82,164.385,158.08,161.15,261934
2025-09-26,162.13,168.19,159.2428,167.82,206063
2025-09-29,168.59,177.25,168.335,176.75,367949
2025-09-30,176.81,178.2,173.0101,176.53,319684
2025-10-01,175.85,183.36,175.85,179.61,535179
2025-10-02,180.49,182.28,178.61,181.69,261674
2025-10-03,182.785,183.58,179.16,183.36,397457
2025-10-06,183.87,186.745,179.85,180.57,327502
2025-10-07,182.13,183.23,179.7967,183.02,212153
2025-10-08,184.63,187.48,181.7902,187.18,258014
2025-10-09,187.18,189.51,186.26,188.76,250703
2025-10-10,189.88,190.01,181.32,181.47,338161
2025-10-13,182.44,186.08,179.19,184.74,249475
2025-10-14,183.38,189.75,181.4368,188.05,224361
2025-10-15,188.24,195.385,187.4865,192.99,262859
2025-10-16,193.41,195.9078,187.53,188.33,252726
2025-10-17,192.91,192.91,186.725,190.23,282152
2025-10-20,191.74,196.775,188.1918,195.96,290128
2025-10-21,195.2,195.6,188.63,190.78,226729
2025-10-22,190.67,190.67,183.88,186.42,265200
2025-10-23,186.26,189.95,183.03,186.45,171605
2025-10-24,188.5,189.25,185.04,186.13,140251
2025-10-27,187.13,191.88,187.13,189.93,187724
2025-10-28,189.77,190.485,185.054,189.65,260366
2025-10-29,187.9,189.96,183.2625,185.05,281702
2025-10-30,184.79,191.435,184.7,189.08,281554
2025-10-31,187.68,198.495,185.9575,197.51,595007
2025-11-03,197.75,198.98,184.02,197.85,633919
2025-11-04,197.94,212.98,195.465,203.26,654463
2025-11-05,198.375,204.18,194.915,199.88,684485
2025-11-06,198.53,203.0,195.7591,199.97,250400
2025-11-07,200.08,200.08,192.52,197.93,261802
2025-11-10,199.34,201.32,197.13,199.53,294179
2025-11-11,201.07,204.15,199.0,203.0,399678
2025-11-12,202.7,209.9599,202.7,203.03,334054
2025-11-13,201.16,204.69,199.0804,201.21,199499
2025-11-14,199.11,207.8,198.02,206.16,181030
2025-11-17,205.57,212.97,205.57,208.25,322436
2025-11-18,206.17,209.77,202.99,204.74,130246
2025-11-19,203.96,208.79,203.67,204.1,229078
2025-11-20,208.63,210.0,203.1747,204.225,163956
2025-11-21,204.05,214.72,203.35,212.02,330972
2025-11-24,212.02,219.69,212.02,214.89,278045
2025-11-25,216.09,220.0,214.67,216.97,196965
2025-11-26,216.97,221.84,213.24,218.7,304951
2025-11-28,219.85,219.85,215.1213,218.0,76590
2025-12-01,216.1,216.5625,212.83,215.11,218207
2025-12-02,216.38,219.54,212.7475,215.06,274313
2025-12-03,215.69,219.85,214.0333,217.46,240262
2025-12-04,215.8,222.66,213.8325,221.96,406343
2025-12-05,222.24,234.65,220.785,234.13,537917
2025-12-08,237.35,241.645,227.8601,234.05,439031
2025-12-09,232.07,237.195,231.51,234.64,369695
2025-12-10,234.43,241.85,234.43,239.72,498799
2025-12-11,239.16,246.97,239.16,246.775,258569
2025-12-12,246.97,248.595,242.58,244.65,334039
2025-12-15,244.34,247.4,240.485,242.98,243713
2025-12-16,240.55,243.655,238.53,238.55,281599
2025-12-17,237.76,238.66,234.1703,235.8,270227
2025-12-18,238.81,239.52,231.685,233.37,273788
2025-12-19,233.25,245.3,231.905,240.8,690249
2025-12-22,241.43,249.78,241.43,249.61,256840
2025-12-23,249.27,255.0,248.9,253.36,220480
2025-12-24,253.67,253.9,249.73,251.29,119013
2025-12-26,251.63,252.55,249.0,252.17,151250
2025-12-29,251.39,265.915,248.48,253.68,181280
2025-12-30,253.0,255.9999,246.9,247.88,228679
2025-12-31,247.69,250.0899,245.885,246.54,195614
2026-01-02,245.64,246.94,238.52,246.91,196511
2026-01-05,246.55,247.0,235.605,244.71,211665
2026-01-06,250.44,257.9475,246.235,249.39,395137
2026-01-07,250.45,254.495,245.675,246.37,367296
2026-01-08,249.51,255.07,245.985,248.91,437171
2026-01-09,254.51,267.4799,252.923,261.41,349867
2026-01-12,260.64,274.4,257.0,272.13,476400
2026-01-13,273.92,292.895,266.655,291.93,512347
2026-01-14,292.4,295.98,287.5716,291.79,355091
2026-01-15,295.0,295.0,279.56,282.01,288754
2026-01-16,284.17,289.78,282.0,285.04,278828
2026-01-20,280.02,282.195,271.52,274.81,462420
2026-01-21,274.58,286.28,271.7,286.0,252384
2026-01-22,286.2,292.49,286.2,289.125,280385
2026-01-23,289.98,294.6379,280.625,281.53,331309
2026-01-26,279.47,281.0,275.0,278.75,163766
2026-01-27,278.75,281.28,275.0701,277.36,178716
2026-01-28,278.19,279.62,272.15,272.91,260023
2026-01-29,273.03,283.61,273.03,279.34,219917
2026-01-30,282.0,282.47,274.89,279.24,277737
2026-02-02,276.58,285.97,276.05,282.27,222923
2026-02-03,282.27,286.52,273.2301,279.57,152114
2026-02-04,281.32,282.335,258.34,269.13,437926
2026-02-05,265.43,274.06,265.29,267.64,287536
2026-02-06,276.89,277.11,260.03,272.74,327552
2026-02-09,276.66,280.0,270.0,272.61,263992
2026-02-10,273.38,274.9199,270.1,270.7,139293
2026-02-11,271.43,274.295,264.845,272.65,179170
2026-02-12,275.56,275.56,269.405,270.26,128829
2026-02-13,271.27,280.535,271.27,276.45,363382
2026-02-17,289.0,298.3025,270.71,287.84,842534
2026-02-18,286.67,290.31,277.77,283.29,525454
2026-02-19,280.0,281.685,259.58,262.67,521046
2026-02-20,261.51,264.025,252.6101,261.8,343801
2026-02-23,261.84,275.14,260.725,274.59,294372
2026-02-24,274.59,275.0,262.33,266.9,351010
2026-02-25,266.9,275.0,266.9,272.5,196527
2026-02-26,272.88,277.0326,266.96,276.36,215436
2026-02-27,275.69,276.99,272.69,275.64,207440
2026-03-02,267.6,270.0,258.78,258.81,318104
2026-03-03,253.7,268.26,253.7,263.8,223273
2026-03-04,266.93,266.99,257.44,265.0,234840
2026-03-05,260.28,263.3,254.12,260.33,276513
2026-03-06,255.0,260.0,251.18,253.69,244409
2026-03-09,254.3,260.56,251.78,258.65,259794
2026-03-10,258.98,265.65,256.71,261.08,227047
2026-03-11,257.64,258.63,254.31,255.0,163408
2026-03-12,251.01,253.59,244.5,251.31,199153
2026-03-13,254.75,257.36,246.76,247.26,286777
2026-03-16,251.78,255.05,246.0,250.16,188023
2026-03-17,251.89,259.27,249.74,256.33,227262
2026-03-18,256.08,257.58,250.3,250.83,233006
2026-03-19,250.83,258.34,249.095,258.0,233119
2026-03-20,258.91,263.75,249.38,251.68,839965
2026-03-23,254.25,255.99,247.37,250.08,274779
2026-03-24,248.7,252.825,243.18,247.09,271518
2026-03-25,251.04,257.65,250.91,254.95,240463
2026-03-26,249.06,259.14,249.0,251.4,281901
2026-03-27,248.11,249.6,242.26,245.39,289731
2026-03-30,247.58,249.46,242.48,246.94,418511
2026-03-31,252.0,260.8125,242.0001,258.32,298830
2026-04-01,260.97,264.0,255.475,258.91,351251
2026-04-02,252.62,260.99,252.62,260.95,203764
2026-04-06,260.95,266.63,260.53,261.8,238419
2026-04-07,261.21,264.795,257.085,263.99,245133
2026-04-08,267.42,272.12,262.271,264.22,298393
2026-04-09,262.46,262.855,252.3,258.33,228211
2026-04-10,258.87,259.89,255.61,259.0,162518
2026-04-13,259.12,268.1,256.555,267.41,240871
2026-04-14,267.86,275.75,267.86,270.0,389164
2026-04-15,270.01,271.045,262.4,268.54,246289
2026-04-16,266.92,267.41,262.02,264.06,224689
2026-04-17,268.88,276.24,267.31,274.21,327189
2026-04-20,274.37,278.86,272.0,276.5,210388
2026-04-21,277.47,277.47,271.615,272.66,160960
2026-04-22,275.17,278.06,271.305,275.94,367722
2026-04-23,276.23,278.75,266.64,268.04,160342
2026-04-24,267.34,274.99,259.7,272.52,264110
2026-04-27,272.01,281.645,267.94,272.75,242385
2026-04-28,273.87,276.95,268.68,269.27,142585
2026-04-29,265.82,270.44,257.525,259.95,213873
2026-04-30,260.78,262.9699,257.79,262.26,181328
2026-05-01,263.13,266.375,256.92,266.04,255860
2026-05-04,265.6,287.64,251.97,286.95,657829
2026-05-05,291.12,303.0,283.5,284.57,414581
2026-05-06,286.28,290.0,280.1,288.99,288687
2026-05-07,288.99,297.48,279.7355,296.7,602771
2026-05-08,297.0,306.1,292.0,305.71,470598
2026-05-11,308.38,315.165,306.84,312.88,386635
2026-05-12,313.33,315.17,308.3,310.31,316289
2026-05-13,309.53,317.21,302.87,312.58,320109
2026-05-14,316.79,319.48,312.0,316.3,387609
2026-05-15,312.29,314.05,305.99,306.29,316530
2026-05-18,308.0,308.99,289.39,291.75,299220
2026-05-19,289.78,296.05,286.0,293.3,201582
2026-05-20,297.09,303.37,296.13,302.05,197426
2026-05-21,300.97,306.45,296.2,304.23,177094
2026-05-22,305.1,309.41,297.18,299.45,162219
2026-05-26,302.03,303.87,298.985,302.68,181962
2026-05-27,304.67,308.73,302.0,306.63,144304
2026-05-28,306.0,311.065,299.28,310.3,174104
2026-05-29,311.7,315.58,307.09,309.03,226324
2026-06-01,309.03,309.03,298.0,298.1,263133
2026-06-02,294.37,296.9999,285.07,293.21,334075
2026-06-03,292.23,304.8999,290.0393,301.82,240425
2026-06-04,300.75,312.38,298.925,307.79,264913
2026-06-05,305.34,312.81,300.02,301.0,264455
2026-06-08,302.47,306.18,300.0,301.76,259667
2026-06-09,306.99,311.0,302.285,309.75,233130
2026-06-10,309.75,320.32,309.45,312.41,301908
2026-06-11,314.12,326.4694,312.25,321.545,477530
2026-06-12,331.49,331.49,316.54,317.97,313520
2026-06-15,318.0,326.12,314.0,324.75,263548
2026-06-16,326.54,329.98,321.11,323.37,328904
2026-06-17,323.55,347.67,322.95,341.66,514695
2026-06-18,350.0,356.4999,343.48,348.06,811433
2026-06-22,356.49,356.49,341.66,343.43,411690
2026-06-23,339.21,346.82,337.6,340.21,272794
2026-06-24,343.59,353.89,343.59,347.63,378494
2026-06-25,347.27,362.4,347.205,359.93,329918
2026-06-26,360.45,376.28,359.38,372.25,1307875
