date,open,high,low,close,volume
2025-09-02,20.66,20.82,20.59,20.78,11719940
2025-09-03,20.69,20.785,20.41,20.45,19118190
2025-09-04,20.53,20.565,20.26,20.54,16966420
2025-09-05,20.51,20.69,17.145,18.62,135445400
2025-09-08,18.75,18.93,18.2,18.43,56134990
2025-09-09,18.5,18.97,18.12,18.87,39520410
2025-09-10,18.88,18.95,18.05,18.47,25228960
2025-09-11,18.43,19.04,18.41,18.85,22265500
2025-09-12,18.82,19.42,18.77,18.99,26731010
2025-09-15,18.99,19.01,18.085,18.25,24893270
2025-09-16,18.35,18.58,18.0,18.13,19689010
2025-09-17,18.13,18.615,18.02,18.34,17820700
2025-09-18,18.18,18.53,18.05,18.1,27556670
2025-09-19,18.21,18.59,18.045,18.34,49475620
2025-09-22,17.71,17.96,16.885,16.97,76034190
2025-09-23,17.9,18.19,17.22,17.24,68556690
2025-09-24,17.51,17.51,16.532,16.86,52306350
2025-09-25,16.96,17.03,16.14,16.17,61109030
2025-09-26,16.42,16.56,16.07,16.42,51681070
2025-09-29,16.5,16.6,16.13,16.34,39463510
2025-09-30,16.36,16.52,16.16,16.23,37973630
2025-10-01,16.22,16.4,15.82,15.85,50561160
2025-10-02,15.92,15.9364,15.47,15.73,30873280
2025-10-03,15.77,15.96,15.6,15.81,22120170
2025-10-06,15.83,15.92,15.65,15.69,25054740
2025-10-07,15.73,16.3,15.64,16.22,31078370
2025-10-08,16.1,16.29,16.025,16.08,18797520
2025-10-09,16.17,16.85,16.06,16.84,39063180
2025-10-10,16.85,16.95,16.57,16.65,21210930
2025-10-13,16.56,16.645,16.14,16.22,23282950
2025-10-14,16.2,16.405,15.99,16.15,17858770
2025-10-15,16.2,16.73,16.18,16.26,16035770
2025-10-16,16.28,16.43,14.05,14.11,87211170
2025-10-17,14.22,15.575,14.22,15.29,51896460
2025-10-20,15.17,15.26,14.8812,14.96,29629260
2025-10-21,15.1,15.25,14.805,14.93,25585960
2025-10-22,14.94,15.54,14.87,15.19,23711630
2025-10-23,15.16,15.25,14.995,15.09,20422410
2025-10-24,15.24,15.33,14.98,15.0,20454970
2025-10-27,15.1,15.23,14.885,15.08,18913810
2025-10-28,14.9,14.925,14.43,14.51,29928100
2025-10-29,14.34,15.08,14.09,14.31,64351170
2025-10-30,14.36,14.37,14.02,14.24,34414140
2025-10-31,14.24,14.41,14.06,14.37,46602290
2025-11-03,17.065,17.18,16.135,16.14,203526000
2025-11-04,16.13,16.43,15.88,15.97,82978490
2025-11-05,16.01,16.45,15.95,16.23,59492840
2025-11-06,16.22,16.74,16.2,16.46,63905390
2025-11-07,16.51,17.04,16.49,16.88,47283830
2025-11-10,16.74,16.89,16.47,16.77,43689200
2025-11-11,16.78,17.04,16.7,16.72,28741500
2025-11-12,16.66,17.04,16.61,16.67,34933500
2025-11-13,16.79,17.06,16.75,16.77,30762140
2025-11-14,16.82,16.98,16.64,16.66,34737940
2025-11-17,16.69,17.24,15.94,16.24,54955620
2025-11-18,16.44,16.605,16.1,16.23,44935270
2025-11-19,16.24,16.28,16.0,16.06,30635640
2025-11-20,16.12,16.4459,16.07,16.15,27266950
2025-11-21,16.25,16.75,16.2,16.64,46900010
2025-11-24,16.62,16.91,16.48,16.76,69858410
2025-11-25,16.8,17.06,16.76,17.03,46709460
2025-11-26,16.98,17.47,16.96,17.22,46265500
2025-11-28,17.2,17.41,17.16,17.35,9197770
2025-12-01,17.295,17.55,17.21,17.22,26675060
2025-12-02,17.12,17.1475,16.83,16.86,30997130
2025-12-03,16.95,17.05,16.75,16.97,41596410
2025-12-04,16.95,17.19,16.92,16.99,38194800
2025-12-05,16.93,17.085,16.825,16.93,21148110
2025-12-08,16.87,16.9099,16.7,16.76,25717670
2025-12-09,16.78,17.08,16.76,17.02,37343430
