date,open,high,low,close,volume
2025-09-02,18.93,19.41,17.36,17.66,21813820
2025-09-03,17.81,18.48,16.76,16.785,23414230
2025-09-04,16.66,16.67,15.25,16.16,24281120
2025-09-05,16.34,18.735,16.3,18.41,33386950
2025-09-08,18.0,18.58,17.645,18.44,11496840
2025-09-09,18.35,19.65,18.35,19.39,13441570
2025-09-10,19.325,19.95,19.13,19.44,7666217
2025-09-11,19.5,20.29,19.36,19.9,8926259
2025-09-12,19.68,19.76,18.8,19.275,7605856
2025-09-15,19.415,20.0,19.1,19.84,6899675
2025-09-16,19.81,20.4,19.625,19.72,6951292
2025-09-17,19.67,21.4,19.44,20.36,14033440
2025-09-18,20.52,20.93,20.37,20.5,6632522
2025-09-19,20.5,21.2,20.2123,21.1,7979218
2025-09-22,21.08,22.45,20.74,22.44,9807548
2025-09-23,22.47,23.935,22.23,22.24,13959380
2025-09-24,22.63,23.5,21.91,22.98,9248692
2025-09-25,22.46,23.525,22.1,23.04,8625764
2025-09-26,23.12,24.53,23.0,23.96,12387800
2025-09-29,24.155,24.485,23.73,24.11,9197223
2025-09-30,24.07,24.43,23.08,23.79,7688151
2025-10-01,23.88,24.36,23.7614,24.295,11891710
2025-10-02,24.35,24.89,23.585,24.1,8409855
2025-10-03,24.14,25.065,23.65,24.77,11207220
2025-10-06,24.82,25.23,23.91,24.02,7562819
2025-10-07,23.76,23.7781,21.5,22.01,14351470
2025-10-08,21.9,22.6,21.6601,22.52,10055140
2025-10-09,22.24,22.3,21.26,21.69,7483437
2025-10-10,21.71,22.19,20.94,20.98,8437749
2025-10-13,21.15,21.57,20.9257,21.39,5276408
2025-10-14,21.1,22.35,20.66,21.92,6708279
2025-10-15,22.08,22.4199,21.265,21.67,6014269
2025-10-16,21.6,21.85,20.52,20.53,6292095
2025-10-17,20.445,20.61,19.6,19.63,8374966
2025-10-20,19.88,20.16,19.63,19.89,5209559
2025-10-21,19.85,20.31,19.635,19.69,6408487
2025-10-22,19.65,19.81,18.23,18.5,8890640
2025-10-23,18.57,19.28,18.36,18.65,7514529
2025-10-24,18.91,19.0496,18.46,18.48,7713048
2025-10-27,18.66,18.755,18.1,18.1,7136615
2025-10-28,18.11,19.475,17.72,18.11,20515290
2025-10-29,19.0,19.25,17.85,18.02,16267830
2025-10-30,17.82,17.91,17.43,17.53,7328228
2025-10-31,17.6,17.945,17.485,17.75,6746666
2025-11-03,17.72,17.72,16.47,16.64,12250850
2025-11-04,16.33,16.78,16.16,16.36,7374673
2025-11-05,16.6,17.57,16.43,17.24,11149110
2025-11-06,17.72,18.1,17.14,17.96,13211870
2025-11-07,17.75,17.9997,16.9,17.28,17252860
2025-11-10,17.58,17.8,17.11,17.18,5026752
2025-11-11,17.3,17.4,16.8,16.99,4483267
2025-11-12,16.75,16.815,15.285,16.59,20766530
2025-11-13,16.38,16.46,15.17,15.17,10172820
2025-11-14,14.815,14.91,14.19,14.2,11395860
2025-11-17,14.01,14.09,12.57,12.91,16302760
2025-11-18,12.72,13.21,12.37,12.965,10343360
2025-11-19,13.005,13.005,12.37,12.47,7949305
2025-11-20,12.57,12.89,11.7,11.72,9251268
2025-11-21,11.73,12.35,11.46,12.3,7779406
2025-11-24,12.43,12.7,12.18,12.67,7097653
2025-11-25,12.58,13.2,12.295,13.13,6848255
2025-11-26,13.13,13.505,13.05,13.38,4373854
2025-11-28,13.52,13.73,13.33,13.63,3222011
2025-12-01,13.245,13.26,12.425,12.58,9475623
2025-12-02,12.66,13.15,12.61,12.88,7181740
2025-12-03,12.81,13.65,12.6608,13.56,8100156
2025-12-04,13.79,14.2,13.51,14.15,7706405
2025-12-05,14.115,14.2599,13.4,13.42,9045707
2025-12-08,12.9,13.06,12.39,12.76,9484212
2025-12-09,12.49,12.74,12.1445,12.45,9498827
2025-12-10,12.4,13.33,12.27,12.98,9211866
2025-12-11,12.855,13.01,12.66,12.83,3786138
2025-12-12,12.78,13.2114,12.54,12.54,5434716
2025-12-15,12.78,12.8,11.8,11.81,7621412
2025-12-16,11.76,11.935,11.2,11.52,7895295
2025-12-17,11.57,11.7199,11.085,11.13,6373348
2025-12-18,11.32,11.9782,11.27,11.45,7522691
2025-12-19,11.42,12.045,11.3742,11.82,7477803
2025-12-22,11.95,12.595,11.82,12.3,6993344
2025-12-23,12.06,12.1,11.59,11.63,6040903
2025-12-24,11.635,11.85,11.62,11.81,3378294
2025-12-26,11.74,11.78,11.32,11.41,6098503
2025-12-29,11.25,11.5,11.09,11.11,7019563
2025-12-30,11.1,11.11,10.9,10.9,7568909
2025-12-31,10.88,10.93,10.455,10.57,12500660
2026-01-02,10.73,11.26,10.6852,11.15,6684652
2026-01-05,11.25,11.985,11.19,11.69,7985101
2026-01-06,11.94,12.17,11.49,11.6,6513882
2026-01-07,11.6,11.61,10.84,11.0,9368815
2026-01-08,10.895,11.55,10.83,11.24,6029662
2026-01-09,11.41,11.49,11.04,11.33,4472134
2026-01-12,11.27,11.47,11.155,11.26,3640984
2026-01-13,11.3,11.36,10.74,10.94,7499812
2026-01-14,10.915,11.055,10.71,10.84,5220428
2026-01-15,10.83,10.89,10.03,10.05,12787680
2026-01-16,10.07,10.18,9.96,10.12,9348663
2026-01-20,9.765,9.835,9.5,9.73,10389250
2026-01-21,9.96,11.645,9.93,11.47,23279950
2026-01-22,11.46,12.15,11.31,11.47,10128600
2026-01-23,11.37,11.45,10.92,11.06,6501164
2026-01-26,11.0,11.43,10.61,10.64,5542737
2026-01-27,10.65,11.06,10.55,11.0,6295639
2026-01-28,11.18,11.685,10.8835,10.91,10419490
2026-01-29,10.935,11.44,10.78,11.33,7193090
2026-01-30,11.15,11.485,10.94,11.07,6753089
2026-02-02,11.07,11.07,10.25,10.29,8049220
2026-02-03,10.3,10.62,10.16,10.5,8186538
2026-02-04,10.595,10.75,10.11,10.38,6524854
2026-02-05,10.11,10.3,9.515,9.53,8991514
2026-02-06,9.695,10.94,9.65,10.86,10905140
2026-02-09,10.76,11.23,10.64,11.09,5285545
2026-02-10,11.09,11.41,10.88,10.92,4737515
2026-02-11,10.95,11.04,9.975,10.05,8946121
2026-02-12,10.13,10.27,9.805,9.92,5609233
2026-02-13,10.35,10.73,10.2351,10.28,6188079
2026-02-17,10.19,10.28,9.85,9.92,5493521
2026-02-18,9.93,10.14,9.7,9.8,6439287
2026-02-19,9.79,9.83,9.53,9.75,4728841
2026-02-20,9.68,9.9587,9.53,9.55,6824000
2026-02-23,9.52,9.76,9.12,9.44,8009419
2026-02-24,9.47,10.01,9.349,9.92,9398466
2026-02-25,9.8,10.4,9.57,10.28,13756150
2026-02-26,10.24,10.7,10.15,10.59,7613247
2026-02-27,10.29,10.3,9.81,10.0,5954228
2026-03-02,9.54,10.14,9.46,10.03,4834234
