date,open,high,low,close,volume
2025-09-02,180.92,181.5,179.355,180.89,596270
2025-09-03,180.77,181.05,176.66,177.71,615516
2025-09-04,177.0,178.58,174.64,178.58,1065130
2025-09-05,179.49,180.1699,177.42,179.0,697578
2025-09-08,178.25,178.57,176.34,178.41,641565
2025-09-09,178.25,179.175,176.75,179.03,751189
2025-09-10,178.95,180.49,178.29,180.37,525881
2025-09-11,181.0,185.92,180.705,185.13,851339
2025-09-12,184.82,185.46,183.72,183.86,541392
2025-09-15,182.26,184.3799,181.835,182.73,746097
2025-09-16,182.56,183.79,180.835,182.58,904497
2025-09-17,182.59,185.0,181.08,183.8,710628
2025-09-18,183.31,187.57,181.29,187.15,832488
2025-09-19,187.76,188.9,186.505,187.45,3133129
2025-09-22,186.89,188.28,183.385,187.87,753586
2025-09-23,188.52,190.68,185.12,187.11,778722
2025-09-24,188.33,189.213,186.91,187.4,727415
2025-09-25,187.29,188.37,179.2,182.36,1041624
2025-09-26,183.35,185.85,181.435,184.9,838215
2025-09-29,186.22,187.5,184.09,185.61,847130
2025-09-30,186.21,189.74,186.06,188.96,844537
2025-10-01,186.81,191.66,186.81,191.63,956209
2025-10-02,191.25,193.636,190.0601,192.89,744813
2025-10-03,192.81,197.46,192.0,195.58,868255
2025-10-06,195.58,198.805,195.0,198.04,885701
2025-10-07,198.95,199.28,196.385,197.0,668993
2025-10-08,198.0,198.56,195.64,198.23,779849
2025-10-09,198.18,198.61,193.845,194.05,674488
2025-10-10,194.47,194.8,187.82,188.03,763550
2025-10-13,188.1,188.3811,185.52,185.94,781052
2025-10-14,185.17,188.8,184.31,187.27,512787
2025-10-15,187.67,189.275,184.29,186.57,496018
2025-10-16,186.14,187.355,183.99,184.41,628440
2025-10-17,184.26,185.76,180.45,184.51,774769
2025-10-20,186.28,191.29,185.1,190.49,536689
2025-10-21,190.81,193.72,190.5,193.16,855621
2025-10-22,192.62,193.395,188.0,188.47,832051
2025-10-23,189.07,193.23,188.63,191.39,813639
2025-10-24,191.32,191.32,183.76,189.96,779704
2025-10-27,189.96,190.02,188.23,189.11,583128
2025-10-28,189.11,189.77,186.9682,187.81,581231
2025-10-29,187.01,190.71,186.1,188.16,531497
2025-10-30,188.57,192.235,188.075,190.92,835569
2025-10-31,191.01,192.7999,189.12,190.47,749197
2025-11-03,189.94,194.12,188.25,193.05,1639456
2025-11-04,189.65,205.77,188.1,199.55,1509540
2025-11-05,199.98,202.0,194.75,195.07,1018602
2025-11-06,195.07,197.78,193.25,194.76,684012
2025-11-07,195.13,198.0,193.05,196.98,605676
2025-11-10,197.32,198.085,194.24,196.87,570341
2025-11-11,196.49,200.46,195.51,198.25,591881
2025-11-12,197.5,199.55,192.74,193.02,876220
2025-11-13,193.88,195.39,190.67,191.32,790145
2025-11-14,191.1,191.72,188.9406,191.41,823402
2025-11-17,191.05,191.65,188.24,188.79,596955
2025-11-18,188.98,190.935,187.54,189.11,677698
2025-11-19,188.74,190.14,187.22,189.18,649782
2025-11-20,191.25,192.999,185.355,185.66,808746
2025-11-21,186.31,189.5398,185.55,186.49,1026058
2025-11-24,185.81,187.745,183.85,186.81,1267361
2025-11-25,187.9,192.13,187.48,191.5,872794
2025-11-26,191.8,192.92,190.185,190.36,760927
2025-11-28,190.85,191.67,190.2957,191.1,379578
2025-12-01,190.46,191.73,188.33,188.42,769947
2025-12-02,189.11,189.98,186.27,187.07,764872
2025-12-03,187.84,189.075,186.8,188.44,585334
2025-12-04,189.04,196.56,189.04,192.42,782926
2025-12-05,191.62,191.62,183.91,186.82,917394
2025-12-08,187.33,187.33,184.42,185.62,887595
2025-12-09,185.61,186.98,184.68,184.95,872955
2025-12-10,184.16,189.41,184.01,188.31,770133
2025-12-11,189.05,191.54,187.4,190.53,659900
2025-12-12,190.53,191.53,187.11,189.73,1152346
2025-12-15,188.36,189.73,184.88,185.95,955041
2025-12-16,185.86,186.5,180.74,182.16,882166
2025-12-17,181.06,183.6099,180.0,181.36,852480
2025-12-18,182.22,183.57,180.625,181.19,886829
2025-12-19,181.29,184.78,180.29,184.68,2420904
2025-12-22,185.19,187.38,184.14,186.04,700435
2025-12-23,185.98,187.35,184.6401,186.32,553791
2025-12-24,186.32,187.5,185.61,186.63,272699
2025-12-26,187.11,187.42,185.3,185.86,277974
2025-12-29,185.82,186.86,184.2,185.49,314888
2025-12-30,185.04,185.664,182.46,183.35,658260
2025-12-31,182.53,183.055,180.32,180.4,649311
2026-01-02,179.6,183.78,178.81,183.47,654376
2026-01-05,185.23,196.3999,184.0,195.49,1197583
2026-01-06,195.2,197.93,194.65,197.5,747440
2026-01-07,198.88,202.23,195.98,196.61,1148312
2026-01-08,198.0,205.0,187.76,195.22,1765441
2026-01-09,193.68,200.9999,193.65,198.34,994904
2026-01-12,198.8,200.66,194.9,195.6,965510
2026-01-13,196.77,199.09,195.06,195.96,974741
2026-01-14,196.04,197.15,188.26,190.82,1319147
2026-01-15,190.39,193.51,189.0,193.36,1095730
2026-01-16,192.22,194.73,190.81,194.7,889006
2026-01-20,193.49,195.515,190.8,190.92,766361
2026-01-21,191.36,193.61,189.24,192.12,920768
2026-01-22,192.7,196.0599,189.67,193.45,860884
2026-01-23,194.99,198.0,190.18,191.23,659454
2026-01-26,193.0,193.0,185.9,189.5,844690
2026-01-27,188.69,189.3,186.43,187.15,804941
2026-01-28,185.85,188.205,184.0,187.77,599002
2026-01-29,188.46,190.41,185.69,187.19,585751
2026-01-30,185.67,188.39,184.69,188.28,946327
2026-02-02,187.54,188.6314,185.85,188.04,697883
