date,open,high,low,close,volume
2025-09-02,130.5,133.34,130.32,132.68,2400408
2025-09-03,132.15,134.96,131.51,134.08,2573966
2025-09-04,135.58,138.625,135.0,138.07,2970790
2025-09-05,141.69,144.235,140.4975,141.88,4268770
2025-09-08,141.5,142.61,139.81,142.4,2831286
2025-09-09,141.5,141.84,136.49,137.45,3702029
2025-09-10,138.75,138.82,135.575,136.58,2726647
2025-09-11,137.52,140.7093,137.52,140.09,2468097
2025-09-12,140.0,140.0,136.97,137.27,2854229
2025-09-15,137.88,137.88,132.275,133.77,4581924
2025-09-16,134.48,134.7131,131.21,133.81,4007922
2025-09-17,134.63,139.44,131.79,132.97,5872128
2025-09-18,133.01,134.07,131.34,132.87,5239949
2025-09-19,126.5,131.47,125.16,127.32,17041320
2025-09-22,124.75,125.05,121.1,121.91,6043697
2025-09-23,122.46,123.7599,121.85,123.25,4178870
2025-09-24,123.2,126.7,122.45,125.69,3557694
2025-09-25,124.15,126.93,123.78,124.02,3406093
2025-09-26,125.01,126.88,124.15,126.04,2430863
2025-09-29,127.44,128.26,125.405,127.68,3360337
2025-09-30,127.51,127.88,124.5,126.04,2435546
2025-10-01,126.5,128.55,126.3,128.21,2462731
2025-10-02,128.0,128.64,126.57,128.33,1718719
2025-10-03,128.325,130.83,128.3,130.07,2026728
2025-10-06,130.18,130.81,126.02,126.39,2709671
2025-10-07,124.0,124.097,121.65,122.14,3661677
2025-10-08,122.63,122.63,118.91,120.12,4469391
2025-10-09,119.93,119.96,117.1,117.91,5509123
2025-10-10,123.0,123.71,117.905,118.77,6316332
2025-10-13,117.98,119.214,117.47,118.02,3242872
2025-10-14,118.41,122.46,117.3,122.23,4302707
2025-10-15,122.57,123.67,121.33,122.44,3170092
2025-10-16,122.7,122.98,120.945,122.87,3087712
2025-10-17,123.01,125.9399,122.45,125.82,4500236
2025-10-20,126.39,127.45,124.7288,125.85,3059260
2025-10-21,123.57,129.58,122.3,128.24,4170822
2025-10-22,127.51,129.49,126.57,127.14,2663628
2025-10-23,126.84,128.4775,126.265,127.34,2208880
2025-10-24,129.85,130.23,127.57,127.57,3267966
2025-10-27,128.0,130.07,127.83,128.72,2265556
2025-10-28,124.28,129.2,124.04,128.22,3234372
2025-10-29,126.37,128.97,123.75,124.18,5354056
2025-10-30,123.52,125.51,122.54,124.13,4998340
2025-10-31,123.18,124.33,121.94,123.77,4848072
2025-11-03,122.64,122.75,119.57,120.59,3553074
2025-11-04,120.66,122.4768,119.4,121.65,4318010
2025-11-05,121.03,122.865,119.18,121.18,3251123
2025-11-06,121.6,121.6,119.87,120.33,1945569
2025-11-07,119.82,121.55,118.94,121.55,4076429
2025-11-10,121.45,123.48,120.64,123.21,3283621
2025-11-11,123.93,125.52,123.0601,125.44,2999153
2025-11-12,125.29,126.913,124.01,124.13,4404369
2025-11-13,122.83,124.165,121.19,121.24,5256185
2025-11-14,121.49,123.6024,120.85,121.11,4641301
2025-11-17,120.3,120.525,114.06,114.1,8987439
2025-11-18,113.4,116.91,112.11,115.97,7621931
2025-11-19,116.62,116.78,114.92,115.16,17006010
2025-11-20,115.12,117.835,115.12,116.25,32418880
2025-11-21,118.0,124.14,117.57,123.16,17030000
2025-11-24,121.56,124.07,120.51,122.96,10562750
2025-11-25,124.46,131.6,124.37,131.08,15138310
2025-11-26,131.2,132.93,130.57,131.28,14129870
2025-11-28,130.86,131.43,129.79,131.3,5108424
2025-12-01,129.24,132.43,129.0,130.23,20089100
2025-12-02,129.88,131.136,127.27,129.73,13058390
2025-12-03,129.73,133.76,129.22,133.13,6028392
2025-12-04,131.09,133.23,126.71,126.75,7426777
2025-12-05,127.07,128.205,123.88,123.91,6243132
2025-12-08,122.07,122.36,120.0001,120.71,5332707
2025-12-09,118.73,120.16,117.04,117.19,4128478
2025-12-10,117.66,120.33,117.46,120.03,3341606
2025-12-11,120.22,122.79,118.91,119.15,3105051
2025-12-12,119.9,120.26,118.235,119.37,2436300
2025-12-15,120.0,121.3499,118.92,119.73,3195934
2025-12-16,120.345,120.82,116.7,117.57,4815866
2025-12-17,113.65,116.54,110.02,112.23,10385800
2025-12-18,111.39,112.97,108.025,108.33,7284935
2025-12-19,107.76,108.04,105.23,107.99,9673914
2025-12-22,107.99,108.25,106.485,106.99,3663414
2025-12-23,106.91,107.17,104.25,104.74,2801499
2025-12-24,104.9,105.94,104.43,105.09,1399317
2025-12-26,104.9,105.22,104.06,104.9,1868421
2025-12-29,104.84,105.12,103.49,103.92,2331349
2025-12-30,103.37,104.43,103.03,103.89,2174038
2025-12-31,103.78,103.99,102.72,102.8,1849399
2026-01-02,103.01,104.5,102.12,104.22,2414765
2026-01-05,103.87,106.97,103.6,105.4,2936838
2026-01-06,104.0,106.47,102.76,106.36,3362343
2026-01-07,106.8,107.67,103.4635,103.93,4539543
2026-01-08,103.15,110.33,102.8,109.55,4194965
2026-01-09,113.0,119.32,112.97,119.25,7685955
2026-01-12,118.42,122.83,117.9,120.9,4671278
2026-01-13,121.51,123.55,119.89,123.32,3543602
2026-01-14,120.75,123.71,120.7,121.39,4126698
2026-01-15,121.64,122.74,119.27,122.25,2297428
2026-01-16,121.73,122.31,117.17,118.59,4404695
2026-01-20,115.01,119.2,114.99,115.16,3197298
2026-01-21,116.15,119.76,115.79,118.0,3592260
2026-01-22,118.0,119.28,114.1801,114.71,3024514
2026-01-23,114.65,115.38,111.78,111.84,2631272
2026-01-26,111.52,112.425,110.02,110.58,2069527
2026-01-27,110.3,110.6,109.1,110.07,1836630
2026-01-28,110.26,113.605,109.655,110.79,2328918
2026-01-29,110.65,113.94,109.86,111.23,2462184
2026-01-30,109.8,110.32,107.83,109.35,2392401
2026-02-02,108.92,109.931,107.5,108.8,2440566
2026-02-03,108.3,116.69,108.14,112.53,4923351
2026-02-04,112.5,118.04,112.5,115.27,3631508
2026-02-05,115.93,116.8559,114.5001,115.37,2177582
2026-02-06,114.675,117.5999,111.0,114.02,3826974
2026-02-09,114.24,115.49,112.305,114.08,1845655
2026-02-10,115.35,120.05,114.745,119.4,2476436
2026-02-11,117.51,121.04,117.0837,120.99,2169410
2026-02-12,121.8,123.98,120.71,120.83,2511631
2026-02-13,120.755,124.16,120.755,122.28,2571620
2026-02-17,122.26,124.1,118.61,121.44,1830078
2026-02-18,121.46,123.14,120.62,121.26,1414494
2026-02-19,120.5,121.165,115.52,116.12,3079925
2026-02-20,116.78,118.21,114.87,116.46,2380980
2026-02-23,116.5,116.77,113.12,116.2,2378880
2026-02-24,116.0,118.1,115.625,116.4,1317010
2026-02-25,116.49,116.95,109.05,110.73,2700627
2026-02-26,111.59,112.22,110.05,112.0,1667740
2026-02-27,111.37,114.98,111.01,114.36,2408950
2026-03-02,111.85,111.85,109.52,110.61,2242408
2026-03-03,107.55,109.48,105.315,108.41,2142957
2026-03-04,106.94,107.6059,105.9001,106.53,2073200
2026-03-05,105.44,106.67,103.655,104.3,2651388
2026-03-06,103.24,104.03,100.1,101.17,2953669
2026-03-09,99.53,100.71,96.4,99.94,3193863
2026-03-10,99.78,100.51,97.7,98.72,2820998
2026-03-11,98.72,99.3347,96.33,96.57,3495186
2026-03-12,95.41,95.6698,92.17,92.54,6423819
2026-03-13,95.32,96.49,93.7262,94.96,4498194
2026-03-16,95.83,96.69,94.3325,95.95,3100073
2026-03-17,96.5,97.65,96.085,97.03,2812734
2026-03-18,95.98,97.54,94.22,94.75,2936211
2026-03-19,94.0,94.29,92.18,93.72,3543310
2026-03-20,93.3,93.78,89.634,90.55,6641492
2026-03-23,92.4,94.82,91.91,93.46,3808043
2026-03-24,91.93,93.36,91.285,92.38,3312647
2026-03-25,93.73,94.0899,89.64,92.19,2485466
2026-03-26,91.12,93.38,90.78,91.11,2194172
2026-03-27,90.6,91.71,89.88,90.25,2649031
2026-03-30,91.6,91.89,84.7101,84.88,6194900
2026-03-31,86.6,89.84,84.38,86.84,6235520
2026-04-01,86.88,87.615,85.3063,85.44,3862570
2026-04-02,84.02,87.1,83.03,86.49,3057189
2026-04-06,85.6,88.64,85.58,88.57,2272390
2026-04-07,86.45,87.32,84.57,85.62,4424772
2026-04-08,88.96,91.37,88.38,88.63,3535334
2026-04-09,87.57,90.27,87.29,88.93,3421927
2026-04-10,89.06,89.085,86.5,88.97,4215585
2026-04-13,88.39,89.88,87.125,89.79,2596116
2026-04-14,89.8,90.92,88.7,88.83,2803106
2026-04-15,89.66,89.66,87.6,88.44,2353920
2026-04-16,89.15,90.06,88.75,88.8,1840856
2026-04-17,90.95,95.22,90.725,92.79,3620672
2026-04-20,92.29,94.15,91.5,94.12,2134220
2026-04-21,97.5,97.94,94.5,94.81,3000470
2026-04-22,95.19,95.535,93.8,94.45,2175674
2026-04-23,94.6,95.4,93.3401,94.18,2216375
2026-04-24,93.93,95.48,93.29,94.05,2311745
2026-04-27,94.74,94.85,93.11,93.25,1929447
2026-04-28,93.99,94.49,91.87,92.32,1820083
2026-04-29,91.73,92.44,88.185,88.71,2602934
2026-04-30,88.98,90.5,88.975,90.3,2144238
2026-05-01,90.81,91.12,88.275,88.45,2184959
2026-05-04,87.32,87.85,84.27,84.36,2269671
2026-05-05,84.97,87.51,84.64,86.2,2386081
2026-05-06,88.69,91.04,88.01,90.54,3503530
2026-05-07,90.35,91.45,87.21,87.74,2406308
2026-05-08,88.13,88.79,87.0412,88.38,1501739
2026-05-11,87.97,88.25,86.765,87.09,2791012
2026-05-12,87.48,87.78,85.01,85.86,2652817
2026-05-13,85.19,85.92,84.45,84.97,2265572
2026-05-14,85.49,86.26,84.61,85.25,2504591
2026-05-15,85.09,85.59,82.06,82.3,3568636
2026-05-18,83.0,85.42,82.73,83.82,3383350
2026-05-19,83.0,83.335,81.18,83.0,2627347
2026-05-20,83.8,87.39,82.75,87.31,2701612
2026-05-21,85.82,89.03,84.84,88.83,2489821
2026-05-22,88.78,89.53,87.375,88.86,2179494
2026-05-26,89.96,90.49,88.56,89.29,2475067
2026-05-27,90.6,93.78,90.04,90.96,2144444
2026-05-28,89.6,90.545,88.9093,89.75,2127688
