date,open,high,low,close,volume
2025-09-02,192.47,204.9999,186.5,203.89,956133
2025-09-03,207.5,209.95,197.88,201.54,1061710
2025-09-04,202.0,205.88,198.06,199.01,619566
2025-09-05,201.0,205.4,191.68,205.39,928353
2025-09-08,205.5,208.22,198.2,204.68,767656
2025-09-09,205.0,223.98,202.4387,217.9,1521739
2025-09-10,221.53,225.5,215.76,219.3,884228
2025-09-11,218.0,232.665,214.001,224.32,1182141
2025-09-12,220.33,228.0,219.9,222.13,663185
2025-09-15,222.7,243.8,220.13,243.48,1491582
2025-09-16,243.0,243.24,226.43,233.62,1311354
2025-09-17,233.0,235.0,221.23,230.15,950807
2025-09-18,236.02,264.88,231.62,262.65,1886106
2025-09-19,260.0,301.57,260.0,294.49,3395635
2025-09-22,296.88,312.54,282.5601,306.22,1943723
2025-09-23,310.0,312.0,295.05,302.59,1287470
2025-09-24,303.49,304.966,276.0,276.0,1618046
2025-09-25,265.25,318.08,261.5569,312.19,2995270
2025-09-26,316.15,337.999,297.0,305.35,1763822
2025-09-29,316.7,322.0,299.4555,315.62,1350380
2025-09-30,307.99,320.755,306.0,310.07,1056845
2025-10-01,303.99,334.78,303.5797,331.11,1124759
2025-10-02,339.97,350.03,325.5001,349.09,1005791
2025-10-03,351.5,360.14,334.05,343.49,1076985
2025-10-06,348.96,361.369,339.0,356.28,977263
2025-10-07,357.9,388.62,357.0,370.07,1303213
2025-10-08,378.88,386.0,359.0131,364.22,1266746
2025-10-09,367.12,389.41,362.975,371.09,1101178
2025-10-10,380.98,423.2376,362.65,363.71,2618459
2025-10-13,414.76,430.0,387.05,400.74,1944316
2025-10-14,387.0,415.13,370.0001,396.16,1373663
2025-10-15,430.0,460.5,412.16,436.0,2025922
2025-10-16,454.0,464.25,406.01,415.43,2058201
2025-10-17,398.68,411.508,365.64,380.18,2461098
2025-10-20,400.0,408.99,372.6,399.87,1452032
2025-10-21,385.0,395.0,367.7693,377.01,1063434
2025-10-22,351.23,365.0,293.82,314.83,3386987
2025-10-23,320.0,349.96,308.0001,344.23,1691045
2025-10-24,364.33,388.0,354.0001,383.0,1539625
2025-10-27,391.15,391.799,350.6,359.73,1540098
2025-10-28,374.0,382.27,354.1,363.7,1232993
2025-10-29,366.24,401.995,355.986,390.82,1538492
2025-10-30,375.0,393.9799,371.0,383.31,817519
2025-10-31,386.0,390.0,360.1801,367.46,1041364
2025-11-03,350.73,362.08,332.0,342.99,1412424
2025-11-04,313.75,340.0,312.02,327.2,1013345
2025-11-05,331.0,338.86,321.0001,325.73,1076692
2025-11-06,287.35,299.9,266.0,277.78,2501887
2025-11-07,254.18,298.9648,254.01,294.16,1907272
2025-11-10,308.99,317.1743,280.48,290.2,1478437
2025-11-11,279.07,283.8,267.16,275.54,989117
2025-11-12,277.05,283.89,266.79,275.6,723204
2025-11-13,263.61,269.0,247.87,253.85,1219576
2025-11-14,231.0,261.0,230.01,250.0,1396900
2025-11-17,240.0,251.84,240.0,245.64,850241
2025-11-18,240.08,251.3,235.35,246.08,884377
2025-11-19,252.32,267.99,247.9421,264.27,1345252
2025-11-20,282.96,286.0,239.64,241.31,1461990
2025-11-21,236.2,243.6499,221.3466,241.73,1161051
2025-11-24,237.0,253.0,235.0018,249.84,1052360
2025-11-25,249.84,252.5,232.1901,248.98,580550
2025-11-26,254.0,258.3224,250.35,254.22,486016
2025-11-28,259.0,263.6,253.56,259.3,434532
2025-12-01,250.0,257.415,248.0431,251.36,531544
2025-12-02,252.68,270.9999,252.5,265.58,745539
2025-12-03,265.0,269.99,253.8,268.1,721284
2025-12-04,267.51,286.0,264.0,278.63,1098512
2025-12-05,287.0,287.18,259.0,266.23,1088678
2025-12-08,269.26,269.53,258.0,268.5,675900
2025-12-09,264.0,266.77,258.0,264.69,785391
2025-12-10,260.0,270.5,248.93,264.58,1298994
2025-12-11,256.79,274.0,255.57,273.11,1001226
2025-12-12,272.74,272.74,243.4801,249.01,1021190
2025-12-15,250.25,251.99,228.5314,228.74,1056288
2025-12-16,222.6,236.91,220.224,235.82,761464
2025-12-17,235.87,241.2999,220.865,221.09,831541
2025-12-18,227.61,237.97,220.5,229.68,861715
2025-12-19,235.2,265.88,234.735,261.77,1573370
2025-12-22,270.25,281.33,259.0,261.16,1262895
2025-12-23,255.0,269.145,253.14,258.05,744946
2025-12-24,257.01,262.07,252.0001,260.18,341673
2025-12-26,260.39,260.39,245.9,254.3,553051
2025-12-29,247.46,263.73,245.1428,249.24,763254
2025-12-30,248.71,254.74,243.54,247.03,616138
2025-12-31,247.03,248.5,239.0,242.76,607722
2026-01-02,247.85,272.701,246.1101,272.5,1071217
2026-01-05,280.68,305.76,276.0,300.41,1922965
2026-01-06,311.0,321.709,299.0,311.89,1486424
2026-01-07,310.46,326.3599,306.0,322.97,967342
2026-01-08,317.98,317.98,285.12,286.25,1536281
2026-01-09,304.99,318.0525,300.005,306.19,1228665
2026-01-12,308.48,315.87,296.0,309.26,763409
2026-01-13,319.89,332.0,297.1072,298.27,1159809
2026-01-14,296.14,312.5,286.0,307.57,949817
2026-01-15,314.24,333.49,303.81,306.1,1403416
2026-01-16,309.0,331.36,298.0,331.03,1612940
2026-01-20,323.0,337.7258,309.23,315.92,1376236
2026-01-21,329.21,345.6,290.1,303.94,2238455
2026-01-22,305.0,319.0,293.6,302.37,1240380
2026-01-23,308.79,309.03,290.3,296.19,1005205
2026-01-26,301.44,312.7,279.09,281.7,1404090
2026-01-27,282.0,317.45,275.0,309.39,1348844
2026-01-28,313.0,338.13,303.57,337.76,1844278
2026-01-29,336.0,339.71,291.059,301.5,2082097
2026-01-30,292.245,304.93,276.0,278.28,1590604
2026-02-02,279.21,289.9999,263.0,267.21,1148712
2026-02-03,279.9,291.63,270.81,280.47,1015239
2026-02-04,274.72,277.0,230.5101,251.43,2049393
2026-02-05,243.0,254.0,236.0,242.09,937383
2026-02-06,248.125,266.49,244.78,263.47,971260
2026-02-09,259.3,276.89,254.01,276.24,950044
2026-02-10,275.25,276.8,261.0001,264.99,881383
2026-02-11,253.0,258.0,206.23,210.16,3218096
2026-02-12,211.16,211.16,184.0,185.2,2725154
2026-02-13,186.25,199.34,183.45,199.19,1572036
2026-02-17,194.54,200.3,187.358,199.35,1096241
2026-02-18,200.52,210.505,197.59,206.67,833334
2026-02-19,202.59,210.2214,197.83,208.88,673032
2026-02-20,205.17,214.4399,196.77,203.73,764904
2026-02-23,199.98,201.74,192.3,200.99,728713
2026-02-24,197.4,207.6,189.0,207.17,713783
2026-02-25,212.0,213.42,205.6001,210.63,646255
2026-02-26,208.47,216.9,204.0907,210.96,670887
2026-02-27,203.7,210.48,197.95,202.59,625262
2026-03-02,193.5,210.8799,192.3262,207.99,703729
2026-03-03,198.7,200.525,186.4,197.35,794270
2026-03-04,198.68,204.7799,192.5,203.08,585420
2026-03-05,199.4,202.07,187.28,194.28,773914
2026-03-06,188.95,203.85,187.28,188.89,964428
2026-03-09,185.0,197.22,182.1,195.85,677615
2026-03-10,197.66,206.69,194.0,200.84,817676
2026-03-11,197.83,208.75,196.51,200.35,645819
2026-03-12,201.0,218.0,196.78,214.85,1151533
2026-03-13,218.0,227.37,207.89,209.64,907586
2026-03-16,210.7,217.85,210.125,212.84,523559
2026-03-17,214.38,220.9,210.06,213.6,526752
2026-03-18,214.85,216.4,207.98,208.46,561436
2026-03-19,200.0,209.4699,196.8,205.09,569505
2026-03-20,201.8,203.2,184.5,186.76,1764934
2026-03-23,187.91,197.0,187.276,193.61,795630
2026-03-24,189.205,197.29,184.27,195.84,566302
2026-03-25,199.75,202.9999,192.0,193.26,520183
2026-03-26,190.0,197.4,188.5,193.31,534665
2026-03-27,189.0,191.355,182.5,182.9,495370
2026-03-30,184.23,184.94,165.9,168.52,975061
2026-03-31,170.97,175.84,165.28,173.59,1177260
2026-04-01,179.34,189.5,177.9968,183.16,755752
2026-04-02,175.18,188.29,173.9,183.21,513766
2026-04-06,183.72,187.39,179.1,183.53,440667
2026-04-07,179.65,180.405,165.67,173.47,1074571
2026-04-08,186.0,193.15,180.07,190.13,1272748
2026-04-09,185.38,189.77,179.09,180.17,906113
2026-04-10,182.25,191.0,179.5,187.22,503275
2026-04-13,182.55,192.4,180.03,191.99,487659
2026-04-14,201.2,204.5,190.57,193.11,728184
2026-04-15,196.0,203.8321,194.84,197.79,787582
2026-04-16,206.34,210.0,197.385,202.02,927332
2026-04-17,204.54,209.825,195.11,203.63,1073972
2026-04-20,198.33,200.91,193.0,199.61,762592
2026-04-21,199.64,201.49,189.11,191.55,718672
2026-04-22,196.0,217.248,195.83,217.08,1347165
2026-04-23,224.79,230.49,213.6701,219.58,1813531
2026-04-24,226.17,227.49,205.25,205.63,897407
2026-04-27,210.72,224.78,210.495,221.98,1038286
2026-04-28,209.0,215.585,201.86,205.59,852373
2026-04-29,207.12,207.67,189.5,191.98,1109928
2026-04-30,195.3,211.16,194.4803,210.96,782908
2026-05-01,208.08,210.81,202.0,206.64,484218
2026-05-04,207.16,210.71,202.0,206.92,678544
2026-05-05,209.42,210.0,199.34,206.04,920870
2026-05-06,206.0,231.37,198.3,231.32,1349039
2026-05-07,232.0,235.0,204.22,206.3,1286037
2026-05-08,210.5,210.5,200.2501,207.33,732048
2026-05-11,204.86,216.6999,196.5,213.22,1087606
2026-05-12,208.0,210.4,197.28,202.34,767924
2026-05-13,205.38,205.75,192.31,192.31,725113
2026-05-14,193.0,193.5799,184.26,192.32,705792
2026-05-15,182.01,183.55,178.5,182.6,914378
2026-05-18,182.6,185.11,170.69,172.95,971750
2026-05-19,170.0,173.29,163.28,169.0,949091
2026-05-20,173.0,174.0,166.5,169.31,883364
2026-05-21,168.82,178.91,167.81,177.15,807578
2026-05-22,178.77,189.27,177.9,179.36,669688
2026-05-26,185.06,189.09,180.6,183.36,853373
2026-05-27,181.0,183.8,175.0,180.13,881720
2026-05-28,176.89,185.93,175.0,185.46,645730
2026-05-29,187.0,188.2,176.11,182.47,579453
2026-06-01,176.76,194.05,173.0,189.0,1194026
2026-06-02,188.5,204.8,186.3433,199.13,1450871
2026-06-03,195.0,197.7903,181.39,181.67,914781
2026-06-04,181.92,187.43,178.28,186.69,549700
