date,open,high,low,close,volume
2025-09-02,127.87,132.88,125.0,132.555,2671632
2025-09-03,132.34,135.25,130.97,134.12,5218999
2025-09-04,137.0,142.01,133.91,141.91,8464834
2025-09-05,149.5,152.27,144.2,149.46,6409743
2025-09-08,150.99,152.25,148.42,149.4,3453603
2025-09-09,149.02,152.65,148.01,151.73,2154078
2025-09-10,159.5,167.96,158.3,164.88,5793990
2025-09-11,166.15,168.005,161.57,164.88,3672384
2025-09-12,163.78,166.5,161.58,163.02,2954325
2025-09-15,163.66,171.48,162.71,168.77,3859197
2025-09-16,168.65,171.87,167.15,170.9,2925072
2025-09-17,168.71,169.5777,160.845,163.34,4947563
2025-09-18,167.36,173.385,167.125,171.5,3518041
2025-09-19,171.37,172.5,167.57,168.73,4448258
2025-09-22,169.38,170.04,161.21,164.71,4080326
2025-09-23,164.65,166.315,161.22,163.99,3051966
2025-09-24,162.475,163.1,151.37,152.75,5478413
2025-09-25,146.62,160.8299,144.52,159.11,4751829
2025-09-26,157.36,160.85,156.07,160.75,2310248
2025-09-29,165.0,165.87,162.27,162.58,2385177
2025-09-30,161.88,165.4999,160.0,162.71,1709677
2025-10-01,159.24,173.6,158.6,171.4,3262198
2025-10-02,176.75,178.4931,166.0589,169.75,2194972
2025-10-03,170.88,171.8,159.7,163.81,3197369
2025-10-06,169.0,170.76,158.21,160.6,3114099
2025-10-07,160.99,162.749,154.11,157.15,2524297
2025-10-08,159.38,163.66,158.47,163.09,2258467
2025-10-09,163.66,165.03,159.19,159.76,1854372
2025-10-10,160.8,160.8,147.81,149.61,3375899
2025-10-13,158.3,160.78,155.41,160.56,2837873
2025-10-14,155.52,161.19,152.78,156.78,2443976
2025-10-15,162.45,162.45,154.62,156.57,2393439
2025-10-16,159.88,168.1,158.6201,163.23,2608211
2025-10-17,160.63,170.6,160.44,164.77,2075480
2025-10-20,164.18,169.98,160.6,161.0,2675005
2025-10-21,161.0,165.7563,157.5,162.95,2416945
2025-10-22,164.53,166.91,152.54,158.06,2407345
2025-10-23,158.81,170.17,157.395,168.5,2404389
2025-10-24,175.55,182.08,173.73,179.3,4055508
2025-10-27,193.63,206.91,190.06,193.8,5437782
2025-10-28,193.81,199.82,188.3,198.39,3168836
2025-10-29,201.09,214.5,198.11,214.28,6030158
2025-10-30,206.57,212.94,198.54,200.13,4242437
2025-10-31,201.21,206.99,197.19,201.56,3449855
2025-11-03,208.69,210.99,196.47,199.58,5246876
2025-11-04,187.8,197.07,184.2,188.36,5864261
2025-11-05,218.5,240.7099,213.0,232.75,11152680
2025-11-06,243.72,258.35,236.98,239.68,7209907
2025-11-07,233.64,243.75,227.12,240.11,5621250
2025-11-10,256.765,273.892,255.72,259.89,7156781
2025-11-11,252.01,259.1999,248.895,252.47,3518546
2025-11-12,262.46,270.0,250.795,253.81,4959774
2025-11-13,248.07,249.39,220.34,226.86,5436526
2025-11-14,215.52,237.22,215.35,232.15,4483856
2025-11-17,236.5,252.12,233.0,242.07,4212323
2025-11-18,245.35,252.83,232.11,247.43,5416381
2025-11-19,258.96,280.22,253.95,268.92,6481801
2025-11-20,280.0,282.6599,229.585,233.24,7680894
2025-11-21,249.5,259.0,233.72,255.59,7714645
2025-11-24,267.2,300.0,266.005,299.36,7586237
2025-11-25,293.28,295.9226,280.63,291.27,6371886
2025-11-26,289.76,312.99,279.06,308.28,4184466
2025-11-28,307.74,325.46,306.02,325.16,2194027
2025-12-01,314.99,322.0,306.1601,317.93,4932874
2025-12-02,320.78,323.5,292.9001,302.81,5794704
2025-12-03,306.97,306.97,288.5,302.98,3207388
2025-12-04,309.53,330.3,306.0,327.85,4444528
2025-12-05,340.96,344.0,325.68,331.41,3542575
2025-12-08,343.6,345.72,328.554,342.56,3269700
2025-12-09,342.72,362.43,335.51,360.33,4494280
2025-12-10,353.82,376.53,353.66,366.0,5333105
2025-12-11,365.19,374.97,348.01,372.09,3393952
2025-12-12,362.56,365.88,319.29,324.35,6869102
2025-12-15,341.475,348.75,333.03,334.69,4708487
2025-12-16,326.01,331.44,309.07,316.15,4921012
2025-12-17,337.91,337.91,315.0,320.25,4164181
2025-12-18,336.4,343.65,326.05,337.13,3966426
2025-12-19,339.07,373.34,339.03,371.43,4410196
2025-12-22,382.65,391.2,375.15,389.88,3125468
2025-12-23,380.96,390.41,380.91,387.41,1626959
2025-12-24,387.75,401.6,385.2,395.92,1522387
2025-12-26,397.73,400.89,384.63,390.77,1585282
2025-12-29,377.51,387.105,364.02,372.61,2965726
2025-12-30,373.97,380.32,370.0,371.18,1610100
2025-12-31,372.99,379.5,367.1201,368.59,1595048
2026-01-02,379.38,392.0,375.0,386.11,2819252
2026-01-05,388.34,393.0,344.67,357.05,5787797
2026-01-06,355.675,399.7199,339.0205,397.42,5619673
2026-01-07,378.02,402.7949,365.47,392.88,4716306
2026-01-08,394.3,395.04,343.0,348.26,5137293
2026-01-09,334.302,362.72,333.01,351.42,5914381
2026-01-12,340.36,343.8,322.69,339.87,5803944
2026-01-13,336.935,364.505,333.34,361.33,3834508
2026-01-14,354.15,357.0,327.38,331.62,3664973
2026-01-15,334.865,354.5,329.0,343.27,3651709
2026-01-16,348.58,354.0,317.44,324.25,3780692
2026-01-20,323.825,357.66,320.31,356.83,5318035
2026-01-21,373.6,376.54,350.01,362.44,4969377
2026-01-22,375.865,391.46,350.0,354.49,4465606
2026-01-23,354.49,354.9675,334.0,339.19,3469371
2026-01-26,337.75,350.68,327.29,332.45,2726812
2026-01-27,341.87,373.9999,340.0,370.66,3618616
2026-01-28,375.915,394.88,373.57,385.0,4356802
2026-01-29,388.0,398.16,364.19,381.44,4006603
2026-01-30,406.25,448.0,384.33,391.84,7098764
2026-02-02,405.49,445.0,404.99,423.42,5799104
2026-02-03,451.74,464.0,424.52,435.1,8109436
2026-02-04,473.12,504.58,426.05,465.54,12144860
2026-02-05,436.22,507.55,425.01,504.42,8673040
2026-02-06,540.0,558.38,513.28,551.99,6735517
2026-02-09,556.72,599.5,555.35,577.15,5903753
2026-02-10,548.22,574.69,530.2901,561.13,4787725
2026-02-11,563.245,597.0,545.88,574.11,4011219
2026-02-12,593.35,603.83,568.2,583.46,4605731
2026-02-13,581.54,593.4,539.18,562.74,4973044
2026-02-17,538.0,616.52,528.01,600.42,5625048
2026-02-18,602.09,610.3,587.0,594.26,2995103
2026-02-19,592.565,636.68,578.3,635.64,4206198
2026-02-20,638.0,678.0,636.0,667.77,4289469
2026-02-23,664.05,688.07,652.21,674.73,4492980
2026-02-24,680.01,698.5,662.0,688.27,3573393
2026-02-25,713.71,765.0,712.7301,723.39,4667742
2026-02-26,717.285,728.2,662.0,677.0,5468045
2026-02-27,679.95,720.0999,672.01,700.91,8912170
2026-03-02,742.895,783.8,714.0,783.25,6888660
2026-03-03,727.05,732.0,681.1,694.43,7208705
2026-03-04,726.0,736.0,643.18,680.8,7905307
2026-03-05,644.715,681.75,614.13,650.82,6743769
2026-03-06,610.445,642.0,548.2397,558.44,8754336
2026-03-09,578.0,641.02,573.6604,640.69,7822740
2026-03-10,679.01,715.73,669.0,672.0,7128976
2026-03-11,651.07,675.58,637.0101,672.0,4080641
2026-03-12,643.545,664.995,616.04,616.09,4922452
2026-03-13,634.81,639.56,611.08,622.5,3849678
2026-03-16,656.0,672.9899,607.27,624.84,5036596
2026-03-17,597.0,669.9,573.73,649.56,9003687
2026-03-18,709.15,743.86,696.0,700.81,9636401
2026-03-19,678.985,775.0,670.0,772.13,7567023
2026-03-20,785.49,787.4499,680.66,706.35,22868790
2026-03-23,742.745,766.0,710.03,728.95,7352941
2026-03-24,728.85,803.58,728.85,801.99,6993697
2026-03-25,795.5,808.8,763.11,777.17,4969358
2026-03-26,744.85,753.66,687.5801,688.8,6305625
2026-03-27,706.41,732.83,692.3301,702.73,5275136
2026-03-30,725.8,735.0,642.37,654.79,7436360
2026-03-31,679.0,703.4304,649.5001,702.76,6115881
2026-04-01,734.875,784.8938,732.0,764.65,6911873
2026-04-02,708.585,827.56,707.835,826.88,7886158
2026-04-06,828.48,836.91,767.01,772.28,5809721
2026-04-07,778.82,816.92,770.0,815.75,5486631
2026-04-08,877.415,901.3,842.0,896.02,7025370
2026-04-09,912.0,960.0,871.7301,894.13,7034583
2026-04-10,908.085,931.75,863.0001,897.3,7136105
2026-04-13,889.0,905.9,841.05,871.18,6558639
2026-04-14,901.15,904.99,836.0,852.79,5461915
2026-04-15,856.885,859.4899,800.56,824.01,5994356
2026-04-16,825.012,903.0,820.16,891.22,6115726
2026-04-17,912.0,912.0,865.02,894.07,4343934
2026-04-20,889.5,906.2,861.97,895.11,3337526
2026-04-21,900.0,925.5,832.18,836.92,5725514
2026-04-22,849.85,874.17,818.0,873.6,4635210
2026-04-23,854.0,881.85,831.915,846.89,3756419
2026-04-24,837.02,896.11,829.13,881.64,4205835
2026-04-27,855.745,867.8548,811.45,859.68,5289749
2026-04-28,813.74,842.0,780.48,791.37,5547735
2026-04-29,821.11,887.9,814.1885,858.32,6179936
2026-04-30,895.17,921.37,856.0,902.32,6148458
2026-05-01,913.0,985.13,905.7,949.93,4774683
2026-05-04,986.88,1004.94,952.0,976.18,5445773
2026-05-05,975.825,1021.0,966.06,994.56,6588139
2026-05-06,996.0,1013.5,902.01,944.28,9902076
2026-05-07,915.975,918.02,854.62,892.58,7268188
2026-05-08,917.0,934.92,866.0,903.8,6727632
2026-05-11,949.715,1073.33,949.45,1053.09,9550934
2026-05-12,1018.23,1085.68,937.6401,992.37,7562654
2026-05-13,1051.585,1062.1,998.2,1030.37,4398494
2026-05-14,1002.0,1024.85,983.02,1001.81,3557117
2026-05-15,941.6,987.85,923.0,970.7,10141820
2026-05-18,953.295,954.26,857.0,884.98,7197455
2026-05-19,873.17,910.0,845.0,890.09,5025756
2026-05-20,917.01,929.26,856.23,868.07,5195009
2026-05-21,869.8,977.27,859.0,964.5,5781945
2026-05-22,965.15,971.05,934.85,946.9,3076887
2026-05-26,963.01,963.01,903.0201,910.81,5212246
2026-05-27,901.55,915.0,858.0,902.31,4236049
2026-05-28,936.7,948.49,854.52,860.62,6128612
