date,open,high,low,close,volume
2025-09-02,453.8,455.77,447.5901,452.5,1645554
2025-09-03,451.07,452.0,446.69,449.06,1541829
2025-09-04,450.96,457.17,449.5,456.85,1449229
2025-09-05,456.765,463.98,456.765,463.9,1465197
2025-09-08,462.925,462.925,452.765,459.11,1477595
2025-09-09,457.61,457.87,452.42,457.06,1008428
2025-09-10,456.21,464.38,455.71,463.87,1076857
2025-09-11,463.85,472.4,462.99,470.73,1623736
2025-09-12,468.93,472.98,467.17,471.31,1041423
2025-09-15,471.47,474.29,468.99,473.25,1148734
2025-09-16,473.59,478.44,471.665,474.32,1156857
2025-09-17,474.93,477.1885,472.635,473.12,1016718
2025-09-18,471.12,474.36,467.99,473.62,1108002
2025-09-19,474.23,477.0,471.38,472.94,2839217
2025-09-22,473.67,482.0745,473.01,480.39,1410218
2025-09-23,480.9,486.78,479.34,486.67,1135459
2025-09-24,487.15,495.24,485.51,486.25,1424205
2025-09-25,489.58,490.7448,484.06,484.34,1205694
2025-09-26,487.91,490.7499,484.57,487.44,914275
2025-09-29,497.0,498.986,489.22,491.98,1391134
2025-09-30,492.58,499.89,491.14,499.21,1312722
2025-10-01,496.17,504.07,495.0,499.0,1187448
2025-10-02,499.24,503.6,497.01,499.36,915832
2025-10-03,499.42,506.81,499.245,504.49,1006534
2025-10-06,506.63,515.43,506.63,514.24,1389696
2025-10-07,514.2,515.98,509.135,511.07,922414
2025-10-08,515.25,516.0,511.22,514.02,798430
2025-10-09,513.89,515.1912,503.81,507.76,1185975
2025-10-10,508.83,513.45,500.54,505.05,1313768
2025-10-13,502.3,507.43,500.0001,503.83,926722
2025-10-14,501.25,506.9999,499.0,505.18,1078265
2025-10-15,503.0,505.0,485.48,499.41,1678496
2025-10-16,500.74,501.31,492.0,493.25,1099659
2025-10-17,490.48,496.68,488.1,495.15,1915507
2025-10-20,496.43,505.9,496.43,505.9,1433308
2025-10-21,482.71,506.6,482.71,489.5,2869991
2025-10-22,491.47,492.4108,482.54,487.14,1726057
2025-10-23,488.12,493.98,486.52,488.05,1446086
2025-10-24,490.28,491.82,484.075,485.41,1368445
2025-10-27,484.08,487.31,479.87,486.91,1423236
2025-10-28,486.37,489.4,483.62,485.77,1220554
2025-10-29,485.0,488.817,483.6662,485.33,971473
2025-10-30,485.57,494.46,485.5,489.72,1080955
2025-10-31,489.0,493.61,486.0501,491.88,1185204
2025-11-03,491.0,491.51,484.75,487.94,846724
2025-11-04,484.46,488.5,481.0,484.98,1169694
2025-11-05,483.02,485.845,473.14,473.14,1708024
2025-11-06,473.11,474.18,466.1147,468.92,1094022
2025-11-07,468.9,469.405,456.2,458.35,2514529
2025-11-10,456.0,457.1,448.48,452.1,1630052
2025-11-11,451.77,461.77,451.0,457.07,1322089
2025-11-12,456.14,459.77,455.2245,457.04,935756
2025-11-13,458.01,460.91,455.1,455.85,819819
2025-11-14,455.85,466.39,454.0,465.77,1177328
2025-11-17,467.28,471.6,464.72,470.78,1822363
2025-11-18,475.22,485.0,471.1958,474.72,1242107
2025-11-19,472.0,472.42,468.3,469.91,861612
2025-11-20,473.88,477.43,465.02,468.26,1044904
2025-11-21,468.595,469.4,459.96,460.78,1575475
2025-11-24,459.43,461.19,450.0605,451.06,1411197
2025-11-25,451.06,454.03,448.48,452.41,1615925
2025-11-26,453.3,457.26,452.98,454.16,1299839
2025-11-28,454.54,457.86,452.61,457.86,748020
2025-12-01,453.28,454.085,438.5,439.19,1659207
2025-12-02,440.98,442.75,437.25,441.82,1535584
2025-12-03,443.41,448.47,439.05,446.8,1751846
2025-12-04,448.18,449.53,445.43,448.35,1283664
2025-12-05,447.78,452.82,446.41,452.2,1290903
2025-12-08,453.5,465.56,451.48,465.38,1390663
2025-12-09,466.28,472.81,465.0,466.89,1102519
2025-12-10,465.21,473.08,455.88,467.94,2313731
2025-12-11,470.29,479.7,470.29,474.88,1293962
2025-12-12,475.66,480.84,470.79,480.25,1384459
2025-12-15,478.99,484.77,477.235,484.42,1002652
2025-12-16,479.61,479.785,473.86,477.06,1262401
2025-12-17,471.0,476.89,462.25,474.79,1989183
2025-12-18,472.41,476.2,469.0,470.14,1364004
2025-12-19,466.34,475.72,464.88,474.13,2826455
2025-12-22,474.96,485.02,474.96,483.57,1120783
2025-12-23,484.0,484.95,481.0,482.55,864247
2025-12-24,485.0,491.18,484.45,485.75,581596
2025-12-26,485.2,487.0599,481.18,483.03,606016
2025-12-29,483.83,489.43,483.29,488.87,933384
2025-12-30,489.34,491.7,487.94,488.0,996445
2025-12-31,489.0,489.68,483.52,483.67,670337
2026-01-02,483.25,497.16,476.54,497.07,1126471
2026-01-05,503.93,515.88,503.0,511.57,1982594
2026-01-06,517.06,538.73,517.06,522.04,2813074
2026-01-07,525.31,532.3754,496.001,496.87,4084938
2026-01-08,531.89,542.87,513.01,518.44,4108772
2026-01-09,525.88,546.07,525.88,542.92,2647693
2026-01-12,548.96,554.27,540.31,551.24,2970017
2026-01-13,560.02,563.3,550.84,558.3,2012997
2026-01-14,556.99,578.04,556.12,572.7,2643085
2026-01-15,568.66,579.6,559.73,577.89,1763376
2026-01-16,578.21,582.93,577.42,582.43,2375721
2026-01-20,580.0,586.85,573.39,576.06,1522344
2026-01-21,576.06,588.97,576.06,586.23,1817740
2026-01-22,585.18,595.945,582.495,593.91,1493620
2026-01-23,594.64,596.225,586.01,590.82,1271698
2026-01-26,590.0,590.4,575.63,581.66,1460532
2026-01-27,580.0,595.87,573.8192,594.95,1710669
2026-01-28,592.9,599.32,583.0001,597.27,1323994
2026-01-29,609.24,645.67,607.56,622.51,3931918
2026-01-30,621.0,641.19,615.509,634.22,2099633
2026-02-02,620.0,640.9799,615.1802,636.0,1967841
2026-02-03,640.0,646.59,618.45,628.26,2300697
2026-02-04,630.82,632.05,596.23,602.76,2654783
2026-02-05,602.73,614.0,595.0,609.18,1684393
2026-02-06,614.59,624.09,611.2,623.58,1095768
2026-02-09,625.28,638.97,625.01,638.29,1589847
2026-02-10,637.47,638.29,626.51,629.56,1211685
2026-02-11,631.23,633.59,621.675,628.7,1024589
2026-02-12,630.0,644.25,630.0,637.43,1745649
2026-02-13,639.0,656.34,639.0,652.58,1490800
2026-02-17,653.0,656.22,642.0,649.58,1169583
2026-02-18,657.17,660.55,647.19,649.81,1350276
2026-02-19,656.5,669.75,655.5,666.51,1370273
2026-02-20,666.77,668.25,648.41,658.26,1447700
2026-02-23,655.62,663.27,653.69,660.62,1196310
2026-02-24,658.29,669.1,652.57,664.43,1361463
2026-02-25,662.44,663.55,634.035,647.5,1664449
2026-02-26,646.46,647.5,638.03,641.63,1269242
2026-02-27,648.09,662.47,647.1,658.08,2599949
2026-03-02,685.5,692.0,664.01,676.7,3246470
2026-03-03,682.0,686.47,657.56,667.82,2142139
2026-03-04,670.0,671.0,652.54,664.48,1650894
2026-03-05,662.1,663.0,647.2288,655.0,1721536
2026-03-06,661.65,672.86,656.4,671.77,1895091
2026-03-09,675.58,676.075,657.345,664.15,2369743
2026-03-10,657.95,659.89,646.2,651.22,1653018
2026-03-11,645.32,656.9999,644.13,649.47,1365219
2026-03-12,651.95,661.0,646.63,652.83,1411169
2026-03-13,652.67,660.0,640.5,646.0,1071344
2026-03-16,645.225,651.55,639.0,645.2,1180980
2026-03-17,644.96,645.0,632.789,636.33,1389066
2026-03-18,641.11,645.85,636.45,642.28,1026183
2026-03-19,639.06,640.0,623.75,637.51,1540841
2026-03-20,635.86,638.5099,622.37,627.43,6511253
2026-03-23,629.07,629.6579,610.63,616.25,1386641
2026-03-24,612.95,615.3,605.0001,610.17,1078188
2026-03-25,612.5,626.93,612.42,624.2,1190275
2026-03-26,619.8,632.92,619.8,627.33,1262434
2026-03-27,625.7,631.445,613.6551,615.84,1061125
2026-03-30,621.03,623.32,593.88,598.57,1849318
2026-03-31,604.5,610.0,598.7,604.39,1327800
2026-04-01,608.82,619.1,606.11,617.64,1118050
2026-04-02,616.7,626.51,616.01,622.79,1116763
2026-04-06,623.11,637.92,621.365,637.9,1128782
2026-04-07,635.6,636.8,625.8201,627.7,732124
2026-04-08,612.27,630.67,605.5,628.5,1283649
2026-04-09,627.99,636.88,623.0891,623.87,911060
2026-04-10,619.28,621.7,607.1598,613.72,874037
2026-04-13,617.87,622.51,615.01,619.69,678726
2026-04-14,617.0,617.0,609.06,611.58,905708
2026-04-15,611.0,615.59,607.34,611.1,879314
2026-04-16,610.71,613.0,601.41,607.49,853841
2026-04-17,604.33,609.3811,588.41,592.19,1701585
2026-04-20,593.6,598.0,578.23,581.28,1722026
2026-04-21,580.29,580.975,568.84,571.95,1603536
2026-04-22,575.88,576.07,550.19,555.43,2289028
2026-04-23,533.91,538.81,522.26,529.79,3212539
2026-04-24,525.0,526.8,503.6003,513.45,3089157
2026-04-27,514.05,527.66,511.91,513.35,2111366
