date,open,high,low,close,volume
2025-09-02,8.47,8.75,8.355,8.71,4335322
2025-09-03,8.71,8.7881,8.37,8.46,4870130
2025-09-04,8.45,8.57,8.33,8.42,3468265
2025-09-05,8.57,8.74,8.3331,8.49,5704695
2025-09-08,8.495,8.625,8.2588,8.44,4271871
2025-09-09,8.41,8.5,8.3,8.41,3431446
2025-09-10,8.47,8.57,8.19,8.3,4836746
2025-09-11,8.28,8.66,8.21,8.52,4568068
2025-09-12,8.5,8.94,8.455,8.78,4628078
2025-09-15,9.125,9.415,8.84,9.04,8779106
2025-09-16,9.0,9.21,8.725,9.15,4803616
2025-09-17,9.08,9.6,8.995,9.28,7095138
2025-09-18,9.5,9.76,9.42,9.58,7806558
2025-09-19,9.7,9.9771,9.52,9.71,8423449
2025-09-22,9.56,10.16,9.33,10.13,9954521
2025-09-23,10.33,10.8,10.05,10.36,10710570
2025-09-24,10.5,10.71,9.96,9.99,7628449
2025-09-25,9.64,10.41,9.445,10.1,7625353
2025-09-26,10.03,10.55,10.0,10.08,5290701
2025-09-29,10.22,10.565,9.97,10.26,6189625
2025-09-30,10.2,10.55,10.0,10.52,5305081
2025-10-01,10.575,11.17,10.48,10.61,8223839
2025-10-02,10.86,11.43,10.75,11.22,9797348
2025-10-03,11.49,11.67,11.15,11.44,7110568
2025-10-06,11.66,12.41,11.6,11.98,10824830
2025-10-07,12.12,12.53,11.51,11.79,8190020
2025-10-08,12.0,12.9299,11.94,12.48,12047950
2025-10-09,12.475,13.03,12.23,12.74,8714957
2025-10-10,12.915,13.9,12.19,12.23,16279730
2025-10-13,12.61,12.96,12.03,12.25,8042397
2025-10-14,11.93,14.48,11.365,13.85,18096370
2025-10-15,14.02,14.48,12.45,12.88,15277060
2025-10-16,13.09,13.1548,11.8,11.83,8201761
2025-10-17,12.32,12.63,12.05,12.4,11132080
2025-10-20,12.84,13.49,12.645,12.89,7503678
2025-10-21,12.78,13.38,12.49,12.68,5862708
2025-10-22,12.5,12.5299,10.82,11.35,11122030
2025-10-23,11.465,12.33,11.32,12.29,5151960
2025-10-24,12.54,13.36,12.48,12.81,7769451
2025-10-27,13.3,13.4,12.775,12.79,4272226
