date,open,high,low,close,volume
2025-09-02,164.3,165.57,163.2,165.47,1461337
2025-09-03,166.44,167.94,160.16,161.97,2671536
2025-09-04,162.73,163.75,161.55,162.98,2449261
2025-09-05,162.975,163.57,162.065,163.42,1244565
2025-09-08,163.94,169.66,163.9,169.4,2340992
2025-09-09,170.86,170.86,168.24,170.3,2150152
2025-09-10,170.84,172.0767,169.4213,170.9,2025534
2025-09-11,170.89,174.42,170.655,174.06,2456707
2025-09-12,173.75,175.25,172.72,173.73,1408360
2025-09-15,173.79,175.25,171.61,172.38,4176493
2025-09-16,170.07,170.95,166.83,170.42,3120080
2025-09-17,171.0,171.3701,167.84,169.37,3168076
2025-09-18,169.85,169.85,163.21,164.68,4224564
2025-09-19,164.65,164.65,161.36,163.72,3822725
2025-09-22,161.83,165.604,161.63,165.15,1962906
2025-09-23,165.37,166.15,163.31,164.13,1407578
2025-09-24,164.46,164.65,161.76,162.08,2322876
2025-09-25,161.16,162.88,159.95,161.99,1969265
2025-09-26,162.36,163.21,161.31,161.79,1964374
2025-09-29,162.93,165.57,160.5,164.36,2607022
2025-09-30,165.27,168.11,163.38,163.4,6747216
2025-10-01,161.0,161.97,156.63,158.88,3391957
2025-10-02,159.53,159.53,155.39,156.67,2169398
2025-10-03,156.65,156.705,152.925,156.32,2436019
2025-10-06,155.27,156.41,153.01,155.94,2000769
2025-10-07,155.89,156.04,153.9,155.33,2298768
2025-10-08,151.18,152.89,149.02,149.95,6429260
2025-10-09,149.5,153.69,149.27,152.75,4681929
2025-10-10,152.425,154.55,151.475,152.96,2115996
2025-10-13,153.93,155.27,153.32,153.86,2590653
2025-10-14,152.85,154.04,151.7,152.83,1493824
2025-10-15,153.13,156.71,152.12,155.23,2290989
2025-10-16,154.78,156.24,150.79,151.71,1546530
2025-10-17,152.14,156.45,151.63,155.19,3933823
2025-10-20,155.43,158.18,155.43,156.77,1872088
2025-10-21,156.71,158.385,156.69,157.24,1218165
2025-10-22,159.19,159.19,154.78,156.15,1849970
2025-10-23,156.72,157.99,152.51,153.33,1914763
2025-10-24,154.0,155.25,152.8,152.86,1347375
2025-10-27,153.91,154.19,151.9,153.17,1377840
2025-10-28,153.25,153.255,150.58,151.07,1702412
2025-10-29,150.26,152.74,149.08,149.19,2009405
2025-10-30,148.01,150.4599,147.39,148.02,3026210
2025-10-31,148.09,151.14,147.46,149.53,2814881
2025-11-03,148.54,151.02,146.1,149.84,3695032
2025-11-04,146.59,152.613,146.59,150.75,3365410
2025-11-05,143.0,145.0,134.04,134.79,8851407
2025-11-06,134.35,141.0,133.54,137.77,7068775
2025-11-07,136.86,142.07,135.04,140.51,4124487
2025-11-10,140.48,144.76,140.48,143.35,3628054
2025-11-11,143.27,143.75,141.72,141.85,3863049
2025-11-12,142.37,143.71,140.48,140.49,3373464
2025-11-13,139.69,140.49,136.55,136.82,2640528
2025-11-14,136.48,136.8,135.14,135.86,1777098
2025-11-17,135.43,135.945,130.71,132.42,4524349
2025-11-18,131.77,132.89,130.17,131.33,3377537
2025-11-19,131.71,132.0012,128.96,130.0,2921763
2025-11-20,130.58,132.27,128.39,129.01,3235562
2025-11-21,129.13,132.11,128.4,130.63,2736713
2025-11-24,130.42,130.6,125.44,125.61,4985963
2025-11-25,127.98,130.02,125.34,129.56,4446900
2025-11-26,129.73,132.13,129.72,131.05,2763682
2025-11-28,130.5,132.15,130.235,131.45,936008
2025-12-01,130.78,132.35,129.71,131.1,1896368
2025-12-02,131.1,131.5,128.5,128.54,2569515
2025-12-03,128.93,136.46,128.65,136.01,5088487
2025-12-04,136.54,139.88,135.34,139.68,4126246
2025-12-05,140.04,141.03,138.0,139.33,4793380
2025-12-08,138.91,140.05,136.115,138.08,3534041
2025-12-09,137.82,140.5,137.19,139.07,2353665
2025-12-10,140.72,140.72,136.19,138.82,3601439
2025-12-11,137.94,141.87,137.94,141.87,2041073
2025-12-12,142.93,144.5,141.85,143.14,2293394
2025-12-15,141.74,142.875,139.385,141.66,2648172
2025-12-16,141.5,141.5,137.88,138.1,2711263
2025-12-17,137.75,137.76,135.05,136.41,3218740
2025-12-18,137.29,140.14,136.32,138.88,2553147
2025-12-19,139.12,142.085,138.5,141.1,6392223
2025-12-22,141.57,143.12,140.92,141.75,1814677
2025-12-23,142.4,144.76,141.885,144.1,1929517
2025-12-24,144.33,145.31,143.82,145.31,696789
2025-12-26,145.36,146.6,145.1,145.81,1215835
2025-12-29,146.11,146.26,144.22,144.57,1932533
2025-12-30,144.23,145.11,143.3,144.09,1380649
2025-12-31,143.84,144.465,142.49,142.5,1240544
2026-01-02,142.43,146.34,142.43,145.31,1859183
2026-01-05,144.84,147.89,144.63,145.31,2080329
2026-01-06,145.44,146.645,144.09,145.52,2440291
2026-01-07,144.86,146.49,143.5,143.96,2438347
2026-01-08,143.82,147.5,142.695,147.27,2095181
2026-01-09,148.14,148.955,144.87,146.07,2856079
2026-01-12,144.84,149.26,144.34,148.85,2559743
2026-01-13,147.14,147.81,143.58,146.02,3214770
2026-01-14,145.36,147.04,144.6501,146.78,2892555
2026-01-15,148.27,148.27,144.76,145.73,2452736
2026-01-16,145.1,146.83,144.0,144.43,5190049
2026-01-20,142.66,143.34,140.51,140.65,2473353
2026-01-21,141.63,141.69,137.75,139.71,3088747
2026-01-22,140.43,141.71,137.51,138.14,2294591
2026-01-23,138.07,148.1,137.5001,146.97,5516758
2026-01-26,147.03,149.91,146.38,147.8,2656216
2026-01-27,147.51,147.51,144.56,146.8,1992501
2026-01-28,147.08,148.36,146.59,147.53,1449972
2026-01-29,148.67,148.88,145.81,147.78,1643203
2026-01-30,147.4,148.12,143.29,145.45,1824415
2026-02-02,144.71,146.7699,142.48,143.94,1847384
2026-02-03,143.21,143.505,138.74,141.34,2864673
2026-02-04,141.48,142.5899,139.81,142.46,2819305
2026-02-05,141.29,142.83,136.42,138.28,2348528
2026-02-06,139.1,141.65,138.0,140.84,2880723
