date,open,high,low,close,volume
2025-09-02,36.43,36.62,35.795,35.91,564669
2025-09-03,35.69,36.28,35.4855,35.57,530509
2025-09-04,36.06,36.3123,35.56,36.18,739140
2025-09-05,36.38,37.01,35.78,36.16,414686
2025-09-08,36.18,36.21,35.31,35.37,618718
2025-09-09,35.21,35.58,34.9,35.25,476714
2025-09-10,34.9,35.27,34.48,34.74,474500
2025-09-11,34.66,35.07,34.5,35.01,534994
2025-09-12,34.6,34.735,33.67,33.69,408685
2025-09-15,33.95,34.17,33.605,33.97,666122
2025-09-16,33.84,33.99,33.4,33.92,475533
2025-09-17,34.04,35.12,33.64,33.77,458963
2025-09-18,33.79,34.35,33.69,34.18,430665
2025-09-19,34.21,34.3,33.66,33.7,1791590
2025-09-22,33.73,34.05,33.63,33.82,704964
2025-09-23,33.89,34.49,33.89,34.36,561230
2025-09-24,34.31,34.66,34.21,34.33,430658
2025-09-25,34.14,34.17,33.68,33.95,501415
2025-09-26,35.08,35.53,34.13,34.81,490373
2025-09-29,35.05,35.05,34.07,34.54,421388
2025-09-30,34.37,34.45,33.9273,34.32,406486
2025-10-01,34.08,34.335,33.38,33.84,424585
2025-10-02,33.84,34.35,33.79,34.35,347240
2025-10-03,34.53,34.815,34.33,34.4,455956
2025-10-06,34.45,34.48,33.75,33.81,390026
2025-10-07,33.67,33.81,32.715,32.73,428166
2025-10-08,32.77,33.11,32.54,33.0,400506
2025-10-09,33.01,33.03,32.21,32.35,491155
2025-10-10,32.53,32.53,31.42,31.46,396400
2025-10-13,31.84,32.25,31.66,32.13,467935
2025-10-14,31.58,32.64,31.58,32.45,544186
2025-10-15,32.65,32.875,31.985,32.12,503191
2025-10-16,32.14,32.245,31.67,31.76,545644
2025-10-17,31.73,32.21,31.73,32.2,476365
2025-10-20,32.34,32.565,32.14,32.25,401182
2025-10-21,32.4,32.855,32.27,32.76,379657
2025-10-22,32.8,33.27,32.62,33.04,630242
2025-10-23,32.79,33.14,32.72,32.88,484699
2025-10-24,33.12,33.27,32.69,32.73,270866
2025-10-27,32.91,33.33,32.59,32.72,292555
2025-10-28,32.5,33.5,32.5,33.26,395267
2025-10-29,33.0,33.2399,32.075,32.31,389615
2025-10-30,32.2,32.61,32.11,32.21,476866
2025-10-31,32.02,32.18,31.56,31.7,430358
2025-11-03,31.55,31.87,31.16,31.45,469965
2025-11-04,31.42,31.655,31.15,31.6,507550
2025-11-05,31.56,32.22,31.3,32.21,499240
2025-11-06,32.18,32.28,31.08,31.17,345717
2025-11-07,31.15,31.5694,31.11,31.41,364827
2025-11-10,31.49,31.49,30.77,30.95,442396
2025-11-11,31.18,31.39,30.94,31.14,329790
2025-11-12,31.41,31.555,31.07,31.11,410315
2025-11-13,31.02,31.42,30.72,30.81,321591
2025-11-14,30.29,30.82,29.93,30.36,616642
2025-11-17,30.32,30.5699,29.305,29.34,606097
2025-11-18,29.03,29.81,29.03,29.59,905660
2025-11-19,34.29,35.94,33.78,35.57,2229947
2025-11-20,35.79,36.68,35.67,36.36,1508550
2025-11-21,36.42,38.05,36.23,37.72,901112
2025-11-24,37.31,37.51,36.6,36.91,975136
2025-11-25,37.56,39.4,37.4983,39.32,789714
2025-11-26,38.92,40.24,38.8701,39.52,661650
2025-11-28,39.27,39.59,38.8,38.92,399437
2025-12-01,38.89,40.34,38.67,39.97,684152
2025-12-02,40.2,40.2,39.63,40.07,527809
2025-12-03,40.03,40.75,39.94,39.95,386965
2025-12-04,39.68,39.805,38.87,38.95,394730
2025-12-05,38.87,39.49,38.5001,38.63,422500
2025-12-08,39.0,39.15,38.235,38.4,389699
2025-12-09,38.16,38.71,38.03,38.4,399669
2025-12-10,38.29,38.99,38.1606,38.77,530932
2025-12-11,38.82,39.725,38.635,39.69,508346
2025-12-12,39.75,39.88,39.183,39.82,453691
2025-12-15,39.69,39.9,39.23,39.55,522900
2025-12-16,39.79,40.4017,39.54,39.71,591301
2025-12-17,39.44,40.17,39.28,39.49,510068
2025-12-18,39.77,40.02,38.99,39.09,479978
2025-12-19,39.01,39.41,38.67,39.39,1503323
2025-12-22,39.04,39.225,37.89,38.08,402953
2025-12-23,38.11,38.325,37.67,37.75,324667
2025-12-24,37.58,38.02,37.33,37.95,160899
2025-12-26,37.87,38.0,37.53,37.77,309649
2025-12-29,37.83,37.92,37.48,37.78,337262
2025-12-30,37.7,37.915,37.57,37.75,536339
2025-12-31,37.65,37.705,37.0,37.27,450015
2026-01-02,37.45,37.55,37.04,37.3,388573
2026-01-05,37.09,38.09,37.09,37.72,468581
2026-01-06,37.31,38.0,37.09,37.91,411910
2026-01-07,37.91,38.0525,37.23,37.66,349493
2026-01-08,37.41,39.35,37.41,39.02,646746
2026-01-09,39.33,39.8099,38.66,39.58,483200
2026-01-12,39.2,39.375,38.48,38.67,339651
2026-01-13,38.69,38.9599,38.465,38.64,387616
2026-01-14,38.46,38.79,37.84,37.95,442630
2026-01-15,38.1,39.63,37.47,39.29,496839
2026-01-16,39.02,39.2,38.635,39.17,370520
2026-01-20,38.31,38.765,37.97,38.29,409061
2026-01-21,38.6,39.7,38.49,39.55,411992
2026-01-22,39.65,39.98,38.56,38.81,437707
2026-01-23,38.61,38.61,37.73,38.1,452112
2026-01-26,38.02,38.52,37.55,38.32,364118
2026-01-27,38.21,38.21,37.17,37.3,244799
2026-01-28,37.31,37.51,36.695,37.13,252633
2026-01-29,36.92,37.075,36.33,36.77,438861
2026-01-30,36.81,36.81,35.76,36.41,465469
2026-02-02,36.77,37.27,36.32,37.24,448924
2026-02-03,36.87,38.2,36.87,37.24,351176
2026-02-04,37.74,39.0299,37.575,38.66,426473
2026-02-05,38.81,38.84,38.25,38.51,337365
2026-02-06,38.48,38.88,38.33,38.8,351818
2026-02-09,38.91,38.93,38.16,38.34,331173
2026-02-10,38.58,39.19,38.43,38.45,337919
2026-02-11,38.16,38.59,37.24,37.47,327940
2026-02-12,37.9,38.4,36.85,37.47,269424
2026-02-13,37.58,38.61,37.205,38.34,247525
2026-02-17,38.69,38.88,37.34,37.93,462765
2026-02-18,33.29,36.255,32.51,35.53,897117
2026-02-19,35.42,36.445,34.98,36.42,563001
2026-02-20,36.41,37.71,36.33,37.02,589489
2026-02-23,36.19,36.915,35.191,35.27,448509
2026-02-24,35.09,35.79,35.09,35.28,426849
2026-02-25,35.25,35.94,34.95,35.92,361493
2026-02-26,36.29,36.805,36.08,36.49,388615
2026-02-27,36.08,36.31,35.34,35.72,521735
2026-03-02,35.04,35.86,34.79,35.65,376495
2026-03-03,34.53,35.52,34.3,35.35,388785
2026-03-04,35.47,35.82,34.99,35.78,372100
2026-03-05,35.46,35.81,34.99,35.29,347363
2026-03-06,34.79,35.015,34.34,34.57,393826
2026-03-09,33.97,34.01,32.88,33.87,452719
2026-03-10,33.68,34.25,33.35,33.52,419877
2026-03-11,33.38,33.775,33.01,33.17,399718
2026-03-12,32.69,33.245,32.69,32.91,445589
2026-03-13,33.18,33.85,32.92,33.81,501120
2026-03-16,34.11,34.295,33.6,33.61,408656
2026-03-17,33.77,33.97,32.86,33.07,373737
2026-03-18,32.69,33.28,32.5,32.58,418767
2026-03-19,32.49,32.78,32.15,32.54,377907
2026-03-20,32.64,32.64,31.53,31.54,1566288
2026-03-23,32.63,33.23,32.3175,32.83,544446
2026-03-24,32.34,32.845,32.26,32.52,344069
2026-03-25,32.86,32.8925,31.97,32.71,271347
2026-03-26,32.49,33.0671,32.375,32.62,290464
2026-03-27,32.17,32.4,31.9101,31.94,283511
2026-03-30,32.15,32.29,31.81,31.96,367628
2026-03-31,32.23,32.445,31.5901,32.14,494638
2026-04-01,31.69,32.26,31.69,31.89,308685
2026-04-02,31.54,32.23,31.25,31.6,372921
2026-04-06,31.6,32.14,31.29,32.09,396800
2026-04-07,31.92,32.4436,31.47,31.53,361219
2026-04-08,32.52,33.27,32.52,32.71,585173
2026-04-09,32.31,33.24,32.24,33.21,417411
2026-04-10,33.27,33.81,33.015,33.78,409883
2026-04-13,33.65,34.04,33.4,33.63,432452
2026-04-14,33.58,34.3,33.43,34.11,319196
2026-04-15,33.98,34.3179,33.81,34.22,296352
2026-04-16,34.15,34.5175,34.0,34.11,221539
2026-04-17,34.79,36.41,34.79,35.87,337281
2026-04-20,35.8,36.14,35.505,36.1,243770
2026-04-21,36.33,36.8,36.18,36.39,278198
2026-04-22,36.6,36.685,35.92,36.04,286173
2026-04-23,36.17,36.33,35.51,35.9,197609
2026-04-24,35.74,36.44,35.37,35.4,261742
2026-04-27,35.34,35.98,35.34,35.93,353216
2026-04-28,36.22,36.52,35.75,36.13,376371
2026-04-29,35.85,36.15,35.13,35.21,416448
2026-04-30,35.1,35.59,34.73,34.74,603761
2026-05-01,35.03,35.34,34.63,35.14,436212
