date,open,high,low,close,volume
2025-09-02,503.32,503.66,496.585,498.5,721893
2025-09-03,496.33,498.24,493.14,496.44,556089
2025-09-04,496.0,500.3522,495.56,499.76,714261
2025-09-05,502.22,503.77,492.97,499.03,565183
2025-09-08,499.18,508.67,497.865,507.63,735440
2025-09-09,505.67,508.56,503.39,507.96,449963
2025-09-10,506.89,510.845,504.5,506.08,627747
2025-09-11,507.93,519.54,504.55,518.7,844138
2025-09-12,517.46,519.25,511.585,512.31,490256
2025-09-15,512.65,513.9399,508.24,508.76,589538
2025-09-16,507.7,509.75,503.24,508.0,504224
2025-09-17,512.61,517.125,509.13,511.77,553296
2025-09-18,512.02,514.38,475.69,482.32,1854622
2025-09-19,484.98,487.53,480.0001,480.74,2013108
2025-09-22,483.0,490.42,482.5,488.29,1199969
2025-09-23,488.29,489.775,473.93,476.78,947872
2025-09-24,473.73,476.75,469.0,474.8,834240
2025-09-25,474.75,476.79,470.1679,472.69,594546
2025-09-26,474.38,479.0975,473.13,476.74,520823
2025-09-29,479.84,482.315,477.72,480.82,560345
2025-09-30,479.81,480.775,473.85,476.48,599098
2025-10-01,477.97,482.915,475.0,479.82,906217
2025-10-02,475.41,483.82,473.975,482.17,823397
2025-10-03,482.38,488.1,480.22,485.04,716322
2025-10-06,485.86,488.4,483.34,483.45,859037
2025-10-07,486.18,489.26,483.86,488.43,923172
2025-10-08,490.37,494.19,487.28,490.09,807491
2025-10-09,492.34,495.95,490.84,492.46,644333
2025-10-10,496.4,496.94,483.74,484.1,1002854
2025-10-13,486.19,487.91,466.4,473.72,1607892
2025-10-14,472.13,483.495,471.615,481.25,1080536
2025-10-15,481.09,486.2643,477.6073,478.51,759486
2025-10-16,478.68,479.85,466.38,468.56,818060
2025-10-17,470.32,475.01,466.185,471.04,1380708
2025-10-20,472.64,476.7,468.855,474.46,760461
2025-10-21,477.13,486.5909,474.64,484.92,1334303
2025-10-22,483.35,488.87,471.41,472.79,1685978
2025-10-23,475.53,482.18,470.5,479.3,1078502
2025-10-24,483.88,491.735,482.0,490.82,748453
2025-10-27,494.99,496.83,493.105,495.08,703964
2025-10-28,493.9,497.33,490.53,490.76,777363
2025-10-29,487.0,488.55,469.11,471.7,1223239
2025-10-30,474.27,487.525,472.885,478.97,786053
2025-10-31,475.93,483.28,475.01,480.3,687556
2025-11-03,478.95,485.97,474.03,485.95,871592
2025-11-04,484.92,489.32,482.73,487.46,1127161
2025-11-05,487.0,489.34,482.86,486.46,799301
2025-11-06,482.86,488.67,479.45,482.21,577176
2025-11-07,480.6,488.15,479.17,487.98,656096
2025-11-10,487.03,487.68,480.16,484.93,572563
2025-11-11,486.86,495.01,485.42,493.0,575229
2025-11-12,494.4,498.9999,490.41,490.84,904161
2025-11-13,490.27,493.64,485.31,490.77,827056
2025-11-14,490.09,490.47,478.58,479.48,756135
2025-11-17,479.48,481.04,470.92,472.12,774657
2025-11-18,468.93,473.35,466.4,470.16,680768
2025-11-19,470.54,474.44,468.05,472.86,694976
2025-11-20,478.03,480.53,472.62,474.52,842602
2025-11-21,476.2,483.4,473.56,479.65,707796
2025-11-24,480.0,481.48,476.65,478.75,1519028
2025-11-25,481.53,487.35,480.52,485.67,473578
2025-11-26,484.95,490.83,480.9296,487.13,548197
2025-11-28,487.5,493.72,487.1574,490.78,278637
2025-12-01,487.77,494.01,485.79,487.24,1037128
2025-12-02,488.55,491.82,485.7,487.84,717728
2025-12-03,487.87,492.56,487.27,492.01,545401
2025-12-04,491.61,494.9999,487.56,489.48,466005
2025-12-05,488.3,498.0,487.18,496.5,557068
2025-12-08,494.09,494.6,484.27,487.13,496163
2025-12-09,487.37,491.8405,486.32,486.37,618998
2025-12-10,485.73,486.35,473.455,479.99,2442521
2025-12-11,482.51,489.43,481.0,485.51,663785
2025-12-12,486.16,489.49,484.0,486.6,736499
2025-12-15,490.0,490.0,486.14,487.5,1028178
2025-12-16,494.49,498.59,491.42,493.0,892820
2025-12-17,491.65,503.91,491.3009,499.02,1279281
2025-12-18,501.93,505.5725,497.26,497.69,1092583
2025-12-19,498.71,505.2,498.64,503.08,1297074
2025-12-22,501.57,512.51,499.992,509.65,540683
2025-12-23,508.87,515.89,508.26,515.39,568755
2025-12-24,516.0,518.7599,513.52,517.28,294467
2025-12-26,517.2,520.88,515.91,520.04,347709
2025-12-29,520.65,522.35,518.2701,519.06,361169
2025-12-30,517.0,519.06,515.31,515.75,546804
2025-12-31,514.82,516.41,510.78,510.85,519157
2026-01-02,509.72,510.23,496.5884,498.98,753560
2026-01-05,502.5,533.04,500.0,526.88,1284424
2026-01-06,526.55,534.19,524.25,532.9,788985
2026-01-07,535.28,540.0,531.3,531.44,681672
2026-01-08,530.49,537.14,529.56,531.17,660305
2026-01-09,531.3,537.27,530.88,531.61,653998
2026-01-12,527.47,536.24,526.5,535.12,657095
2026-01-13,535.82,535.93,527.795,534.9,755829
2026-01-14,531.9,537.57,529.0,535.98,671110
2026-01-15,538.27,546.88,536.315,539.61,701287
2026-01-16,539.6,541.3,534.59,538.92,651867
2026-01-20,528.89,534.6,514.295,517.3,950511
2026-01-21,520.11,530.54,518.68,524.82,611143
2026-01-22,528.19,533.84,526.03,530.24,612453
2026-01-23,528.91,531.9475,521.225,524.04,590815
2026-01-26,524.55,528.73,521.0,525.42,445617
2026-01-27,523.71,525.93,518.335,518.87,727816
2026-01-28,516.71,521.24,513.88,516.62,726583
2026-01-29,517.46,521.29,509.56,515.45,904603
2026-01-30,513.01,518.8899,509.99,515.56,662231
2026-02-02,516.15,521.27,513.29,517.05,806204
2026-02-03,502.71,502.71,469.6276,471.05,2247951
2026-02-04,467.43,467.59,450.15,461.21,3180516
2026-02-05,465.84,471.9,442.7,457.7,2568818
2026-02-06,461.48,465.57,447.5089,452.49,1836566
2026-02-09,452.035,456.34,446.1,449.47,1887950
2026-02-10,416.29,426.295,408.94,418.96,3939528
2026-02-11,418.37,423.47,410.57,412.23,2002878
2026-02-12,413.14,417.73,402.28,415.09,2082835
2026-02-13,416.25,430.8,416.25,426.44,2273122
2026-02-17,430.25,433.53,420.75,423.22,1933428
2026-02-18,438.84,451.99,434.505,450.76,2359951
2026-02-19,453.23,453.23,441.3,449.29,1606146
2026-02-20,446.75,451.93,441.93,447.82,1064935
2026-02-23,445.08,451.11,436.29,437.11,1405123
2026-02-24,438.02,453.13,436.845,452.57,1506923
2026-02-25,455.0,466.05,454.485,463.37,1753033
2026-02-26,467.89,481.8,467.89,479.47,1744551
2026-02-27,475.055,483.92,473.055,477.59,1788397
2026-03-02,469.5,471.98,463.0,466.1,1974150
2026-03-03,458.23,469.0,454.4001,464.3,1786400
2026-03-04,465.87,475.97,463.73,471.01,1395078
2026-03-05,466.61,477.295,466.23,470.05,1904146
2026-03-06,463.95,472.71,460.5,471.97,1434603
2026-03-09,464.44,467.13,447.52,462.69,1297864
2026-03-10,461.25,461.25,447.64,452.23,1283018
2026-03-11,452.0,455.76,430.32,445.93,1562611
2026-03-12,439.05,439.05,422.16,426.47,2460144
2026-03-13,430.85,432.82,427.05,430.01,1265286
2026-03-16,433.8,439.0575,432.24,432.69,1129534
2026-03-17,437.42,446.185,436.2,441.03,1109911
2026-03-18,435.87,444.355,434.85,438.67,1432054
2026-03-19,431.6,441.16,431.6,435.8,1217016
2026-03-20,435.58,439.33,432.29,435.12,1899954
2026-03-23,443.235,446.4,438.125,441.07,1215805
2026-03-24,436.77,436.77,426.49,428.46,1393257
2026-03-25,433.41,438.52,422.35,428.05,1124104
2026-03-26,423.98,435.09,423.98,432.28,1280969
2026-03-27,427.81,431.45,422.2,424.84,1125306
2026-03-30,428.95,435.695,427.32,432.05,950686
2026-03-31,438.53,439.36,427.135,436.25,1008530
2026-04-01,437.77,440.52,425.97,438.78,1111741
2026-04-02,432.415,445.69,430.01,440.79,793989
2026-04-06,439.18,445.52,438.46,444.1,457180
2026-04-07,442.24,444.205,436.77,438.0,685545
2026-04-08,450.25,454.92,445.42,447.62,786656
2026-04-09,443.46,445.42,432.03,438.22,949662
2026-04-10,436.19,438.87,424.4,427.41,1061872
2026-04-13,425.26,439.935,425.26,439.61,710799
2026-04-14,440.65,443.9084,436.22,438.06,890245
2026-04-15,439.54,449.98,439.03,446.81,792400
2026-04-16,450.0,455.355,446.78,448.42,932141
2026-04-17,452.26,459.27,450.19,455.35,1539792
2026-04-20,453.68,461.02,452.66,459.91,1209121
2026-04-21,461.9,473.375,458.975,459.59,1688001
2026-04-22,474.27,482.54,464.57,466.72,1583165
2026-04-23,460.72,463.0,448.01,452.35,1249177
2026-04-24,453.1,458.8499,453.1,456.05,792898
2026-04-27,453.91,462.8,453.91,460.74,1157686
2026-04-28,464.94,470.64,457.53,457.99,1281576
2026-04-29,456.78,462.18,452.74,460.11,1080937
2026-04-30,456.94,462.815,453.94,461.85,1070811
2026-05-01,466.39,469.88,455.74,455.77,811572
2026-05-04,453.97,460.83,449.18,449.56,771941
2026-05-05,450.01,460.5025,442.22,454.55,1126957
2026-05-06,458.29,459.99,446.88,448.64,1216699
2026-05-07,446.08,458.0,444.5432,457.1,1033490
2026-05-08,457.1,459.14,446.96,451.32,762816
2026-05-11,448.16,452.6765,446.36,448.39,924464
2026-05-12,449.61,458.67,447.21,451.75,1030717
2026-05-13,446.87,447.35,432.35,438.32,1044065
2026-05-14,440.51,443.4499,432.37,432.68,1109080
2026-05-15,432.48,438.225,426.21,428.9,1262752
2026-05-18,427.01,443.61,427.01,443.41,1107464
2026-05-19,445.74,448.0,434.29,434.49,1316429
2026-05-20,434.365,445.45,427.89,444.27,1162096
2026-05-21,440.18,447.56,436.2,445.37,1046695
2026-05-22,446.0,452.85,445.615,449.12,502893
2026-05-26,450.24,454.81,446.43,451.1,842698
2026-05-27,452.34,457.49,448.2563,451.56,910490
2026-05-28,454.12,455.75,447.84,450.45,1003800
2026-05-29,448.91,459.24,448.41,453.25,2126891
2026-06-01,453.67,465.67,448.96,464.2,894135
2026-06-02,460.63,462.0,446.66,453.6,1040762
2026-06-03,450.0,451.015,441.785,448.39,853957
2026-06-04,455.27,460.515,447.92,449.15,979197
2026-06-05,451.69,454.22,447.85,451.35,660533
2026-06-08,451.125,451.41,443.18,443.76,776053
2026-06-09,443.71,452.5,441.7,449.94,901115
2026-06-10,447.0,454.095,444.33,450.69,553695
2026-06-11,449.59,450.5,438.41,441.82,1174753
2026-06-12,445.0,448.475,438.17,447.85,672315
2026-06-15,450.76,460.88,450.7149,454.06,964896
2026-06-16,460.34,471.4,459.215,468.41,1301017
2026-06-17,466.5,472.43,455.73,456.22,1285417
2026-06-18,457.63,460.25,448.845,450.67,1964518
2026-06-22,448.64,453.82,445.24,447.33,969610
2026-06-23,450.03,452.395,442.285,443.97,1095766
2026-06-24,446.26,455.95,443.24,449.79,972073
2026-06-25,450.37,459.775,438.14,438.85,1181204
2026-06-26,437.85,451.85,437.51,450.01,2819882
2026-06-29,452.48,455.62,448.54,452.73,848787
2026-06-30,450.28,457.54,447.14,452.92,1031929
2026-07-01,455.49,474.39,454.0,468.38,1080569
2026-07-02,474.27,490.74,474.27,490.51,933224
2026-07-06,492.35,499.97,480.63,498.78,863969
2026-07-07,501.46,504.91,498.11,500.49,824116
2026-07-08,496.36,496.96,483.19,485.1,585326
2026-07-09,482.3,487.368,478.27,487.02,528424
2026-07-10,491.49,496.095,483.81,487.28,510753
2026-07-13,491.72,497.82,491.71,495.72,568846
2026-07-14,487.0,495.745,480.0,494.73,652244
2026-07-15,498.76,512.0,497.365,504.46,832911
2026-07-16,509.33,519.09,508.16,519.02,935498
2026-07-17,517.96,523.3082,507.32,510.86,1326262
