date,open,high,low,close,volume
2025-09-02,435.25,443.0,430.455,436.11,429403
2025-09-03,435.49,441.0,422.02,435.27,369244
2025-09-04,436.3,438.7368,426.0,431.21,257786
2025-09-05,435.99,436.59,428.0,432.89,281201
2025-09-08,435.2,457.16,432.99,453.8,653052
2025-09-09,450.31,450.7,441.2,448.73,324301
2025-09-10,448.05,450.225,429.62,430.11,281691
2025-09-11,429.78,439.45,425.0,439.45,224028
2025-09-12,439.99,440.9,426.17,432.22,190643
2025-09-15,428.11,428.48,418.36,425.6,265385
2025-09-16,425.41,428.28,422.915,427.05,243489
2025-09-17,426.65,431.4993,415.53,417.43,286268
2025-09-18,422.07,444.27,422.07,440.75,475049
2025-09-19,442.06,447.5687,435.405,439.93,689967
2025-09-22,436.16,444.32,434.0,440.07,224094
2025-09-23,441.56,452.005,439.97,443.33,260747
2025-09-24,445.92,448.79,425.8,426.84,259157
2025-09-25,424.82,429.125,421.065,422.99,185663
2025-09-26,425.7,428.2499,419.41,424.23,375924
2025-09-29,427.85,448.69,417.6982,443.1,327876
2025-09-30,442.41,460.22,438.98,458.66,465910
2025-10-01,450.65,463.625,448.99,449.14,267217
2025-10-02,447.93,462.875,446.63,449.64,261049
2025-10-03,446.23,453.5766,442.74,443.01,219954
2025-10-06,446.25,449.33,435.7,442.31,257877
2025-10-07,441.12,444.1436,433.0,436.28,240958
2025-10-08,444.09,444.09,435.21,436.95,178474
2025-10-09,433.96,443.6,425.6001,428.3,299459
2025-10-10,428.71,445.0,416.29,429.6,419302
2025-10-13,427.07,430.75,420.0,427.73,280778
2025-10-14,426.56,439.45,420.0201,437.1,241692
2025-10-15,444.33,451.41,425.02,433.45,262987
2025-10-16,433.45,449.02,433.45,442.13,272416
2025-10-17,434.95,440.1699,427.52,438.9,202060
2025-10-20,442.97,442.97,418.555,439.97,278980
2025-10-21,435.86,445.0608,427.06,430.0,249800
2025-10-22,426.57,430.25,413.82,415.95,287981
2025-10-23,415.96,424.92,415.0,423.87,232494
2025-10-24,426.63,429.98,417.351,421.5,163786
2025-10-27,423.61,436.84,423.61,435.78,261762
2025-10-28,430.14,435.0,426.655,429.18,279302
2025-10-29,427.07,434.4817,393.605,421.6,668131
2025-10-30,423.74,434.98,420.505,427.52,288407
2025-10-31,428.5,433.115,410.5,418.9,385618
2025-11-03,421.64,430.4995,399.0,412.35,623324
2025-11-04,406.22,469.95,405.0,444.64,1249060
2025-11-05,450.9,496.98,446.2,475.87,778259
2025-11-06,471.22,491.91,471.22,488.58,397829
2025-11-07,488.03,494.55,476.61,489.26,294188
2025-11-10,498.0,505.05,486.04,495.88,324312
2025-11-11,491.39,544.25,491.39,541.5,508376
2025-11-12,536.39,542.19,520.0,528.94,452769
2025-11-13,527.37,531.0,513.82,514.93,296051
2025-11-14,509.5,534.95,505.0,529.21,263414
2025-11-17,525.0,555.12,520.45,553.42,471000
2025-11-18,545.38,577.9,545.38,558.99,353058
2025-11-19,554.39,570.24,553.235,555.6,237464
2025-11-20,562.71,571.16,540.01,542.12,270698
2025-11-21,542.85,565.15,535.0,547.96,567226
2025-11-24,547.96,594.99,545.0,587.92,762692
2025-11-25,588.27,594.46,566.99,592.04,359795
2025-11-26,592.04,604.81,585.094,601.03,254376
2025-11-28,600.0,605.0,590.34,596.98,116258
2025-12-01,593.82,594.0315,577.59,579.45,298162
2025-12-02,579.9,598.7699,569.04,573.15,290938
2025-12-03,579.67,592.88,570.5,579.89,264717
2025-12-04,582.59,594.27,573.0,586.21,219569
2025-12-05,585.39,593.0,573.0,577.3,220906
2025-12-08,576.9,576.97,561.2,568.57,333215
2025-12-09,565.8,569.825,550.7,553.92,287945
2025-12-10,552.97,555.39,546.2,552.47,315988
2025-12-11,559.13,589.67,554.0,571.33,292477
2025-12-12,570.11,577.21,561.05,571.44,177491
2025-12-15,571.84,573.67,552.75,560.55,245801
2025-12-16,554.78,560.0,544.24,554.57,270722
2025-12-17,551.9,561.0,544.85,546.19,239776
2025-12-18,546.0,555.4999,535.33,544.41,348438
2025-12-19,552.42,593.585,551.38,591.02,967681
2025-12-22,585.21,609.98,585.21,602.83,329486
2025-12-23,597.61,609.8,593.0,602.21,214052
2025-12-24,601.36,615.0,601.36,602.82,103015
2025-12-26,608.34,608.34,597.695,598.91,97809
2025-12-29,598.0,599.98,587.02,589.47,293651
2025-12-30,588.39,590.0,578.0,583.73,139211
2025-12-31,583.21,592.72,581.52,582.34,155807
2026-01-02,582.02,598.79,580.0,593.87,281989
2026-01-05,592.21,592.992,572.52,588.4,341503
2026-01-06,575.02,578.5,532.445,558.01,732348
2026-01-07,560.87,589.9799,558.29,561.13,402084
2026-01-08,559.91,568.0,547.8,556.22,264487
2026-01-09,554.99,555.1,511.03,514.06,703253
2026-01-12,513.87,517.7099,504.49,510.53,297359
2026-01-13,511.57,514.36,493.19,493.9,430391
2026-01-14,492.6,508.76,487.19,505.23,346659
2026-01-15,503.65,510.5,495.36,495.88,217630
2026-01-16,495.75,511.94,492.5,501.68,276248
2026-01-20,491.94,506.606,483.55,504.95,222773
2026-01-21,498.3,505.0,492.69,496.97,313300
2026-01-22,496.97,504.0,492.01,498.04,231520
2026-01-23,497.32,499.0,465.98,480.45,434832
2026-01-26,476.71,502.355,474.86,499.17,336527
2026-01-27,495.03,501.68,487.88,500.39,244436
2026-01-28,504.36,506.395,492.0,496.54,180944
2026-01-29,497.38,500.145,485.96,494.69,264611
2026-01-30,489.75,497.54,480.02,489.31,668552
2026-02-02,483.11,497.73,481.02,489.73,256922
2026-02-03,486.17,491.29,467.86,482.45,339931
2026-02-04,478.75,482.06,472.52,478.61,350267
2026-02-05,478.9,486.88,458.0,463.42,382883
2026-02-06,475.69,482.88,465.2,477.6,338615
2026-02-09,477.6,490.5,471.39,488.26,397913
2026-02-10,488.3,499.55,475.34,478.83,432160
2026-02-11,483.03,483.03,463.53,481.0,298176
2026-02-12,483.9,484.25,468.08,473.79,256434
2026-02-13,474.31,482.99,458.067,464.71,245800
2026-02-17,462.37,495.0,462.04,487.32,403068
2026-02-18,486.71,498.1,480.0,491.49,316817
2026-02-19,452.02,461.98,427.78,436.87,1228060
2026-02-20,435.01,448.15,424.485,435.01,468970
2026-02-23,424.2,440.99,424.2,437.79,540192
2026-02-24,437.92,452.2999,431.14,440.0,311874
2026-02-25,440.0,447.005,434.67,435.01,474570
2026-02-26,437.2,448.13,430.0,445.85,338001
2026-02-27,441.33,442.5,430.01,432.0,407556
2026-03-02,430.23,438.7299,421.45,435.62,217954
2026-03-03,428.69,433.555,416.21,425.85,287865
2026-03-04,429.86,443.605,423.98,434.8,265111
2026-03-05,434.5,444.43,426.965,439.34,275373
2026-03-06,431.65,439.43,421.88,432.83,476025
2026-03-09,429.42,438.8394,418.72,433.2,288858
2026-03-10,433.04,443.42,430.21,432.78,254464
2026-03-11,427.95,438.0,426.035,431.53,281270
2026-03-12,427.275,441.37,421.55,438.73,288029
2026-03-13,440.64,448.07,434.3,444.83,220755
2026-03-16,446.84,455.0,440.0,440.83,360238
2026-03-17,440.02,452.2,440.02,443.18,194155
2026-03-18,440.0,446.18,427.76,442.0,315014
2026-03-19,442.64,460.0,439.675,454.22,281945
2026-03-20,454.81,466.9,438.87,441.16,574111
2026-03-23,447.96,454.98,442.4,447.72,222397
2026-03-24,445.0,449.135,437.0475,445.04,234716
2026-03-25,448.79,471.72,448.49,461.93,303515
2026-03-26,457.29,572.195,455.56,518.76,1373753
2026-03-27,515.7,523.335,498.03,510.68,487193
2026-03-30,511.0,522.0,502.14,505.34,372701
2026-03-31,514.64,538.8,510.4,523.47,505872
2026-04-01,531.32,545.255,525.0,529.84,423056
2026-04-02,531.19,547.98,522.49,546.89,345032
2026-04-06,538.36,547.18,530.41,533.88,293933
2026-04-07,527.96,530.585,504.6994,511.89,347710
2026-04-08,514.83,521.0,503.93,519.75,345605
2026-04-09,516.96,525.99,510.64,524.3,268890
2026-04-10,525.0,526.495,507.54,519.61,294637
2026-04-13,524.28,534.52,523.26,525.67,363796
2026-04-14,532.1,539.165,518.8,524.99,302738
2026-04-15,529.81,529.81,510.7,518.58,226354
2026-04-16,515.11,526.87,510.58,524.76,198216
2026-04-17,529.94,536.86,522.81,532.02,345698
2026-04-20,530.66,530.66,521.92,527.11,297094
2026-04-21,526.49,534.39,516.435,527.69,209266
2026-04-22,531.69,536.32,523.239,529.14,199179
2026-04-23,529.14,535.29,516.49,518.74,330189
2026-04-24,518.0,522.18,500.97,512.39,205749
2026-04-27,510.88,524.31,508.515,520.09,216076
2026-04-28,523.98,528.28,515.0801,516.69,218438
2026-04-29,512.6,519.05,501.59,518.58,153842
2026-04-30,518.58,523.85,511.0,517.39,227357
2026-05-01,518.11,520.775,504.005,513.72,196655
2026-05-04,510.5,524.8,509.66,518.66,183825
2026-05-05,518.22,522.01,497.2325,502.47,331161
2026-05-06,531.2,559.0,519.88,539.73,569273
2026-05-07,534.1,542.0,512.28,534.86,384498
2026-05-08,535.0,541.57,510.0,510.04,379309
2026-05-11,511.32,513.355,493.57,497.03,307741
2026-05-12,494.06,511.11,490.13,510.26,235034
2026-05-13,510.44,523.57,506.025,518.87,374901
2026-05-14,522.34,547.24,518.315,539.89,343567
2026-05-15,540.56,543.78,522.4,523.69,222473
2026-05-18,522.19,523.845,501.02,522.23,325810
2026-05-19,520.0,528.99,508.86,511.82,258878
2026-05-20,518.72,523.155,499.34,513.47,361114
2026-05-21,510.96,519.99,503.26,513.59,210723
2026-05-22,513.0,520.89,507.055,517.26,160813
2026-05-26,516.48,529.0,508.01,524.28,330935
2026-05-27,524.3,535.76,521.16,527.67,144103
2026-05-28,523.96,529.86,513.07,515.96,236999
2026-05-29,514.57,520.305,496.625,497.27,436007
2026-06-01,495.74,496.07,479.0,481.23,234030
2026-06-02,475.8,476.96,451.74,452.86,427211
2026-06-03,450.61,490.12,445.2,488.15,264459
2026-06-04,495.32,497.83,486.1724,492.83,219096
2026-06-05,494.49,495.18,481.615,486.98,187088
2026-06-08,486.8,490.0,465.0,467.28,262728
2026-06-09,474.52,480.5,470.83,476.89,285812
2026-06-10,477.93,485.55,471.32,471.32,287530
2026-06-11,467.5,478.7825,460.89,474.28,278769
2026-06-12,474.28,486.1,469.075,480.77,207461
2026-06-15,479.98,500.71,474.52,499.76,284647
2026-06-16,505.34,507.75,493.0,501.19,319890
2026-06-17,499.65,509.04,493.05,499.86,273215
2026-06-18,500.38,511.28,485.56,505.75,486993
2026-06-22,513.23,517.54,500.8,512.88,281844
2026-06-23,513.36,522.0,507.57,513.43,266383
2026-06-24,516.83,527.71,509.065,509.76,399805
2026-06-25,507.06,520.86,505.05,513.79,362445
2026-06-26,517.66,532.325,505.63,512.65,2500271
2026-06-29,520.34,531.99,506.0,527.28,446960
2026-06-30,526.32,545.87,520.595,536.95,393459
2026-07-01,539.67,542.97,512.74,514.39,303751
2026-07-02,512.34,529.73,507.6,528.1,221894
2026-07-06,523.68,537.24,522.06,529.48,230982
2026-07-07,534.96,554.005,529.8,545.36,318420
2026-07-08,542.43,566.68,540.8663,565.4,468252
2026-07-09,564.87,569.44,548.36,560.01,379035
2026-07-10,564.94,564.94,529.5,536.7,294015
2026-07-13,534.05,539.15,526.14,531.0,287887
2026-07-14,526.26,539.45,522.7,536.86,241715
2026-07-15,536.05,555.7,529.63,550.25,264309
2026-07-16,549.62,553.55,532.64,545.53,238337
2026-07-17,538.85,560.085,536.01,553.48,528309
