date,open,high,low,close,volume
2025-09-02,61.58,62.06,61.2,61.79,7815343
2025-09-03,61.36,61.77,59.37,61.3,10566650
2025-09-04,61.4,61.55,60.885,60.9,4612686
2025-09-05,61.03,62.51,60.95,61.74,6149823
2025-09-08,61.59,61.97,61.0,61.94,6540893
2025-09-09,61.84,62.8587,61.72,62.57,5784966
2025-09-10,62.29,62.47,61.37,62.27,6679167
2025-09-11,62.325,63.2,62.0,62.05,6423925
2025-09-12,61.975,62.47,61.685,61.98,4853627
2025-09-15,62.0,62.68,61.565,61.6,6760463
2025-09-16,61.62,62.945,61.4601,62.7,8403643
2025-09-17,62.69,63.6,62.62,62.83,7039878
2025-09-18,62.27,63.36,62.11,63.25,6596217
2025-09-19,63.6,64.03,62.9832,63.71,17133910
2025-09-22,63.31,63.66,62.9828,63.5,7358095
2025-09-23,63.39,63.865,63.23,63.82,6698348
2025-09-24,63.82,64.6989,63.78,64.39,6188838
2025-09-25,64.68,64.95,62.54,62.56,8679576
2025-09-26,62.56,63.455,62.27,63.36,5295155
2025-09-29,63.43,63.565,61.22,62.63,10956710
2025-09-30,62.45,62.865,62.15,62.47,6604230
2025-10-01,62.55,63.33,62.1201,63.17,6259498
2025-10-02,62.14,62.7,61.62,61.78,5529805
2025-10-03,61.66,63.38,61.5201,62.67,6205944
2025-10-06,62.545,62.545,61.435,61.78,7883259
2025-10-07,61.705,63.24,61.61,62.6,6638657
2025-10-08,62.14,62.42,61.42,61.66,6881492
2025-10-09,61.64,61.81,60.88,61.0,6642873
2025-10-10,61.2,62.34,60.87,61.45,7697779
2025-10-13,60.79,61.29,60.41,61.17,6417576
2025-10-14,61.31,62.19,60.84,62.13,5631971
2025-10-15,61.64,62.37,61.27,61.66,5712093
2025-10-16,62.2,62.74,61.31,61.6,7346452
2025-10-17,61.97,62.7,61.56,62.46,5991845
2025-10-20,62.82,62.96,62.5,62.81,4069063
2025-10-21,62.88,63.24,61.542,61.75,9149843
2025-10-22,61.84,62.54,60.94,61.97,7148597
2025-10-23,61.83,61.895,60.98,61.01,5212549
2025-10-24,61.25,61.37,60.5545,60.77,5401464
2025-10-27,60.655,61.715,60.44,61.66,7063658
2025-10-28,61.6,62.43,60.21,60.21,15035020
2025-10-29,58.47,59.27,56.985,57.85,20841560
2025-10-30,58.24,59.26,57.63,57.775,12884300
2025-10-31,56.97,57.94,56.63,57.46,13262980
2025-11-03,57.44,57.84,56.54,56.65,8849881
