date,open,high,low,close,volume
2025-09-02,75.558,76.165,75.2585,76.102,1340935
2025-09-03,76.75,77.129,76.454,76.924,3035155
2025-09-04,77.022,77.636,76.8311,77.598,792615
2025-09-05,78.246,78.246,76.896,77.394,1342275
2025-09-08,77.768,78.2,77.768,77.916,912095
2025-09-09,78.038,78.154,77.636,78.122,1031605
2025-09-10,78.692,78.692,77.88,78.128,1390160
2025-09-11,78.504,78.6238,78.184,78.51,1046285
2025-09-12,78.676,79.075,78.4986,78.942,949680
2025-09-15,79.25,79.688,79.25,79.688,1049440
2025-09-16,79.808,79.812,79.524,79.582,1412725
2025-09-17,79.496,79.5185,78.5,79.228,1583380
2025-09-18,79.79,80.052,79.446,79.62,1411375
2025-09-19,80.06,80.502,79.902,80.478,1588455
2025-09-22,80.33,81.172,80.33,81.148,1092795
2025-09-23,81.104,81.104,80.05,80.224,1553100
2025-09-24,80.472,80.472,79.546,79.916,1020205
2025-09-25,79.37,79.752,78.87,79.556,1002350
2025-09-26,79.696,79.94,79.255,79.872,982550
2025-09-29,80.184,80.571,79.922,80.09,1716395
2025-09-30,80.066,80.516,79.786,80.484,1522465
2025-10-01,80.03,81.038,79.954,80.906,1785455
2025-10-02,81.376,81.376,80.704,81.046,1142845
2025-10-03,81.094,81.21,80.4383,80.736,1189255
2025-10-06,81.196,81.626,80.958,81.442,954245
2025-10-07,81.55,81.6057,80.709,80.92,1126960
2025-10-08,81.074,81.776,81.074,81.776,974040
2025-10-09,81.781,81.806,81.288,81.686,1507185
2025-10-10,81.762,82.002,78.9486,78.992,2656985
2025-10-13,80.326,80.695,79.962,80.52,1377500
2025-10-14,79.694,80.4338,78.9,79.842,1146205
2025-10-15,80.634,80.952,79.57,80.31,1045955
2025-10-16,80.656,81.0,79.414,79.988,1305965
2025-10-17,79.6,80.6661,79.483,80.532,1170145
2025-10-20,80.914,81.642,80.914,81.494,907800
2025-10-21,81.472,81.55,81.2114,81.406,940640
2025-10-22,81.526,81.618,80.156,80.866,1178910
2025-10-23,80.914,81.664,80.838,81.526,2462700
2025-10-24,82.148,82.596,82.067,82.392,1078670
2025-10-27,83.408,83.958,83.292,83.914,1477715
2025-10-28,84.456,84.96,84.124,84.652,2413610
2025-10-29,85.196,85.359,84.456,85.178,2247920
2025-10-30,84.684,84.746,83.888,83.908,1607295
2025-10-31,85.03,85.03,83.8638,84.144,1699635
2025-11-03,84.89,84.99,84.36,84.672,1740625
2025-11-04,83.406,83.972,83.026,83.186,1662050
2025-11-05,83.058,83.8938,82.8002,83.296,2208100
2025-11-06,83.202,83.202,81.677,81.924,1718595
2025-11-07,81.434,81.626,80.17,81.58,2049535
2025-11-10,82.842,83.732,82.763,83.582,1580245
2025-11-11,83.198,83.572,82.82,83.478,985030
2025-11-12,83.842,83.869,82.782,83.294,1505840
2025-11-13,82.79,82.804,81.264,81.574,2220405
2025-11-14,80.377,82.28,80.0822,81.712,1779700
2025-11-17,81.298,82.1319,80.506,81.032,1251255
2025-11-18,80.494,80.836,79.309,79.936,2544170
2025-11-19,80.108,81.392,79.928,80.556,1742015
2025-11-20,82.276,82.658,78.839,78.966,2862495
2025-11-21,79.252,80.375,78.286,79.442,2304580
2025-11-24,80.128,81.626,80.06,81.482,1897155
2025-11-25,81.23,82.127,80.411,81.974,2017595
2025-11-26,82.498,82.786,82.1,82.544,1387700
2025-11-28,82.706,82.876,82.532,82.862,666130
2025-12-01,82.212,82.901,82.016,82.634,1465210
2025-12-02,83.0,83.568,82.77,83.074,1392725
2025-12-03,82.77,83.258,82.52,83.056,1236480
2025-12-04,83.446,83.446,82.676,83.156,984325
2025-12-05,83.402,83.8265,83.22,83.532,799485
2025-12-08,83.654,83.84,83.0,83.36,1485215
2025-12-09,83.216,83.49,83.01,83.362,1165295
2025-12-10,83.218,83.604,82.768,83.424,1343995
2025-12-11,82.95,83.286,82.124,83.208,2534550
2025-12-12,82.892,83.11,81.528,81.954,2041055
2025-12-15,82.456,82.467,81.38,81.574,4200520
2025-12-16,81.352,82.068,81.149,81.89,1571915
2025-12-17,81.964,81.9681,80.334,80.36,1897160
2025-12-18,81.342,81.92,81.044,81.432,1176285
2025-12-19,81.934,82.624,81.918,82.604,1189235
2025-12-22,83.114,83.17,82.754,83.02,2204975
2025-12-23,82.83,83.614,82.83,83.606,1860410
2025-12-24,83.588,83.812,83.467,83.756,1239905
2025-12-26,83.866,84.05,83.666,83.766,910495
2025-12-29,83.218,83.506,83.072,83.312,1218320
2025-12-30,83.234,83.4996,83.156,83.2,1321930
2025-12-31,83.3,83.322,82.548,82.554,1023965
2026-01-02,83.22,83.542,81.728,82.172,4768705
2026-01-05,82.722,82.88,82.342,82.44,3015085
2026-01-06,82.574,82.756,82.2331,82.662,1982485
2026-01-07,82.758,83.606,82.662,83.076,1628610
2026-01-08,82.94,82.946,82.098,82.406,2626400
2026-01-09,82.568,83.1,82.182,82.902,4242200
2026-01-12,82.45,83.389,82.4,83.124,4811585
2026-01-13,83.1,83.3258,82.44,82.826,2242060
2026-01-14,82.36,82.398,81.072,81.714,6370455
2026-01-15,82.406,82.486,81.6,81.776,8873745
2026-01-16,82.096,82.2,81.434,81.656,7606305
2026-01-20,80.21,80.586,79.418,79.568,3027235
2026-01-21,79.718,80.856,79.322,80.284,3748570
2026-01-22,81.114,81.2427,80.634,81.032,1561395
2026-01-23,81.104,81.836,80.9,81.508,7914250
2026-01-26,81.627,82.39,81.5335,82.066,2799570
2026-01-27,82.5,82.918,82.324,82.64,1412220
