date,open,high,low,close,volume
2025-09-02,134.44,134.67,133.6,134.67,1654446
2025-09-03,134.27,134.52,133.33,133.97,904651
2025-09-04,134.09,134.98,133.76,134.94,164863
2025-09-05,135.07,135.41,133.84,134.39,216714
2025-09-08,134.26,134.26,133.53,134.22,484725
2025-09-09,134.03,134.8301,134.01,134.63,273495
2025-09-10,135.47,136.13,135.23,135.76,183280
2025-09-11,136.02,137.395,136.02,137.32,182592
2025-09-12,136.98,137.215,136.35,136.35,149330
2025-09-15,136.75,136.9335,136.085,136.26,216108
2025-09-16,136.49,136.79,136.02,136.29,349558
2025-09-17,136.57,137.635,136.21,137.03,193092
2025-09-18,137.24,137.84,137.02,137.43,286970
2025-09-19,137.72,137.8175,136.96,137.47,460019
2025-09-22,137.04,137.81,136.91,137.6,225914
2025-09-23,137.65,138.51,137.545,137.75,340589
2025-09-24,137.79,138.08,137.39,137.48,268762
2025-09-25,137.36,137.52,136.59,136.98,175820
2025-09-26,137.43,138.065,137.43,137.85,415984
2025-09-29,137.44,137.44,136.6509,137.15,525141
2025-09-30,136.96,137.81,136.76,137.74,443207
2025-10-01,137.24,138.25,137.24,138.1,464553
2025-10-02,137.86,138.1782,137.37,137.77,199554
2025-10-03,137.93,139.065,137.93,138.4,191929
2025-10-06,138.8,138.865,138.02,138.29,191592
2025-10-07,138.47,138.655,137.9,138.2,281177
2025-10-08,138.41,138.575,137.72,138.1,199919
2025-10-09,138.32,138.57,137.3131,137.58,266850
2025-10-10,137.83,138.1896,135.26,135.26,317374
2025-10-13,135.96,136.82,135.89,136.52,215915
2025-10-14,135.7,138.17,135.51,137.57,256467
2025-10-15,138.1,138.91,137.155,137.95,165109
2025-10-16,138.18,138.18,136.225,136.6,246025
2025-10-17,136.81,137.72,136.67,137.44,358751
2025-10-20,137.81,138.59,137.81,138.51,229799
2025-10-21,138.59,139.08,138.41,138.52,148258
2025-10-22,138.5,138.52,137.52,138.08,247359
2025-10-23,138.01,138.48,137.78,138.28,160209
2025-10-24,139.09,139.31,138.8785,139.01,147101
2025-10-27,139.33,139.63,139.1338,139.61,154551
2025-10-28,139.54,139.65,138.72,138.82,223050
2025-10-29,138.4,138.61,137.17,137.56,386140
2025-10-30,137.02,138.4743,137.02,137.24,296133
2025-10-31,136.74,137.65,136.56,137.31,319889
2025-11-03,137.49,137.49,135.7401,136.64,183188
2025-11-04,136.05,136.63,135.73,136.39,183337
2025-11-05,136.33,137.37,136.33,136.89,296425
2025-11-06,136.63,137.1496,136.4599,136.83,186163
2025-11-07,136.67,137.58,136.3,137.58,207356
2025-11-10,137.68,138.195,137.06,138.05,311734
2025-11-11,138.18,139.43,138.18,139.23,203787
2025-11-12,139.48,140.3796,139.455,140.11,132575
2025-11-13,139.94,140.28,138.705,138.89,247657
2025-11-14,138.16,139.07,137.62,138.48,227294
2025-11-17,138.43,138.79,136.78,137.15,258745
2025-11-18,136.75,137.75,136.4286,136.94,292993
2025-11-19,136.88,137.13,136.1801,136.81,227989
2025-11-20,137.8,138.2292,135.48,135.53,215727
2025-11-21,136.31,137.82,135.77,137.17,409956
2025-11-24,137.44,137.6572,136.61,137.25,252912
2025-11-25,137.44,139.1101,137.44,138.95,594110
2025-11-26,139.1,140.22,139.1,139.81,537095
2025-11-28,139.85,140.8766,139.85,140.8,84786
2025-12-01,140.22,140.81,139.68,139.79,170905
2025-12-02,139.84,140.01,139.2,139.67,228095
2025-12-03,139.9,141.16,139.9,141.06,200900
2025-12-04,140.98,141.2899,140.48,140.89,246348
2025-12-05,140.94,141.4999,140.51,140.65,200644
2025-12-08,140.64,140.64,139.69,139.93,145986
2025-12-09,140.0,140.7382,139.41,139.44,181131
2025-12-10,139.66,141.51,139.46,141.27,175285
2025-12-11,141.15,142.39,141.0,142.31,196136
