date,open,high,low,close,volume
2025-09-02,6.06,6.199,5.62,5.74,27717740
2025-09-03,5.74,6.0,5.49,5.51,9004013
2025-09-04,5.48,5.52,5.22,5.34,5611289
2025-09-05,5.48,5.83,5.4,5.54,6759914
2025-09-08,5.5,5.61,5.44,5.57,4924616
2025-09-09,5.55,5.705,5.48,5.51,4123051
2025-09-10,5.5,5.61,5.43,5.57,3568766
2025-09-11,5.6,5.675,5.36,5.42,3999466
2025-09-12,5.4,5.6,5.376,5.57,4159770
2025-09-15,5.55,5.77,5.29,5.38,6169279
2025-09-16,5.39,5.4,5.25,5.37,3117354
2025-09-17,5.38,5.54,5.38,5.39,2579380
2025-09-18,5.4,5.62,5.4,5.61,3630912
2025-09-19,5.63,5.63,5.42,5.43,4724754
2025-09-22,5.48,5.64,5.39,5.57,2996823
2025-09-23,5.55,5.55,5.28,5.35,4628916
2025-09-24,5.35,5.43,5.295,5.33,3598016
2025-09-25,5.31,5.37,5.185,5.33,4610394
2025-09-26,5.34,5.54,5.295,5.53,6079938
2025-09-29,5.58,5.62,5.3325,5.39,3596234
2025-09-30,5.36,5.4297,5.3375,5.37,2525015
2025-10-01,5.39,5.55,5.33,5.38,3525109
2025-10-02,5.41,5.5,5.345,5.49,2638759
2025-10-03,5.5,5.895,5.49,5.76,5126932
2025-10-06,5.75,5.85,5.65,5.66,3391541
2025-10-07,5.69,5.75,5.605,5.65,3618983
2025-10-08,5.67,5.72,5.43,5.44,4756660
2025-10-09,5.47,5.6999,5.02,5.14,8995741
2025-10-10,5.2,5.2,4.79,4.88,8955318
2025-10-13,4.92,5.15,4.895,5.1,4517687
2025-10-14,5.05,5.15,5.02,5.1,4296763
2025-10-15,5.1,5.27,5.06,5.23,3910493
2025-10-16,5.23,5.39,5.22,5.35,5327227
2025-10-17,5.305,5.52,5.2,5.47,5619699
2025-10-20,5.58,5.58,5.28,5.49,3794419
2025-10-21,5.49,5.55,5.3502,5.51,3753440
2025-10-22,5.5,5.62,5.46,5.53,4363073
2025-10-23,5.53,5.61,5.455,5.49,3619189
2025-10-24,5.52,5.52,5.3,5.31,2975528
2025-10-27,5.3,5.4968,5.28,5.42,2689055
2025-10-28,5.37,5.445,5.26,5.3,2930870
2025-10-29,5.295,5.67,5.244,5.54,7829664
2025-10-30,5.54,5.72,5.43,5.55,4207079
2025-10-31,5.51,5.655,5.46,5.59,3411412
2025-11-03,5.6,5.68,5.45,5.48,3273619
2025-11-04,5.42,5.6,5.41,5.48,3882738
2025-11-05,5.96,6.24,5.68,6.06,10930120
2025-11-06,6.13,6.13,5.66,5.7,4316092
2025-11-07,5.6,5.665,5.52,5.63,3176488
2025-11-10,5.2,5.495,4.95,5.42,8187580
2025-11-11,5.34,5.41,5.165,5.25,3122845
2025-11-12,5.296,5.35,5.16,5.25,2814158
2025-11-13,5.27,5.2855,5.055,5.07,3826993
2025-11-14,5.0,5.24,5.0,5.06,3460694
2025-11-17,5.03,5.145,4.97,4.98,3497488
2025-11-18,4.95,5.095,4.93,5.06,3763420
2025-11-19,5.04,5.05,4.935,5.0,2732925
2025-11-20,5.05,5.095,4.95,4.97,2470387
2025-11-21,4.96,5.07,4.95,5.03,2670496
2025-11-24,5.16,5.19,5.07,5.13,2315756
2025-11-25,5.16,5.37,5.13,5.36,2504281
2025-11-26,5.34,5.3991,5.28,5.38,2056728
2025-11-28,5.42,5.42,5.3,5.35,797355
2025-12-01,5.35,5.4676,5.305,5.43,2669507
2025-12-02,5.45,5.68,5.425,5.59,4130201
2025-12-03,5.62,5.79,5.51,5.59,3395801
2025-12-04,5.6,5.81,5.58,5.71,2362112
2025-12-05,5.7,5.7519,5.65,5.68,1782170
2025-12-08,5.75,5.76,5.585,5.63,2547585
2025-12-09,5.69,5.895,5.63,5.77,4410815
2025-12-10,5.8,5.85,5.68,5.84,3332532
2025-12-11,5.82,5.905,5.75,5.81,3697705
2025-12-12,5.83,6.01,5.785,5.94,3389533
2025-12-15,5.95,6.0,5.83,5.94,3004439
2025-12-16,5.96,6.02,5.88,5.91,2832482
2025-12-17,5.88,6.14,5.88,5.97,3595131
2025-12-18,6.0,6.03,5.8844,5.97,3231118
2025-12-19,5.96,6.115,5.8,5.84,13714220
2025-12-22,5.86,6.07,5.84,5.99,3040125
2025-12-23,5.98,6.015,5.84,5.93,2503597
2025-12-24,5.965,5.965,5.88,5.93,907366
2025-12-26,5.92,5.92,5.76,5.79,2430916
2025-12-29,5.79,5.82,5.73,5.77,1640983
2025-12-30,5.78,5.78,5.555,5.66,3515159
2025-12-31,5.66,5.73,5.615,5.67,2397182
2026-01-02,5.73,5.73,5.575,5.6,2733096
2026-01-05,5.61,5.645,5.53,5.62,2620972
2026-01-06,5.56,5.76,5.55,5.62,2995797
2026-01-07,5.66,5.97,5.6299,5.85,5420434
2026-01-08,5.9,6.51,5.89,6.01,7484330
2026-01-09,6.08,6.11,5.83,5.85,2602684
2026-01-12,5.82,5.845,5.735,5.77,3684990
2026-01-13,5.8,5.8,5.63,5.64,2905794
2026-01-14,5.62,5.64,5.55,5.61,2595070
2026-01-15,5.61,5.68,5.55,5.58,3947257
2026-01-16,5.59,5.61,5.19,5.21,6745018
2026-01-20,5.07,5.5,5.03,5.49,5256158
2026-01-21,5.48,5.735,5.46,5.71,4156524
2026-01-22,5.74,6.05,5.69,5.91,5723763
2026-01-23,5.88,5.954,5.455,5.46,4518395
2026-01-26,5.47,5.63,5.43,5.58,4283580
2026-01-27,5.54,5.63,5.42,5.59,2784184
2026-01-28,5.58,5.935,5.52,5.64,4863946
2026-01-29,5.61,5.93,5.61,5.79,4335903
2026-01-30,5.78,5.9,5.72,5.78,4275162
2026-02-02,5.75,6.03,5.62,6.01,4617311
2026-02-03,6.0,6.225,5.9801,6.21,4422774
2026-02-04,6.25,6.27,5.75,5.78,4940451
2026-02-05,5.75,5.87,5.472,5.51,3208445
2026-02-06,5.59,5.86,5.525,5.78,3012579
2026-02-09,5.75,5.93,5.732,5.91,2515296
2026-02-10,5.93,6.05,5.79,5.83,2037413
2026-02-11,5.82,5.87,5.65,5.74,1726764
2026-02-12,5.73,5.765,5.535,5.63,1524673
2026-02-13,5.66,5.765,5.62,5.66,2065168
2026-02-17,5.6,5.725,5.54,5.54,1888141
2026-02-18,5.51,5.585,5.41,5.44,2207231
2026-02-19,5.42,5.56,5.39,5.53,1889284
2026-02-20,5.51,5.67,5.46,5.54,2900820
2026-02-23,5.55,5.6954,5.535,5.57,1841850
2026-02-24,5.59,5.735,5.505,5.54,1993979
2026-02-25,5.54,5.55,3.29,3.5,36584530
2026-02-26,3.7,3.72,2.935,3.24,33343510
2026-02-27,3.15,3.37,3.1413,3.28,8899354
2026-03-02,3.225,3.25,2.9512,3.035,10456410
2026-03-03,2.95,3.015,2.83,2.925,5146731
2026-03-04,2.96,3.01,2.865,2.95,7061400
2026-03-05,2.935,2.97,2.81,2.83,6384217
2026-03-06,2.81,2.81,2.585,2.61,9457117
2026-03-09,2.635,2.68,2.5215,2.68,6620509
2026-03-10,2.72,2.74,2.57,2.61,4987716
2026-03-11,2.81,2.92,2.715,2.82,7294713
2026-03-12,2.755,2.875,2.69,2.82,6205862
2026-03-13,2.81,2.81,2.7,2.77,3814320
2026-03-16,2.77,2.855,2.74,2.77,5392892
2026-03-17,2.76,2.76,2.695,2.73,3652065
2026-03-18,2.69,2.725,2.59,2.61,4763631
2026-03-19,2.57,2.6,2.475,2.52,4640831
2026-03-20,2.54,2.54,2.41,2.47,19093760
2026-03-23,2.54,2.59,2.39,2.44,6293253
2026-03-24,2.41,2.41,2.25,2.29,14761520
2026-03-25,2.34,2.45,2.25,2.28,6324224
2026-03-26,2.25,2.367,2.235,2.3,6357016
2026-03-27,2.27,2.32,2.23,2.28,5604328
2026-03-30,2.33,2.425,2.29,2.37,5517104
2026-03-31,2.42,2.478,2.35,2.45,4843967
2026-04-01,2.49,2.5789,2.45,2.54,3478444
2026-04-02,2.48,2.51,2.42,2.5,3758383
