date,open,high,low,close,volume
2025-09-02,68.91,69.35,66.07,67.31,9213226
2025-09-03,68.31,68.78,65.41,65.99,7238068
2025-09-04,66.01,66.5499,63.0284,64.18,8081749
2025-09-05,64.7,64.9798,61.4012,63.05,6903942
2025-09-08,62.65,63.25,61.575,62.72,8654592
2025-09-09,63.37,64.54,62.28,63.15,7641990
2025-09-10,63.96,64.7,61.595,62.44,7549962
2025-09-11,62.6,65.6225,62.12,63.03,9420345
2025-09-12,63.4,64.17,62.57,63.51,5974582
2025-09-15,66.01,67.34,64.41,65.94,10796250
2025-09-16,67.175,67.9356,65.68,65.98,11280240
2025-09-17,68.0,69.1,65.25,66.81,11289080
2025-09-18,68.07,72.15,66.3758,72.13,14050420
2025-09-19,73.0,75.92,70.5,73.22,37395070
2025-09-22,71.91,73.3,69.53,73.22,10578450
2025-09-23,74.0,76.6899,72.76,74.7,14194140
2025-09-24,76.42,77.17,70.58,71.23,13358450
2025-09-25,70.5,82.23,68.8,77.13,26004450
2025-09-26,77.0,77.47,68.57,68.63,18998590
2025-09-29,69.32,69.5,66.1701,68.18,12539040
2025-09-30,67.985,68.93,65.91,67.07,7989439
2025-10-01,66.04,67.99,65.58,67.63,8046786
2025-10-02,68.8,71.735,67.42,70.96,13407690
2025-10-03,72.0,75.6,70.33,71.5,14675520
2025-10-06,73.3,74.93,71.46,74.33,10864940
2025-10-07,75.9,79.53,72.2,73.77,15264880
2025-10-08,75.24,75.97,69.61,70.59,11488810
2025-10-09,73.65,78.32,71.5201,72.29,24843540
2025-10-10,74.41,84.92,73.43,78.34,52334440
2025-10-13,86.8,98.97,85.5,95.06,50242380
2025-10-14,97.79,100.2505,88.6,98.65,40359360
2025-10-15,96.71,97.0,86.5,89.85,29991500
2025-10-16,91.93,91.99,83.33,83.84,18653710
2025-10-17,80.39,84.15,78.8,80.79,14927420
2025-10-20,83.5,83.99,78.052,82.9,14957790
2025-10-21,80.37,80.885,73.24,74.11,17623700
2025-10-22,72.07,73.48,66.31,69.8,21854790
2025-10-23,70.875,71.46,68.1,68.45,10965640
2025-10-24,69.95,72.59,69.36,70.81,11398930
2025-10-27,67.43,67.73,62.4,65.57,24754560
2025-10-28,65.59,67.7778,64.27,64.94,10850280
2025-10-29,65.44,65.6,63.3,64.29,9121027
2025-10-30,66.97,67.1,62.88,64.92,14302820
2025-10-31,64.78,64.95,61.45,63.09,13881920
2025-11-03,62.205,62.205,57.15,57.66,14163790
2025-11-04,55.835,57.54,54.02,54.9,13678030
2025-11-05,55.08,55.76,53.58,54.93,8647035
2025-11-06,56.39,56.45,51.84,51.95,15178090
2025-11-07,50.5,59.8199,50.5,58.6,23399780
2025-11-10,61.55,65.9499,60.42,64.18,18818430
2025-11-11,63.36,63.75,61.12,61.95,9473738
2025-11-12,62.02,62.35,57.94,59.72,8841908
2025-11-13,60.16,61.1988,56.69,57.54,10764950
2025-11-14,57.53,59.84,54.9,58.64,10333210
2025-11-17,58.11,58.75,55.52,56.98,5927044
2025-11-18,56.85,60.48,56.03,58.51,12076450
2025-11-19,62.0,66.2,60.32,63.55,20506130
2025-11-20,64.25,65.24,56.6,56.68,16548800
2025-11-21,56.66,57.2958,53.22,55.27,11071320
2025-11-24,56.78,59.49,55.98,59.04,9292307
2025-11-25,58.19,58.8,56.01,58.21,6615803
2025-11-26,58.77,61.0336,58.72,60.15,5886875
2025-11-28,60.51,62.298,60.24,61.95,3183354
2025-12-01,60.44,60.5,58.1,58.1,5740453
2025-12-02,58.27,61.66,58.2,60.84,6352030
2025-12-03,60.32,60.32,57.24,58.71,6481723
2025-12-04,58.79,62.25,57.92,61.8,7921905
2025-12-05,63.64,63.89,61.84,62.09,9245191
2025-12-08,61.08,61.4655,58.98,61.2,5791739
2025-12-09,60.05,62.25,59.26,59.82,4530917
2025-12-10,59.76,59.895,57.3,58.03,6512738
2025-12-11,57.29,60.24,56.65,60.01,4960184
2025-12-12,59.55,59.75,55.76,56.66,7219912
2025-12-15,57.07,57.82,53.04,53.26,6598381
2025-12-16,52.55,53.87,52.1,53.42,5171424
2025-12-17,54.13,55.7567,52.02,52.03,5086176
2025-12-18,53.44,55.1099,51.41,52.04,6135655
2025-12-19,52.18,54.47,52.18,53.97,9048160
2025-12-22,54.54,55.25,53.76,54.39,7094200
2025-12-23,53.825,55.5,53.34,54.21,4413975
2025-12-24,53.76,55.27,53.4,54.54,2362572
2025-12-26,54.54,54.6,52.085,53.38,3940124
2025-12-29,52.37,53.87,51.62,51.93,4716238
2025-12-30,51.98,52.25,50.405,50.44,6211841
2025-12-31,50.87,51.23,49.76,50.52,6911812
2026-01-02,51.48,55.25,50.91,54.97,6459627
2026-01-05,57.23,58.8,56.4201,58.62,6977437
2026-01-06,60.8,61.16,58.26,59.82,9957468
2026-01-07,60.4,64.08,59.82,62.5,12892380
2026-01-08,61.575,65.55,60.752,61.06,9309846
2026-01-09,61.89,62.98,59.35,62.0,9172276
2026-01-12,63.37,67.0,62.23,65.34,12150690
2026-01-13,67.725,68.44,63.4017,63.82,9952230
2026-01-14,64.03,70.0699,62.2,69.3,12394940
2026-01-15,68.24,68.48,65.8,66.7,10529530
2026-01-16,67.25,69.65,65.68,68.98,6760199
2026-01-20,68.38,71.69,66.91,68.38,11658460
2026-01-21,69.36,70.9424,61.52,64.65,14364780
2026-01-22,66.08,70.92,65.75,68.37,10521320
2026-01-23,69.48,70.455,66.17,69.58,8077164
2026-01-26,72.66,72.93,62.62,63.44,18362780
2026-01-27,63.569,68.05,63.43,66.73,9534211
2026-01-28,67.53,67.97,65.12,67.01,9246012
2026-01-29,64.85,65.2,58.28,62.16,17261810
2026-01-30,61.05,63.64,57.5,58.77,10406160
2026-02-02,60.19,62.88,58.92,59.11,10044190
2026-02-03,61.79,64.95,60.6,64.61,11931840
2026-02-04,65.25,65.25,57.24,60.55,11095220
2026-02-05,58.29,59.61,56.05,56.55,7762334
2026-02-06,59.01,61.51,58.31,61.26,6952983
2026-02-09,61.35,63.3,59.82,62.8,5222533
2026-02-10,62.27,63.9,61.6,62.34,4096468
2026-02-11,62.75,63.7,58.81,60.58,4147614
2026-02-12,59.33,60.0,56.58,57.3,6654973
2026-02-13,57.55,58.51,55.28,58.03,4560573
2026-02-17,56.7,57.47,54.59,56.95,5160379
2026-02-18,57.4,58.59,56.6,57.94,3071496
2026-02-19,57.67,58.9999,56.1,58.56,3142257
2026-02-20,57.7,58.94,55.04,55.34,5730426
2026-02-23,54.19,55.98,53.89,55.7,3837502
2026-02-24,55.11,58.73,54.21,58.44,4824212
2026-02-25,59.79,60.16,58.65,58.66,3977149
2026-02-26,59.57,60.29,58.01,60.0,6674141
2026-02-27,58.84,60.68,57.01,58.87,6854584
2026-03-02,57.43,63.9,57.1916,63.73,10224400
2026-03-03,61.615,63.39,59.24,61.4,6701252
2026-03-04,62.0,62.9399,60.212,61.61,4447387
2026-03-05,60.93,62.69,57.74,58.48,5975324
2026-03-06,57.035,60.64,56.34,58.23,5590452
2026-03-09,57.04,60.5,56.52,60.3,4698588
2026-03-10,60.72,63.07,59.46,61.58,5493090
2026-03-11,60.66,63.02,60.38,62.25,3632051
2026-03-12,61.61,62.79,59.09,60.03,4134391
2026-03-13,60.22,61.0899,56.635,57.21,5466433
2026-03-16,58.04,60.15,57.31,59.36,5120913
2026-03-17,59.38,60.72,58.71,59.3,3656793
2026-03-18,59.49,59.7,57.51,57.54,3502813
2026-03-19,55.91,56.0697,52.08,53.1,8906750
2026-03-20,53.05,53.5899,50.2601,50.6,8330860
2026-03-23,51.79,54.085,51.02,53.28,6464207
2026-03-24,52.6,53.59,50.81,53.29,5298891
2026-03-25,54.9,55.69,52.8,53.74,3863883
2026-03-26,52.5,53.53,51.2409,51.7,3828421
2026-03-27,51.58,53.5,51.34,51.8,4331663
2026-03-30,52.33,53.28,44.43,45.59,11619740
2026-03-31,46.08,48.48,45.72,48.26,7184999
2026-04-01,49.46,49.8,47.68,48.41,4892952
2026-04-02,46.47,50.34,45.72,49.73,4665752
2026-04-06,49.73,51.63,49.53,51.17,4080885
2026-04-07,50.65,50.88,48.57,49.49,4389226
2026-04-08,53.0,54.64,52.33,54.44,6792857
2026-04-09,53.63,54.83,52.68,53.9,3442444
2026-04-10,54.8,57.41,54.8,55.24,4405379
2026-04-13,54.23,57.38,53.52,56.8,6452197
2026-04-14,58.0,58.4,56.68,57.36,3506015
2026-04-15,57.94,60.5775,57.42,59.52,4970113
2026-04-16,60.43,63.12,59.41,62.3,5243620
2026-04-17,64.0,64.31,60.76,60.99,6558321
2026-04-20,62.37,66.535,62.13,66.23,8950898
2026-04-21,65.5,68.6499,65.21,65.76,6732783
2026-04-22,67.96,69.43,65.575,69.19,6101310
2026-04-23,68.16,68.68,62.68,63.32,6745285
2026-04-24,65.15,65.24,60.58,60.73,5366132
2026-04-27,60.07,65.21,60.01,64.92,6225035
2026-04-28,63.0,63.6299,60.45,61.7,3872930
2026-04-29,62.09,62.95,60.2,61.3,4282834
2026-04-30,61.7,66.19,61.25,66.04,5593497
2026-05-01,65.57,67.34,63.52,66.63,5461357
2026-05-04,69.0,69.7,65.6455,66.2,6170599
2026-05-05,67.19,69.03,65.0,68.06,5591017
2026-05-06,69.49,73.1,67.61,72.65,8598051
2026-05-07,73.21,73.58,68.2,69.13,8668859
2026-05-08,73.7,76.8,66.51,67.43,11619360
2026-05-11,67.05,70.4,64.25,67.41,7260231
2026-05-12,66.0,67.57,63.2,65.59,5822869
2026-05-13,64.78,65.61,62.17,63.73,6381300
2026-05-14,62.64,62.64,58.975,60.31,9899537
2026-05-15,60.395,62.28,59.68,61.27,5219529
2026-05-18,61.0,61.1187,55.05,56.67,9091120
2026-05-19,56.26,56.67,54.51,54.93,5088237
2026-05-20,56.745,56.82,53.57,56.5,7744763
2026-05-21,58.1,62.95,58.1,61.74,10528150
2026-05-22,63.06,65.5951,62.9156,64.46,6847760
2026-05-26,64.71,69.463,63.34,66.99,8552730
2026-05-27,67.21,67.3,64.08,65.21,5072178
2026-05-28,64.66,68.45,64.03,66.83,5275521
2026-05-29,66.0,66.5,63.5947,64.7,5073033
2026-06-01,64.175,71.37,63.01,69.29,8827599
2026-06-02,70.0,73.52,69.51,72.24,6669152
2026-06-03,70.38,71.9263,67.41,68.55,5694758
2026-06-04,66.62,67.25,64.98,65.46,4029498
2026-06-05,64.1,64.15,58.65,59.18,8035193
2026-06-08,59.83,59.83,57.33,57.58,5114869
2026-06-09,57.93,58.6165,52.4201,54.3,9560467
2026-06-10,54.02,56.22,53.29,53.45,6448405
2026-06-11,53.55,57.33,53.31,57.18,4797780
2026-06-12,57.63,58.17,56.03,57.55,3819761
2026-06-15,60.06,60.91,58.21,58.26,4803142
2026-06-16,57.53,58.46,56.5,57.05,3770326
2026-06-17,58.07,62.46,57.5,60.84,6935294
2026-06-18,61.39,61.56,59.55,60.88,7362909
2026-06-22,60.76,63.141,59.37,60.29,4193248
2026-06-23,57.75,60.88,57.01,58.9,5636458
2026-06-24,57.29,58.0,55.4501,56.51,5998123
2026-06-25,57.0,57.35,54.07,55.62,3822194
2026-06-26,54.11,55.0,52.98,53.9,5617289
2026-06-29,54.15,55.08,52.6724,54.74,3553558
2026-06-30,55.1,56.25,54.27,56.01,3345610
2026-07-01,55.15,56.8473,54.25,54.28,3202636
2026-07-02,54.47,57.46,52.97,53.31,4691082
2026-07-06,53.7,54.74,52.83,53.01,3916559
2026-07-07,52.33,53.35,49.25,50.49,6879381
2026-07-08,50.5,53.375,49.81,53.0,5427942
2026-07-09,54.0,54.3,51.6,51.71,3324253
2026-07-10,52.33,52.95,50.59,52.21,2796089
2026-07-13,51.16,51.98,48.96,49.5,4032059
2026-07-14,50.85,51.38,50.41,50.79,3142685
2026-07-15,50.965,51.49,48.57,49.46,3216891
2026-07-16,48.24,48.29,44.45,45.46,9307089
2026-07-17,44.41,46.51,43.82,45.24,6820276
