date,open,high,low,close,volume
2025-09-02,50.75,51.14,50.66,50.97,1484992
2025-09-03,51.13,51.225,50.735,50.88,1240221
2025-09-04,50.97,51.4902,50.78,50.81,1142404
2025-09-05,50.8,50.96,49.965,50.51,1323560
2025-09-08,50.5,50.67,49.97,50.14,1231104
2025-09-09,50.0,50.44,50.0,50.03,874196
2025-09-10,50.16,50.67,49.81,49.82,1621115
2025-09-11,49.92,50.9,49.89,50.84,1580292
2025-09-12,50.95,51.09,50.7,51.08,1383080
2025-09-15,51.15,51.6,51.08,51.22,2429240
2025-09-16,51.31,51.54,50.84,51.06,816995
2025-09-17,51.12,51.3306,50.86,51.01,981797
2025-09-18,51.0,51.2999,50.58,50.75,1115866
2025-09-19,50.58,50.8698,50.28,50.33,1576261
2025-09-22,50.37,50.4,49.91,50.04,1244445
2025-09-23,50.12,50.2348,49.97,50.13,1129830
2025-09-24,50.25,51.4206,50.21,51.12,1456666
2025-09-25,51.13,51.65,50.7,51.36,3178035
2025-09-26,51.35,51.77,51.23,51.28,833544
2025-09-29,51.19,51.19,49.86,50.06,2264529
2025-09-30,50.0,50.24,49.6,49.95,2418576
2025-10-01,49.99,50.05,49.5486,49.7,1361279
2025-10-02,49.7,49.775,49.41,49.51,1285612
2025-10-03,49.59,50.19,49.4884,49.62,1599631
2025-10-06,49.7,49.7694,49.06,49.17,1517792
2025-10-07,49.04,49.3,48.81,49.1,1797775
2025-10-08,49.0,49.07,48.4,48.84,1392992
2025-10-09,48.92,48.99,48.08,48.29,2198256
2025-10-10,48.04,48.4799,47.8,47.8,1875181
2025-10-13,48.02,48.671,47.96,48.62,1244984
2025-10-14,48.1,49.09,47.9417,48.95,1071425
2025-10-15,49.14,49.88,49.04,49.32,1547528
2025-10-16,49.34,49.3775,48.29,48.53,1756678
2025-10-17,48.5,49.06,48.38,48.92,1268088
2025-10-20,49.0,49.83,49.0,49.62,1694240
2025-10-21,49.62,49.8,49.43,49.61,797470
2025-10-22,49.8,50.73,49.71,50.59,1768363
2025-10-23,50.91,50.98,50.57,50.88,1687390
2025-10-24,51.0,51.0,50.12,50.45,1324730
2025-10-27,50.5,50.88,50.3,50.82,869162
2025-10-28,50.82,50.84,50.51,50.77,1280275
2025-10-29,50.9,50.93,50.22,50.29,2548192
2025-10-30,50.55,50.82,50.33,50.57,1292076
2025-10-31,50.77,50.88,50.26,50.76,1376416
2025-11-03,51.05,51.155,50.67,50.85,2622593
2025-11-04,51.44,51.69,50.37,51.2,3222663
2025-11-05,51.09,52.07,50.9,51.58,2644975
2025-11-06,51.66,52.03,51.48,51.53,1940394
2025-11-07,50.52,51.33,50.22,51.27,1682973
2025-11-10,51.39,51.79,51.03,51.78,2579158
2025-11-11,51.64,52.2299,51.61,52.04,2217335
2025-11-12,51.96,52.48,51.8001,52.47,1678615
2025-11-13,52.42,52.86,51.79,51.95,1880649
2025-11-14,52.27,53.295,51.93,53.21,1954041
2025-11-17,53.31,53.31,52.67,52.8,1263968
2025-11-18,52.59,53.1399,52.5501,52.87,1617846
2025-11-19,52.9,53.38,52.31,53.32,1103487
2025-11-20,53.38,54.08,53.15,53.48,1389101
2025-11-21,53.48,54.24,53.4,54.06,1364837
2025-11-24,54.34,54.34,52.56,53.24,1833880
2025-11-25,53.22,53.98,53.15,53.46,1554978
2025-11-26,53.5,53.935,53.43,53.64,1254514
2025-11-28,53.72,54.43,53.68,54.33,720559
2025-12-01,54.0,54.935,54.0,54.85,1332162
2025-12-02,54.8,54.93,53.87,53.9,1402368
2025-12-03,54.14,54.89,54.02,54.82,1146299
2025-12-04,54.85,55.93,54.84,55.88,1722831
2025-12-05,55.96,56.255,55.445,55.86,1161270
2025-12-08,55.94,56.0,55.27,55.55,976304
2025-12-09,55.62,56.16,55.12,55.2,1365336
2025-12-10,55.2,55.48,54.82,55.15,1080723
2025-12-11,55.02,55.302,54.3,54.52,1389203
2025-12-12,54.47,54.85,54.14,54.85,1137993
2025-12-15,54.74,55.0,54.31,54.9,1399552
2025-12-16,54.8,54.8,53.97,53.99,1453967
2025-12-17,54.0,54.49,54.0,54.47,1166075
