date,open,high,low,close,volume
2025-09-02,61.955,64.66,61.814,64.6,36275640
2025-09-03,64.045,64.52,61.72,62.31,34297320
2025-09-04,62.14,64.53,61.44,64.1,27726380
2025-09-05,63.98,64.5863,62.47,63.33,25793050
2025-09-08,63.615,66.1288,63.07,66.0,24466600
2025-09-09,65.855,67.44,65.19,66.84,17225990
2025-09-10,67.92,68.52,66.68,67.1,23751450
2025-09-11,67.0,68.2,66.36,66.59,13912360
2025-09-12,67.55,67.745,66.14,67.35,14868570
2025-09-15,67.45,68.11,66.334,67.43,17340780
2025-09-16,67.84,69.18,67.36,68.86,15931050
2025-09-17,68.86,72.41,68.36,70.98,29593090
2025-09-18,72.75,75.0,72.49,74.23,28894830
2025-09-19,74.745,75.37,73.315,74.26,31788100
2025-09-22,73.35,75.93,73.35,75.53,20037680
2025-09-23,75.39,76.35,74.02,74.62,21403680
2025-09-24,76.96,81.72,75.07,80.09,50429460
2025-09-25,78.115,84.46,76.32,83.81,43286050
2025-09-26,82.47,83.87,81.54,83.17,26715060
2025-09-29,83.69,85.09,82.315,82.39,20468280
2025-09-30,81.7,84.4299,81.4,84.07,18751680
2025-10-01,82.4,84.11,81.35,83.89,20038430
2025-10-02,85.07,87.3104,84.43,86.2,21698660
2025-10-03,86.28,87.27,85.0804,86.22,15679210
2025-10-06,88.845,90.25,88.25,88.92,20580540
2025-10-07,88.97,90.89,86.03,86.97,17609480
2025-10-08,88.39,92.67,87.62,92.5,20450990
2025-10-09,91.94,92.65,90.52,90.68,14868450
2025-10-10,92.97,94.66,85.36,85.61,30545700
2025-10-13,89.47,89.87,86.64,89.39,20563470
2025-10-14,86.8,88.82,85.3301,86.22,15447590
2025-10-15,88.165,89.46,86.5945,88.89,15202200
2025-10-16,89.71,91.1997,87.03,88.23,12988900
2025-10-17,86.825,88.95,85.71,87.95,13244000
2025-10-20,86.64,88.72,85.45,85.84,16137490
2025-10-21,85.69,85.9299,83.1001,84.26,13242090
2025-10-22,81.23,83.5727,79.06,81.05,19218620
2025-10-23,81.0,83.45,80.5301,82.77,10335820
2025-10-24,83.875,85.79,82.7,84.13,11661440
2025-10-27,86.04,89.3807,85.2001,88.71,16331570
2025-10-28,88.955,89.98,87.79,88.46,13029270
2025-10-29,90.755,91.51,89.05,90.15,13399860
2025-10-30,89.28,90.4576,88.36,88.57,11903750
2025-10-31,93.4,97.57,90.96,93.74,29320840
2025-11-03,93.385,94.84,90.0101,90.37,14308700
2025-11-04,87.76,90.84,87.22,87.59,13629980
2025-11-05,88.33,95.39,88.145,92.9,17194500
2025-11-06,96.21,98.13,92.4201,93.33,28022550
2025-11-07,91.678,92.18,85.11,90.92,20898680
2025-11-10,93.165,94.47,92.195,93.23,14570680
2025-11-11,92.025,92.67,88.52,89.33,13538500
2025-11-12,90.56,92.87,88.87,89.33,11846710
2025-11-13,87.59,88.45,84.71,87.52,17226590
2025-11-14,84.47,89.0,83.3301,86.45,12414050
2025-11-17,85.43,86.72,81.86,83.45,16548610
2025-11-18,80.47,81.75,78.44,78.68,23426920
2025-11-19,79.09,81.89,78.78,81.32,13688200
2025-11-20,83.395,84.44,76.08,76.68,23315870
2025-11-21,76.76,78.9168,73.62,77.45,16211020
2025-11-24,78.49,84.58,78.0,83.79,23945130
2025-11-25,82.5,83.81,80.529,83.43,11667950
2025-11-26,84.59,89.31,84.03,87.72,15019120
2025-11-28,85.895,89.53,84.52,89.4,11235560
2025-12-01,89.135,92.74,88.3,91.1,18143370
2025-12-02,92.66,93.859,91.46,92.89,38231080
2025-12-03,100.035,102.11,95.79,100.2,52833700
2025-12-04,99.405,102.77,97.18,98.19,23981760
2025-12-05,100.4,102.64,97.31,98.91,22219900
2025-12-08,90.45,92.7899,88.92,92.0,40731040
2025-12-09,91.59,91.69,88.04,88.9,23037410
2025-12-10,91.33,92.85,90.15,92.47,22573550
2025-12-11,90.98,91.74,87.51,89.43,16593470
2025-12-12,87.63,89.0,83.8899,84.425,21576260
2025-12-15,84.87,85.85,83.67,84.26,11953280
2025-12-16,83.58,84.4499,82.23,84.07,9483825
2025-12-17,86.5,87.18,81.18,81.7,16662730
2025-12-18,84.48,85.03,82.65,84.47,12732070
2025-12-19,84.05,86.22,83.7,84.09,21722240
2025-12-22,86.58,87.35,84.45,84.8,9870960
2025-12-23,84.4,88.05,84.29,87.68,12334100
2025-12-24,87.245,87.7654,86.1,86.49,5335275
2025-12-26,87.1,87.1999,85.97,86.34,5000977
2025-12-29,85.33,86.1,84.2,85.76,9677705
2025-12-30,85.755,88.1,85.72,86.76,9583033
2025-12-31,86.8,86.915,84.94,84.98,7234081
2026-01-02,86.74,90.08,86.6,89.39,14987540
2026-01-05,93.018,93.97,88.12,90.23,21328380
2026-01-06,92.7,94.2,86.77,88.23,24322730
2026-01-07,86.52,86.54,83.59,84.64,17230820
2026-01-08,84.7,84.9176,82.88,83.45,10695910
2026-01-09,84.03,84.45,82.19,83.22,13486250
2026-01-12,82.42,83.75,82.08,82.89,10146630
2026-01-13,83.51,84.06,82.75,83.05,9133496
2026-01-14,82.96,83.0,79.27,81.21,15295740
2026-01-15,82.72,82.94,80.0,80.38,16593530
2026-01-16,81.45,82.4799,80.3,80.46,15011200
2026-01-20,79.31,83.48,79.0182,79.8,18688020
2026-01-21,80.395,84.29,80.395,82.55,17134340
2026-01-22,84.47,85.35,82.74,83.1,12997560
2026-01-23,81.22,82.02,79.72,80.23,13924590
2026-01-26,79.82,83.44,79.555,81.77,12464570
2026-01-27,82.87,83.7399,81.3,82.93,11307880
2026-01-28,84.58,85.47,82.7,83.62,10311000
2026-01-29,81.943,82.44,78.3,81.34,13944870
2026-01-30,80.05,81.7,78.18,78.92,12581450
2026-02-02,77.605,78.98,76.72,78.66,14512950
2026-02-03,78.54,78.97,72.79,75.54,22563950
2026-02-04,74.995,76.055,71.78,73.73,17506180
2026-02-05,72.88,74.79,70.685,74.21,19201990
2026-02-06,76.835,80.75,76.52,80.28,22581790
2026-02-09,79.605,83.06,78.67,82.35,13775400
2026-02-10,82.685,83.4,81.49,82.01,10561410
2026-02-11,83.595,83.78,79.205,81.34,11636730
2026-02-12,82.19,82.19,77.44,78.23,13643780
2026-02-13,77.95,79.97,77.745,78.61,7615413
2026-02-17,77.315,80.32,76.6333,79.01,10568520
2026-02-18,79.15,80.4,78.485,79.09,8408247
2026-02-19,78.38,79.67,77.72,79.61,6512171
2026-02-20,78.24,80.3448,77.6001,79.48,8795346
2026-02-23,78.385,79.105,76.07,77.79,11622600
2026-02-24,78.0,79.7,77.175,78.39,8396221
2026-02-25,79.01,81.188,78.97,80.92,10524690
2026-02-26,81.11,81.63,77.15,79.29,12326480
2026-02-27,80.03,82.29,78.66,81.69,20253820
2026-03-02,79.63,82.82,79.4,80.86,15228520
2026-03-03,77.845,79.08,76.65,77.51,15826410
2026-03-04,78.7,79.5,77.26,78.09,14677550
2026-03-05,78.9,80.26,75.24,75.68,42620180
2026-03-06,84.715,93.4,83.4,89.57,90071100
2026-03-09,87.925,92.925,84.2,92.65,38873540
2026-03-10,92.57,95.05,91.62,93.3,26499500
2026-03-11,93.6,95.01,90.18,90.44,18446160
2026-03-12,89.85,90.025,87.37,87.67,16854390
2026-03-13,87.76,90.5,86.8214,87.86,14108100
2026-03-16,89.145,92.52,89.115,91.58,15875480
2026-03-17,92.3,93.44,90.35,90.79,11622640
2026-03-18,90.8,92.02,87.17,87.62,16096680
2026-03-19,86.27,89.74,85.13,89.53,13388780
2026-03-20,88.9,90.48,86.66,87.91,25570430
2026-03-23,89.45,91.58,88.735,90.16,14126670
2026-03-24,88.835,93.16,88.8,92.36,13731250
2026-03-25,94.075,98.82,94.0,98.45,22562390
